# _root_ Εδώ δεν πρέπει όμως να ξεχάσουμε το εξής : το ευρώ δεν είναι μόνο ένα νομισματικό πρόγραμμα , αλλά ήταν ανέκαθεν και πολιτικό πρόγραμμα , αποτελώντας τμήμα της Πολιτικής Ένωσης της Ευρώπης .
#goldHeads=3,3,4,0,6,3,8,9,6,11,13,13,19,13,17,17,13,19,9,19,20,24,24,20,26,19,26,30,30,27,32,30,0,
#predictedHeads=3,3,4,0,6,4,8,6,13,11,13,13,19,13,17,17,13,19,4,19,22,24,22,20,26,20,26,30,30,27,32,30,0,
(18,20),-0.667445 # DEPENDENCYPART_ARC
(19,1),0.523019 # DEPENDENCYPART_ARC
(19,3),0.71745 # DEPENDENCYPART_ARC
(19,4),-0.431973 # DEPENDENCYPART_ARC
(19,6),0.749489 # DEPENDENCYPART_ARC
(19,8),0.223525 # DEPENDENCYPART_ARC
(19,9),-0.0838283 # DEPENDENCYPART_ARC
(19,11),0.0156423 # DEPENDENCYPART_ARC
(19,12),0.159459 # DEPENDENCYPART_ARC
(19,13),2.01286 # DEPENDENCYPART_ARC
(19,14),0.335458 # DEPENDENCYPART_ARC
(19,15),0.295275 # DEPENDENCYPART_ARC
(19,16),0.593912 # DEPENDENCYPART_ARC
(19,17),0.140558 # DEPENDENCYPART_ARC
(19,18),1.58947 # DEPENDENCYPART_ARC
(19,20),2.45636 # DEPENDENCYPART_ARC
(19,21),0.0258254 # DEPENDENCYPART_ARC
(19,22),-0.0553656 # DEPENDENCYPART_ARC
(19,23),-0.386402 # DEPENDENCYPART_ARC
(19,24),-0.920543 # DEPENDENCYPART_ARC
(19,25),0.572398 # DEPENDENCYPART_ARC
(19,26),-0.515481 # DEPENDENCYPART_ARC
(19,27),-1.75731 # DEPENDENCYPART_ARC
(20,1),-0.441019 # DEPENDENCYPART_ARC
(20,3),-3.41065 # DEPENDENCYPART_ARC
(20,4),-0.110948 # DEPENDENCYPART_ARC
(20,8),-0.407208 # DEPENDENCYPART_ARC
(20,9),0.346839 # DEPENDENCYPART_ARC
(20,11),-1.0214 # DEPENDENCYPART_ARC
(20,13),-2.97541 # DEPENDENCYPART_ARC
(20,14),-0.100976 # DEPENDENCYPART_ARC
(20,16),-0.36102 # DEPENDENCYPART_ARC
(20,17),0.879018 # DEPENDENCYPART_ARC
(20,18),1.21168 # DEPENDENCYPART_ARC
(20,19),0.902994 # DEPENDENCYPART_ARC
(20,21),1.20232 # DEPENDENCYPART_ARC
(20,22),0.743769 # DEPENDENCYPART_ARC
(20,23),-0.289564 # DEPENDENCYPART_ARC
(20,24),0.831755 # DEPENDENCYPART_ARC
(20,25),0.407147 # DEPENDENCYPART_ARC
(20,26),1.7022 # DEPENDENCYPART_ARC
(20,27),-0.957476 # DEPENDENCYPART_ARC
(20,30),-2.16585 # DEPENDENCYPART_ARC
(20,32),-2.57747 # DEPENDENCYPART_ARC
(21,17),-1.62746 # DEPENDENCYPART_ARC
(21,20),-0.703327 # DEPENDENCYPART_ARC
(21,22),-0.136633 # DEPENDENCYPART_ARC
(21,23),-1.22703 # DEPENDENCYPART_ARC
(21,24),-0.604573 # DEPENDENCYPART_ARC
(21,26),-1.62487 # DEPENDENCYPART_ARC
(22,1),-0.619593 # DEPENDENCYPART_ARC
(22,3),-1.32108 # DEPENDENCYPART_ARC
(22,4),-1.06603 # DEPENDENCYPART_ARC
(22,6),-1.51682 # DEPENDENCYPART_ARC
(22,8),-0.316688 # DEPENDENCYPART_ARC
(22,9),-0.919272 # DEPENDENCYPART_ARC
(22,11),-0.615175 # DEPENDENCYPART_ARC
(22,12),-0.233292 # DEPENDENCYPART_ARC
(22,13),-0.713942 # DEPENDENCYPART_ARC
(22,14),0.0170526 # DEPENDENCYPART_ARC
(22,15),-0.151361 # DEPENDENCYPART_ARC
(22,16),0.359742 # DEPENDENCYPART_ARC
(22,17),0.279756 # DEPENDENCYPART_ARC
(22,18),0.115994 # DEPENDENCYPART_ARC
(22,19),0.76032 # DEPENDENCYPART_ARC
(22,20),0.682144 # DEPENDENCYPART_ARC
(22,21),2.5391 # DEPENDENCYPART_ARC
(22,23),3.707 # DEPENDENCYPART_ARC
(22,24),0.300309 # DEPENDENCYPART_ARC
(22,25),0.243306 # DEPENDENCYPART_ARC
(22,26),0.0666233 # DEPENDENCYPART_ARC
(22,27),-1.3766 # DEPENDENCYPART_ARC
(22,29),-0.240303 # DEPENDENCYPART_ARC
(22,30),-2.32885 # DEPENDENCYPART_ARC
(23,21),1.31074 # DEPENDENCYPART_ARC
(23,22),0.614742 # DEPENDENCYPART_ARC
(23,24),-0.137803 # DEPENDENCYPART_ARC
(23,26),-1.66111 # DEPENDENCYPART_ARC
(23,27),-2.01317 # DEPENDENCYPART_ARC
(24,19),0.0250372 # DEPENDENCYPART_ARC
(24,21),-0.38513 # DEPENDENCYPART_ARC
(24,22),2.04404 # DEPENDENCYPART_ARC
(24,23),2.86869 # DEPENDENCYPART_ARC
(24,25),0.13183 # DEPENDENCYPART_ARC
(24,26),-1.17575 # DEPENDENCYPART_ARC
(24,27),-1.23617 # DEPENDENCYPART_ARC
(24,29),-1.43211 # DEPENDENCYPART_ARC
(25,21),-0.859206 # DEPENDENCYPART_ARC
(25,23),-0.557103 # DEPENDENCYPART_ARC
(25,24),-0.529191 # DEPENDENCYPART_ARC
(25,26),-0.715297 # DEPENDENCYPART_ARC
(25,27),-0.749241 # DEPENDENCYPART_ARC
(25,30),-1.12031 # DEPENDENCYPART_ARC
(25,32),-1.45715 # DEPENDENCYPART_ARC
(26,1),-1.21254 # DEPENDENCYPART_ARC
(26,3),-4.59825 # DEPENDENCYPART_ARC
(26,6),-6.31231 # DEPENDENCYPART_ARC
(26,8),-1.14811 # DEPENDENCYPART_ARC
(26,11),-3.03539 # DEPENDENCYPART_ARC
(26,14),-1.15227 # DEPENDENCYPART_ARC
(26,16),-3.18166 # DEPENDENCYPART_ARC
(26,17),-1.69233 # DEPENDENCYPART_ARC
(26,18),-0.360469 # DEPENDENCYPART_ARC
(26,19),0.298747 # DEPENDENCYPART_ARC
(26,20),-5.00593 # DEPENDENCYPART_ARC
(26,21),-3.27792 # DEPENDENCYPART_ARC
(26,22),0.102967 # DEPENDENCYPART_ARC
(26,23),-1.95826 # DEPENDENCYPART_ARC
(26,24),-1.26316 # DEPENDENCYPART_ARC
(26,25),1.03708 # DEPENDENCYPART_ARC
(26,27),2.54043 # DEPENDENCYPART_ARC
(26,28),-1.94855 # DEPENDENCYPART_ARC
(26,29),-2.06629 # DEPENDENCYPART_ARC
(26,30),-1.31918 # DEPENDENCYPART_ARC
(26,32),-2.59416 # DEPENDENCYPART_ARC
(27,21),-2.12416 # DEPENDENCYPART_ARC
(27,23),0.205446 # DEPENDENCYPART_ARC
(27,25),-0.128215 # DEPENDENCYPART_ARC
(27,26),0.0571655 # DEPENDENCYPART_ARC
(27,28),0.574334 # DEPENDENCYPART_ARC
(27,29),0.68597 # DEPENDENCYPART_ARC
(27,30),2.14175 # DEPENDENCYPART_ARC
(27,32),1.27378 # DEPENDENCYPART_ARC
(29,28),0.525812 # DEPENDENCYPART_ARC
(29,30),0.632705 # DEPENDENCYPART_ARC
(29,32),-0.825409 # DEPENDENCYPART_ARC
(30,28),3.07516 # DEPENDENCYPART_ARC
(30,29),3.22924 # DEPENDENCYPART_ARC
(30,31),-0.0631587 # DEPENDENCYPART_ARC
(30,32),1.88393 # DEPENDENCYPART_ARC
(32,28),0.788551 # DEPENDENCYPART_ARC
(32,30),-0.32644 # DEPENDENCYPART_ARC
(32,31),3.0839 # DEPENDENCYPART_ARC
(33,27),-2.23685 # DEPENDENCYPART_ARC
(33,30),-1.94282 # DEPENDENCYPART_ARC
(33,32),-1.99555 # DEPENDENCYPART_ARC
