# _root_ Η εταιρεία αυτή στη Black Country στο Ηνωμένο Βασίλειο απασχολεί 80 άτομα , δηλαδή 80 θέσεις εργασίες για τις οποίες υπάρχει μεγάλη ανάγκη , και συμμορφώνεται με όλες τις κοινωνικές προδιαγραφές της νομοθεσίας του Ηνωμένου Βασιλείου .
#goldHeads=2,10,2,2,6,4,6,9,7,25,12,14,14,10,16,14,16,21,20,18,16,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
#predictedHeads=2,10,2,2,6,4,14,9,7,25,12,10,14,15,16,17,25,17,20,18,25,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
(9,11),-0.861496 # DEPENDENCYPART_ARC
(9,12),-1.78154 # DEPENDENCYPART_ARC
(9,15),-1.67881 # DEPENDENCYPART_ARC
(10,2),1.38244 # DEPENDENCYPART_ARC
(10,3),-0.137063 # DEPENDENCYPART_ARC
(10,4),-0.118586 # DEPENDENCYPART_ARC
(10,5),-0.171086 # DEPENDENCYPART_ARC
(10,6),-0.297135 # DEPENDENCYPART_ARC
(10,7),0.482672 # DEPENDENCYPART_ARC
(10,8),-0.585693 # DEPENDENCYPART_ARC
(10,9),0.556517 # DEPENDENCYPART_ARC
(10,11),0.684971 # DEPENDENCYPART_ARC
(10,12),1.79458 # DEPENDENCYPART_ARC
(10,13),0.594536 # DEPENDENCYPART_ARC
(10,14),0.538836 # DEPENDENCYPART_ARC
(10,15),-0.32268 # DEPENDENCYPART_ARC
(10,16),-0.106958 # DEPENDENCYPART_ARC
(10,17),0.00196661 # DEPENDENCYPART_ARC
(10,18),0.510532 # DEPENDENCYPART_ARC
(10,23),-1.3431 # DEPENDENCYPART_ARC
(10,24),-0.270731 # DEPENDENCYPART_ARC
(10,25),-0.666451 # DEPENDENCYPART_ARC
(10,26),-4.25595 # DEPENDENCYPART_ARC
(10,27),-0.612636 # DEPENDENCYPART_ARC
(10,31),-2.63674 # DEPENDENCYPART_ARC
(10,33),-4.33291 # DEPENDENCYPART_ARC
(10,36),-4.76643 # DEPENDENCYPART_ARC
(11,9),-0.697429 # DEPENDENCYPART_ARC
(11,10),0.04619 # DEPENDENCYPART_ARC
(11,12),0.00143243 # DEPENDENCYPART_ARC
(12,8),0.0534909 # DEPENDENCYPART_ARC
(12,9),-0.827008 # DEPENDENCYPART_ARC
(12,10),-1.04647 # DEPENDENCYPART_ARC
(12,11),2.27834 # DEPENDENCYPART_ARC
(12,13),0.405544 # DEPENDENCYPART_ARC
(12,14),-0.153024 # DEPENDENCYPART_ARC
(12,15),-0.225172 # DEPENDENCYPART_ARC
(12,16),-1.35529 # DEPENDENCYPART_ARC
(12,17),-1.68906 # DEPENDENCYPART_ARC
(12,18),-0.572749 # DEPENDENCYPART_ARC
(12,21),-0.787644 # DEPENDENCYPART_ARC
(13,2),-1.08968 # DEPENDENCYPART_ARC
(13,4),-0.768819 # DEPENDENCYPART_ARC
(13,7),-0.390116 # DEPENDENCYPART_ARC
(13,8),-0.640655 # DEPENDENCYPART_ARC
(13,9),-0.667245 # DEPENDENCYPART_ARC
(13,11),-0.166779 # DEPENDENCYPART_ARC
(13,12),-0.12677 # DEPENDENCYPART_ARC
(13,14),-0.359726 # DEPENDENCYPART_ARC
(13,15),-0.0826836 # DEPENDENCYPART_ARC
(13,16),-0.120993 # DEPENDENCYPART_ARC
(13,17),-0.410918 # DEPENDENCYPART_ARC
(13,22),-1.46578 # DEPENDENCYPART_ARC
(13,23),-1.09405 # DEPENDENCYPART_ARC
(13,28),-1.33876 # DEPENDENCYPART_ARC
(13,36),-1.07478 # DEPENDENCYPART_ARC
(14,3),-0.7243 # DEPENDENCYPART_ARC
(14,7),1.16855 # DEPENDENCYPART_ARC
(14,11),0.281074 # DEPENDENCYPART_ARC
(14,12),0.743846 # DEPENDENCYPART_ARC
(14,13),1.41906 # DEPENDENCYPART_ARC
(14,15),0.484194 # DEPENDENCYPART_ARC
(14,16),0.297381 # DEPENDENCYPART_ARC
(14,17),-0.420478 # DEPENDENCYPART_ARC
(14,18),-0.436833 # DEPENDENCYPART_ARC
(14,21),-0.948078 # DEPENDENCYPART_ARC
(14,24),-0.268997 # DEPENDENCYPART_ARC
(14,25),0.051608 # DEPENDENCYPART_ARC
(14,26),-1.30648 # DEPENDENCYPART_ARC
(15,13),-0.125705 # DEPENDENCYPART_ARC
(15,14),0.938876 # DEPENDENCYPART_ARC
(15,16),0.298049 # DEPENDENCYPART_ARC
(15,17),0.0118414 # DEPENDENCYPART_ARC
(16,12),-0.835492 # DEPENDENCYPART_ARC
(16,13),-0.234553 # DEPENDENCYPART_ARC
(16,14),0.439374 # DEPENDENCYPART_ARC
(16,15),2.08687 # DEPENDENCYPART_ARC
(16,17),0.661064 # DEPENDENCYPART_ARC
(16,18),0.813349 # DEPENDENCYPART_ARC
(16,21),0.414627 # DEPENDENCYPART_ARC
(16,22),-1.03427 # DEPENDENCYPART_ARC
(16,23),-2.50438 # DEPENDENCYPART_ARC
(16,25),-0.133137 # DEPENDENCYPART_ARC
(16,26),-1.43491 # DEPENDENCYPART_ARC
(17,12),-0.769877 # DEPENDENCYPART_ARC
(17,13),-0.477173 # DEPENDENCYPART_ARC
(17,14),-0.346007 # DEPENDENCYPART_ARC
(17,15),1.07949 # DEPENDENCYPART_ARC
(17,16),1.89439 # DEPENDENCYPART_ARC
(17,18),1.28967 # DEPENDENCYPART_ARC
(17,19),-0.449067 # DEPENDENCYPART_ARC
(17,20),-1.50047 # DEPENDENCYPART_ARC
(17,21),0.304465 # DEPENDENCYPART_ARC
(17,22),-1.06733 # DEPENDENCYPART_ARC
(17,26),-1.72462 # DEPENDENCYPART_ARC
(17,27),-1.15941 # DEPENDENCYPART_ARC
(18,17),-0.918886 # DEPENDENCYPART_ARC
(18,19),-0.105392 # DEPENDENCYPART_ARC
(18,20),2.73273 # DEPENDENCYPART_ARC
(18,21),0.0434292 # DEPENDENCYPART_ARC
(18,22),-0.261128 # DEPENDENCYPART_ARC
(18,23),0.404068 # DEPENDENCYPART_ARC
(18,24),-0.339804 # DEPENDENCYPART_ARC
(18,25),-0.605674 # DEPENDENCYPART_ARC
(20,19),3.14063 # DEPENDENCYPART_ARC
(20,21),-1.51612 # DEPENDENCYPART_ARC
(20,22),-1.576 # DEPENDENCYPART_ARC
(21,2),0.313305 # DEPENDENCYPART_ARC
(21,3),-1.83422 # DEPENDENCYPART_ARC
(21,4),-0.911821 # DEPENDENCYPART_ARC
(21,7),-0.866782 # DEPENDENCYPART_ARC
(21,8),-2.6547 # DEPENDENCYPART_ARC
(21,9),-1.83618 # DEPENDENCYPART_ARC
(21,10),-1.68906 # DEPENDENCYPART_ARC
(21,11),-0.575275 # DEPENDENCYPART_ARC
(21,12),-2.49102 # DEPENDENCYPART_ARC
(21,13),0.797042 # DEPENDENCYPART_ARC
(21,14),0.0478524 # DEPENDENCYPART_ARC
(21,15),-0.448539 # DEPENDENCYPART_ARC
(21,16),-1.56569 # DEPENDENCYPART_ARC
(21,17),-1.75783 # DEPENDENCYPART_ARC
(21,18),0.991906 # DEPENDENCYPART_ARC
(21,19),-1.06813 # DEPENDENCYPART_ARC
(21,20),1.29961 # DEPENDENCYPART_ARC
(21,22),0.828434 # DEPENDENCYPART_ARC
(21,23),2.56385 # DEPENDENCYPART_ARC
(21,24),0.873568 # DEPENDENCYPART_ARC
(21,25),0.000707854 # DEPENDENCYPART_ARC
(21,26),-1.81283 # DEPENDENCYPART_ARC
(21,27),-0.559649 # DEPENDENCYPART_ARC
(21,28),-2.72093 # DEPENDENCYPART_ARC
(21,31),-1.10345 # DEPENDENCYPART_ARC
(21,33),-2.80179 # DEPENDENCYPART_ARC
(21,36),-3.10088 # DEPENDENCYPART_ARC
(22,19),0.0245584 # DEPENDENCYPART_ARC
(22,20),-0.661798 # DEPENDENCYPART_ARC
(22,21),-1.92166 # DEPENDENCYPART_ARC
(22,23),-0.821816 # DEPENDENCYPART_ARC
(22,24),-0.639581 # DEPENDENCYPART_ARC
(22,25),-0.636883 # DEPENDENCYPART_ARC
(22,26),-2.1723 # DEPENDENCYPART_ARC
(22,27),-1.58833 # DEPENDENCYPART_ARC
(22,31),-2.87634 # DEPENDENCYPART_ARC
(23,16),-2.25306 # DEPENDENCYPART_ARC
(23,18),-0.559178 # DEPENDENCYPART_ARC
(23,19),0.80165 # DEPENDENCYPART_ARC
(23,20),-0.791506 # DEPENDENCYPART_ARC
(23,21),-1.51218 # DEPENDENCYPART_ARC
(23,22),3.11287 # DEPENDENCYPART_ARC
(23,24),0.208216 # DEPENDENCYPART_ARC
(23,25),0.0697879 # DEPENDENCYPART_ARC
(23,26),-0.443117 # DEPENDENCYPART_ARC
(23,27),-1.20045 # DEPENDENCYPART_ARC
(23,28),-2.4193 # DEPENDENCYPART_ARC
(24,2),-1.73584 # DEPENDENCYPART_ARC
(24,22),-0.372727 # DEPENDENCYPART_ARC
(24,23),-0.238204 # DEPENDENCYPART_ARC
(24,26),-0.790333 # DEPENDENCYPART_ARC
(24,28),-1.35335 # DEPENDENCYPART_ARC
(24,31),-1.43923 # DEPENDENCYPART_ARC
(24,36),-1.16536 # DEPENDENCYPART_ARC
(25,2),-1.09044 # DEPENDENCYPART_ARC
(25,4),-0.638917 # DEPENDENCYPART_ARC
(25,7),-1.03164 # DEPENDENCYPART_ARC
(25,8),-1.04796 # DEPENDENCYPART_ARC
(25,9),0.0297217 # DEPENDENCYPART_ARC
(25,10),1.08649 # DEPENDENCYPART_ARC
(25,12),-0.607712 # DEPENDENCYPART_ARC
(25,13),-0.0918784 # DEPENDENCYPART_ARC
(25,14),0.120159 # DEPENDENCYPART_ARC
(25,16),-0.28484 # DEPENDENCYPART_ARC
(25,17),0.124375 # DEPENDENCYPART_ARC
(25,18),-0.0991568 # DEPENDENCYPART_ARC
(25,19),-0.0833893 # DEPENDENCYPART_ARC
(25,20),0.949485 # DEPENDENCYPART_ARC
(25,21),1.5411 # DEPENDENCYPART_ARC
(25,22),0.791344 # DEPENDENCYPART_ARC
(25,23),0.594672 # DEPENDENCYPART_ARC
(25,24),1.50827 # DEPENDENCYPART_ARC
(25,26),2.0886 # DEPENDENCYPART_ARC
(25,27),0.218749 # DEPENDENCYPART_ARC
(25,28),-0.521454 # DEPENDENCYPART_ARC
(25,30),-0.651519 # DEPENDENCYPART_ARC
(25,31),-1.22392 # DEPENDENCYPART_ARC
(25,33),-1.67399 # DEPENDENCYPART_ARC
(26,2),-0.650595 # DEPENDENCYPART_ARC
(26,3),-2.70172 # DEPENDENCYPART_ARC
(26,4),-1.91946 # DEPENDENCYPART_ARC
(26,7),-2.09216 # DEPENDENCYPART_ARC
(26,8),-2.06755 # DEPENDENCYPART_ARC
(26,10),-3.14648 # DEPENDENCYPART_ARC
(26,11),-0.694735 # DEPENDENCYPART_ARC
(26,12),-3.04375 # DEPENDENCYPART_ARC
(26,13),-0.210854 # DEPENDENCYPART_ARC
(26,14),-0.238941 # DEPENDENCYPART_ARC
(26,15),-0.687471 # DEPENDENCYPART_ARC
(26,16),-2.21107 # DEPENDENCYPART_ARC
(26,17),-2.52525 # DEPENDENCYPART_ARC
(26,18),-0.807094 # DEPENDENCYPART_ARC
(26,20),-0.723413 # DEPENDENCYPART_ARC
(26,22),-0.818896 # DEPENDENCYPART_ARC
(26,23),0.400359 # DEPENDENCYPART_ARC
(26,24),0.508663 # DEPENDENCYPART_ARC
(26,25),0.508621 # DEPENDENCYPART_ARC
(26,27),1.8179 # DEPENDENCYPART_ARC
(26,28),-0.373154 # DEPENDENCYPART_ARC
(26,30),-1.50288 # DEPENDENCYPART_ARC
(26,31),-0.421935 # DEPENDENCYPART_ARC
(26,33),-1.85675 # DEPENDENCYPART_ARC
(26,36),-2.32996 # DEPENDENCYPART_ARC
(27,24),-0.107675 # DEPENDENCYPART_ARC
(27,28),0.94114 # DEPENDENCYPART_ARC
(27,30),0.246879 # DEPENDENCYPART_ARC
(27,31),1.27997 # DEPENDENCYPART_ARC
(27,33),-0.308076 # DEPENDENCYPART_ARC
(27,36),-1.04121 # DEPENDENCYPART_ARC
(28,23),-2.48786 # DEPENDENCYPART_ARC
(28,27),-0.250321 # DEPENDENCYPART_ARC
(28,29),0.395376 # DEPENDENCYPART_ARC
(28,30),-1.14007 # DEPENDENCYPART_ARC
(28,31),-0.704172 # DEPENDENCYPART_ARC
(28,33),0.0758203 # DEPENDENCYPART_ARC
(30,27),-0.555411 # DEPENDENCYPART_ARC
(30,28),-0.352088 # DEPENDENCYPART_ARC
(30,29),1.12844 # DEPENDENCYPART_ARC
(30,31),-0.147226 # DEPENDENCYPART_ARC
(30,33),-0.00425768 # DEPENDENCYPART_ARC
(31,27),-0.58849 # DEPENDENCYPART_ARC
(31,28),2.06171 # DEPENDENCYPART_ARC
(31,29),3.78458 # DEPENDENCYPART_ARC
(31,30),3.99634 # DEPENDENCYPART_ARC
(31,32),0.134382 # DEPENDENCYPART_ARC
(31,33),2.19025 # DEPENDENCYPART_ARC
(31,35),-0.699996 # DEPENDENCYPART_ARC
(31,36),0.500727 # DEPENDENCYPART_ARC
(33,28),-1.38285 # DEPENDENCYPART_ARC
(33,29),-1.06024 # DEPENDENCYPART_ARC
(33,30),-1.56169 # DEPENDENCYPART_ARC
(33,31),-2.49287 # DEPENDENCYPART_ARC
(33,32),3.23294 # DEPENDENCYPART_ARC
(33,34),0.223587 # DEPENDENCYPART_ARC
(33,35),0.736243 # DEPENDENCYPART_ARC
(33,36),1.85023 # DEPENDENCYPART_ARC
(35,32),-1.50837 # DEPENDENCYPART_ARC
(35,33),-2.74556 # DEPENDENCYPART_ARC
(35,34),0.426663 # DEPENDENCYPART_ARC
(35,36),0.633598 # DEPENDENCYPART_ARC
(36,32),0.861349 # DEPENDENCYPART_ARC
(36,34),3.40198 # DEPENDENCYPART_ARC
(36,35),3.56345 # DEPENDENCYPART_ARC
(37,33),-2.2095 # DEPENDENCYPART_ARC
(37,35),-1.73846 # DEPENDENCYPART_ARC
(37,36),-1.88848 # DEPENDENCYPART_ARC
