# _root_ Υποστήριξη στις ΗΠΑ ως προς την πρόταση παραπομπής του Ιράν στο Συμβούλιο Ασφαλείας , εφόσον επαναληφθεί ο εμπλουτισμός ουρανίου ή παραβιαστούν καίριες δεσμεύσεις , πρόκειται να παράσχει η ΕΕ.
#goldHeads=27,1,2,1,4,7,5,7,10,8,8,11,12,15,27,20,18,16,18,15,20,23,21,25,0,27,25,29,27,
#predictedHeads=0,1,2,1,4,7,5,7,10,8,8,11,12,15,0,15,18,16,18,18,20,23,21,25,15,27,25,29,27,
(18,27),-3.01236 # DEPENDENCYPART_ARC
(19,9),-2.44351 # DEPENDENCYPART_ARC
(19,17),1.21671 # DEPENDENCYPART_ARC
(19,18),1.35435 # DEPENDENCYPART_ARC
(19,20),0.0236269 # DEPENDENCYPART_ARC
(19,21),-2.00465 # DEPENDENCYPART_ARC
(19,22),-1.6961 # DEPENDENCYPART_ARC
(19,23),-1.84822 # DEPENDENCYPART_ARC
(20,1),-0.354545 # DEPENDENCYPART_ARC
(20,2),-0.420559 # DEPENDENCYPART_ARC
(20,4),-0.0752939 # DEPENDENCYPART_ARC
(20,5),-0.210576 # DEPENDENCYPART_ARC
(20,7),0.107712 # DEPENDENCYPART_ARC
(20,8),0.235009 # DEPENDENCYPART_ARC
(20,10),-0.10786 # DEPENDENCYPART_ARC
(20,11),-0.398703 # DEPENDENCYPART_ARC
(20,12),0.682651 # DEPENDENCYPART_ARC
(20,13),0.698631 # DEPENDENCYPART_ARC
(20,14),0.704168 # DEPENDENCYPART_ARC
(20,15),0.643779 # DEPENDENCYPART_ARC
(20,16),1.60973 # DEPENDENCYPART_ARC
(20,17),0.790708 # DEPENDENCYPART_ARC
(20,18),0.97907 # DEPENDENCYPART_ARC
(20,19),1.25488 # DEPENDENCYPART_ARC
(20,21),2.46333 # DEPENDENCYPART_ARC
(20,22),0.115653 # DEPENDENCYPART_ARC
(20,23),0.414539 # DEPENDENCYPART_ARC
(20,24),0.353861 # DEPENDENCYPART_ARC
(20,25),-0.461007 # DEPENDENCYPART_ARC
(20,27),-1.58227 # DEPENDENCYPART_ARC
(21,1),-1.42236 # DEPENDENCYPART_ARC
(21,2),-1.66424 # DEPENDENCYPART_ARC
(21,4),-1.32131 # DEPENDENCYPART_ARC
(21,5),-1.95964 # DEPENDENCYPART_ARC
(21,7),-2.42093 # DEPENDENCYPART_ARC
(21,10),-1.34436 # DEPENDENCYPART_ARC
(21,11),-1.64491 # DEPENDENCYPART_ARC
(21,13),-4.72041 # DEPENDENCYPART_ARC
(21,16),-6.115 # DEPENDENCYPART_ARC
(21,17),-1.80634 # DEPENDENCYPART_ARC
(21,18),-0.249143 # DEPENDENCYPART_ARC
(21,19),-3.53192 # DEPENDENCYPART_ARC
(21,20),-0.194986 # DEPENDENCYPART_ARC
(21,22),0.995183 # DEPENDENCYPART_ARC
(21,23),2.34148 # DEPENDENCYPART_ARC
(21,24),0.540711 # DEPENDENCYPART_ARC
(21,25),-2.83406 # DEPENDENCYPART_ARC
(21,27),-3.33895 # DEPENDENCYPART_ARC
(22,19),-1.56082 # DEPENDENCYPART_ARC
(22,21),-0.97414 # DEPENDENCYPART_ARC
(22,23),-0.842423 # DEPENDENCYPART_ARC
(22,24),-0.418585 # DEPENDENCYPART_ARC
(22,25),-1.5633 # DEPENDENCYPART_ARC
(23,17),-1.28077 # DEPENDENCYPART_ARC
(23,18),-1.47665 # DEPENDENCYPART_ARC
(23,19),-1.32288 # DEPENDENCYPART_ARC
(23,21),-0.646897 # DEPENDENCYPART_ARC
(23,22),4.30149 # DEPENDENCYPART_ARC
(23,24),0.156746 # DEPENDENCYPART_ARC
(23,25),-1.03881 # DEPENDENCYPART_ARC
(23,26),-1.22985 # DEPENDENCYPART_ARC
(23,27),-2.61025 # DEPENDENCYPART_ARC
(24,18),-0.699242 # DEPENDENCYPART_ARC
(24,19),-0.791467 # DEPENDENCYPART_ARC
(24,22),-0.319197 # DEPENDENCYPART_ARC
(24,23),-0.336012 # DEPENDENCYPART_ARC
(24,25),-0.812746 # DEPENDENCYPART_ARC
(25,1),-0.199117 # DEPENDENCYPART_ARC
(25,2),-2.3448 # DEPENDENCYPART_ARC
(25,4),-0.567666 # DEPENDENCYPART_ARC
(25,5),-1.11605 # DEPENDENCYPART_ARC
(25,7),-1.27084 # DEPENDENCYPART_ARC
(25,11),-1.73558 # DEPENDENCYPART_ARC
(25,15),0.871976 # DEPENDENCYPART_ARC
(25,16),-3.69304 # DEPENDENCYPART_ARC
(25,18),1.03028 # DEPENDENCYPART_ARC
(25,19),-1.98613 # DEPENDENCYPART_ARC
(25,20),0.64999 # DEPENDENCYPART_ARC
(25,21),-2.18483 # DEPENDENCYPART_ARC
(25,22),-0.145292 # DEPENDENCYPART_ARC
(25,23),0.816936 # DEPENDENCYPART_ARC
(25,24),1.64079 # DEPENDENCYPART_ARC
(25,26),0.782175 # DEPENDENCYPART_ARC
(25,27),3.50658 # DEPENDENCYPART_ARC
(25,29),0.0193454 # DEPENDENCYPART_ARC
(26,27),0.129498 # DEPENDENCYPART_ARC
(27,1),-0.841115 # DEPENDENCYPART_ARC
(27,2),-2.87141 # DEPENDENCYPART_ARC
(27,4),-1.39881 # DEPENDENCYPART_ARC
(27,15),0.0650699 # DEPENDENCYPART_ARC
(27,18),-0.0137839 # DEPENDENCYPART_ARC
(27,19),-3.25624 # DEPENDENCYPART_ARC
(27,21),-4.9106 # DEPENDENCYPART_ARC
(27,22),-2.65364 # DEPENDENCYPART_ARC
(27,23),0.0236528 # DEPENDENCYPART_ARC
(27,24),-0.266309 # DEPENDENCYPART_ARC
(27,25),-1.17633 # DEPENDENCYPART_ARC
(27,26),2.26177 # DEPENDENCYPART_ARC
(27,28),-1.44122 # DEPENDENCYPART_ARC
(27,29),0.835421 # DEPENDENCYPART_ARC
(29,24),-0.770942 # DEPENDENCYPART_ARC
(29,28),2.02841 # DEPENDENCYPART_ARC
