# _root_ Από τότε , η Κέρκυρα έχει γεννήσει δύο Έλληνες πρωθυπουργούς και διάφορους άλλους πρωταγωνιστές της πολιτικής , κοινωνικής και πολιτιστικής ζωής της χώρας .
#goldHeads=7,1,7,5,7,7,0,10,10,11,7,14,14,11,16,19,19,19,21,19,14,23,21,0,
#predictedHeads=7,1,7,5,7,7,0,9,7,11,9,14,14,11,16,14,19,19,21,19,16,23,21,0,
(7,24),0.0113013 # DEPENDENCYPART_ARC
(9,6),-1.96708 # DEPENDENCYPART_ARC
(9,7),-0.883635 # DEPENDENCYPART_ARC
(9,8),2.48363 # DEPENDENCYPART_ARC
(9,10),0.0255883 # DEPENDENCYPART_ARC
(9,11),0.292627 # DEPENDENCYPART_ARC
(9,12),-1.17723 # DEPENDENCYPART_ARC
(9,18),-1.41054 # DEPENDENCYPART_ARC
(9,19),-0.53689 # DEPENDENCYPART_ARC
(9,20),-1.39274 # DEPENDENCYPART_ARC
(10,1),-0.638439 # DEPENDENCYPART_ARC
(10,2),-1.07787 # DEPENDENCYPART_ARC
(10,3),-0.897614 # DEPENDENCYPART_ARC
(10,4),-1.2204 # DEPENDENCYPART_ARC
(10,5),-1.7988 # DEPENDENCYPART_ARC
(10,6),-2.77318 # DEPENDENCYPART_ARC
(10,7),-2.43505 # DEPENDENCYPART_ARC
(10,8),1.88453 # DEPENDENCYPART_ARC
(10,9),0.830231 # DEPENDENCYPART_ARC
(10,11),0.358042 # DEPENDENCYPART_ARC
(10,12),-0.547662 # DEPENDENCYPART_ARC
(10,13),-0.793078 # DEPENDENCYPART_ARC
(10,14),-1.90459 # DEPENDENCYPART_ARC
(11,1),-0.416512 # DEPENDENCYPART_ARC
(11,2),-0.347304 # DEPENDENCYPART_ARC
(11,3),0.138727 # DEPENDENCYPART_ARC
(11,5),-0.0601255 # DEPENDENCYPART_ARC
(11,6),0.401482 # DEPENDENCYPART_ARC
(11,7),0.447586 # DEPENDENCYPART_ARC
(11,8),0.569998 # DEPENDENCYPART_ARC
(11,9),0.611906 # DEPENDENCYPART_ARC
(11,10),2.69728 # DEPENDENCYPART_ARC
(11,12),1.26134 # DEPENDENCYPART_ARC
(11,13),0.0661715 # DEPENDENCYPART_ARC
(11,14),0.758667 # DEPENDENCYPART_ARC
(11,16),0.253464 # DEPENDENCYPART_ARC
(11,17),-0.0853412 # DEPENDENCYPART_ARC
(11,18),-0.319127 # DEPENDENCYPART_ARC
(11,19),-0.605454 # DEPENDENCYPART_ARC
(11,21),-0.840317 # DEPENDENCYPART_ARC
(11,24),-0.48097 # DEPENDENCYPART_ARC
(12,10),-1.07807 # DEPENDENCYPART_ARC
(12,11),0.340534 # DEPENDENCYPART_ARC
(12,13),-0.447381 # DEPENDENCYPART_ARC
(12,14),-0.316946 # DEPENDENCYPART_ARC
(12,16),0.377098 # DEPENDENCYPART_ARC
(12,19),-0.129938 # DEPENDENCYPART_ARC
(13,14),0.238344 # DEPENDENCYPART_ARC
(13,16),-0.160276 # DEPENDENCYPART_ARC
(13,19),-0.359451 # DEPENDENCYPART_ARC
(14,2),-0.771729 # DEPENDENCYPART_ARC
(14,4),-0.935955 # DEPENDENCYPART_ARC
(14,7),-2.43052 # DEPENDENCYPART_ARC
(14,9),0.407473 # DEPENDENCYPART_ARC
(14,10),-1.00121 # DEPENDENCYPART_ARC
(14,11),0.160685 # DEPENDENCYPART_ARC
(14,12),2.25147 # DEPENDENCYPART_ARC
(14,13),3.04741 # DEPENDENCYPART_ARC
(14,15),-0.767085 # DEPENDENCYPART_ARC
(14,16),2.10079 # DEPENDENCYPART_ARC
(14,17),0.0961948 # DEPENDENCYPART_ARC
(14,18),-0.316972 # DEPENDENCYPART_ARC
(14,19),-0.2496 # DEPENDENCYPART_ARC
(14,20),-0.670149 # DEPENDENCYPART_ARC
(14,21),0.131876 # DEPENDENCYPART_ARC
(14,23),-0.484236 # DEPENDENCYPART_ARC
(14,24),0.184858 # DEPENDENCYPART_ARC
(16,12),-2.49879 # DEPENDENCYPART_ARC
(16,13),-1.21595 # DEPENDENCYPART_ARC
(16,14),-1.74735 # DEPENDENCYPART_ARC
(16,15),3.21692 # DEPENDENCYPART_ARC
(16,17),-0.102593 # DEPENDENCYPART_ARC
(16,18),0.226395 # DEPENDENCYPART_ARC
(16,19),-0.15995 # DEPENDENCYPART_ARC
(16,20),-0.419058 # DEPENDENCYPART_ARC
(16,21),0.425841 # DEPENDENCYPART_ARC
(16,23),-0.293087 # DEPENDENCYPART_ARC
(17,3),-0.648677 # DEPENDENCYPART_ARC
(17,5),-0.613776 # DEPENDENCYPART_ARC
(17,7),-0.800422 # DEPENDENCYPART_ARC
(17,9),0.103319 # DEPENDENCYPART_ARC
(17,10),0.101406 # DEPENDENCYPART_ARC
(17,12),-0.174916 # DEPENDENCYPART_ARC
(17,13),-0.624418 # DEPENDENCYPART_ARC
(17,14),0.0667811 # DEPENDENCYPART_ARC
(17,16),0.23003 # DEPENDENCYPART_ARC
(17,18),0.0348199 # DEPENDENCYPART_ARC
(17,19),-0.0410558 # DEPENDENCYPART_ARC
(17,20),-0.202458 # DEPENDENCYPART_ARC
(17,21),-0.279376 # DEPENDENCYPART_ARC
(17,23),-0.422617 # DEPENDENCYPART_ARC
(17,24),0.095234 # DEPENDENCYPART_ARC
(18,10),-2.96655 # DEPENDENCYPART_ARC
(18,14),-1.31834 # DEPENDENCYPART_ARC
(18,15),-0.276867 # DEPENDENCYPART_ARC
(18,16),-2.32998 # DEPENDENCYPART_ARC
(18,17),0.115923 # DEPENDENCYPART_ARC
(18,20),-0.990727 # DEPENDENCYPART_ARC
(18,21),-0.360683 # DEPENDENCYPART_ARC
(18,23),-0.996517 # DEPENDENCYPART_ARC
(19,1),-0.491374 # DEPENDENCYPART_ARC
(19,2),-0.373755 # DEPENDENCYPART_ARC
(19,3),-0.275532 # DEPENDENCYPART_ARC
(19,5),-0.815838 # DEPENDENCYPART_ARC
(19,6),0.297776 # DEPENDENCYPART_ARC
(19,7),-0.0159369 # DEPENDENCYPART_ARC
(19,9),0.0884833 # DEPENDENCYPART_ARC
(19,10),0.907968 # DEPENDENCYPART_ARC
(19,11),-0.15279 # DEPENDENCYPART_ARC
(19,12),0.28393 # DEPENDENCYPART_ARC
(19,13),0.240108 # DEPENDENCYPART_ARC
(19,14),0.480207 # DEPENDENCYPART_ARC
(19,15),0.139446 # DEPENDENCYPART_ARC
(19,16),0.885256 # DEPENDENCYPART_ARC
(19,17),1.09256 # DEPENDENCYPART_ARC
(19,18),2.4328 # DEPENDENCYPART_ARC
(19,20),3.72273 # DEPENDENCYPART_ARC
(19,21),0.307919 # DEPENDENCYPART_ARC
(19,23),-0.538675 # DEPENDENCYPART_ARC
(19,24),-0.289333 # DEPENDENCYPART_ARC
(20,16),-2.86512 # DEPENDENCYPART_ARC
(20,17),-0.730671 # DEPENDENCYPART_ARC
(20,18),-0.210394 # DEPENDENCYPART_ARC
(20,21),0.230486 # DEPENDENCYPART_ARC
(20,23),-1.10718 # DEPENDENCYPART_ARC
(21,11),-0.484156 # DEPENDENCYPART_ARC
(21,15),1.27216 # DEPENDENCYPART_ARC
(21,16),-0.792897 # DEPENDENCYPART_ARC
(21,17),-0.326375 # DEPENDENCYPART_ARC
(21,18),0.238471 # DEPENDENCYPART_ARC
(21,19),1.87391 # DEPENDENCYPART_ARC
(21,20),2.35975 # DEPENDENCYPART_ARC
(21,22),0.32831 # DEPENDENCYPART_ARC
(21,23),2.34372 # DEPENDENCYPART_ARC
(21,24),0.0736851 # DEPENDENCYPART_ARC
(23,15),-0.0454781 # DEPENDENCYPART_ARC
(23,18),-0.793314 # DEPENDENCYPART_ARC
(23,20),-0.0663121 # DEPENDENCYPART_ARC
(23,22),2.98353 # DEPENDENCYPART_ARC
(23,24),-0.11545 # DEPENDENCYPART_ARC
(24,9),-2.29375 # DEPENDENCYPART_ARC
(24,13),-2.35663 # DEPENDENCYPART_ARC
(24,20),-2.02926 # DEPENDENCYPART_ARC
(24,21),-2.04877 # DEPENDENCYPART_ARC
(24,23),-2.12241 # DEPENDENCYPART_ARC
