# _root_ Αποτελεί πρόκληση για όλους εμάς - το Κοινοβούλιο , την Επιτροπή και το Συμβούλιο - να θεσπίσουμε αυτά τα εχέγγυα , διότι είναι δύσκολο να εξακολουθήσουμε να συμφωνούμε ώσπου να τα αποκτήσουμε .
#goldHeads=0,1,1,5,6,3,8,12,12,11,12,6,14,12,6,17,1,20,20,17,17,1,22,23,26,23,28,26,28,32,32,29,0,
#predictedHeads=0,1,2,5,3,8,8,12,12,11,12,3,14,12,6,17,12,19,20,17,22,17,22,23,26,23,28,26,28,32,32,29,0,
(4,8),-0.752953 # DEPENDENCYPART_ARC
(4,9),-0.551755 # DEPENDENCYPART_ARC
(4,12),-0.425371 # DEPENDENCYPART_ARC
(5,4),2.14481 # DEPENDENCYPART_ARC
(5,8),0.0353398 # DEPENDENCYPART_ARC
(6,1),-0.631752 # DEPENDENCYPART_ARC
(6,2),-0.246472 # DEPENDENCYPART_ARC
(6,3),0.010238 # DEPENDENCYPART_ARC
(6,4),-0.221223 # DEPENDENCYPART_ARC
(6,5),-0.0775324 # DEPENDENCYPART_ARC
(6,8),-0.0369363 # DEPENDENCYPART_ARC
(6,9),0.0458075 # DEPENDENCYPART_ARC
(6,11),-0.589433 # DEPENDENCYPART_ARC
(6,12),-0.164529 # DEPENDENCYPART_ARC
(6,15),0.488709 # DEPENDENCYPART_ARC
(6,17),-0.423218 # DEPENDENCYPART_ARC
(8,4),-0.505265 # DEPENDENCYPART_ARC
(8,6),0.449201 # DEPENDENCYPART_ARC
(8,7),3.09554 # DEPENDENCYPART_ARC
(8,9),-0.360903 # DEPENDENCYPART_ARC
(8,10),-0.863122 # DEPENDENCYPART_ARC
(8,11),-0.686938 # DEPENDENCYPART_ARC
(8,12),-0.297924 # DEPENDENCYPART_ARC
(9,1),-0.609166 # DEPENDENCYPART_ARC
(9,2),0.0878726 # DEPENDENCYPART_ARC
(9,3),0.0760819 # DEPENDENCYPART_ARC
(9,4),-0.298196 # DEPENDENCYPART_ARC
(9,5),-0.66686 # DEPENDENCYPART_ARC
(9,6),0.120483 # DEPENDENCYPART_ARC
(9,8),0.557272 # DEPENDENCYPART_ARC
(9,11),0.271496 # DEPENDENCYPART_ARC
(9,12),0.258714 # DEPENDENCYPART_ARC
(9,14),-0.130015 # DEPENDENCYPART_ARC
(9,15),0.0757926 # DEPENDENCYPART_ARC
(9,17),-0.893907 # DEPENDENCYPART_ARC
(9,20),-1.30713 # DEPENDENCYPART_ARC
(9,24),-1.19043 # DEPENDENCYPART_ARC
(11,7),-0.338487 # DEPENDENCYPART_ARC
(11,9),-0.415289 # DEPENDENCYPART_ARC
(11,10),2.83276 # DEPENDENCYPART_ARC
(11,13),-1.28068 # DEPENDENCYPART_ARC
(11,14),-1.33646 # DEPENDENCYPART_ARC
(11,17),-1.94469 # DEPENDENCYPART_ARC
(12,1),-0.19181 # DEPENDENCYPART_ARC
(12,2),0.065488 # DEPENDENCYPART_ARC
(12,3),-0.199447 # DEPENDENCYPART_ARC
(12,4),-0.331176 # DEPENDENCYPART_ARC
(12,5),0.0925197 # DEPENDENCYPART_ARC
(12,6),-0.0701435 # DEPENDENCYPART_ARC
(12,7),0.174272 # DEPENDENCYPART_ARC
(12,8),1.6237 # DEPENDENCYPART_ARC
(12,9),1.54829 # DEPENDENCYPART_ARC
(12,10),0.496137 # DEPENDENCYPART_ARC
(12,11),2.81947 # DEPENDENCYPART_ARC
(12,13),-0.118874 # DEPENDENCYPART_ARC
(12,14),1.99149 # DEPENDENCYPART_ARC
(12,15),0.229125 # DEPENDENCYPART_ARC
(12,17),0.391464 # DEPENDENCYPART_ARC
(12,20),-0.741748 # DEPENDENCYPART_ARC
(12,21),-0.482854 # DEPENDENCYPART_ARC
(12,22),-0.448176 # DEPENDENCYPART_ARC
(12,23),-0.952723 # DEPENDENCYPART_ARC
(12,26),-1.44478 # DEPENDENCYPART_ARC
(12,28),-1.94467 # DEPENDENCYPART_ARC
(12,29),-0.899065 # DEPENDENCYPART_ARC
(14,7),-0.633663 # DEPENDENCYPART_ARC
(14,10),-0.0900499 # DEPENDENCYPART_ARC
(14,11),-1.14965 # DEPENDENCYPART_ARC
(14,12),0.523827 # DEPENDENCYPART_ARC
(14,13),3.06802 # DEPENDENCYPART_ARC
(14,15),-0.117699 # DEPENDENCYPART_ARC
(14,16),-0.896353 # DEPENDENCYPART_ARC
(14,17),-1.38899 # DEPENDENCYPART_ARC
(14,20),-1.75552 # DEPENDENCYPART_ARC
(14,32),-3.67065 # DEPENDENCYPART_ARC
(15,2),-0.452939 # DEPENDENCYPART_ARC
(15,11),-0.504128 # DEPENDENCYPART_ARC
(15,14),-0.197242 # DEPENDENCYPART_ARC
(15,17),-0.369022 # DEPENDENCYPART_ARC
(15,20),-1.03686 # DEPENDENCYPART_ARC
(15,21),0.0102303 # DEPENDENCYPART_ARC
(15,22),-0.442065 # DEPENDENCYPART_ARC
(15,23),-0.988351 # DEPENDENCYPART_ARC
(15,24),-1.15934 # DEPENDENCYPART_ARC
(15,26),-1.06082 # DEPENDENCYPART_ARC
(15,28),-1.21786 # DEPENDENCYPART_ARC
(17,1),-2.18417 # DEPENDENCYPART_ARC
(17,2),-3.68438 # DEPENDENCYPART_ARC
(17,3),-0.980324 # DEPENDENCYPART_ARC
(17,4),-2.04722 # DEPENDENCYPART_ARC
(17,6),-0.64294 # DEPENDENCYPART_ARC
(17,8),-2.91818 # DEPENDENCYPART_ARC
(17,9),-0.242394 # DEPENDENCYPART_ARC
(17,11),-2.69185 # DEPENDENCYPART_ARC
(17,12),-0.500647 # DEPENDENCYPART_ARC
(17,13),-0.412206 # DEPENDENCYPART_ARC
(17,14),-2.01397 # DEPENDENCYPART_ARC
(17,15),0.0459552 # DEPENDENCYPART_ARC
(17,16),2.018 # DEPENDENCYPART_ARC
(17,18),0.589043 # DEPENDENCYPART_ARC
(17,19),-0.887681 # DEPENDENCYPART_ARC
(17,20),-0.112619 # DEPENDENCYPART_ARC
(17,21),0.408792 # DEPENDENCYPART_ARC
(17,22),0.61225 # DEPENDENCYPART_ARC
(17,23),-3.44567 # DEPENDENCYPART_ARC
(17,24),-1.77207 # DEPENDENCYPART_ARC
(17,26),-2.08435 # DEPENDENCYPART_ARC
(17,28),-2.62515 # DEPENDENCYPART_ARC
(17,29),-0.60055 # DEPENDENCYPART_ARC
(17,32),-2.39639 # DEPENDENCYPART_ARC
(18,21),0.382917 # DEPENDENCYPART_ARC
(18,23),-0.774903 # DEPENDENCYPART_ARC
(19,18),1.14927 # DEPENDENCYPART_ARC
(20,18),-0.459593 # DEPENDENCYPART_ARC
(20,19),1.94677 # DEPENDENCYPART_ARC
(20,21),0.00284721 # DEPENDENCYPART_ARC
(20,22),-0.362721 # DEPENDENCYPART_ARC
(20,23),-1.12983 # DEPENDENCYPART_ARC
(21,2),-0.972287 # DEPENDENCYPART_ARC
(21,20),-0.207302 # DEPENDENCYPART_ARC
(21,22),0.0782517 # DEPENDENCYPART_ARC
(21,23),-0.469782 # DEPENDENCYPART_ARC
(21,24),-0.771903 # DEPENDENCYPART_ARC
(21,29),-0.594857 # DEPENDENCYPART_ARC
(22,21),1.47862 # DEPENDENCYPART_ARC
(22,23),2.87228 # DEPENDENCYPART_ARC
(22,26),-0.0528486 # DEPENDENCYPART_ARC
(22,28),-0.921215 # DEPENDENCYPART_ARC
(22,32),-1.46414 # DEPENDENCYPART_ARC
(23,3),-1.44931 # DEPENDENCYPART_ARC
(23,4),-1.96185 # DEPENDENCYPART_ARC
(23,6),-1.43239 # DEPENDENCYPART_ARC
(23,8),-2.74243 # DEPENDENCYPART_ARC
(23,9),-0.835321 # DEPENDENCYPART_ARC
(23,11),-3.05029 # DEPENDENCYPART_ARC
(23,14),-2.26167 # DEPENDENCYPART_ARC
(23,15),-0.838068 # DEPENDENCYPART_ARC
(23,17),-3.91812 # DEPENDENCYPART_ARC
(23,18),-1.34968 # DEPENDENCYPART_ARC
(23,19),-1.79034 # DEPENDENCYPART_ARC
(23,20),-0.432497 # DEPENDENCYPART_ARC
(23,21),0.321763 # DEPENDENCYPART_ARC
(23,22),0.130601 # DEPENDENCYPART_ARC
(23,24),2.42754 # DEPENDENCYPART_ARC
(23,25),-0.092496 # DEPENDENCYPART_ARC
(23,26),1.26956 # DEPENDENCYPART_ARC
(23,27),-1.00395 # DEPENDENCYPART_ARC
(23,28),-1.02027 # DEPENDENCYPART_ARC
(23,29),-0.128788 # DEPENDENCYPART_ARC
(23,32),-1.12199 # DEPENDENCYPART_ARC
(24,21),-0.69077 # DEPENDENCYPART_ARC
(24,23),-2.25862 # DEPENDENCYPART_ARC
(24,26),-0.267606 # DEPENDENCYPART_ARC
(24,28),-1.61475 # DEPENDENCYPART_ARC
(24,29),-0.33443 # DEPENDENCYPART_ARC
(24,32),-1.54758 # DEPENDENCYPART_ARC
(25,26),0.339377 # DEPENDENCYPART_ARC
(26,1),-3.34467 # DEPENDENCYPART_ARC
(26,14),-3.33519 # DEPENDENCYPART_ARC
(26,18),-1.0123 # DEPENDENCYPART_ARC
(26,20),-2.58334 # DEPENDENCYPART_ARC
(26,21),-0.612379 # DEPENDENCYPART_ARC
(26,22),-0.0540617 # DEPENDENCYPART_ARC
(26,23),-3.08812 # DEPENDENCYPART_ARC
(26,24),-1.85307 # DEPENDENCYPART_ARC
(26,25),2.2534 # DEPENDENCYPART_ARC
(26,27),0.591885 # DEPENDENCYPART_ARC
(26,28),1.94731 # DEPENDENCYPART_ARC
(26,29),0.467891 # DEPENDENCYPART_ARC
(26,30),-0.592128 # DEPENDENCYPART_ARC
(26,31),-2.00639 # DEPENDENCYPART_ARC
(26,32),-0.704712 # DEPENDENCYPART_ARC
(27,28),0.131989 # DEPENDENCYPART_ARC
(28,1),-3.8955 # DEPENDENCYPART_ARC
(28,14),-3.22855 # DEPENDENCYPART_ARC
(28,18),-2.44314 # DEPENDENCYPART_ARC
(28,20),-2.17023 # DEPENDENCYPART_ARC
(28,24),-1.75439 # DEPENDENCYPART_ARC
(28,25),0.779202 # DEPENDENCYPART_ARC
(28,26),-3.51782 # DEPENDENCYPART_ARC
(28,27),2.25954 # DEPENDENCYPART_ARC
(28,29),0.829325 # DEPENDENCYPART_ARC
(28,30),-0.101225 # DEPENDENCYPART_ARC
(28,31),-1.51992 # DEPENDENCYPART_ARC
(28,32),0.0913771 # DEPENDENCYPART_ARC
(29,32),1.53779 # DEPENDENCYPART_ARC
(30,32),0.0271096 # DEPENDENCYPART_ARC
(32,1),-3.32809 # DEPENDENCYPART_ARC
(32,3),-0.689153 # DEPENDENCYPART_ARC
(32,14),-3.27693 # DEPENDENCYPART_ARC
(32,15),-0.385467 # DEPENDENCYPART_ARC
(32,18),-0.424337 # DEPENDENCYPART_ARC
(32,20),-2.39778 # DEPENDENCYPART_ARC
(32,21),-0.61145 # DEPENDENCYPART_ARC
(32,22),-0.0199785 # DEPENDENCYPART_ARC
(32,24),-2.60777 # DEPENDENCYPART_ARC
(32,26),-4.88906 # DEPENDENCYPART_ARC
(32,28),-2.11252 # DEPENDENCYPART_ARC
(32,29),0.348936 # DEPENDENCYPART_ARC
(32,30),2.07872 # DEPENDENCYPART_ARC
(32,31),4.74433 # DEPENDENCYPART_ARC
(32,33),0.334309 # DEPENDENCYPART_ARC
(33,29),-2.12088 # DEPENDENCYPART_ARC
(33,31),-2.24292 # DEPENDENCYPART_ARC
(33,32),-2.02927 # DEPENDENCYPART_ARC
