# _root_ Ιδιαίτερα , όσον αφορά μια μελλοντική συνεργασία βασισμένη στις δημοκρατικές αρχές των ανθρωπίνων δικαιωμάτων , των θεμελιωδών ελευθεριών και του κράτους δικαίου .
#goldHeads=4,4,4,0,7,7,4,7,8,11,9,14,14,19,19,18,18,19,11,21,19,21,0,
#predictedHeads=4,4,4,0,7,7,4,7,8,11,9,14,14,19,19,18,18,19,4,22,22,19,0,
(7,1),-0.913399 # DEPENDENCYPART_ARC
(7,2),-0.238766 # DEPENDENCYPART_ARC
(7,3),-0.553499 # DEPENDENCYPART_ARC
(7,5),3.2669 # DEPENDENCYPART_ARC
(7,6),3.60634 # DEPENDENCYPART_ARC
(7,8),0.802469 # DEPENDENCYPART_ARC
(7,9),-0.722592 # DEPENDENCYPART_ARC
(7,10),-1.53582 # DEPENDENCYPART_ARC
(7,11),-1.79225 # DEPENDENCYPART_ARC
(8,1),-0.410645 # DEPENDENCYPART_ARC
(8,2),0.0964584 # DEPENDENCYPART_ARC
(8,3),-0.218727 # DEPENDENCYPART_ARC
(8,4),-2.97481 # DEPENDENCYPART_ARC
(8,5),-0.339946 # DEPENDENCYPART_ARC
(8,6),-0.0699304 # DEPENDENCYPART_ARC
(8,7),-0.312107 # DEPENDENCYPART_ARC
(8,9),2.02896 # DEPENDENCYPART_ARC
(8,10),-2.22005 # DEPENDENCYPART_ARC
(8,11),-2.47823 # DEPENDENCYPART_ARC
(8,13),-3.11856 # DEPENDENCYPART_ARC
(8,14),-5.10539 # DEPENDENCYPART_ARC
(8,15),0.132335 # DEPENDENCYPART_ARC
(8,17),-5.44238 # DEPENDENCYPART_ARC
(8,18),-5.45103 # DEPENDENCYPART_ARC
(8,19),0.0668262 # DEPENDENCYPART_ARC
(8,22),-6.06473 # DEPENDENCYPART_ARC
(8,23),0.143244 # DEPENDENCYPART_ARC
(9,10),1.48618 # DEPENDENCYPART_ARC
(9,11),2.90761 # DEPENDENCYPART_ARC
(10,11),0.112261 # DEPENDENCYPART_ARC
(10,13),-1.02331 # DEPENDENCYPART_ARC
(10,14),-0.416969 # DEPENDENCYPART_ARC
(10,19),-0.256393 # DEPENDENCYPART_ARC
(11,1),-1.31041 # DEPENDENCYPART_ARC
(11,2),-0.396359 # DEPENDENCYPART_ARC
(11,3),-1.17139 # DEPENDENCYPART_ARC
(11,5),0.295285 # DEPENDENCYPART_ARC
(11,6),0.0613629 # DEPENDENCYPART_ARC
(11,7),-1.29024 # DEPENDENCYPART_ARC
(11,8),0.876695 # DEPENDENCYPART_ARC
(11,9),0.694074 # DEPENDENCYPART_ARC
(11,10),3.79422 # DEPENDENCYPART_ARC
(11,12),-0.223063 # DEPENDENCYPART_ARC
(11,13),0.316114 # DEPENDENCYPART_ARC
(11,14),1.19514 # DEPENDENCYPART_ARC
(11,15),0.0261759 # DEPENDENCYPART_ARC
(11,17),0.000134425 # DEPENDENCYPART_ARC
(11,18),-0.251519 # DEPENDENCYPART_ARC
(11,19),0.266372 # DEPENDENCYPART_ARC
(11,22),-0.578869 # DEPENDENCYPART_ARC
(13,11),-2.07937 # DEPENDENCYPART_ARC
(13,12),1.53894 # DEPENDENCYPART_ARC
(13,14),0.640137 # DEPENDENCYPART_ARC
(13,15),-0.815777 # DEPENDENCYPART_ARC
(13,17),-1.40172 # DEPENDENCYPART_ARC
(13,18),-1.4772 # DEPENDENCYPART_ARC
(13,22),-1.29727 # DEPENDENCYPART_ARC
(14,1),-1.17274 # DEPENDENCYPART_ARC
(14,3),-1.07883 # DEPENDENCYPART_ARC
(14,7),-3.94518 # DEPENDENCYPART_ARC
(14,10),-0.115974 # DEPENDENCYPART_ARC
(14,11),-2.3534 # DEPENDENCYPART_ARC
(14,12),3.38732 # DEPENDENCYPART_ARC
(14,13),3.03068 # DEPENDENCYPART_ARC
(14,15),-0.0431462 # DEPENDENCYPART_ARC
(14,16),-0.630323 # DEPENDENCYPART_ARC
(14,17),0.228524 # DEPENDENCYPART_ARC
(14,18),-0.257664 # DEPENDENCYPART_ARC
(14,19),-0.334483 # DEPENDENCYPART_ARC
(15,2),-0.85875 # DEPENDENCYPART_ARC
(15,7),-0.349148 # DEPENDENCYPART_ARC
(15,8),-0.766243 # DEPENDENCYPART_ARC
(15,9),-0.307369 # DEPENDENCYPART_ARC
(15,10),-0.339047 # DEPENDENCYPART_ARC
(15,11),0.133081 # DEPENDENCYPART_ARC
(15,13),-0.165968 # DEPENDENCYPART_ARC
(15,14),0.57889 # DEPENDENCYPART_ARC
(15,17),0.325778 # DEPENDENCYPART_ARC
(15,18),0.382228 # DEPENDENCYPART_ARC
(15,19),0.198193 # DEPENDENCYPART_ARC
(15,21),-0.631748 # DEPENDENCYPART_ARC
(15,22),-0.0705229 # DEPENDENCYPART_ARC
(15,23),0.206309 # DEPENDENCYPART_ARC
(16,17),0.546021 # DEPENDENCYPART_ARC
(16,18),0.193744 # DEPENDENCYPART_ARC
(17,12),-0.466202 # DEPENDENCYPART_ARC
(17,13),-1.32377 # DEPENDENCYPART_ARC
(17,14),-1.53451 # DEPENDENCYPART_ARC
(17,15),-0.719754 # DEPENDENCYPART_ARC
(17,16),2.7398 # DEPENDENCYPART_ARC
(17,18),1.84707 # DEPENDENCYPART_ARC
(17,19),0.322344 # DEPENDENCYPART_ARC
(17,21),-0.581898 # DEPENDENCYPART_ARC
(17,22),0.0634545 # DEPENDENCYPART_ARC
(18,12),0.116889 # DEPENDENCYPART_ARC
(18,13),-0.288561 # DEPENDENCYPART_ARC
(18,14),-0.552765 # DEPENDENCYPART_ARC
(18,15),-0.305343 # DEPENDENCYPART_ARC
(18,16),3.08354 # DEPENDENCYPART_ARC
(18,17),2.3949 # DEPENDENCYPART_ARC
(18,19),0.135517 # DEPENDENCYPART_ARC
(18,20),-1.40559 # DEPENDENCYPART_ARC
(18,21),-0.873944 # DEPENDENCYPART_ARC
(18,22),-0.375745 # DEPENDENCYPART_ARC
(19,1),-0.273681 # DEPENDENCYPART_ARC
(19,2),-0.750695 # DEPENDENCYPART_ARC
(19,3),-0.411037 # DEPENDENCYPART_ARC
(19,4),-1.82857 # DEPENDENCYPART_ARC
(19,6),-1.18588 # DEPENDENCYPART_ARC
(19,7),-0.0127708 # DEPENDENCYPART_ARC
(19,8),0.472524 # DEPENDENCYPART_ARC
(19,9),0.167861 # DEPENDENCYPART_ARC
(19,10),-0.379992 # DEPENDENCYPART_ARC
(19,11),0.47521 # DEPENDENCYPART_ARC
(19,13),-0.0710701 # DEPENDENCYPART_ARC
(19,14),1.20556 # DEPENDENCYPART_ARC
(19,15),1.59331 # DEPENDENCYPART_ARC
(19,16),0.682196 # DEPENDENCYPART_ARC
(19,17),1.18656 # DEPENDENCYPART_ARC
(19,18),1.86132 # DEPENDENCYPART_ARC
(19,20),-0.136775 # DEPENDENCYPART_ARC
(19,21),1.21345 # DEPENDENCYPART_ARC
(19,22),1.77036 # DEPENDENCYPART_ARC
(19,23),0.140692 # DEPENDENCYPART_ARC
(21,14),-1.68119 # DEPENDENCYPART_ARC
(21,18),-2.30363 # DEPENDENCYPART_ARC
(21,20),1.41817 # DEPENDENCYPART_ARC
(21,22),1.06708 # DEPENDENCYPART_ARC
(22,12),-1.40114 # DEPENDENCYPART_ARC
(22,16),-1.85025 # DEPENDENCYPART_ARC
(22,17),-2.39377 # DEPENDENCYPART_ARC
(22,18),-2.64526 # DEPENDENCYPART_ARC
(22,19),-0.44515 # DEPENDENCYPART_ARC
(22,20),2.15532 # DEPENDENCYPART_ARC
(22,21),2.52161 # DEPENDENCYPART_ARC
(22,23),0.0186314 # DEPENDENCYPART_ARC
(23,2),-2.45025 # DEPENDENCYPART_ARC
(23,21),-1.93274 # DEPENDENCYPART_ARC
(23,22),-2.13109 # DEPENDENCYPART_ARC
