# _root_ * Να περάσετε μια νύχτα στο Ξενοδοχείο Loriet , ένα ανακαινισμένο αρχοντικό , στην Χρυσή Ακτή της Μυτιλήνης .
#goldHeads=0,3,0,5,3,3,8,9,6,12,12,9,3,12,16,14,18,16,0,
#predictedHeads=0,3,0,5,3,3,6,7,3,12,16,11,14,3,16,14,18,16,0,
(3,13),0.0581669 # DEPENDENCYPART_ARC
(3,14),0.049473 # DEPENDENCYPART_ARC
(3,16),-2.15806 # DEPENDENCYPART_ARC
(3,18),-4.79085 # DEPENDENCYPART_ARC
(3,19),-0.470311 # DEPENDENCYPART_ARC
(5,1),-1.04615 # DEPENDENCYPART_ARC
(5,3),-2.40718 # DEPENDENCYPART_ARC
(5,4),3.17918 # DEPENDENCYPART_ARC
(5,6),1.23921 # DEPENDENCYPART_ARC
(5,7),0.175374 # DEPENDENCYPART_ARC
(5,8),0.163499 # DEPENDENCYPART_ARC
(5,9),0.284677 # DEPENDENCYPART_ARC
(5,11),-0.565167 # DEPENDENCYPART_ARC
(5,14),-1.12684 # DEPENDENCYPART_ARC
(6,7),2.98929 # DEPENDENCYPART_ARC
(6,8),0.448658 # DEPENDENCYPART_ARC
(6,9),-0.0459631 # DEPENDENCYPART_ARC
(7,1),-1.91768 # DEPENDENCYPART_ARC
(7,3),-3.58455 # DEPENDENCYPART_ARC
(7,4),-0.344199 # DEPENDENCYPART_ARC
(7,5),-1.30224 # DEPENDENCYPART_ARC
(7,6),-0.352702 # DEPENDENCYPART_ARC
(7,8),1.14496 # DEPENDENCYPART_ARC
(7,9),0.286954 # DEPENDENCYPART_ARC
(7,11),-0.117308 # DEPENDENCYPART_ARC
(7,12),-0.99052 # DEPENDENCYPART_ARC
(7,13),-0.439345 # DEPENDENCYPART_ARC
(7,14),-1.89554 # DEPENDENCYPART_ARC
(7,16),-1.69104 # DEPENDENCYPART_ARC
(8,7),0.694919 # DEPENDENCYPART_ARC
(8,9),-0.00683478 # DEPENDENCYPART_ARC
(8,11),-0.487004 # DEPENDENCYPART_ARC
(9,1),-0.607088 # DEPENDENCYPART_ARC
(9,3),-0.677857 # DEPENDENCYPART_ARC
(9,5),-0.141055 # DEPENDENCYPART_ARC
(9,6),-0.0132298 # DEPENDENCYPART_ARC
(9,7),-0.223419 # DEPENDENCYPART_ARC
(9,8),0.0880664 # DEPENDENCYPART_ARC
(9,10),0.0727932 # DEPENDENCYPART_ARC
(9,11),-0.477714 # DEPENDENCYPART_ARC
(9,12),-0.736364 # DEPENDENCYPART_ARC
(9,13),-0.139096 # DEPENDENCYPART_ARC
(9,14),-0.755339 # DEPENDENCYPART_ARC
(9,15),-0.931413 # DEPENDENCYPART_ARC
(9,16),-1.31405 # DEPENDENCYPART_ARC
(9,18),-1.26954 # DEPENDENCYPART_ARC
(9,19),-0.289111 # DEPENDENCYPART_ARC
(11,1),-1.68214 # DEPENDENCYPART_ARC
(11,3),-4.73935 # DEPENDENCYPART_ARC
(11,5),-1.77891 # DEPENDENCYPART_ARC
(11,6),-2.38658 # DEPENDENCYPART_ARC
(11,7),-1.75726 # DEPENDENCYPART_ARC
(11,8),-1.55064 # DEPENDENCYPART_ARC
(11,9),0.0238136 # DEPENDENCYPART_ARC
(11,10),-0.891807 # DEPENDENCYPART_ARC
(11,12),0.635793 # DEPENDENCYPART_ARC
(11,13),0.188728 # DEPENDENCYPART_ARC
(11,14),1.30962 # DEPENDENCYPART_ARC
(11,15),-2.21898 # DEPENDENCYPART_ARC
(11,16),-2.80801 # DEPENDENCYPART_ARC
(11,18),-5.27843 # DEPENDENCYPART_ARC
(11,19),-0.53039 # DEPENDENCYPART_ARC
(12,5),-2.05464 # DEPENDENCYPART_ARC
(12,7),-1.00517 # DEPENDENCYPART_ARC
(12,9),-0.240664 # DEPENDENCYPART_ARC
(12,10),0.699965 # DEPENDENCYPART_ARC
(12,11),0.520671 # DEPENDENCYPART_ARC
(12,13),0.104421 # DEPENDENCYPART_ARC
(12,14),-0.62514 # DEPENDENCYPART_ARC
(12,15),-1.68846 # DEPENDENCYPART_ARC
(12,16),-1.18321 # DEPENDENCYPART_ARC
(12,19),-0.428529 # DEPENDENCYPART_ARC
(13,1),-0.853315 # DEPENDENCYPART_ARC
(13,3),-1.22409 # DEPENDENCYPART_ARC
(13,5),-0.999594 # DEPENDENCYPART_ARC
(13,6),-0.225479 # DEPENDENCYPART_ARC
(13,7),-0.854675 # DEPENDENCYPART_ARC
(13,9),-0.65855 # DEPENDENCYPART_ARC
(13,11),-0.587601 # DEPENDENCYPART_ARC
(13,12),-0.225894 # DEPENDENCYPART_ARC
(13,14),-0.125751 # DEPENDENCYPART_ARC
(13,15),0.000350068 # DEPENDENCYPART_ARC
(13,16),-0.300387 # DEPENDENCYPART_ARC
(13,18),-0.480463 # DEPENDENCYPART_ARC
(13,19),0.0137915 # DEPENDENCYPART_ARC
(14,12),-0.634366 # DEPENDENCYPART_ARC
(14,13),0.642534 # DEPENDENCYPART_ARC
(14,15),0.826344 # DEPENDENCYPART_ARC
(14,16),2.76899 # DEPENDENCYPART_ARC
(14,19),0.0856896 # DEPENDENCYPART_ARC
(15,13),-1.12872 # DEPENDENCYPART_ARC
(15,16),0.171283 # DEPENDENCYPART_ARC
(15,18),-0.33072 # DEPENDENCYPART_ARC
(15,19),-0.520928 # DEPENDENCYPART_ARC
(16,3),-3.5874 # DEPENDENCYPART_ARC
(16,10),0.0996099 # DEPENDENCYPART_ARC
(16,11),2.11299 # DEPENDENCYPART_ARC
(16,12),-0.322343 # DEPENDENCYPART_ARC
(16,13),0.0946937 # DEPENDENCYPART_ARC
(16,14),0.850387 # DEPENDENCYPART_ARC
(16,15),3.27118 # DEPENDENCYPART_ARC
(16,17),0.435473 # DEPENDENCYPART_ARC
(16,18),2.3998 # DEPENDENCYPART_ARC
(16,19),0.251311 # DEPENDENCYPART_ARC
(18,17),3.10772 # DEPENDENCYPART_ARC
(18,19),-0.534309 # DEPENDENCYPART_ARC
(19,1),-1.99814 # DEPENDENCYPART_ARC
(19,3),-3.02009 # DEPENDENCYPART_ARC
(19,5),-2.82711 # DEPENDENCYPART_ARC
(19,12),-2.17177 # DEPENDENCYPART_ARC
(19,14),-2.49145 # DEPENDENCYPART_ARC
(19,16),-2.01419 # DEPENDENCYPART_ARC
(19,18),-2.08783 # DEPENDENCYPART_ARC
