# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,26,27,30,28,30,0,
(10,3),0.0520473 # DEPENDENCYPART_ARC
(10,4),-0.14657 # DEPENDENCYPART_ARC
(10,5),0.275686 # DEPENDENCYPART_ARC
(10,6),1.5305 # DEPENDENCYPART_ARC
(10,7),1.68671 # DEPENDENCYPART_ARC
(10,8),0.64639 # DEPENDENCYPART_ARC
(10,9),2.64205 # DEPENDENCYPART_ARC
(10,11),-0.0472276 # DEPENDENCYPART_ARC
(10,12),1.94163 # DEPENDENCYPART_ARC
(10,13),0.552196 # DEPENDENCYPART_ARC
(10,14),0.39692 # DEPENDENCYPART_ARC
(10,16),-0.564491 # DEPENDENCYPART_ARC
(10,18),-0.864107 # DEPENDENCYPART_ARC
(10,19),-0.564761 # DEPENDENCYPART_ARC
(10,22),-0.570438 # DEPENDENCYPART_ARC
(12,8),-1.11066 # DEPENDENCYPART_ARC
(12,10),-0.023097 # DEPENDENCYPART_ARC
(12,11),2.51785 # DEPENDENCYPART_ARC
(12,13),-0.397326 # DEPENDENCYPART_ARC
(12,14),-1.27954 # DEPENDENCYPART_ARC
(13,3),-0.670425 # DEPENDENCYPART_ARC
(13,5),-1.00539 # DEPENDENCYPART_ARC
(13,9),-0.901616 # DEPENDENCYPART_ARC
(13,12),-0.645563 # DEPENDENCYPART_ARC
(13,14),-0.456199 # DEPENDENCYPART_ARC
(13,16),-1.09838 # DEPENDENCYPART_ARC
(13,19),-1.59878 # DEPENDENCYPART_ARC
(14,2),-0.551258 # DEPENDENCYPART_ARC
(14,3),0.00320939 # DEPENDENCYPART_ARC
(14,4),0.108287 # DEPENDENCYPART_ARC
(14,5),-0.909184 # DEPENDENCYPART_ARC
(14,6),-2.19563 # DEPENDENCYPART_ARC
(14,7),0.724542 # DEPENDENCYPART_ARC
(14,9),0.464021 # DEPENDENCYPART_ARC
(14,10),0.284545 # DEPENDENCYPART_ARC
(14,11),-0.696086 # DEPENDENCYPART_ARC
(14,12),-0.269739 # DEPENDENCYPART_ARC
(14,13),0.900961 # DEPENDENCYPART_ARC
(14,15),1.71587 # DEPENDENCYPART_ARC
(14,16),0.964786 # DEPENDENCYPART_ARC
(14,18),-1.21727 # DEPENDENCYPART_ARC
(14,19),0.414455 # DEPENDENCYPART_ARC
(14,21),-2.14902 # DEPENDENCYPART_ARC
(14,22),0.822849 # DEPENDENCYPART_ARC
(14,23),-0.0877329 # DEPENDENCYPART_ARC
(14,25),-2.27235 # DEPENDENCYPART_ARC
(14,26),-1.50169 # DEPENDENCYPART_ARC
(14,27),-0.704713 # DEPENDENCYPART_ARC
(14,28),-2.6681 # DEPENDENCYPART_ARC
(14,29),-4.26096 # DEPENDENCYPART_ARC
(14,30),-0.0525568 # DEPENDENCYPART_ARC
(14,31),-4.84798 # DEPENDENCYPART_ARC
(14,32),0.223741 # DEPENDENCYPART_ARC
(15,16),2.23377 # DEPENDENCYPART_ARC
(15,25),-1.02716 # DEPENDENCYPART_ARC
(16,13),-0.545265 # DEPENDENCYPART_ARC
(16,15),-0.226666 # DEPENDENCYPART_ARC
(16,17),0.401809 # DEPENDENCYPART_ARC
(16,18),1.30303 # DEPENDENCYPART_ARC
(16,19),2.01108 # DEPENDENCYPART_ARC
(16,21),0.236627 # DEPENDENCYPART_ARC
(16,22),0.192061 # DEPENDENCYPART_ARC
(16,30),-0.863933 # DEPENDENCYPART_ARC
(18,16),-0.214131 # DEPENDENCYPART_ARC
(18,17),0.794025 # DEPENDENCYPART_ARC
(18,19),0.275467 # DEPENDENCYPART_ARC
(18,21),-0.00963427 # DEPENDENCYPART_ARC
(18,23),0.0808099 # DEPENDENCYPART_ARC
(19,11),-1.37899 # DEPENDENCYPART_ARC
(19,16),-0.137478 # DEPENDENCYPART_ARC
(19,17),2.99566 # DEPENDENCYPART_ARC
(19,18),4.2299 # DEPENDENCYPART_ARC
(19,20),-0.233885 # DEPENDENCYPART_ARC
(19,21),2.46365 # DEPENDENCYPART_ARC
(19,22),0.157727 # DEPENDENCYPART_ARC
(19,23),-0.142041 # DEPENDENCYPART_ARC
(19,25),0.538117 # DEPENDENCYPART_ARC
(19,26),-1.95691 # DEPENDENCYPART_ARC
(19,27),-0.394144 # DEPENDENCYPART_ARC
(19,28),-3.10656 # DEPENDENCYPART_ARC
(19,29),-1.55309 # DEPENDENCYPART_ARC
(19,30),-0.304047 # DEPENDENCYPART_ARC
(21,17),-2.10813 # DEPENDENCYPART_ARC
(21,19),-2.65841 # DEPENDENCYPART_ARC
(21,20),3.04732 # DEPENDENCYPART_ARC
(21,22),-0.766004 # DEPENDENCYPART_ARC
(21,23),-0.395484 # DEPENDENCYPART_ARC
(21,25),-0.796706 # DEPENDENCYPART_ARC
(22,2),-1.29752 # DEPENDENCYPART_ARC
(22,3),-0.567171 # DEPENDENCYPART_ARC
(22,12),-0.983136 # DEPENDENCYPART_ARC
(22,16),0.155773 # DEPENDENCYPART_ARC
(22,18),-0.294827 # DEPENDENCYPART_ARC
(22,19),-0.0980048 # DEPENDENCYPART_ARC
(22,21),-0.0934078 # DEPENDENCYPART_ARC
(22,23),-0.00305143 # DEPENDENCYPART_ARC
(22,25),-0.623124 # DEPENDENCYPART_ARC
(22,26),-0.945336 # DEPENDENCYPART_ARC
(22,27),-1.0341 # DEPENDENCYPART_ARC
(22,28),-1.28499 # DEPENDENCYPART_ARC
(22,29),-1.20784 # DEPENDENCYPART_ARC
(22,31),-1.26851 # DEPENDENCYPART_ARC
(23,22),0.512061 # DEPENDENCYPART_ARC
(23,24),4.95343 # DEPENDENCYPART_ARC
(23,25),-1.24384 # DEPENDENCYPART_ARC
(23,26),0.608104 # DEPENDENCYPART_ARC
(24,22),-0.524859 # DEPENDENCYPART_ARC
(24,25),-0.923019 # DEPENDENCYPART_ARC
(25,2),-1.5318 # DEPENDENCYPART_ARC
(25,4),-0.600246 # DEPENDENCYPART_ARC
(25,5),-1.36275 # DEPENDENCYPART_ARC
(25,7),0.12365 # DEPENDENCYPART_ARC
(25,9),-1.08814 # DEPENDENCYPART_ARC
(25,10),-0.19177 # DEPENDENCYPART_ARC
(25,12),-2.04249 # DEPENDENCYPART_ARC
(25,13),-0.576134 # DEPENDENCYPART_ARC
(25,14),-2.56133 # DEPENDENCYPART_ARC
(25,15),-0.532235 # DEPENDENCYPART_ARC
(25,16),-0.00969534 # DEPENDENCYPART_ARC
(25,18),-0.2499 # DEPENDENCYPART_ARC
(25,19),-0.539033 # DEPENDENCYPART_ARC
(25,20),-1.52889 # DEPENDENCYPART_ARC
(25,21),-2.84383 # DEPENDENCYPART_ARC
(25,22),1.2021 # DEPENDENCYPART_ARC
(25,23),1.59252 # DEPENDENCYPART_ARC
(25,24),1.58345 # DEPENDENCYPART_ARC
(25,26),2.4885 # DEPENDENCYPART_ARC
(25,27),0.381017 # DEPENDENCYPART_ARC
(25,28),0.50463 # DEPENDENCYPART_ARC
(25,29),-1.14271 # DEPENDENCYPART_ARC
(25,30),0.0344159 # DEPENDENCYPART_ARC
(25,31),-2.53765 # DEPENDENCYPART_ARC
(25,32),-0.192847 # DEPENDENCYPART_ARC
(26,17),-2.1474 # DEPENDENCYPART_ARC
(26,20),-0.743933 # DEPENDENCYPART_ARC
(26,21),-1.38066 # DEPENDENCYPART_ARC
(26,24),0.486643 # DEPENDENCYPART_ARC
(26,25),-1.90312 # DEPENDENCYPART_ARC
(26,27),0.974167 # DEPENDENCYPART_ARC
(26,28),0.211204 # DEPENDENCYPART_ARC
(26,29),0.92319 # DEPENDENCYPART_ARC
(26,30),0.114042 # DEPENDENCYPART_ARC
(26,31),-0.0487909 # DEPENDENCYPART_ARC
(27,22),-0.772124 # DEPENDENCYPART_ARC
(27,23),-0.615567 # DEPENDENCYPART_ARC
(27,24),-1.51453 # DEPENDENCYPART_ARC
(27,26),-0.254478 # DEPENDENCYPART_ARC
(27,28),0.723303 # DEPENDENCYPART_ARC
(27,29),0.466542 # DEPENDENCYPART_ARC
(27,30),0.230114 # DEPENDENCYPART_ARC
(27,31),-0.308991 # DEPENDENCYPART_ARC
(28,20),-2.50895 # DEPENDENCYPART_ARC
(28,24),-0.687243 # DEPENDENCYPART_ARC
(28,26),-0.647974 # DEPENDENCYPART_ARC
(28,27),1.18031 # DEPENDENCYPART_ARC
(28,29),1.75943 # DEPENDENCYPART_ARC
(28,30),1.60369 # DEPENDENCYPART_ARC
(28,31),0.121053 # DEPENDENCYPART_ARC
(29,20),-2.5069 # DEPENDENCYPART_ARC
(29,24),-1.56126 # DEPENDENCYPART_ARC
(29,26),-2.89107 # DEPENDENCYPART_ARC
(29,27),0.303171 # DEPENDENCYPART_ARC
(29,28),0.0223032 # DEPENDENCYPART_ARC
(29,30),0.023559 # DEPENDENCYPART_ARC
(29,31),-0.0640411 # DEPENDENCYPART_ARC
(30,2),-1.16623 # DEPENDENCYPART_ARC
(30,4),-1.18829 # DEPENDENCYPART_ARC
(30,6),-0.074335 # DEPENDENCYPART_ARC
(30,7),-0.973908 # DEPENDENCYPART_ARC
(30,9),-0.437988 # DEPENDENCYPART_ARC
(30,10),-0.693109 # DEPENDENCYPART_ARC
(30,13),-1.4701 # DEPENDENCYPART_ARC
(30,14),-0.564792 # DEPENDENCYPART_ARC
(30,16),-1.60336 # DEPENDENCYPART_ARC
(30,18),-1.18663 # DEPENDENCYPART_ARC
(30,19),-0.400836 # DEPENDENCYPART_ARC
(30,21),-0.194758 # DEPENDENCYPART_ARC
(30,22),-0.494851 # DEPENDENCYPART_ARC
(30,23),-0.87497 # DEPENDENCYPART_ARC
(30,24),-0.0854381 # DEPENDENCYPART_ARC
(30,25),0.064879 # DEPENDENCYPART_ARC
(30,26),0.446065 # DEPENDENCYPART_ARC
(30,27),-0.0455293 # DEPENDENCYPART_ARC
(30,28),0.757561 # DEPENDENCYPART_ARC
(30,29),3.17214 # DEPENDENCYPART_ARC
(30,31),2.55595 # DEPENDENCYPART_ARC
(30,32),0.151328 # DEPENDENCYPART_ARC
(31,24),-2.07253 # DEPENDENCYPART_ARC
(31,26),-3.65153 # DEPENDENCYPART_ARC
(31,27),-0.689254 # DEPENDENCYPART_ARC
(31,28),-1.77533 # DEPENDENCYPART_ARC
(31,29),0.489937 # DEPENDENCYPART_ARC
(31,30),0.0385455 # DEPENDENCYPART_ARC
(31,32),-0.0833932 # DEPENDENCYPART_ARC
(32,28),-2.21189 # DEPENDENCYPART_ARC
(32,29),-1.97095 # DEPENDENCYPART_ARC
(32,31),-1.95158 # DEPENDENCYPART_ARC
