# _root_ Καθορίσαμε ορισμένους επιμέρους στόχους , ορισμένες τιμές στόχους για το έτος 2010 , τις οποίες πρέπει να σεβαστούμε .
#goldHeads=0,4,4,5,1,7,5,7,8,11,9,11,16,15,18,7,18,16,0,
#predictedHeads=0,4,4,1,1,7,5,7,8,11,9,11,16,15,18,11,18,16,0,
(8,6),1.44059 # DEPENDENCYPART_ARC
(8,7),0.689995 # DEPENDENCYPART_ARC
(8,9),1.24866 # DEPENDENCYPART_ARC
(8,10),-0.946656 # DEPENDENCYPART_ARC
(8,11),-0.876852 # DEPENDENCYPART_ARC
(8,12),-0.284959 # DEPENDENCYPART_ARC
(8,16),-0.141329 # DEPENDENCYPART_ARC
(8,18),-1.21389 # DEPENDENCYPART_ARC
(9,8),-0.948938 # DEPENDENCYPART_ARC
(9,10),-0.34816 # DEPENDENCYPART_ARC
(9,11),2.12731 # DEPENDENCYPART_ARC
(9,12),0.300606 # DEPENDENCYPART_ARC
(9,13),-0.132833 # DEPENDENCYPART_ARC
(9,19),-1.07793 # DEPENDENCYPART_ARC
(11,6),-2.53654 # DEPENDENCYPART_ARC
(11,10),3.03548 # DEPENDENCYPART_ARC
(11,12),1.48535 # DEPENDENCYPART_ARC
(11,13),-0.0630814 # DEPENDENCYPART_ARC
(11,16),0.608868 # DEPENDENCYPART_ARC
(11,18),-1.673 # DEPENDENCYPART_ARC
(11,19),-0.61565 # DEPENDENCYPART_ARC
(12,11),0.0379939 # DEPENDENCYPART_ARC
(12,13),0.19739 # DEPENDENCYPART_ARC
(13,1),-0.98581 # DEPENDENCYPART_ARC
(13,4),-0.0671908 # DEPENDENCYPART_ARC
(13,5),-0.280743 # DEPENDENCYPART_ARC
(13,6),-0.403003 # DEPENDENCYPART_ARC
(13,7),-0.214276 # DEPENDENCYPART_ARC
(13,8),-0.470507 # DEPENDENCYPART_ARC
(13,11),-0.19731 # DEPENDENCYPART_ARC
(13,12),-0.0772648 # DEPENDENCYPART_ARC
(13,16),-0.44169 # DEPENDENCYPART_ARC
(13,18),-1.40065 # DEPENDENCYPART_ARC
(13,19),-0.443682 # DEPENDENCYPART_ARC
(15,13),0.0286034 # DEPENDENCYPART_ARC
(15,14),3.02299 # DEPENDENCYPART_ARC
(15,18),-1.68043 # DEPENDENCYPART_ARC
(16,3),-0.436089 # DEPENDENCYPART_ARC
(16,5),-0.0166762 # DEPENDENCYPART_ARC
(16,7),-1.71307 # DEPENDENCYPART_ARC
(16,9),-0.0136969 # DEPENDENCYPART_ARC
(16,11),-2.21075 # DEPENDENCYPART_ARC
(16,13),0.657664 # DEPENDENCYPART_ARC
(16,14),-1.78883 # DEPENDENCYPART_ARC
(16,15),0.22288 # DEPENDENCYPART_ARC
(16,18),3.16102 # DEPENDENCYPART_ARC
(16,19),0.209281 # DEPENDENCYPART_ARC
(18,1),-4.7471 # DEPENDENCYPART_ARC
(18,2),-1.2252 # DEPENDENCYPART_ARC
(18,3),-0.474927 # DEPENDENCYPART_ARC
(18,4),-2.05998 # DEPENDENCYPART_ARC
(18,5),-0.668272 # DEPENDENCYPART_ARC
(18,6),-1.75913 # DEPENDENCYPART_ARC
(18,7),-0.23956 # DEPENDENCYPART_ARC
(18,8),-1.64375 # DEPENDENCYPART_ARC
(18,9),-0.203644 # DEPENDENCYPART_ARC
(18,11),-2.01851 # DEPENDENCYPART_ARC
(18,12),-1.0279 # DEPENDENCYPART_ARC
(18,13),-0.0704486 # DEPENDENCYPART_ARC
(18,14),-0.921332 # DEPENDENCYPART_ARC
(18,15),0.696171 # DEPENDENCYPART_ARC
(18,16),-1.60555 # DEPENDENCYPART_ARC
(18,17),2.18006 # DEPENDENCYPART_ARC
(18,19),0.176097 # DEPENDENCYPART_ARC
(19,1),-3.1397 # DEPENDENCYPART_ARC
(19,12),-2.37809 # DEPENDENCYPART_ARC
(19,16),-2.42063 # DEPENDENCYPART_ARC
(19,17),-1.57288 # DEPENDENCYPART_ARC
(19,18),-2.12482 # DEPENDENCYPART_ARC
