# _root_ * Η κερκυραϊκή κουζίνα , με το σοφρίτο , την παστιτσάδα και γλυκά και λικέρ όπως το κουμ κουάτ .
#goldHeads=0,4,4,0,0,4,8,12,12,11,12,6,14,12,14,15,18,15,18,0,
#predictedHeads=0,4,4,12,0,14,8,6,12,11,12,6,12,5,14,15,18,19,14,0,
(12,18),-0.182055 # DEPENDENCYPART_ARC
(12,19),-0.435408 # DEPENDENCYPART_ARC
(12,20),-0.117135 # DEPENDENCYPART_ARC
(13,4),-1.86263 # DEPENDENCYPART_ARC
(13,10),-0.703877 # DEPENDENCYPART_ARC
(13,12),0.21096 # DEPENDENCYPART_ARC
(13,14),0.0305613 # DEPENDENCYPART_ARC
(13,15),-0.0804263 # DEPENDENCYPART_ARC
(13,16),-0.637266 # DEPENDENCYPART_ARC
(13,18),-1.13346 # DEPENDENCYPART_ARC
(14,1),-0.719425 # DEPENDENCYPART_ARC
(14,3),0.0951552 # DEPENDENCYPART_ARC
(14,4),0.360851 # DEPENDENCYPART_ARC
(14,5),0.356786 # DEPENDENCYPART_ARC
(14,6),-0.0487037 # DEPENDENCYPART_ARC
(14,8),0.0996252 # DEPENDENCYPART_ARC
(14,9),0.568924 # DEPENDENCYPART_ARC
(14,10),0.366884 # DEPENDENCYPART_ARC
(14,11),1.20103 # DEPENDENCYPART_ARC
(14,12),0.104717 # DEPENDENCYPART_ARC
(14,13),1.45981 # DEPENDENCYPART_ARC
(14,15),1.52282 # DEPENDENCYPART_ARC
(14,16),-0.0348115 # DEPENDENCYPART_ARC
(14,18),-0.286384 # DEPENDENCYPART_ARC
(14,19),0.000552622 # DEPENDENCYPART_ARC
(14,20),0.0659196 # DEPENDENCYPART_ARC
(15,5),-1.23588 # DEPENDENCYPART_ARC
(15,6),-1.14042 # DEPENDENCYPART_ARC
(15,7),-1.00615 # DEPENDENCYPART_ARC
(15,10),-0.774595 # DEPENDENCYPART_ARC
(15,11),-2.18593 # DEPENDENCYPART_ARC
(15,12),-0.58814 # DEPENDENCYPART_ARC
(15,13),0.0040073 # DEPENDENCYPART_ARC
(15,14),0.68432 # DEPENDENCYPART_ARC
(15,16),0.414217 # DEPENDENCYPART_ARC
(15,17),-1.06953 # DEPENDENCYPART_ARC
(15,18),-0.509598 # DEPENDENCYPART_ARC
(15,19),-1.3622 # DEPENDENCYPART_ARC
(15,20),-0.257391 # DEPENDENCYPART_ARC
(16,1),-1.08174 # DEPENDENCYPART_ARC
(16,5),-0.859767 # DEPENDENCYPART_ARC
(16,6),-0.817634 # DEPENDENCYPART_ARC
(16,9),-0.660423 # DEPENDENCYPART_ARC
(16,12),-0.342749 # DEPENDENCYPART_ARC
(16,13),-0.425084 # DEPENDENCYPART_ARC
(16,14),-0.0589039 # DEPENDENCYPART_ARC
(16,15),-0.0476762 # DEPENDENCYPART_ARC
(16,17),-0.420968 # DEPENDENCYPART_ARC
(16,18),0.0840934 # DEPENDENCYPART_ARC
(16,19),-1.05194 # DEPENDENCYPART_ARC
(16,20),-0.761026 # DEPENDENCYPART_ARC
(17,18),0.417592 # DEPENDENCYPART_ARC
(18,10),-1.93609 # DEPENDENCYPART_ARC
(18,13),-1.56557 # DEPENDENCYPART_ARC
(18,14),-0.413577 # DEPENDENCYPART_ARC
(18,15),-0.500282 # DEPENDENCYPART_ARC
(18,16),-0.118069 # DEPENDENCYPART_ARC
(18,17),2.93673 # DEPENDENCYPART_ARC
(18,19),-0.0565572 # DEPENDENCYPART_ARC
(18,20),0.063173 # DEPENDENCYPART_ARC
(19,15),0.0634329 # DEPENDENCYPART_ARC
(19,16),0.374857 # DEPENDENCYPART_ARC
(19,17),1.17738 # DEPENDENCYPART_ARC
(19,18),1.46516 # DEPENDENCYPART_ARC
(19,20),0.565665 # DEPENDENCYPART_ARC
(20,1),-1.86035 # DEPENDENCYPART_ARC
(20,4),-2.8154 # DEPENDENCYPART_ARC
(20,11),-2.44221 # DEPENDENCYPART_ARC
(20,15),-2.48722 # DEPENDENCYPART_ARC
(20,18),-2.37842 # DEPENDENCYPART_ARC
(20,19),-1.6478 # DEPENDENCYPART_ARC
