# _root_ Χάρη στο Κοινοβούλιο , η οδηγία θα μπορέσει τελικά να καλύψει όλους τους οδηγούς όλων των κατηγοριών , αυτοαπασχολούμενους και μη .
#goldHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,18,17,17,14,11,20,18,20,0,
#predictedHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,11,17,17,14,20,20,14,20,0,
(11,12),0.730691 # DEPENDENCYPART_ARC
(11,13),-0.554317 # DEPENDENCYPART_ARC
(11,14),1.39375 # DEPENDENCYPART_ARC
(11,15),-1.71766 # DEPENDENCYPART_ARC
(11,17),-1.90033 # DEPENDENCYPART_ARC
(11,18),0.211904 # DEPENDENCYPART_ARC
(11,19),-1.99197 # DEPENDENCYPART_ARC
(11,20),-0.136568 # DEPENDENCYPART_ARC
(11,22),-0.161179 # DEPENDENCYPART_ARC
(12,9),-0.610207 # DEPENDENCYPART_ARC
(12,11),-1.32478 # DEPENDENCYPART_ARC
(12,13),0.400998 # DEPENDENCYPART_ARC
(12,14),-0.478905 # DEPENDENCYPART_ARC
(12,15),-1.16439 # DEPENDENCYPART_ARC
(12,17),-0.505169 # DEPENDENCYPART_ARC
(12,18),-0.0709959 # DEPENDENCYPART_ARC
(12,20),-0.350926 # DEPENDENCYPART_ARC
(12,22),-0.190059 # DEPENDENCYPART_ARC
(14,1),-1.38307 # DEPENDENCYPART_ARC
(14,5),-2.05663 # DEPENDENCYPART_ARC
(14,9),-0.882539 # DEPENDENCYPART_ARC
(14,12),2.38183 # DEPENDENCYPART_ARC
(14,13),2.79711 # DEPENDENCYPART_ARC
(14,15),0.767139 # DEPENDENCYPART_ARC
(14,16),-0.606241 # DEPENDENCYPART_ARC
(14,17),0.793859 # DEPENDENCYPART_ARC
(14,18),-0.0886366 # DEPENDENCYPART_ARC
(14,19),0.128215 # DEPENDENCYPART_ARC
(14,20),-0.0706266 # DEPENDENCYPART_ARC
(14,22),-0.158108 # DEPENDENCYPART_ARC
(15,6),-2.28757 # DEPENDENCYPART_ARC
(15,13),1.30191 # DEPENDENCYPART_ARC
(15,14),-0.0679197 # DEPENDENCYPART_ARC
(15,16),0.396477 # DEPENDENCYPART_ARC
(15,17),0.230589 # DEPENDENCYPART_ARC
(15,18),0.107054 # DEPENDENCYPART_ARC
(15,20),-0.432217 # DEPENDENCYPART_ARC
(15,22),-0.171963 # DEPENDENCYPART_ARC
(17,12),-1.17679 # DEPENDENCYPART_ARC
(17,13),-0.949373 # DEPENDENCYPART_ARC
(17,14),-2.09182 # DEPENDENCYPART_ARC
(17,15),2.08816 # DEPENDENCYPART_ARC
(17,16),3.29021 # DEPENDENCYPART_ARC
(17,18),-0.172842 # DEPENDENCYPART_ARC
(17,19),-0.650142 # DEPENDENCYPART_ARC
(17,20),-0.367896 # DEPENDENCYPART_ARC
(18,3),-0.996821 # DEPENDENCYPART_ARC
(18,4),-0.95916 # DEPENDENCYPART_ARC
(18,8),-0.759828 # DEPENDENCYPART_ARC
(18,9),-0.345162 # DEPENDENCYPART_ARC
(18,11),-0.661654 # DEPENDENCYPART_ARC
(18,12),-0.0928999 # DEPENDENCYPART_ARC
(18,14),-0.240656 # DEPENDENCYPART_ARC
(18,15),0.0250023 # DEPENDENCYPART_ARC
(18,17),0.204662 # DEPENDENCYPART_ARC
(18,19),0.111443 # DEPENDENCYPART_ARC
(18,20),0.0552718 # DEPENDENCYPART_ARC
(18,22),0.0523022 # DEPENDENCYPART_ARC
(19,14),-0.908712 # DEPENDENCYPART_ARC
(19,16),0.743238 # DEPENDENCYPART_ARC
(19,17),-1.2971 # DEPENDENCYPART_ARC
(19,18),0.313719 # DEPENDENCYPART_ARC
(19,20),0.148162 # DEPENDENCYPART_ARC
(19,22),-0.0283105 # DEPENDENCYPART_ARC
(20,1),-0.15832 # DEPENDENCYPART_ARC
(20,2),-0.735582 # DEPENDENCYPART_ARC
(20,3),-0.357566 # DEPENDENCYPART_ARC
(20,4),-0.192794 # DEPENDENCYPART_ARC
(20,6),-0.00772069 # DEPENDENCYPART_ARC
(20,8),0.0353935 # DEPENDENCYPART_ARC
(20,9),-0.0780514 # DEPENDENCYPART_ARC
(20,11),0.910328 # DEPENDENCYPART_ARC
(20,12),-0.266156 # DEPENDENCYPART_ARC
(20,14),0.359751 # DEPENDENCYPART_ARC
(20,15),0.159838 # DEPENDENCYPART_ARC
(20,16),0.261944 # DEPENDENCYPART_ARC
(20,17),0.729572 # DEPENDENCYPART_ARC
(20,18),1.17387 # DEPENDENCYPART_ARC
(20,19),1.25214 # DEPENDENCYPART_ARC
(20,21),0.361812 # DEPENDENCYPART_ARC
(20,22),0.65472 # DEPENDENCYPART_ARC
(21,22),0.888835 # DEPENDENCYPART_ARC
(22,8),-2.69916 # DEPENDENCYPART_ARC
(22,15),-2.17024 # DEPENDENCYPART_ARC
(22,17),-2.3265 # DEPENDENCYPART_ARC
(22,19),-2.00919 # DEPENDENCYPART_ARC
(22,20),-1.772 # DEPENDENCYPART_ARC
