# _root_ Επίσης , επικροτούμε τον στόχο να συμπεριληφθούν και μικροί οργανισμοί χωρίς διεθνή εμπειρία , προκειμένου να έχουν ευκολότερη πρόσβαση στο πρόγραμμα και νέοι που βρίσκονται εκτός οργανισμών .
#goldHeads=3,1,0,5,3,7,5,10,10,7,10,13,11,15,7,17,15,19,17,19,20,23,17,25,23,25,26,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,10,13,11,15,7,17,15,19,17,19,20,20,22,25,22,25,26,0,
(5,7),0.218246 # DEPENDENCYPART_ARC
(5,8),0.19397 # DEPENDENCYPART_ARC
(5,9),-1.06469 # DEPENDENCYPART_ARC
(5,10),-0.892575 # DEPENDENCYPART_ARC
(5,11),-0.728748 # DEPENDENCYPART_ARC
(5,20),-1.14257 # DEPENDENCYPART_ARC
(5,22),-0.550226 # DEPENDENCYPART_ARC
(6,7),0.275876 # DEPENDENCYPART_ARC
(7,1),-0.068232 # DEPENDENCYPART_ARC
(7,2),-0.442733 # DEPENDENCYPART_ARC
(7,3),-2.90141 # DEPENDENCYPART_ARC
(7,4),-1.49267 # DEPENDENCYPART_ARC
(7,5),-0.715675 # DEPENDENCYPART_ARC
(7,6),1.91117 # DEPENDENCYPART_ARC
(7,8),0.513479 # DEPENDENCYPART_ARC
(7,9),0.454734 # DEPENDENCYPART_ARC
(7,10),1.55435 # DEPENDENCYPART_ARC
(7,11),0.687859 # DEPENDENCYPART_ARC
(7,12),-2.2807 # DEPENDENCYPART_ARC
(7,13),-1.19935 # DEPENDENCYPART_ARC
(7,14),0.286103 # DEPENDENCYPART_ARC
(7,15),0.208653 # DEPENDENCYPART_ARC
(7,17),-3.06941 # DEPENDENCYPART_ARC
(7,19),-1.56426 # DEPENDENCYPART_ARC
(7,22),-0.324171 # DEPENDENCYPART_ARC
(7,26),-1.46677 # DEPENDENCYPART_ARC
(8,1),-0.25008 # DEPENDENCYPART_ARC
(8,2),-0.00811584 # DEPENDENCYPART_ARC
(8,3),-0.0828663 # DEPENDENCYPART_ARC
(8,4),0.00475182 # DEPENDENCYPART_ARC
(8,5),0.394108 # DEPENDENCYPART_ARC
(8,6),0.34916 # DEPENDENCYPART_ARC
(8,7),1.26002 # DEPENDENCYPART_ARC
(8,9),1.70487 # DEPENDENCYPART_ARC
(8,10),0.431118 # DEPENDENCYPART_ARC
(8,11),-0.205233 # DEPENDENCYPART_ARC
(8,12),-0.110537 # DEPENDENCYPART_ARC
(8,13),-0.936617 # DEPENDENCYPART_ARC
(8,14),-0.163935 # DEPENDENCYPART_ARC
(8,15),-0.351235 # DEPENDENCYPART_ARC
(8,17),-1.12383 # DEPENDENCYPART_ARC
(9,8),0.253776 # DEPENDENCYPART_ARC
(9,10),-0.885676 # DEPENDENCYPART_ARC
(9,11),-0.431816 # DEPENDENCYPART_ARC
(9,12),-2.73041 # DEPENDENCYPART_ARC
(9,13),-1.28517 # DEPENDENCYPART_ARC
(10,4),-1.15461 # DEPENDENCYPART_ARC
(10,5),-1.51475 # DEPENDENCYPART_ARC
(10,7),-1.46378 # DEPENDENCYPART_ARC
(10,8),1.34987 # DEPENDENCYPART_ARC
(10,9),3.49808 # DEPENDENCYPART_ARC
(10,11),0.765907 # DEPENDENCYPART_ARC
(10,12),-0.761701 # DEPENDENCYPART_ARC
(10,13),-0.718841 # DEPENDENCYPART_ARC
(10,14),0.0452875 # DEPENDENCYPART_ARC
(10,15),-0.623027 # DEPENDENCYPART_ARC
(10,17),-1.12448 # DEPENDENCYPART_ARC
(10,20),-1.49867 # DEPENDENCYPART_ARC
(11,8),0.113577 # DEPENDENCYPART_ARC
(11,10),-0.661342 # DEPENDENCYPART_ARC
(11,12),1.04359 # DEPENDENCYPART_ARC
(11,13),2.27436 # DEPENDENCYPART_ARC
(11,14),0.173678 # DEPENDENCYPART_ARC
(11,15),-0.418694 # DEPENDENCYPART_ARC
(11,17),-0.915209 # DEPENDENCYPART_ARC
(11,19),-1.47771 # DEPENDENCYPART_ARC
(11,22),-0.673095 # DEPENDENCYPART_ARC
(12,15),-0.538525 # DEPENDENCYPART_ARC
(13,4),-0.667342 # DEPENDENCYPART_ARC
(13,8),0.639074 # DEPENDENCYPART_ARC
(13,9),-1.80123 # DEPENDENCYPART_ARC
(13,10),-1.75072 # DEPENDENCYPART_ARC
(13,12),3.51187 # DEPENDENCYPART_ARC
(13,14),0.228297 # DEPENDENCYPART_ARC
(13,15),-0.357129 # DEPENDENCYPART_ARC
(13,16),-0.816875 # DEPENDENCYPART_ARC
(13,17),-1.09115 # DEPENDENCYPART_ARC
(13,18),-1.30892 # DEPENDENCYPART_ARC
(14,2),-0.503902 # DEPENDENCYPART_ARC
(14,3),-0.652826 # DEPENDENCYPART_ARC
(14,5),-0.671559 # DEPENDENCYPART_ARC
(14,9),-0.44392 # DEPENDENCYPART_ARC
(14,10),-0.103683 # DEPENDENCYPART_ARC
(14,11),0.0218592 # DEPENDENCYPART_ARC
(14,12),-0.0892626 # DEPENDENCYPART_ARC
(14,13),0.0768459 # DEPENDENCYPART_ARC
(14,15),-0.340412 # DEPENDENCYPART_ARC
(14,17),-0.943974 # DEPENDENCYPART_ARC
(14,18),-1.10117 # DEPENDENCYPART_ARC
(14,23),-1.46066 # DEPENDENCYPART_ARC
(15,1),-0.800796 # DEPENDENCYPART_ARC
(15,2),-0.255809 # DEPENDENCYPART_ARC
(15,7),-1.20169 # DEPENDENCYPART_ARC
(15,8),0.158749 # DEPENDENCYPART_ARC
(15,11),-0.0472006 # DEPENDENCYPART_ARC
(15,12),-0.363739 # DEPENDENCYPART_ARC
(15,13),-0.257895 # DEPENDENCYPART_ARC
(15,14),1.22265 # DEPENDENCYPART_ARC
(15,17),1.57687 # DEPENDENCYPART_ARC
(15,18),-0.352195 # DEPENDENCYPART_ARC
(15,19),-0.30166 # DEPENDENCYPART_ARC
(15,20),-0.043733 # DEPENDENCYPART_ARC
(15,21),-0.785593 # DEPENDENCYPART_ARC
(15,22),0.168399 # DEPENDENCYPART_ARC
(15,25),-0.254538 # DEPENDENCYPART_ARC
(15,26),-0.434944 # DEPENDENCYPART_ARC
(16,19),-0.809241 # DEPENDENCYPART_ARC
(17,1),-0.788748 # DEPENDENCYPART_ARC
(17,2),-1.4698 # DEPENDENCYPART_ARC
(17,3),-4.30439 # DEPENDENCYPART_ARC
(17,5),-2.17555 # DEPENDENCYPART_ARC
(17,7),-5.42893 # DEPENDENCYPART_ARC
(17,8),-0.505626 # DEPENDENCYPART_ARC
(17,9),-1.81265 # DEPENDENCYPART_ARC
(17,10),-0.30085 # DEPENDENCYPART_ARC
(17,11),-0.657175 # DEPENDENCYPART_ARC
(17,12),-2.33251 # DEPENDENCYPART_ARC
(17,13),-2.26644 # DEPENDENCYPART_ARC
(17,14),0.022848 # DEPENDENCYPART_ARC
(17,15),-0.087317 # DEPENDENCYPART_ARC
(17,16),1.42565 # DEPENDENCYPART_ARC
(17,18),-1.12237 # DEPENDENCYPART_ARC
(17,19),2.63486 # DEPENDENCYPART_ARC
(17,20),0.0388479 # DEPENDENCYPART_ARC
(17,21),-0.459823 # DEPENDENCYPART_ARC
(17,22),-0.370122 # DEPENDENCYPART_ARC
(17,23),-1.51618 # DEPENDENCYPART_ARC
(17,25),-3.70133 # DEPENDENCYPART_ARC
(17,26),-1.29036 # DEPENDENCYPART_ARC
(17,27),-3.18508 # DEPENDENCYPART_ARC
(18,19),0.0139938 # DEPENDENCYPART_ARC
(18,20),0.0663614 # DEPENDENCYPART_ARC
(18,21),-1.40442 # DEPENDENCYPART_ARC
(18,27),-1.58893 # DEPENDENCYPART_ARC
(19,18),3.14158 # DEPENDENCYPART_ARC
(19,20),1.20255 # DEPENDENCYPART_ARC
(19,21),0.103869 # DEPENDENCYPART_ARC
(19,22),0.566136 # DEPENDENCYPART_ARC
(19,23),-0.961503 # DEPENDENCYPART_ARC
(19,25),-0.350681 # DEPENDENCYPART_ARC
(19,26),-0.775221 # DEPENDENCYPART_ARC
(20,18),-1.02681 # DEPENDENCYPART_ARC
(20,21),2.75359 # DEPENDENCYPART_ARC
(20,22),0.716568 # DEPENDENCYPART_ARC
(21,18),-0.933459 # DEPENDENCYPART_ARC
(21,19),-1.5141 # DEPENDENCYPART_ARC
(21,20),-0.371633 # DEPENDENCYPART_ARC
(21,22),0.233603 # DEPENDENCYPART_ARC
(21,23),-0.755801 # DEPENDENCYPART_ARC
(21,24),-2.70874 # DEPENDENCYPART_ARC
(21,25),-0.773303 # DEPENDENCYPART_ARC
(21,27),-0.978721 # DEPENDENCYPART_ARC
(22,1),-1.34722 # DEPENDENCYPART_ARC
(22,2),-1.51847 # DEPENDENCYPART_ARC
(22,3),-0.567725 # DEPENDENCYPART_ARC
(22,5),-1.18555 # DEPENDENCYPART_ARC
(22,7),-0.816113 # DEPENDENCYPART_ARC
(22,9),-1.00192 # DEPENDENCYPART_ARC
(22,10),-0.980034 # DEPENDENCYPART_ARC
(22,11),-0.920615 # DEPENDENCYPART_ARC
(22,12),-0.637031 # DEPENDENCYPART_ARC
(22,13),-0.253511 # DEPENDENCYPART_ARC
(22,14),-0.491855 # DEPENDENCYPART_ARC
(22,15),-0.374415 # DEPENDENCYPART_ARC
(22,17),0.581277 # DEPENDENCYPART_ARC
(22,18),0.180731 # DEPENDENCYPART_ARC
(22,19),0.326404 # DEPENDENCYPART_ARC
(22,20),0.197771 # DEPENDENCYPART_ARC
(22,21),2.35148 # DEPENDENCYPART_ARC
(22,23),1.26988 # DEPENDENCYPART_ARC
(22,25),0.826057 # DEPENDENCYPART_ARC
(22,26),-0.331463 # DEPENDENCYPART_ARC
(22,27),-0.00177256 # DEPENDENCYPART_ARC
(23,21),-0.816275 # DEPENDENCYPART_ARC
(23,24),0.352431 # DEPENDENCYPART_ARC
(23,25),-0.170805 # DEPENDENCYPART_ARC
(23,26),-0.170888 # DEPENDENCYPART_ARC
(23,27),-0.227532 # DEPENDENCYPART_ARC
(24,25),-0.771427 # DEPENDENCYPART_ARC
(25,1),-0.358079 # DEPENDENCYPART_ARC
(25,3),-5.07623 # DEPENDENCYPART_ARC
(25,5),-2.31409 # DEPENDENCYPART_ARC
(25,18),-1.06216 # DEPENDENCYPART_ARC
(25,19),-2.22557 # DEPENDENCYPART_ARC
(25,20),0.0898982 # DEPENDENCYPART_ARC
(25,21),-2.12781 # DEPENDENCYPART_ARC
(25,23),0.730223 # DEPENDENCYPART_ARC
(25,24),3.1286 # DEPENDENCYPART_ARC
(25,26),1.74436 # DEPENDENCYPART_ARC
(25,27),0.356966 # DEPENDENCYPART_ARC
(25,28),0.32037 # DEPENDENCYPART_ARC
(26,21),-1.16173 # DEPENDENCYPART_ARC
(26,23),-0.960378 # DEPENDENCYPART_ARC
(26,24),-1.21144 # DEPENDENCYPART_ARC
(26,25),-0.492905 # DEPENDENCYPART_ARC
(26,27),1.1688 # DEPENDENCYPART_ARC
(27,21),-3.39691 # DEPENDENCYPART_ARC
(27,23),-0.498052 # DEPENDENCYPART_ARC
(27,24),-0.689286 # DEPENDENCYPART_ARC
(27,25),-0.383804 # DEPENDENCYPART_ARC
(27,26),0.888429 # DEPENDENCYPART_ARC
(28,23),-2.46545 # DEPENDENCYPART_ARC
(28,27),-1.98336 # DEPENDENCYPART_ARC
