# _root_ Οι βακτηριακές αποικίες , που παραμένουν στο ίζημα εκατομμύρια χρόνια , φαίνονται μάλιστα να αναπτύσσονται με ρυθμό παρόμοιο με των βακτηρίων της επιφάνειας .
#goldHeads=3,3,12,6,6,3,6,7,10,6,6,0,12,15,12,15,16,17,18,21,19,23,21,0,
#predictedHeads=3,3,12,6,6,3,6,7,10,6,12,0,12,15,13,15,16,17,18,21,19,23,21,0,
(5,12),-2.66626 # DEPENDENCYPART_ARC
(5,15),-2.7398 # DEPENDENCYPART_ARC
(6,1),-1.58221 # DEPENDENCYPART_ARC
(6,2),-0.820966 # DEPENDENCYPART_ARC
(6,3),0.0822324 # DEPENDENCYPART_ARC
(6,4),1.09905 # DEPENDENCYPART_ARC
(6,5),3.36196 # DEPENDENCYPART_ARC
(6,7),2.17045 # DEPENDENCYPART_ARC
(6,8),0.770119 # DEPENDENCYPART_ARC
(6,9),-0.961322 # DEPENDENCYPART_ARC
(6,10),0.565825 # DEPENDENCYPART_ARC
(6,11),0.788369 # DEPENDENCYPART_ARC
(6,12),-2.55849 # DEPENDENCYPART_ARC
(6,13),-0.368588 # DEPENDENCYPART_ARC
(6,15),-3.06153 # DEPENDENCYPART_ARC
(6,16),-0.304986 # DEPENDENCYPART_ARC
(6,19),-1.14208 # DEPENDENCYPART_ARC
(6,21),-3.7493 # DEPENDENCYPART_ARC
(6,23),-4.51314 # DEPENDENCYPART_ARC
(6,24),0.244328 # DEPENDENCYPART_ARC
(7,8),3.32846 # DEPENDENCYPART_ARC
(7,9),0.857036 # DEPENDENCYPART_ARC
(7,10),0.443583 # DEPENDENCYPART_ARC
(7,11),-0.284975 # DEPENDENCYPART_ARC
(8,1),-3.01486 # DEPENDENCYPART_ARC
(8,2),-3.9751 # DEPENDENCYPART_ARC
(8,3),-4.60856 # DEPENDENCYPART_ARC
(8,5),-3.95652 # DEPENDENCYPART_ARC
(8,7),-0.617575 # DEPENDENCYPART_ARC
(8,9),0.299621 # DEPENDENCYPART_ARC
(8,10),0.319739 # DEPENDENCYPART_ARC
(8,11),-0.201712 # DEPENDENCYPART_ARC
(8,12),-1.60585 # DEPENDENCYPART_ARC
(8,13),-1.26234 # DEPENDENCYPART_ARC
(8,15),-2.69151 # DEPENDENCYPART_ARC
(8,16),-1.48016 # DEPENDENCYPART_ARC
(8,19),-1.65592 # DEPENDENCYPART_ARC
(9,3),-1.35239 # DEPENDENCYPART_ARC
(9,8),1.28006 # DEPENDENCYPART_ARC
(9,10),0.0869284 # DEPENDENCYPART_ARC
(9,11),-0.386452 # DEPENDENCYPART_ARC
(9,12),-1.39423 # DEPENDENCYPART_ARC
(9,13),-1.24673 # DEPENDENCYPART_ARC
(9,16),-1.34538 # DEPENDENCYPART_ARC
(9,19),-1.19367 # DEPENDENCYPART_ARC
(10,1),0.0639518 # DEPENDENCYPART_ARC
(10,3),-2.20294 # DEPENDENCYPART_ARC
(10,4),-0.358401 # DEPENDENCYPART_ARC
(10,5),-1.08606 # DEPENDENCYPART_ARC
(10,6),-1.94965 # DEPENDENCYPART_ARC
(10,8),1.09011 # DEPENDENCYPART_ARC
(10,9),3.82092 # DEPENDENCYPART_ARC
(10,11),-0.161579 # DEPENDENCYPART_ARC
(10,12),-0.642702 # DEPENDENCYPART_ARC
(10,13),-1.24333 # DEPENDENCYPART_ARC
(10,15),-1.49452 # DEPENDENCYPART_ARC
(11,3),-0.952978 # DEPENDENCYPART_ARC
(11,4),-0.475117 # DEPENDENCYPART_ARC
(11,6),-1.17801 # DEPENDENCYPART_ARC
(11,7),-0.261252 # DEPENDENCYPART_ARC
(11,8),-0.207763 # DEPENDENCYPART_ARC
(11,9),-0.394162 # DEPENDENCYPART_ARC
(11,10),-0.420082 # DEPENDENCYPART_ARC
(11,12),-0.613835 # DEPENDENCYPART_ARC
(11,13),-1.18262 # DEPENDENCYPART_ARC
(11,18),-1.76201 # DEPENDENCYPART_ARC
(12,2),-0.760969 # DEPENDENCYPART_ARC
(12,3),0.201859 # DEPENDENCYPART_ARC
(12,4),-0.0230204 # DEPENDENCYPART_ARC
(12,5),1.21091 # DEPENDENCYPART_ARC
(12,6),-1.57388 # DEPENDENCYPART_ARC
(12,7),0.0791636 # DEPENDENCYPART_ARC
(12,8),-1.23383 # DEPENDENCYPART_ARC
(12,9),0.0847978 # DEPENDENCYPART_ARC
(12,10),-0.0251653 # DEPENDENCYPART_ARC
(12,11),0.86013 # DEPENDENCYPART_ARC
(12,13),1.7901 # DEPENDENCYPART_ARC
(12,14),0.416089 # DEPENDENCYPART_ARC
(12,15),-0.275382 # DEPENDENCYPART_ARC
(12,16),-0.00602147 # DEPENDENCYPART_ARC
(12,17),-1.27458 # DEPENDENCYPART_ARC
(12,18),-1.68487 # DEPENDENCYPART_ARC
(12,19),-0.516288 # DEPENDENCYPART_ARC
(12,21),-2.78043 # DEPENDENCYPART_ARC
(12,23),-3.44004 # DEPENDENCYPART_ARC
(12,24),0.262675 # DEPENDENCYPART_ARC
(13,4),-0.496513 # DEPENDENCYPART_ARC
(13,5),-1.7191 # DEPENDENCYPART_ARC
(13,6),-1.19814 # DEPENDENCYPART_ARC
(13,7),0.0473805 # DEPENDENCYPART_ARC
(13,8),-0.892588 # DEPENDENCYPART_ARC
(13,10),-0.466041 # DEPENDENCYPART_ARC
(13,11),-0.0716294 # DEPENDENCYPART_ARC
(13,12),-0.250815 # DEPENDENCYPART_ARC
(13,15),0.0897408 # DEPENDENCYPART_ARC
(13,16),-0.343992 # DEPENDENCYPART_ARC
(13,17),-1.15584 # DEPENDENCYPART_ARC
(13,19),-0.861188 # DEPENDENCYPART_ARC
(13,21),-1.61642 # DEPENDENCYPART_ARC
(14,15),0.12402 # DEPENDENCYPART_ARC
(14,17),-0.882164 # DEPENDENCYPART_ARC
(15,2),-1.68565 # DEPENDENCYPART_ARC
(15,3),-0.499294 # DEPENDENCYPART_ARC
(15,4),-0.461821 # DEPENDENCYPART_ARC
(15,5),0.494699 # DEPENDENCYPART_ARC
(15,6),-3.55465 # DEPENDENCYPART_ARC
(15,7),-0.945249 # DEPENDENCYPART_ARC
(15,8),-1.90322 # DEPENDENCYPART_ARC
(15,9),-1.46269 # DEPENDENCYPART_ARC
(15,10),-0.71852 # DEPENDENCYPART_ARC
(15,11),-0.367764 # DEPENDENCYPART_ARC
(15,12),-3.63884 # DEPENDENCYPART_ARC
(15,13),0.370398 # DEPENDENCYPART_ARC
(15,14),1.96989 # DEPENDENCYPART_ARC
(15,16),1.68064 # DEPENDENCYPART_ARC
(15,17),0.114776 # DEPENDENCYPART_ARC
(15,18),-1.07423 # DEPENDENCYPART_ARC
(15,19),0.301003 # DEPENDENCYPART_ARC
(15,21),-1.82783 # DEPENDENCYPART_ARC
(15,23),-2.79682 # DEPENDENCYPART_ARC
(15,24),0.175431 # DEPENDENCYPART_ARC
(16,15),-0.431401 # DEPENDENCYPART_ARC
(16,17),2.87807 # DEPENDENCYPART_ARC
(16,18),0.239408 # DEPENDENCYPART_ARC
(16,19),-0.584807 # DEPENDENCYPART_ARC
(16,21),-0.0497283 # DEPENDENCYPART_ARC
(16,23),-1.56484 # DEPENDENCYPART_ARC
(17,16),-0.0986942 # DEPENDENCYPART_ARC
(17,18),0.845609 # DEPENDENCYPART_ARC
(17,19),0.545163 # DEPENDENCYPART_ARC
(17,21),0.266899 # DEPENDENCYPART_ARC
(17,23),-0.231073 # DEPENDENCYPART_ARC
(18,10),-0.723827 # DEPENDENCYPART_ARC
(18,13),-0.0678113 # DEPENDENCYPART_ARC
(18,16),0.297472 # DEPENDENCYPART_ARC
(18,17),0.678218 # DEPENDENCYPART_ARC
(18,19),1.50326 # DEPENDENCYPART_ARC
(18,21),0.674175 # DEPENDENCYPART_ARC
(18,23),0.185981 # DEPENDENCYPART_ARC
(19,16),-0.125512 # DEPENDENCYPART_ARC
(19,17),-1.02899 # DEPENDENCYPART_ARC
(19,18),-0.131702 # DEPENDENCYPART_ARC
(19,20),0.254331 # DEPENDENCYPART_ARC
(19,21),2.7009 # DEPENDENCYPART_ARC
(19,23),0.612223 # DEPENDENCYPART_ARC
(19,24),-0.10497 # DEPENDENCYPART_ARC
(21,16),-1.40032 # DEPENDENCYPART_ARC
(21,17),-3.34662 # DEPENDENCYPART_ARC
(21,18),-3.71533 # DEPENDENCYPART_ARC
(21,20),3.10298 # DEPENDENCYPART_ARC
(21,22),0.148353 # DEPENDENCYPART_ARC
(21,23),2.29862 # DEPENDENCYPART_ARC
(21,24),-0.0207664 # DEPENDENCYPART_ARC
(23,18),-2.55544 # DEPENDENCYPART_ARC
(23,20),0.406832 # DEPENDENCYPART_ARC
(23,21),-0.977917 # DEPENDENCYPART_ARC
(23,22),3.1878 # DEPENDENCYPART_ARC
(23,24),0.0205971 # DEPENDENCYPART_ARC
(24,21),-2.20879 # DEPENDENCYPART_ARC
(24,23),-2.16522 # DEPENDENCYPART_ARC
