# _root_ * Τα ρέηβ πάρτυ στο κλαμπ Cavo Paradiso , κοντά στη Χώρα , που τελειώνουν με την ανατολή του ηλίου .
#goldHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,4,15,18,16,20,18,0,
#predictedHeads=0,4,0,3,4,5,6,7,10,15,10,11,15,15,0,15,18,16,20,18,0,
(4,3),0.63791 # DEPENDENCYPART_ARC
(4,5),0.641015 # DEPENDENCYPART_ARC
(4,6),-0.0529463 # DEPENDENCYPART_ARC
(4,7),-0.0652329 # DEPENDENCYPART_ARC
(4,8),-0.361036 # DEPENDENCYPART_ARC
(4,10),-0.662188 # DEPENDENCYPART_ARC
(4,11),-1.00598 # DEPENDENCYPART_ARC
(4,12),-1.65832 # DEPENDENCYPART_ARC
(4,15),-1.1172 # DEPENDENCYPART_ARC
(4,16),-1.21027 # DEPENDENCYPART_ARC
(4,21),0.121021 # DEPENDENCYPART_ARC
(5,6),2.41466 # DEPENDENCYPART_ARC
(5,7),0.265337 # DEPENDENCYPART_ARC
(5,8),0.129937 # DEPENDENCYPART_ARC
(5,9),-0.491203 # DEPENDENCYPART_ARC
(6,1),-1.50076 # DEPENDENCYPART_ARC
(6,2),-0.255942 # DEPENDENCYPART_ARC
(6,4),-1.5177 # DEPENDENCYPART_ARC
(6,5),-1.1839 # DEPENDENCYPART_ARC
(6,7),1.18356 # DEPENDENCYPART_ARC
(6,8),0.5278 # DEPENDENCYPART_ARC
(6,9),0.440328 # DEPENDENCYPART_ARC
(6,10),-0.13296 # DEPENDENCYPART_ARC
(6,11),-0.884075 # DEPENDENCYPART_ARC
(6,12),-0.923328 # DEPENDENCYPART_ARC
(6,13),0.0767586 # DEPENDENCYPART_ARC
(6,15),0.242753 # DEPENDENCYPART_ARC
(6,16),-1.18581 # DEPENDENCYPART_ARC
(6,21),0.0751444 # DEPENDENCYPART_ARC
(7,6),0.371882 # DEPENDENCYPART_ARC
(7,8),1.23716 # DEPENDENCYPART_ARC
(7,9),0.611914 # DEPENDENCYPART_ARC
(8,6),-0.0920186 # DEPENDENCYPART_ARC
(8,7),1.36867 # DEPENDENCYPART_ARC
(8,9),0.0262488 # DEPENDENCYPART_ARC
(8,11),-0.13775 # DEPENDENCYPART_ARC
(9,1),-0.546281 # DEPENDENCYPART_ARC
(9,4),-0.596114 # DEPENDENCYPART_ARC
(9,5),-0.0790836 # DEPENDENCYPART_ARC
(9,6),-0.183736 # DEPENDENCYPART_ARC
(9,7),-0.299021 # DEPENDENCYPART_ARC
(9,8),0.11943 # DEPENDENCYPART_ARC
(9,10),-0.287402 # DEPENDENCYPART_ARC
(9,11),-0.32857 # DEPENDENCYPART_ARC
(9,12),-0.13241 # DEPENDENCYPART_ARC
(9,13),0.109433 # DEPENDENCYPART_ARC
(9,15),-0.781554 # DEPENDENCYPART_ARC
(9,16),-1.08936 # DEPENDENCYPART_ARC
(9,18),-1.65707 # DEPENDENCYPART_ARC
(9,21),-0.541792 # DEPENDENCYPART_ARC
(10,1),-0.458198 # DEPENDENCYPART_ARC
(10,4),-0.43597 # DEPENDENCYPART_ARC
(10,5),0.163962 # DEPENDENCYPART_ARC
(10,7),-0.0351819 # DEPENDENCYPART_ARC
(10,8),-0.0172029 # DEPENDENCYPART_ARC
(10,9),0.923337 # DEPENDENCYPART_ARC
(10,11),1.34638 # DEPENDENCYPART_ARC
(10,12),0.627575 # DEPENDENCYPART_ARC
(10,13),0.942178 # DEPENDENCYPART_ARC
(10,15),-0.362133 # DEPENDENCYPART_ARC
(10,16),-0.181401 # DEPENDENCYPART_ARC
(10,18),-1.67323 # DEPENDENCYPART_ARC
(10,21),-0.203894 # DEPENDENCYPART_ARC
(11,9),0.331073 # DEPENDENCYPART_ARC
(11,10),0.429351 # DEPENDENCYPART_ARC
(11,12),3.18242 # DEPENDENCYPART_ARC
(11,13),0.0580841 # DEPENDENCYPART_ARC
(12,2),-3.24647 # DEPENDENCYPART_ARC
(12,10),-0.760125 # DEPENDENCYPART_ARC
(12,11),0.26112 # DEPENDENCYPART_ARC
(12,13),-0.293091 # DEPENDENCYPART_ARC
(12,14),-2.24604 # DEPENDENCYPART_ARC
(12,15),0.171365 # DEPENDENCYPART_ARC
(12,16),-1.32291 # DEPENDENCYPART_ARC
(13,1),-0.975847 # DEPENDENCYPART_ARC
(13,4),-0.886586 # DEPENDENCYPART_ARC
(13,5),-0.269427 # DEPENDENCYPART_ARC
(13,6),-0.727846 # DEPENDENCYPART_ARC
(13,9),-0.425195 # DEPENDENCYPART_ARC
(13,10),-0.510931 # DEPENDENCYPART_ARC
(13,11),-0.493838 # DEPENDENCYPART_ARC
(13,12),-0.067763 # DEPENDENCYPART_ARC
(13,14),-0.628277 # DEPENDENCYPART_ARC
(13,15),-0.41068 # DEPENDENCYPART_ARC
(13,16),-0.683782 # DEPENDENCYPART_ARC
(13,18),-0.742923 # DEPENDENCYPART_ARC
(13,20),-0.961112 # DEPENDENCYPART_ARC
(13,21),-0.241108 # DEPENDENCYPART_ARC
(14,13),-0.0857403 # DEPENDENCYPART_ARC
(14,15),-1.01204 # DEPENDENCYPART_ARC
(15,1),-0.446063 # DEPENDENCYPART_ARC
(15,4),-1.22716 # DEPENDENCYPART_ARC
(15,5),-1.33964 # DEPENDENCYPART_ARC
(15,6),-1.28648 # DEPENDENCYPART_ARC
(15,7),-1.09869 # DEPENDENCYPART_ARC
(15,8),-1.2703 # DEPENDENCYPART_ARC
(15,9),0.295289 # DEPENDENCYPART_ARC
(15,10),-0.0876059 # DEPENDENCYPART_ARC
(15,11),-0.65584 # DEPENDENCYPART_ARC
(15,12),-1.97485 # DEPENDENCYPART_ARC
(15,13),1.26796 # DEPENDENCYPART_ARC
(15,14),3.48955 # DEPENDENCYPART_ARC
(15,16),1.87216 # DEPENDENCYPART_ARC
(15,17),-1.48445 # DEPENDENCYPART_ARC
(15,18),0.774834 # DEPENDENCYPART_ARC
(15,20),-1.81573 # DEPENDENCYPART_ARC
(15,21),0.50717 # DEPENDENCYPART_ARC
(16,13),-0.40431 # DEPENDENCYPART_ARC
(16,15),-0.5063 # DEPENDENCYPART_ARC
(16,17),-0.125409 # DEPENDENCYPART_ARC
(16,18),2.39888 # DEPENDENCYPART_ARC
(16,20),0.43733 # DEPENDENCYPART_ARC
(16,21),-0.551434 # DEPENDENCYPART_ARC
(18,10),-1.70193 # DEPENDENCYPART_ARC
(18,14),-2.15669 # DEPENDENCYPART_ARC
(18,16),-0.176164 # DEPENDENCYPART_ARC
(18,17),3.07511 # DEPENDENCYPART_ARC
(18,19),0.247996 # DEPENDENCYPART_ARC
(18,20),2.53746 # DEPENDENCYPART_ARC
(18,21),0.259269 # DEPENDENCYPART_ARC
(20,14),-2.72155 # DEPENDENCYPART_ARC
(20,17),-0.932206 # DEPENDENCYPART_ARC
(20,18),-1.92763 # DEPENDENCYPART_ARC
(20,19),2.85851 # DEPENDENCYPART_ARC
(20,21),-0.086229 # DEPENDENCYPART_ARC
(21,1),-2.24496 # DEPENDENCYPART_ARC
(21,4),-3.13025 # DEPENDENCYPART_ARC
(21,18),-2.18652 # DEPENDENCYPART_ARC
(21,20),-2.14296 # DEPENDENCYPART_ARC
