# _root_ Τα νέα στοιχεία υποδεικνύουν μάλιστα ότι οι ιζηματογενείς αποθέσεις των ωκεανών , οι οποίες καλύπτουν το 70% της επιφάνειας της Γης , περιέχουν περίπου τους μισούς μικροοργανισμούς του πλανήτη .
#goldHeads=3,3,4,0,4,4,9,9,23,11,9,15,14,15,9,17,15,19,17,21,19,15,6,26,27,27,23,29,27,0,
#predictedHeads=3,3,4,0,4,4,9,9,4,11,9,15,14,15,6,17,15,19,17,21,19,23,6,23,27,27,23,29,27,0,
(24,26),-0.41165 # DEPENDENCYPART_ARC
(24,27),-0.951434 # DEPENDENCYPART_ARC
(24,29),-0.663052 # DEPENDENCYPART_ARC
(26,19),-2.77636 # DEPENDENCYPART_ARC
(26,21),-2.65612 # DEPENDENCYPART_ARC
(26,24),-0.365324 # DEPENDENCYPART_ARC
(26,25),1.25176 # DEPENDENCYPART_ARC
(26,27),-0.091438 # DEPENDENCYPART_ARC
(26,29),0.181389 # DEPENDENCYPART_ARC
(27,18),-1.93672 # DEPENDENCYPART_ARC
(27,20),-1.25283 # DEPENDENCYPART_ARC
(27,21),-1.61285 # DEPENDENCYPART_ARC
(27,22),-0.507333 # DEPENDENCYPART_ARC
(27,24),-0.158391 # DEPENDENCYPART_ARC
(27,25),3.00374 # DEPENDENCYPART_ARC
(27,26),4.11831 # DEPENDENCYPART_ARC
(27,28),-0.17875 # DEPENDENCYPART_ARC
(27,29),2.84642 # DEPENDENCYPART_ARC
(29,20),-1.34555 # DEPENDENCYPART_ARC
(29,24),-1.03317 # DEPENDENCYPART_ARC
(29,25),-1.80031 # DEPENDENCYPART_ARC
(29,26),-1.82685 # DEPENDENCYPART_ARC
(29,27),-1.93685 # DEPENDENCYPART_ARC
(29,28),2.85851 # DEPENDENCYPART_ARC
(30,27),-2.13068 # DEPENDENCYPART_ARC
(30,29),-2.20432 # DEPENDENCYPART_ARC
