# _root_ Τα νέα κτίσματα των τελευταίων ετών , που ανεγέρθηκαν κυρίως κοντά στις παραλίες , είναι μονόροφα ή διώροφα κυκλαδίτικα σπίτια τα περισσότερα με ιδιωτικές πισίνες .
#goldHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,9,0,17,20,17,20,15,22,20,20,25,23,0,
#predictedHeads=3,3,15,6,6,3,9,9,3,9,9,11,12,15,0,17,20,20,20,15,25,20,22,25,23,0,
(15,10),0.215249 # DEPENDENCYPART_ARC
(15,11),0.393434 # DEPENDENCYPART_ARC
(15,12),0.611255 # DEPENDENCYPART_ARC
(15,13),0.304174 # DEPENDENCYPART_ARC
(15,14),1.44459 # DEPENDENCYPART_ARC
(15,16),2.15485 # DEPENDENCYPART_ARC
(15,17),1.03993 # DEPENDENCYPART_ARC
(15,18),-0.513034 # DEPENDENCYPART_ARC
(15,19),-1.21872 # DEPENDENCYPART_ARC
(15,20),1.40866 # DEPENDENCYPART_ARC
(15,22),-1.38168 # DEPENDENCYPART_ARC
(15,23),-0.27011 # DEPENDENCYPART_ARC
(15,25),0.140978 # DEPENDENCYPART_ARC
(15,26),-0.131286 # DEPENDENCYPART_ARC
(16,11),-1.15543 # DEPENDENCYPART_ARC
(16,13),-1.86512 # DEPENDENCYPART_ARC
(16,14),-0.827744 # DEPENDENCYPART_ARC
(16,15),-2.21533 # DEPENDENCYPART_ARC
(16,17),-0.0205176 # DEPENDENCYPART_ARC
(16,18),-1.2896 # DEPENDENCYPART_ARC
(16,19),-1.67504 # DEPENDENCYPART_ARC
(16,20),-1.46089 # DEPENDENCYPART_ARC
(16,23),-0.748934 # DEPENDENCYPART_ARC
(17,2),-0.15948 # DEPENDENCYPART_ARC
(17,3),-0.574112 # DEPENDENCYPART_ARC
(17,5),-0.00440624 # DEPENDENCYPART_ARC
(17,6),-0.444692 # DEPENDENCYPART_ARC
(17,7),-0.27485 # DEPENDENCYPART_ARC
(17,8),0.334914 # DEPENDENCYPART_ARC
(17,9),-0.791799 # DEPENDENCYPART_ARC
(17,10),-0.131135 # DEPENDENCYPART_ARC
(17,11),0.0249064 # DEPENDENCYPART_ARC
(17,12),0.145103 # DEPENDENCYPART_ARC
(17,13),0.62146 # DEPENDENCYPART_ARC
(17,14),0.905502 # DEPENDENCYPART_ARC
(17,15),0.985596 # DEPENDENCYPART_ARC
(17,16),2.62486 # DEPENDENCYPART_ARC
(17,18),2.51099 # DEPENDENCYPART_ARC
(17,19),1.90592 # DEPENDENCYPART_ARC
(17,20),-0.238633 # DEPENDENCYPART_ARC
(17,22),0.426915 # DEPENDENCYPART_ARC
(17,23),-0.0500424 # DEPENDENCYPART_ARC
(17,24),0.732579 # DEPENDENCYPART_ARC
(17,25),-1.34056 # DEPENDENCYPART_ARC
(17,26),0.17814 # DEPENDENCYPART_ARC
(18,16),0.79022 # DEPENDENCYPART_ARC
(18,17),0.0274644 # DEPENDENCYPART_ARC
(18,19),-0.474911 # DEPENDENCYPART_ARC
(18,20),-0.379092 # DEPENDENCYPART_ARC
(18,23),-0.513867 # DEPENDENCYPART_ARC
(18,25),-2.01591 # DEPENDENCYPART_ARC
(19,17),0.0138292 # DEPENDENCYPART_ARC
(19,18),1.61776 # DEPENDENCYPART_ARC
(19,20),0.507598 # DEPENDENCYPART_ARC
(19,22),-1.20877 # DEPENDENCYPART_ARC
(19,23),-0.394947 # DEPENDENCYPART_ARC
(19,25),-1.68299 # DEPENDENCYPART_ARC
(20,16),0.336827 # DEPENDENCYPART_ARC
(20,17),1.38646 # DEPENDENCYPART_ARC
(20,18),2.80873 # DEPENDENCYPART_ARC
(20,19),3.21199 # DEPENDENCYPART_ARC
(20,21),-0.672788 # DEPENDENCYPART_ARC
(20,22),1.35093 # DEPENDENCYPART_ARC
(20,23),0.374235 # DEPENDENCYPART_ARC
(20,24),0.0359944 # DEPENDENCYPART_ARC
(20,25),-0.890314 # DEPENDENCYPART_ARC
(22,20),-0.392783 # DEPENDENCYPART_ARC
(22,21),1.55836 # DEPENDENCYPART_ARC
(22,23),1.3413 # DEPENDENCYPART_ARC
(22,24),-0.158277 # DEPENDENCYPART_ARC
(22,25),-0.212424 # DEPENDENCYPART_ARC
(23,20),-1.04353 # DEPENDENCYPART_ARC
(23,21),-0.0384079 # DEPENDENCYPART_ARC
(23,22),-0.0281525 # DEPENDENCYPART_ARC
(23,24),1.03808 # DEPENDENCYPART_ARC
(23,25),2.48741 # DEPENDENCYPART_ARC
(23,26),0.290277 # DEPENDENCYPART_ARC
(24,21),0.0571561 # DEPENDENCYPART_ARC
(24,22),0.619856 # DEPENDENCYPART_ARC
(24,23),-0.353356 # DEPENDENCYPART_ARC
(24,25),0.0478365 # DEPENDENCYPART_ARC
(25,17),0.367986 # DEPENDENCYPART_ARC
(25,19),-0.289139 # DEPENDENCYPART_ARC
(25,20),-0.880557 # DEPENDENCYPART_ARC
(25,21),1.5601 # DEPENDENCYPART_ARC
(25,22),0.346201 # DEPENDENCYPART_ARC
(25,23),0.429829 # DEPENDENCYPART_ARC
(25,24),3.72311 # DEPENDENCYPART_ARC
(25,26),0.202073 # DEPENDENCYPART_ARC
(26,18),-2.33159 # DEPENDENCYPART_ARC
(26,20),-2.33511 # DEPENDENCYPART_ARC
(26,22),-2.26586 # DEPENDENCYPART_ARC
(26,25),-2.17459 # DEPENDENCYPART_ARC
