# _root_ Αργότερα κατακτήθηκε από τους Αθηναίους , τους Μακεδόνες , τους Πτολεμαίους και τους Ρωμαίους .
#goldHeads=2,0,2,5,12,12,8,12,12,11,12,3,14,12,0,
#predictedHeads=2,0,2,5,3,12,8,12,12,11,12,4,14,12,0,
(8,2),-2.04116 # DEPENDENCYPART_ARC
(8,3),-0.896431 # DEPENDENCYPART_ARC
(8,4),0.664756 # DEPENDENCYPART_ARC
(8,5),-0.468706 # DEPENDENCYPART_ARC
(8,6),-0.205236 # DEPENDENCYPART_ARC
(8,7),2.67917 # DEPENDENCYPART_ARC
(8,9),0.0336899 # DEPENDENCYPART_ARC
(8,10),-0.778414 # DEPENDENCYPART_ARC
(8,11),-0.910994 # DEPENDENCYPART_ARC
(8,12),-0.00439666 # DEPENDENCYPART_ARC
(8,14),-2.19271 # DEPENDENCYPART_ARC
(8,15),-0.457791 # DEPENDENCYPART_ARC
(9,1),-0.506184 # DEPENDENCYPART_ARC
(9,2),-0.787774 # DEPENDENCYPART_ARC
(9,3),-0.195727 # DEPENDENCYPART_ARC
(9,5),0.0542906 # DEPENDENCYPART_ARC
(9,6),0.12656 # DEPENDENCYPART_ARC
(9,8),0.488701 # DEPENDENCYPART_ARC
(9,11),0.403835 # DEPENDENCYPART_ARC
(9,12),0.350924 # DEPENDENCYPART_ARC
(9,14),-0.037805 # DEPENDENCYPART_ARC
(9,15),0.137157 # DEPENDENCYPART_ARC
(11,7),0.462038 # DEPENDENCYPART_ARC
(11,9),-0.32178 # DEPENDENCYPART_ARC
(11,10),2.72762 # DEPENDENCYPART_ARC
(12,1),-0.212947 # DEPENDENCYPART_ARC
(12,2),-0.296642 # DEPENDENCYPART_ARC
(12,3),-0.159087 # DEPENDENCYPART_ARC
(12,5),1.71562 # DEPENDENCYPART_ARC
(12,6),1.66338 # DEPENDENCYPART_ARC
(12,7),0.191921 # DEPENDENCYPART_ARC
(12,8),1.83387 # DEPENDENCYPART_ARC
(12,9),1.79594 # DEPENDENCYPART_ARC
(12,10),0.568219 # DEPENDENCYPART_ARC
(12,11),2.75128 # DEPENDENCYPART_ARC
(12,13),-0.0247202 # DEPENDENCYPART_ARC
(12,14),2.01525 # DEPENDENCYPART_ARC
(12,15),0.224403 # DEPENDENCYPART_ARC
(14,10),0.386427 # DEPENDENCYPART_ARC
(14,12),0.251566 # DEPENDENCYPART_ARC
(14,13),2.56541 # DEPENDENCYPART_ARC
(14,15),-0.476227 # DEPENDENCYPART_ARC
(15,2),-2.84699 # DEPENDENCYPART_ARC
(15,5),-2.68568 # DEPENDENCYPART_ARC
(15,6),-1.7812 # DEPENDENCYPART_ARC
(15,8),-2.47805 # DEPENDENCYPART_ARC
(15,9),-1.75076 # DEPENDENCYPART_ARC
(15,11),-2.29311 # DEPENDENCYPART_ARC
(15,12),-1.62654 # DEPENDENCYPART_ARC
(15,14),-2.02468 # DEPENDENCYPART_ARC
