# _root_ Επιπλέον , η ισπανική κοινωνία έχει να αντιμετωπίσει και τη βασκική ΕΤΑ , η οποία συνεχίζει τη δράση της παρά τις προσπάθειες εξάρθρωσής της .
#goldHeads=6,6,5,5,6,0,8,6,12,12,12,8,16,15,16,12,18,16,18,16,22,20,22,23,0,
#predictedHeads=6,6,5,5,6,0,8,6,8,12,9,13,16,15,16,9,18,16,18,16,22,20,22,23,0,
(13,2),-1.30756 # DEPENDENCYPART_ARC
(13,5),-1.31261 # DEPENDENCYPART_ARC
(13,6),-0.936138 # DEPENDENCYPART_ARC
(13,8),-1.06772 # DEPENDENCYPART_ARC
(13,9),-0.367887 # DEPENDENCYPART_ARC
(13,11),-0.763025 # DEPENDENCYPART_ARC
(13,12),-0.243158 # DEPENDENCYPART_ARC
(13,16),-0.587361 # DEPENDENCYPART_ARC
(13,18),-1.04153 # DEPENDENCYPART_ARC
(13,20),-1.3901 # DEPENDENCYPART_ARC
(13,22),-1.67426 # DEPENDENCYPART_ARC
(13,23),-1.42995 # DEPENDENCYPART_ARC
(15,13),0.158235 # DEPENDENCYPART_ARC
(15,14),2.79231 # DEPENDENCYPART_ARC
(16,1),-0.258991 # DEPENDENCYPART_ARC
(16,2),-0.0886146 # DEPENDENCYPART_ARC
(16,4),-1.82225 # DEPENDENCYPART_ARC
(16,5),-0.22248 # DEPENDENCYPART_ARC
(16,6),-2.99121 # DEPENDENCYPART_ARC
(16,8),-3.44334 # DEPENDENCYPART_ARC
(16,9),-0.273924 # DEPENDENCYPART_ARC
(16,11),-0.911253 # DEPENDENCYPART_ARC
(16,13),1.00501 # DEPENDENCYPART_ARC
(16,14),-0.780308 # DEPENDENCYPART_ARC
(16,15),2.63357 # DEPENDENCYPART_ARC
(16,17),-0.35204 # DEPENDENCYPART_ARC
(16,18),2.69559 # DEPENDENCYPART_ARC
(16,20),1.34767 # DEPENDENCYPART_ARC
(16,22),-0.733441 # DEPENDENCYPART_ARC
(16,23),-2.08917 # DEPENDENCYPART_ARC
(16,25),0.557494 # DEPENDENCYPART_ARC
(18,10),-1.07249 # DEPENDENCYPART_ARC
(18,14),-0.401613 # DEPENDENCYPART_ARC
(18,15),-1.18149 # DEPENDENCYPART_ARC
(18,17),3.07677 # DEPENDENCYPART_ARC
(18,19),2.22144 # DEPENDENCYPART_ARC
(18,20),0.853696 # DEPENDENCYPART_ARC
(18,22),-0.692305 # DEPENDENCYPART_ARC
(18,23),0.44508 # DEPENDENCYPART_ARC
(18,25),0.125374 # DEPENDENCYPART_ARC
(20,18),-0.610199 # DEPENDENCYPART_ARC
(20,19),0.228424 # DEPENDENCYPART_ARC
(20,21),0.0852208 # DEPENDENCYPART_ARC
(20,22),2.14494 # DEPENDENCYPART_ARC
(20,23),0.836292 # DEPENDENCYPART_ARC
(20,25),0.217183 # DEPENDENCYPART_ARC
(21,22),0.0135171 # DEPENDENCYPART_ARC
(21,23),0.182374 # DEPENDENCYPART_ARC
(22,14),-2.94353 # DEPENDENCYPART_ARC
(22,15),-2.349 # DEPENDENCYPART_ARC
(22,17),-0.171584 # DEPENDENCYPART_ARC
(22,18),-1.80489 # DEPENDENCYPART_ARC
(22,19),-0.518225 # DEPENDENCYPART_ARC
(22,20),-0.153088 # DEPENDENCYPART_ARC
(22,21),3.38553 # DEPENDENCYPART_ARC
(22,23),2.18199 # DEPENDENCYPART_ARC
(22,25),-0.068359 # DEPENDENCYPART_ARC
(23,14),-2.17625 # DEPENDENCYPART_ARC
(23,17),-1.42337 # DEPENDENCYPART_ARC
(23,18),-2.14014 # DEPENDENCYPART_ARC
(23,20),-0.284819 # DEPENDENCYPART_ARC
(23,21),0.52124 # DEPENDENCYPART_ARC
(23,22),-0.665808 # DEPENDENCYPART_ARC
(23,24),1.41392 # DEPENDENCYPART_ARC
(23,25),-0.102144 # DEPENDENCYPART_ARC
(25,2),-2.71922 # DEPENDENCYPART_ARC
(25,6),-2.64776 # DEPENDENCYPART_ARC
(25,18),-2.17125 # DEPENDENCYPART_ARC
(25,22),-1.88486 # DEPENDENCYPART_ARC
(25,23),-1.94834 # DEPENDENCYPART_ARC
