# _root_ Επισκεφθείτε επίσης το Απολιθωμένο Δάσος , το μεγαλύτερο στην Ευρώπη , που δημιουργήθηκε από μια ηφαιστιακή έκρηξη πριν από περίπου 15 με 20 εκατομμύρια χρόνια .
#goldHeads=0,1,5,5,1,1,8,5,8,9,13,13,5,13,17,17,14,13,18,22,22,25,22,25,19,0,
#predictedHeads=0,1,5,5,6,1,8,5,8,9,13,13,10,13,17,17,14,17,18,19,19,18,24,25,22,0,
(4,23),-2.03785 # DEPENDENCYPART_ARC
(5,1),-1.74086 # DEPENDENCYPART_ARC
(5,2),-0.583463 # DEPENDENCYPART_ARC
(5,3),2.07301 # DEPENDENCYPART_ARC
(5,4),4.19964 # DEPENDENCYPART_ARC
(5,6),-0.143944 # DEPENDENCYPART_ARC
(5,7),-0.942771 # DEPENDENCYPART_ARC
(5,8),0.031688 # DEPENDENCYPART_ARC
(5,9),-0.886606 # DEPENDENCYPART_ARC
(5,10),-1.09812 # DEPENDENCYPART_ARC
(5,13),0.0325393 # DEPENDENCYPART_ARC
(6,1),-0.615818 # DEPENDENCYPART_ARC
(6,2),-0.344024 # DEPENDENCYPART_ARC
(6,4),-0.320208 # DEPENDENCYPART_ARC
(6,5),0.513295 # DEPENDENCYPART_ARC
(6,8),-0.136325 # DEPENDENCYPART_ARC
(6,9),0.296656 # DEPENDENCYPART_ARC
(6,10),0.171066 # DEPENDENCYPART_ARC
(6,11),0.189475 # DEPENDENCYPART_ARC
(6,13),-0.539433 # DEPENDENCYPART_ARC
(6,14),-0.538253 # DEPENDENCYPART_ARC
(6,16),-0.947988 # DEPENDENCYPART_ARC
(8,5),-0.833767 # DEPENDENCYPART_ARC
(8,6),-0.0396176 # DEPENDENCYPART_ARC
(8,7),1.37718 # DEPENDENCYPART_ARC
(8,9),1.32797 # DEPENDENCYPART_ARC
(8,10),0.401836 # DEPENDENCYPART_ARC
(8,11),0.21921 # DEPENDENCYPART_ARC
(8,13),-1.80699 # DEPENDENCYPART_ARC
(8,14),-0.268326 # DEPENDENCYPART_ARC
(8,17),-2.26141 # DEPENDENCYPART_ARC
(8,19),-0.463745 # DEPENDENCYPART_ARC
(9,8),-0.92768 # DEPENDENCYPART_ARC
(9,10),3.27314 # DEPENDENCYPART_ARC
(9,11),0.199151 # DEPENDENCYPART_ARC
(10,6),-1.84085 # DEPENDENCYPART_ARC
(10,7),-0.963916 # DEPENDENCYPART_ARC
(10,8),-1.71458 # DEPENDENCYPART_ARC
(10,9),-0.0599471 # DEPENDENCYPART_ARC
(10,11),-0.610444 # DEPENDENCYPART_ARC
(10,13),0.400556 # DEPENDENCYPART_ARC
(11,1),-0.97996 # DEPENDENCYPART_ARC
(11,2),-0.468361 # DEPENDENCYPART_ARC
(11,4),-0.846059 # DEPENDENCYPART_ARC
(11,5),-0.325848 # DEPENDENCYPART_ARC
(11,6),-0.369637 # DEPENDENCYPART_ARC
(11,8),-0.352201 # DEPENDENCYPART_ARC
(11,9),-0.241781 # DEPENDENCYPART_ARC
(11,10),0.0993125 # DEPENDENCYPART_ARC
(11,12),-0.487908 # DEPENDENCYPART_ARC
(11,13),-0.296317 # DEPENDENCYPART_ARC
(11,14),-0.429984 # DEPENDENCYPART_ARC
(11,16),-0.781443 # DEPENDENCYPART_ARC
(11,17),-0.905584 # DEPENDENCYPART_ARC
(11,18),-0.555131 # DEPENDENCYPART_ARC
(11,19),-0.436247 # DEPENDENCYPART_ARC
(11,24),-0.829606 # DEPENDENCYPART_ARC
(12,11),-0.0765533 # DEPENDENCYPART_ARC
(12,13),-0.783628 # DEPENDENCYPART_ARC
(13,1),-2.74691 # DEPENDENCYPART_ARC
(13,2),-0.618976 # DEPENDENCYPART_ARC
(13,4),-1.13897 # DEPENDENCYPART_ARC
(13,5),-2.26887 # DEPENDENCYPART_ARC
(13,6),0.483227 # DEPENDENCYPART_ARC
(13,8),-0.534477 # DEPENDENCYPART_ARC
(13,9),-0.0509724 # DEPENDENCYPART_ARC
(13,10),-1.06236 # DEPENDENCYPART_ARC
(13,11),1.49739 # DEPENDENCYPART_ARC
(13,12),3.8504 # DEPENDENCYPART_ARC
(13,14),1.82479 # DEPENDENCYPART_ARC
(13,16),0.440817 # DEPENDENCYPART_ARC
(13,17),0.840431 # DEPENDENCYPART_ARC
(13,18),0.69245 # DEPENDENCYPART_ARC
(13,19),0.202871 # DEPENDENCYPART_ARC
(13,20),-0.0422115 # DEPENDENCYPART_ARC
(13,21),-0.48622 # DEPENDENCYPART_ARC
(13,22),0.3153 # DEPENDENCYPART_ARC
(13,23),-0.552558 # DEPENDENCYPART_ARC
(13,25),-2.19187 # DEPENDENCYPART_ARC
(13,26),0.123402 # DEPENDENCYPART_ARC
(14,11),-0.620474 # DEPENDENCYPART_ARC
(14,15),0.318426 # DEPENDENCYPART_ARC
(14,16),1.2505 # DEPENDENCYPART_ARC
(14,17),2.02284 # DEPENDENCYPART_ARC
(14,18),0.0356432 # DEPENDENCYPART_ARC
(14,20),0.133516 # DEPENDENCYPART_ARC
(14,26),-0.421772 # DEPENDENCYPART_ARC
(16,14),-0.419925 # DEPENDENCYPART_ARC
(16,15),0.824274 # DEPENDENCYPART_ARC
(16,17),-0.416272 # DEPENDENCYPART_ARC
(16,18),-0.200307 # DEPENDENCYPART_ARC
(16,19),-0.0645062 # DEPENDENCYPART_ARC
(16,22),-0.528676 # DEPENDENCYPART_ARC
(16,25),-2.3592 # DEPENDENCYPART_ARC
(17,1),-2.59836 # DEPENDENCYPART_ARC
(17,4),1.58716 # DEPENDENCYPART_ARC
(17,7),-1.25448 # DEPENDENCYPART_ARC
(17,12),-0.207727 # DEPENDENCYPART_ARC
(17,14),-0.0914822 # DEPENDENCYPART_ARC
(17,15),3.39125 # DEPENDENCYPART_ARC
(17,16),3.57594 # DEPENDENCYPART_ARC
(17,18),0.872758 # DEPENDENCYPART_ARC
(17,19),-0.08541 # DEPENDENCYPART_ARC
(17,20),-0.151355 # DEPENDENCYPART_ARC
(17,21),-0.124659 # DEPENDENCYPART_ARC
(17,22),-0.237 # DEPENDENCYPART_ARC
(17,23),-0.375996 # DEPENDENCYPART_ARC
(17,25),-1.32014 # DEPENDENCYPART_ARC
(18,1),-1.75265 # DEPENDENCYPART_ARC
(18,2),-0.730751 # DEPENDENCYPART_ARC
(18,4),-1.52988 # DEPENDENCYPART_ARC
(18,6),-0.450436 # DEPENDENCYPART_ARC
(18,12),-1.61936 # DEPENDENCYPART_ARC
(18,14),-0.226916 # DEPENDENCYPART_ARC
(18,16),-0.481888 # DEPENDENCYPART_ARC
(18,17),-0.271058 # DEPENDENCYPART_ARC
(18,19),1.93898 # DEPENDENCYPART_ARC
(18,20),0.269641 # DEPENDENCYPART_ARC
(18,22),0.6511 # DEPENDENCYPART_ARC
(18,25),-0.713619 # DEPENDENCYPART_ARC
(18,26),-0.0351856 # DEPENDENCYPART_ARC
(19,17),-1.24032 # DEPENDENCYPART_ARC
(19,18),-0.0347813 # DEPENDENCYPART_ARC
(19,20),1.41042 # DEPENDENCYPART_ARC
(19,21),1.09652 # DEPENDENCYPART_ARC
(19,22),-0.0267132 # DEPENDENCYPART_ARC
(19,25),0.892931 # DEPENDENCYPART_ARC
(19,26),-0.212409 # DEPENDENCYPART_ARC
(20,1),-2.49797 # DEPENDENCYPART_ARC
(20,2),-1.78162 # DEPENDENCYPART_ARC
(20,4),-2.33074 # DEPENDENCYPART_ARC
(20,12),-2.54236 # DEPENDENCYPART_ARC
(20,14),-1.12742 # DEPENDENCYPART_ARC
(20,17),-1.45992 # DEPENDENCYPART_ARC
(20,18),-0.614729 # DEPENDENCYPART_ARC
(20,19),-0.31423 # DEPENDENCYPART_ARC
(20,21),0.24929 # DEPENDENCYPART_ARC
(20,22),0.420107 # DEPENDENCYPART_ARC
(20,25),-0.890437 # DEPENDENCYPART_ARC
(20,26),-0.431035 # DEPENDENCYPART_ARC
(21,20),0.864444 # DEPENDENCYPART_ARC
(21,22),0.197427 # DEPENDENCYPART_ARC
(21,25),-0.20912 # DEPENDENCYPART_ARC
(22,19),-0.0665701 # DEPENDENCYPART_ARC
(22,20),0.316248 # DEPENDENCYPART_ARC
(22,21),0.658504 # DEPENDENCYPART_ARC
(22,23),1.25014 # DEPENDENCYPART_ARC
(22,24),0.64185 # DEPENDENCYPART_ARC
(22,25),1.22039 # DEPENDENCYPART_ARC
(22,26),-0.00991741 # DEPENDENCYPART_ARC
(23,25),0.55193 # DEPENDENCYPART_ARC
(24,17),-1.10836 # DEPENDENCYPART_ARC
(24,20),0.348386 # DEPENDENCYPART_ARC
(24,22),0.490778 # DEPENDENCYPART_ARC
(24,23),1.65973 # DEPENDENCYPART_ARC
(24,25),0.27923 # DEPENDENCYPART_ARC
(24,26),-0.324455 # DEPENDENCYPART_ARC
(25,18),-0.287864 # DEPENDENCYPART_ARC
(25,19),-0.324679 # DEPENDENCYPART_ARC
(25,20),0.174689 # DEPENDENCYPART_ARC
(25,22),0.228063 # DEPENDENCYPART_ARC
(25,23),1.62016 # DEPENDENCYPART_ARC
(25,24),3.4325 # DEPENDENCYPART_ARC
(25,26),0.00375636 # DEPENDENCYPART_ARC
(26,5),-3.4594 # DEPENDENCYPART_ARC
(26,21),-2.05122 # DEPENDENCYPART_ARC
(26,23),-1.78479 # DEPENDENCYPART_ARC
(26,24),-1.91397 # DEPENDENCYPART_ARC
