# _root_ Το χρονικό πλαίσιο είναι ήδη επαρκώς δομημένο διότι , μετά τη διαβούλευση , ο τελικός κανονισμός της Επιτροπής θα εγκριθεί πριν από το καλοκαίρι αυτού του έτους .
#goldHeads=3,3,4,0,4,7,4,4,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,24,27,25,0,
#predictedHeads=3,3,4,0,4,4,4,7,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,27,27,24,0,
(20,4),-3.59902 # DEPENDENCYPART_ARC
(20,5),-0.269026 # DEPENDENCYPART_ARC
(20,6),-0.00535322 # DEPENDENCYPART_ARC
(20,7),-2.93627 # DEPENDENCYPART_ARC
(20,8),0.128676 # DEPENDENCYPART_ARC
(20,9),0.489767 # DEPENDENCYPART_ARC
(20,10),1.09857 # DEPENDENCYPART_ARC
(20,12),-0.786553 # DEPENDENCYPART_ARC
(20,13),0.555249 # DEPENDENCYPART_ARC
(20,15),-0.664247 # DEPENDENCYPART_ARC
(20,16),1.84673 # DEPENDENCYPART_ARC
(20,17),-0.858164 # DEPENDENCYPART_ARC
(20,18),-0.163556 # DEPENDENCYPART_ARC
(20,19),2.50521 # DEPENDENCYPART_ARC
(20,21),1.90647 # DEPENDENCYPART_ARC
(20,22),1.02554 # DEPENDENCYPART_ARC
(20,24),0.92869 # DEPENDENCYPART_ARC
(20,27),-1.97136 # DEPENDENCYPART_ARC
(20,28),0.24988 # DEPENDENCYPART_ARC
(21,4),-1.2531 # DEPENDENCYPART_ARC
(21,5),-0.568245 # DEPENDENCYPART_ARC
(21,6),-0.770774 # DEPENDENCYPART_ARC
(21,10),-0.745465 # DEPENDENCYPART_ARC
(21,12),-1.12928 # DEPENDENCYPART_ARC
(21,16),-1.24547 # DEPENDENCYPART_ARC
(21,18),-0.929044 # DEPENDENCYPART_ARC
(21,22),1.35152 # DEPENDENCYPART_ARC
(21,24),-0.134123 # DEPENDENCYPART_ARC
(21,27),-0.420717 # DEPENDENCYPART_ARC
(22,21),-0.407275 # DEPENDENCYPART_ARC
(22,23),0.0526525 # DEPENDENCYPART_ARC
(22,24),2.58865 # DEPENDENCYPART_ARC
(22,27),0.201447 # DEPENDENCYPART_ARC
(24,14),-2.34573 # DEPENDENCYPART_ARC
(24,17),-2.2997 # DEPENDENCYPART_ARC
(24,21),-0.506463 # DEPENDENCYPART_ARC
(24,22),-0.0136171 # DEPENDENCYPART_ARC
(24,23),3.12816 # DEPENDENCYPART_ARC
(24,25),1.77485 # DEPENDENCYPART_ARC
(24,26),-0.322944 # DEPENDENCYPART_ARC
(24,27),1.37639 # DEPENDENCYPART_ARC
(25,27),0.154851 # DEPENDENCYPART_ARC
(25,28),-0.227851 # DEPENDENCYPART_ARC
(26,25),0.925025 # DEPENDENCYPART_ARC
(27,17),-2.43845 # DEPENDENCYPART_ARC
(27,21),-0.962435 # DEPENDENCYPART_ARC
(27,22),-0.738041 # DEPENDENCYPART_ARC
(27,23),-0.430476 # DEPENDENCYPART_ARC
(27,24),-1.70338 # DEPENDENCYPART_ARC
(27,25),3.20638 # DEPENDENCYPART_ARC
(27,26),2.85423 # DEPENDENCYPART_ARC
(28,24),-2.34548 # DEPENDENCYPART_ARC
(28,27),-2.18364 # DEPENDENCYPART_ARC
