# _root_ Έτσι απαγορεύουμε με κοινοτικό νόμο σε ένα δημοκρατικά εκλεγμένο όργανο , σε έναν δήμο ή μια κοινότητα , να αποφασίσει τη συνέχιση ή την καθιέρωση μιας πολιτικής προμηθειών φιλικής προς το περιβάλλον .
#goldHeads=2,0,2,5,3,11,10,9,10,6,2,11,14,15,12,17,15,20,20,2,22,23,20,25,23,27,25,27,27,29,32,30,0,
#predictedHeads=2,0,2,5,3,2,10,9,10,15,2,2,14,15,12,17,15,23,20,15,22,23,20,25,23,28,28,25,28,29,32,30,0,
(9,11),-0.39087 # DEPENDENCYPART_ARC
(10,1),-0.869002 # DEPENDENCYPART_ARC
(10,2),-2.96642 # DEPENDENCYPART_ARC
(10,4),-0.609365 # DEPENDENCYPART_ARC
(10,5),-0.788416 # DEPENDENCYPART_ARC
(10,6),-0.355031 # DEPENDENCYPART_ARC
(10,7),2.68076 # DEPENDENCYPART_ARC
(10,8),1.21134 # DEPENDENCYPART_ARC
(10,9),1.67151 # DEPENDENCYPART_ARC
(10,11),0.379617 # DEPENDENCYPART_ARC
(10,12),-0.101298 # DEPENDENCYPART_ARC
(10,14),-1.10788 # DEPENDENCYPART_ARC
(11,1),-1.03752 # DEPENDENCYPART_ARC
(11,2),-1.35549 # DEPENDENCYPART_ARC
(11,3),-0.420337 # DEPENDENCYPART_ARC
(11,4),-0.692078 # DEPENDENCYPART_ARC
(11,5),-0.543255 # DEPENDENCYPART_ARC
(11,6),-0.400071 # DEPENDENCYPART_ARC
(11,8),-0.614166 # DEPENDENCYPART_ARC
(11,9),-0.591539 # DEPENDENCYPART_ARC
(11,10),-0.4843 # DEPENDENCYPART_ARC
(11,12),-0.468721 # DEPENDENCYPART_ARC
(11,14),-0.310582 # DEPENDENCYPART_ARC
(11,17),-0.813256 # DEPENDENCYPART_ARC
(11,18),-0.415888 # DEPENDENCYPART_ARC
(11,20),-1.18382 # DEPENDENCYPART_ARC
(12,10),-1.10946 # DEPENDENCYPART_ARC
(12,11),0.315507 # DEPENDENCYPART_ARC
(12,13),-0.0466325 # DEPENDENCYPART_ARC
(12,14),2.14189 # DEPENDENCYPART_ARC
(12,15),1.03133 # DEPENDENCYPART_ARC
(12,17),0.0909545 # DEPENDENCYPART_ARC
(12,18),0.30932 # DEPENDENCYPART_ARC
(12,23),-0.225747 # DEPENDENCYPART_ARC
(14,7),-0.58638 # DEPENDENCYPART_ARC
(14,8),-1.75752 # DEPENDENCYPART_ARC
(14,12),-0.174262 # DEPENDENCYPART_ARC
(14,13),2.53524 # DEPENDENCYPART_ARC
(14,15),0.300567 # DEPENDENCYPART_ARC
(14,17),-0.833242 # DEPENDENCYPART_ARC
(14,20),-1.53516 # DEPENDENCYPART_ARC
(15,1),-0.0811689 # DEPENDENCYPART_ARC
(15,2),-0.877789 # DEPENDENCYPART_ARC
(15,3),-0.242598 # DEPENDENCYPART_ARC
(15,4),-0.572717 # DEPENDENCYPART_ARC
(15,5),0.0550984 # DEPENDENCYPART_ARC
(15,6),-0.00297731 # DEPENDENCYPART_ARC
(15,8),-0.15518 # DEPENDENCYPART_ARC
(15,9),0.364509 # DEPENDENCYPART_ARC
(15,10),0.960524 # DEPENDENCYPART_ARC
(15,11),0.673717 # DEPENDENCYPART_ARC
(15,12),0.332839 # DEPENDENCYPART_ARC
(15,13),0.611004 # DEPENDENCYPART_ARC
(15,14),2.60658 # DEPENDENCYPART_ARC
(15,16),0.206292 # DEPENDENCYPART_ARC
(15,17),1.87849 # DEPENDENCYPART_ARC
(15,18),0.645573 # DEPENDENCYPART_ARC
(15,20),0.63565 # DEPENDENCYPART_ARC
(15,22),-0.488619 # DEPENDENCYPART_ARC
(15,23),-0.637394 # DEPENDENCYPART_ARC
(15,25),-0.73474 # DEPENDENCYPART_ARC
(15,30),-0.527047 # DEPENDENCYPART_ARC
(17,13),-0.3034 # DEPENDENCYPART_ARC
(17,14),-1.20485 # DEPENDENCYPART_ARC
(17,15),-0.0187061 # DEPENDENCYPART_ARC
(17,16),2.72302 # DEPENDENCYPART_ARC
(17,18),0.360967 # DEPENDENCYPART_ARC
(17,19),-0.334365 # DEPENDENCYPART_ARC
(17,20),0.235157 # DEPENDENCYPART_ARC
(17,22),-1.50153 # DEPENDENCYPART_ARC
(17,23),-0.0811583 # DEPENDENCYPART_ARC
(18,2),-1.32587 # DEPENDENCYPART_ARC
(18,5),-0.602083 # DEPENDENCYPART_ARC
(18,9),-0.347273 # DEPENDENCYPART_ARC
(18,12),-0.529926 # DEPENDENCYPART_ARC
(18,14),-0.599241 # DEPENDENCYPART_ARC
(18,17),-0.224593 # DEPENDENCYPART_ARC
(18,20),-0.479419 # DEPENDENCYPART_ARC
(18,22),-0.444161 # DEPENDENCYPART_ARC
(18,23),-0.171467 # DEPENDENCYPART_ARC
(18,25),-0.873831 # DEPENDENCYPART_ARC
(18,27),-1.18049 # DEPENDENCYPART_ARC
(18,28),-0.780118 # DEPENDENCYPART_ARC
(18,29),-1.17243 # DEPENDENCYPART_ARC
(18,30),-0.373256 # DEPENDENCYPART_ARC
(19,22),-0.650123 # DEPENDENCYPART_ARC
(20,1),-0.351158 # DEPENDENCYPART_ARC
(20,2),-1.08972 # DEPENDENCYPART_ARC
(20,3),-1.18141 # DEPENDENCYPART_ARC
(20,4),-2.7744 # DEPENDENCYPART_ARC
(20,5),-2.41427 # DEPENDENCYPART_ARC
(20,6),-0.545493 # DEPENDENCYPART_ARC
(20,8),-3.11863 # DEPENDENCYPART_ARC
(20,11),0.0578244 # DEPENDENCYPART_ARC
(20,12),0.0607168 # DEPENDENCYPART_ARC
(20,14),-1.96361 # DEPENDENCYPART_ARC
(20,15),-0.151489 # DEPENDENCYPART_ARC
(20,17),-0.959394 # DEPENDENCYPART_ARC
(20,18),0.421207 # DEPENDENCYPART_ARC
(20,19),2.30347 # DEPENDENCYPART_ARC
(20,21),-0.116577 # DEPENDENCYPART_ARC
(20,22),2.46082 # DEPENDENCYPART_ARC
(20,23),1.17097 # DEPENDENCYPART_ARC
(20,25),0.951392 # DEPENDENCYPART_ARC
(20,27),-2.98579 # DEPENDENCYPART_ARC
(20,28),-2.38729 # DEPENDENCYPART_ARC
(20,30),-0.582244 # DEPENDENCYPART_ARC
(20,32),-1.10246 # DEPENDENCYPART_ARC
(22,16),-0.460542 # DEPENDENCYPART_ARC
(22,20),-1.74226 # DEPENDENCYPART_ARC
(22,21),3.27015 # DEPENDENCYPART_ARC
(22,23),0.264576 # DEPENDENCYPART_ARC
(22,24),-0.765345 # DEPENDENCYPART_ARC
(22,25),-1.31561 # DEPENDENCYPART_ARC
(22,27),-1.22377 # DEPENDENCYPART_ARC
(22,28),-1.01556 # DEPENDENCYPART_ARC
(22,30),-0.670381 # DEPENDENCYPART_ARC
(22,32),-3.01213 # DEPENDENCYPART_ARC
(23,1),-0.35558 # DEPENDENCYPART_ARC
(23,2),-2.39183 # DEPENDENCYPART_ARC
(23,3),-0.704534 # DEPENDENCYPART_ARC
(23,4),-1.03358 # DEPENDENCYPART_ARC
(23,5),-0.240848 # DEPENDENCYPART_ARC
(23,6),-0.626828 # DEPENDENCYPART_ARC
(23,8),-0.811688 # DEPENDENCYPART_ARC
(23,9),-0.122186 # DEPENDENCYPART_ARC
(23,10),0.380886 # DEPENDENCYPART_ARC
(23,11),0.0186658 # DEPENDENCYPART_ARC
(23,12),-0.465361 # DEPENDENCYPART_ARC
(23,14),1.11624 # DEPENDENCYPART_ARC
(23,15),0.365011 # DEPENDENCYPART_ARC
(23,16),0.0110662 # DEPENDENCYPART_ARC
(23,17),1.16542 # DEPENDENCYPART_ARC
(23,18),0.843161 # DEPENDENCYPART_ARC
(23,19),0.108021 # DEPENDENCYPART_ARC
(23,20),0.334131 # DEPENDENCYPART_ARC
(23,21),0.650656 # DEPENDENCYPART_ARC
(23,22),2.69318 # DEPENDENCYPART_ARC
(23,24),0.213364 # DEPENDENCYPART_ARC
(23,25),1.68871 # DEPENDENCYPART_ARC
(23,27),0.400668 # DEPENDENCYPART_ARC
(23,28),0.759486 # DEPENDENCYPART_ARC
(23,29),0.041416 # DEPENDENCYPART_ARC
(23,30),0.0361729 # DEPENDENCYPART_ARC
(23,32),-0.0977953 # DEPENDENCYPART_ARC
(25,21),0.767098 # DEPENDENCYPART_ARC
(25,22),-0.944465 # DEPENDENCYPART_ARC
(25,23),0.0649273 # DEPENDENCYPART_ARC
(25,24),2.8236 # DEPENDENCYPART_ARC
(25,27),0.48857 # DEPENDENCYPART_ARC
(25,28),1.83701 # DEPENDENCYPART_ARC
(25,29),-0.0410287 # DEPENDENCYPART_ARC
(25,30),0.53416 # DEPENDENCYPART_ARC
(25,32),-1.19944 # DEPENDENCYPART_ARC
(27,22),-2.70438 # DEPENDENCYPART_ARC
(27,24),-0.274059 # DEPENDENCYPART_ARC
(27,25),-2.10966 # DEPENDENCYPART_ARC
(27,26),0.595366 # DEPENDENCYPART_ARC
(27,28),1.0571 # DEPENDENCYPART_ARC
(27,29),-0.79181 # DEPENDENCYPART_ARC
(27,30),-0.0600059 # DEPENDENCYPART_ARC
(27,32),-2.06587 # DEPENDENCYPART_ARC
(28,21),-2.65753 # DEPENDENCYPART_ARC
(28,22),-3.55976 # DEPENDENCYPART_ARC
(28,24),-1.57225 # DEPENDENCYPART_ARC
(28,25),-2.77667 # DEPENDENCYPART_ARC
(28,26),1.66587 # DEPENDENCYPART_ARC
(28,27),1.83777 # DEPENDENCYPART_ARC
(28,29),1.04194 # DEPENDENCYPART_ARC
(28,30),0.448395 # DEPENDENCYPART_ARC
(28,32),-1.0161 # DEPENDENCYPART_ARC
(29,22),-2.24214 # DEPENDENCYPART_ARC
(29,25),-1.98339 # DEPENDENCYPART_ARC
(29,27),0.304872 # DEPENDENCYPART_ARC
(29,28),-1.18846 # DEPENDENCYPART_ARC
(29,30),1.46202 # DEPENDENCYPART_ARC
(29,32),-1.13219 # DEPENDENCYPART_ARC
(30,28),-1.02562 # DEPENDENCYPART_ARC
(30,29),-0.0921111 # DEPENDENCYPART_ARC
(30,31),0.0853694 # DEPENDENCYPART_ARC
(30,32),2.47083 # DEPENDENCYPART_ARC
(32,24),-1.6594 # DEPENDENCYPART_ARC
(32,26),-1.3923 # DEPENDENCYPART_ARC
(32,27),-0.943489 # DEPENDENCYPART_ARC
(32,28),-2.57366 # DEPENDENCYPART_ARC
(32,29),-0.844923 # DEPENDENCYPART_ARC
(32,30),0.145939 # DEPENDENCYPART_ARC
(32,31),3.23085 # DEPENDENCYPART_ARC
(33,25),-2.5401 # DEPENDENCYPART_ARC
(33,28),-2.48236 # DEPENDENCYPART_ARC
(33,29),-2.12722 # DEPENDENCYPART_ARC
(33,32),-2.1687 # DEPENDENCYPART_ARC
