# _root_ Στα νερά του , ο επισκέπτης μπορεί να κάνει καγιάκ ή ράφτινγκ , ενώ η γύρω περιοχή είναι ιδανική για περιηγητικούς περιπάτους στη φύση .
#goldHeads=7,1,2,7,6,7,14,9,7,11,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
#predictedHeads=7,1,2,7,6,7,0,9,7,9,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
(8,9),-0.000628173 # DEPENDENCYPART_ARC
(8,10),-0.515883 # DEPENDENCYPART_ARC
(9,1),-0.35788 # DEPENDENCYPART_ARC
(9,2),-2.13403 # DEPENDENCYPART_ARC
(9,4),-0.245089 # DEPENDENCYPART_ARC
(9,5),-1.72282 # DEPENDENCYPART_ARC
(9,6),1.48692 # DEPENDENCYPART_ARC
(9,7),-1.18017 # DEPENDENCYPART_ARC
(9,8),2.42096 # DEPENDENCYPART_ARC
(9,10),3.00078 # DEPENDENCYPART_ARC
(9,11),1.13576 # DEPENDENCYPART_ARC
(9,12),0.930036 # DEPENDENCYPART_ARC
(9,13),0.49066 # DEPENDENCYPART_ARC
(9,14),0.542455 # DEPENDENCYPART_ARC
(9,16),-0.530044 # DEPENDENCYPART_ARC
(9,17),-1.21412 # DEPENDENCYPART_ARC
(9,18),-2.85795 # DEPENDENCYPART_ARC
(9,20),-1.25732 # DEPENDENCYPART_ARC
(9,22),-1.65163 # DEPENDENCYPART_ARC
(9,23),-1.19321 # DEPENDENCYPART_ARC
(10,5),-0.679207 # DEPENDENCYPART_ARC
(10,6),-1.3678 # DEPENDENCYPART_ARC
(10,7),-3.07445 # DEPENDENCYPART_ARC
(10,9),-1.19595 # DEPENDENCYPART_ARC
(10,11),-0.0497982 # DEPENDENCYPART_ARC
(10,12),-0.399621 # DEPENDENCYPART_ARC
(10,13),-0.634963 # DEPENDENCYPART_ARC
(10,14),-1.02921 # DEPENDENCYPART_ARC
(11,1),-0.916876 # DEPENDENCYPART_ARC
(11,2),0.443258 # DEPENDENCYPART_ARC
(11,4),0.29198 # DEPENDENCYPART_ARC
(11,5),-0.0678508 # DEPENDENCYPART_ARC
(11,6),0.184167 # DEPENDENCYPART_ARC
(11,7),-0.00360123 # DEPENDENCYPART_ARC
(11,8),0.188208 # DEPENDENCYPART_ARC
(11,9),0.617337 # DEPENDENCYPART_ARC
(11,10),2.6136 # DEPENDENCYPART_ARC
(11,12),2.45822 # DEPENDENCYPART_ARC
(11,13),0.591494 # DEPENDENCYPART_ARC
(11,14),0.290707 # DEPENDENCYPART_ARC
(11,16),-0.321753 # DEPENDENCYPART_ARC
(11,17),0.028581 # DEPENDENCYPART_ARC
(11,18),0.0807326 # DEPENDENCYPART_ARC
(11,19),-0.938341 # DEPENDENCYPART_ARC
(11,20),-0.220008 # DEPENDENCYPART_ARC
(11,25),-0.214668 # DEPENDENCYPART_ARC
(12,5),-1.56901 # DEPENDENCYPART_ARC
(12,7),-3.44052 # DEPENDENCYPART_ARC
(12,9),-2.64165 # DEPENDENCYPART_ARC
(12,10),0.323355 # DEPENDENCYPART_ARC
(12,11),-0.0725677 # DEPENDENCYPART_ARC
(12,13),-0.11757 # DEPENDENCYPART_ARC
(12,14),-0.35768 # DEPENDENCYPART_ARC
(12,16),-1.09123 # DEPENDENCYPART_ARC
(12,17),-1.41817 # DEPENDENCYPART_ARC
(12,18),-2.25967 # DEPENDENCYPART_ARC
(13,2),-0.839574 # DEPENDENCYPART_ARC
(13,4),-0.763254 # DEPENDENCYPART_ARC
(13,6),-1.18415 # DEPENDENCYPART_ARC
(13,10),-0.28161 # DEPENDENCYPART_ARC
(13,11),-0.403505 # DEPENDENCYPART_ARC
(13,12),-0.146118 # DEPENDENCYPART_ARC
(13,14),-0.20531 # DEPENDENCYPART_ARC
(13,16),-0.609846 # DEPENDENCYPART_ARC
(13,17),-0.589258 # DEPENDENCYPART_ARC
(13,18),-1.06704 # DEPENDENCYPART_ARC
(13,19),-1.53349 # DEPENDENCYPART_ARC
(14,1),-1.30144 # DEPENDENCYPART_ARC
(14,2),-0.592144 # DEPENDENCYPART_ARC
(14,4),0.414543 # DEPENDENCYPART_ARC
(14,6),-0.0526006 # DEPENDENCYPART_ARC
(14,7),0.855083 # DEPENDENCYPART_ARC
(14,9),0.906206 # DEPENDENCYPART_ARC
(14,10),0.396199 # DEPENDENCYPART_ARC
(14,11),0.457111 # DEPENDENCYPART_ARC
(14,12),0.364324 # DEPENDENCYPART_ARC
(14,13),1.94138 # DEPENDENCYPART_ARC
(14,15),0.117101 # DEPENDENCYPART_ARC
(14,16),0.201944 # DEPENDENCYPART_ARC
(14,17),0.444927 # DEPENDENCYPART_ARC
(14,18),2.12611 # DEPENDENCYPART_ARC
(14,19),-0.5463 # DEPENDENCYPART_ARC
(14,20),-0.107204 # DEPENDENCYPART_ARC
(14,21),-0.575604 # DEPENDENCYPART_ARC
(14,22),-1.33559 # DEPENDENCYPART_ARC
(14,23),-0.608498 # DEPENDENCYPART_ARC
(14,24),-1.50172 # DEPENDENCYPART_ARC
(14,25),0.143122 # DEPENDENCYPART_ARC
(15,16),0.499205 # DEPENDENCYPART_ARC
(16,11),-0.780498 # DEPENDENCYPART_ARC
(16,12),-0.949131 # DEPENDENCYPART_ARC
(16,13),-0.436086 # DEPENDENCYPART_ARC
(16,14),-0.429856 # DEPENDENCYPART_ARC
(16,15),0.30236 # DEPENDENCYPART_ARC
(16,17),0.771684 # DEPENDENCYPART_ARC
(16,18),0.220933 # DEPENDENCYPART_ARC
(16,19),-1.0327 # DEPENDENCYPART_ARC
(16,20),-0.69765 # DEPENDENCYPART_ARC
(16,22),-1.87887 # DEPENDENCYPART_ARC
(16,24),-2.04013 # DEPENDENCYPART_ARC
(17,10),-1.7875 # DEPENDENCYPART_ARC
(17,12),-1.4557 # DEPENDENCYPART_ARC
(17,13),-0.448978 # DEPENDENCYPART_ARC
(17,14),0.0189304 # DEPENDENCYPART_ARC
(17,15),2.8365 # DEPENDENCYPART_ARC
(17,16),1.81261 # DEPENDENCYPART_ARC
(17,18),-0.967204 # DEPENDENCYPART_ARC
(17,19),-1.0819 # DEPENDENCYPART_ARC
(17,20),-0.535482 # DEPENDENCYPART_ARC
(17,21),-2.58531 # DEPENDENCYPART_ARC
(17,22),-2.18773 # DEPENDENCYPART_ARC
(17,23),-1.04643 # DEPENDENCYPART_ARC
(18,1),-0.677002 # DEPENDENCYPART_ARC
(18,2),-2.64209 # DEPENDENCYPART_ARC
(18,4),-0.243867 # DEPENDENCYPART_ARC
(18,6),0.183163 # DEPENDENCYPART_ARC
(18,7),-3.32897 # DEPENDENCYPART_ARC
(18,9),-3.56714 # DEPENDENCYPART_ARC
(18,10),-1.81715 # DEPENDENCYPART_ARC
(18,11),-0.0250946 # DEPENDENCYPART_ARC
(18,12),-1.35526 # DEPENDENCYPART_ARC
(18,13),0.623689 # DEPENDENCYPART_ARC
(18,14),0.22801 # DEPENDENCYPART_ARC
(18,15),-1.09803 # DEPENDENCYPART_ARC
(18,16),0.62387 # DEPENDENCYPART_ARC
(18,17),2.33024 # DEPENDENCYPART_ARC
(18,19),2.72688 # DEPENDENCYPART_ARC
(18,20),0.560745 # DEPENDENCYPART_ARC
(18,21),-1.65134 # DEPENDENCYPART_ARC
(18,22),0.365399 # DEPENDENCYPART_ARC
(18,23),-0.112054 # DEPENDENCYPART_ARC
(18,24),-1.43844 # DEPENDENCYPART_ARC
(18,25),-0.251707 # DEPENDENCYPART_ARC
(19,16),-0.763794 # DEPENDENCYPART_ARC
(19,17),-1.51645 # DEPENDENCYPART_ARC
(19,18),-1.76506 # DEPENDENCYPART_ARC
(19,20),1.05654 # DEPENDENCYPART_ARC
(19,21),-0.433414 # DEPENDENCYPART_ARC
(19,22),-0.566606 # DEPENDENCYPART_ARC
(19,23),-0.270546 # DEPENDENCYPART_ARC
(19,24),-1.33469 # DEPENDENCYPART_ARC
(20,17),-1.08632 # DEPENDENCYPART_ARC
(20,19),0.0248756 # DEPENDENCYPART_ARC
(20,21),1.15674 # DEPENDENCYPART_ARC
(20,22),2.46581 # DEPENDENCYPART_ARC
(20,24),0.70436 # DEPENDENCYPART_ARC
(20,25),-0.0647544 # DEPENDENCYPART_ARC
(21,19),-0.87913 # DEPENDENCYPART_ARC
(21,20),-0.469648 # DEPENDENCYPART_ARC
(21,22),0.0975599 # DEPENDENCYPART_ARC
(21,23),-0.595466 # DEPENDENCYPART_ARC
(21,24),-0.841255 # DEPENDENCYPART_ARC
(22,15),-1.29219 # DEPENDENCYPART_ARC
(22,17),-2.18023 # DEPENDENCYPART_ARC
(22,19),-0.857418 # DEPENDENCYPART_ARC
(22,20),0.381323 # DEPENDENCYPART_ARC
(22,21),3.64777 # DEPENDENCYPART_ARC
(22,23),0.381259 # DEPENDENCYPART_ARC
(22,24),-0.115254 # DEPENDENCYPART_ARC
(22,25),0.100406 # DEPENDENCYPART_ARC
(23,21),-1.02733 # DEPENDENCYPART_ARC
(23,24),2.95763 # DEPENDENCYPART_ARC
(23,25),-0.146412 # DEPENDENCYPART_ARC
(24,15),-1.86047 # DEPENDENCYPART_ARC
(24,19),-2.29011 # DEPENDENCYPART_ARC
(24,21),-1.71871 # DEPENDENCYPART_ARC
(24,22),-1.96942 # DEPENDENCYPART_ARC
(24,23),0.309177 # DEPENDENCYPART_ARC
(24,25),0.107565 # DEPENDENCYPART_ARC
(25,23),-1.97406 # DEPENDENCYPART_ARC
(25,24),-1.82877 # DEPENDENCYPART_ARC
