# _root_ Επομένως όταν οι άνθρωποι βρίσκονται κοντά σε πηγές , ο οργανισμός τους αντιδρά , αυξάνοντας τον καρδιακό παλμό και την αρτηριακή πίεση ή προκαλώντας ορμονικές αλλαγές .
#goldHeads=13,13,4,5,2,5,6,7,2,11,13,11,0,23,23,18,18,19,15,22,22,19,13,23,26,24,0,
#predictedHeads=5,13,4,5,2,5,5,7,13,11,13,11,0,13,13,18,18,19,15,22,22,19,15,23,26,24,0,
(13,5),-1.79369 # DEPENDENCYPART_ARC
(13,6),0.391624 # DEPENDENCYPART_ARC
(13,7),0.378847 # DEPENDENCYPART_ARC
(13,8),-1.74395 # DEPENDENCYPART_ARC
(13,9),1.26139 # DEPENDENCYPART_ARC
(13,10),-0.607974 # DEPENDENCYPART_ARC
(13,11),1.95823 # DEPENDENCYPART_ARC
(13,12),-0.521348 # DEPENDENCYPART_ARC
(13,14),0.901532 # DEPENDENCYPART_ARC
(13,15),4.673 # DEPENDENCYPART_ARC
(13,17),-2.40692 # DEPENDENCYPART_ARC
(13,18),0.433313 # DEPENDENCYPART_ARC
(13,19),-0.348043 # DEPENDENCYPART_ARC
(13,21),-3.09704 # DEPENDENCYPART_ARC
(13,22),-0.631144 # DEPENDENCYPART_ARC
(13,23),-0.456785 # DEPENDENCYPART_ARC
(13,26),-1.11445 # DEPENDENCYPART_ARC
(14,13),-0.364328 # DEPENDENCYPART_ARC
(14,15),-0.587038 # DEPENDENCYPART_ARC
(14,17),-1.31529 # DEPENDENCYPART_ARC
(15,1),-0.479011 # DEPENDENCYPART_ARC
(15,2),0.489829 # DEPENDENCYPART_ARC
(15,4),-1.16828 # DEPENDENCYPART_ARC
(15,5),-4.29134 # DEPENDENCYPART_ARC
(15,6),-0.773544 # DEPENDENCYPART_ARC
(15,7),-0.589514 # DEPENDENCYPART_ARC
(15,8),-2.35533 # DEPENDENCYPART_ARC
(15,9),0.0559146 # DEPENDENCYPART_ARC
(15,10),-1.62877 # DEPENDENCYPART_ARC
(15,11),-0.546483 # DEPENDENCYPART_ARC
(15,13),-1.28 # DEPENDENCYPART_ARC
(15,14),0.422231 # DEPENDENCYPART_ARC
(15,16),-0.491707 # DEPENDENCYPART_ARC
(15,17),0.113749 # DEPENDENCYPART_ARC
(15,18),1.71634 # DEPENDENCYPART_ARC
(15,19),0.536007 # DEPENDENCYPART_ARC
(15,21),-1.98141 # DEPENDENCYPART_ARC
(15,22),0.687524 # DEPENDENCYPART_ARC
(15,23),0.337234 # DEPENDENCYPART_ARC
(15,24),-1.01468 # DEPENDENCYPART_ARC
(15,26),-0.0200695 # DEPENDENCYPART_ARC
(17,16),0.384956 # DEPENDENCYPART_ARC
(17,18),0.23762 # DEPENDENCYPART_ARC
(17,22),-1.26516 # DEPENDENCYPART_ARC
(18,10),-0.593574 # DEPENDENCYPART_ARC
(18,15),-1.20367 # DEPENDENCYPART_ARC
(18,16),2.73962 # DEPENDENCYPART_ARC
(18,17),3.29091 # DEPENDENCYPART_ARC
(18,19),0.0969833 # DEPENDENCYPART_ARC
(18,20),-1.09391 # DEPENDENCYPART_ARC
(18,21),-0.865887 # DEPENDENCYPART_ARC
(18,22),-1.19842 # DEPENDENCYPART_ARC
(19,1),-0.637344 # DEPENDENCYPART_ARC
(19,2),-0.240386 # DEPENDENCYPART_ARC
(19,4),0.0171978 # DEPENDENCYPART_ARC
(19,5),-0.875519 # DEPENDENCYPART_ARC
(19,6),-0.537545 # DEPENDENCYPART_ARC
(19,7),-0.784891 # DEPENDENCYPART_ARC
(19,8),0.933292 # DEPENDENCYPART_ARC
(19,9),0.524689 # DEPENDENCYPART_ARC
(19,11),0.57868 # DEPENDENCYPART_ARC
(19,13),-0.492437 # DEPENDENCYPART_ARC
(19,14),0.0431844 # DEPENDENCYPART_ARC
(19,15),0.583009 # DEPENDENCYPART_ARC
(19,16),0.311585 # DEPENDENCYPART_ARC
(19,17),0.630126 # DEPENDENCYPART_ARC
(19,18),1.85137 # DEPENDENCYPART_ARC
(19,20),-0.287232 # DEPENDENCYPART_ARC
(19,21),1.02344 # DEPENDENCYPART_ARC
(19,22),1.46752 # DEPENDENCYPART_ARC
(19,23),-0.243728 # DEPENDENCYPART_ARC
(19,24),0.621059 # DEPENDENCYPART_ARC
(19,25),-0.72289 # DEPENDENCYPART_ARC
(19,26),-0.262261 # DEPENDENCYPART_ARC
(21,18),-1.34528 # DEPENDENCYPART_ARC
(21,19),-0.576984 # DEPENDENCYPART_ARC
(21,20),0.73388 # DEPENDENCYPART_ARC
(21,22),0.190756 # DEPENDENCYPART_ARC
(21,24),-1.45249 # DEPENDENCYPART_ARC
(21,26),-1.81727 # DEPENDENCYPART_ARC
(22,16),-0.3654 # DEPENDENCYPART_ARC
(22,17),0.0104498 # DEPENDENCYPART_ARC
(22,18),-0.994777 # DEPENDENCYPART_ARC
(22,19),-0.000431654 # DEPENDENCYPART_ARC
(22,20),2.79505 # DEPENDENCYPART_ARC
(22,21),3.25539 # DEPENDENCYPART_ARC
(22,23),-0.0403854 # DEPENDENCYPART_ARC
(22,24),-1.46995 # DEPENDENCYPART_ARC
(22,25),-1.81969 # DEPENDENCYPART_ARC
(22,26),-2.15084 # DEPENDENCYPART_ARC
(23,1),-0.592075 # DEPENDENCYPART_ARC
(23,2),-0.0449523 # DEPENDENCYPART_ARC
(23,4),0.535756 # DEPENDENCYPART_ARC
(23,5),-0.112129 # DEPENDENCYPART_ARC
(23,6),-0.235559 # DEPENDENCYPART_ARC
(23,7),-0.304193 # DEPENDENCYPART_ARC
(23,8),0.607445 # DEPENDENCYPART_ARC
(23,9),-0.145041 # DEPENDENCYPART_ARC
(23,11),0.223802 # DEPENDENCYPART_ARC
(23,13),0.0941079 # DEPENDENCYPART_ARC
(23,14),0.16078 # DEPENDENCYPART_ARC
(23,15),1.23616 # DEPENDENCYPART_ARC
(23,17),0.0933732 # DEPENDENCYPART_ARC
(23,18),0.303085 # DEPENDENCYPART_ARC
(23,19),0.256832 # DEPENDENCYPART_ARC
(23,20),0.755534 # DEPENDENCYPART_ARC
(23,21),0.864615 # DEPENDENCYPART_ARC
(23,22),0.62555 # DEPENDENCYPART_ARC
(23,24),2.44527 # DEPENDENCYPART_ARC
(23,25),0.104739 # DEPENDENCYPART_ARC
(23,26),0.370952 # DEPENDENCYPART_ARC
(24,1),-1.95714 # DEPENDENCYPART_ARC
(24,2),-0.776239 # DEPENDENCYPART_ARC
(24,7),-1.50763 # DEPENDENCYPART_ARC
(24,11),-2.86989 # DEPENDENCYPART_ARC
(24,14),-1.32932 # DEPENDENCYPART_ARC
(24,15),-3.62542 # DEPENDENCYPART_ARC
(24,17),-3.04475 # DEPENDENCYPART_ARC
(24,18),-3.81053 # DEPENDENCYPART_ARC
(24,19),-1.18285 # DEPENDENCYPART_ARC
(24,20),-1.46325 # DEPENDENCYPART_ARC
(24,21),-2.821 # DEPENDENCYPART_ARC
(24,22),-2.44956 # DEPENDENCYPART_ARC
(24,23),-0.292951 # DEPENDENCYPART_ARC
(24,25),-0.107773 # DEPENDENCYPART_ARC
(24,26),2.77769 # DEPENDENCYPART_ARC
(24,27),0.290661 # DEPENDENCYPART_ARC
(25,22),-2.01682 # DEPENDENCYPART_ARC
(25,24),-1.03469 # DEPENDENCYPART_ARC
(25,26),-0.45227 # DEPENDENCYPART_ARC
(26,16),-1.4966 # DEPENDENCYPART_ARC
(26,20),0.230154 # DEPENDENCYPART_ARC
(26,21),0.176211 # DEPENDENCYPART_ARC
(26,22),-0.897035 # DEPENDENCYPART_ARC
(26,23),0.00654465 # DEPENDENCYPART_ARC
(26,24),-0.268115 # DEPENDENCYPART_ARC
(26,25),3.84359 # DEPENDENCYPART_ARC
(27,24),-2.25411 # DEPENDENCYPART_ARC
(27,25),-1.90285 # DEPENDENCYPART_ARC
(27,26),-2.13905 # DEPENDENCYPART_ARC
