# _root_ * Επισκεφθείτε τις ερημικές παραλίες της νότιας Ρόδου , από το Πρασονήσι έως το Πλυμήρι , που προσφέρονται για απομόνωση και ηρεμία .
#goldHeads=0,0,5,5,2,8,8,5,2,5,12,10,5,15,13,18,18,5,18,21,19,21,0,
#predictedHeads=0,0,5,5,2,8,8,5,2,2,12,10,12,15,13,18,18,5,18,21,19,21,0,
(15,20),-1.45206 # DEPENDENCYPART_ARC
(15,22),-2.22484 # DEPENDENCYPART_ARC
(16,1),-0.970878 # DEPENDENCYPART_ARC
(16,2),-1.03918 # DEPENDENCYPART_ARC
(16,5),-0.469153 # DEPENDENCYPART_ARC
(16,8),-0.812827 # DEPENDENCYPART_ARC
(16,9),-0.830218 # DEPENDENCYPART_ARC
(16,10),-0.465401 # DEPENDENCYPART_ARC
(16,12),-0.633717 # DEPENDENCYPART_ARC
(16,13),-0.152762 # DEPENDENCYPART_ARC
(16,15),-0.345454 # DEPENDENCYPART_ARC
(16,17),-0.513585 # DEPENDENCYPART_ARC
(16,18),-0.295988 # DEPENDENCYPART_ARC
(16,19),-0.444133 # DEPENDENCYPART_ARC
(16,20),-0.529731 # DEPENDENCYPART_ARC
(16,22),-0.860551 # DEPENDENCYPART_ARC
(16,23),0.0587504 # DEPENDENCYPART_ARC
(17,16),0.0110154 # DEPENDENCYPART_ARC
(17,18),-0.788401 # DEPENDENCYPART_ARC
(18,1),-1.52355 # DEPENDENCYPART_ARC
(18,2),-4.46159 # DEPENDENCYPART_ARC
(18,4),-1.51406 # DEPENDENCYPART_ARC
(18,5),-1.74015 # DEPENDENCYPART_ARC
(18,7),-3.4822 # DEPENDENCYPART_ARC
(18,8),-4.4379 # DEPENDENCYPART_ARC
(18,9),0.0378721 # DEPENDENCYPART_ARC
(18,10),-0.534113 # DEPENDENCYPART_ARC
(18,12),-1.94241 # DEPENDENCYPART_ARC
(18,13),-0.237091 # DEPENDENCYPART_ARC
(18,14),-0.730449 # DEPENDENCYPART_ARC
(18,15),-1.72519 # DEPENDENCYPART_ARC
(18,16),1.12491 # DEPENDENCYPART_ARC
(18,17),3.51257 # DEPENDENCYPART_ARC
(18,19),2.00524 # DEPENDENCYPART_ARC
(18,20),0.217537 # DEPENDENCYPART_ARC
(18,21),0.351718 # DEPENDENCYPART_ARC
(18,22),-0.847242 # DEPENDENCYPART_ARC
(18,23),0.131574 # DEPENDENCYPART_ARC
(19,20),2.72317 # DEPENDENCYPART_ARC
(19,21),1.21361 # DEPENDENCYPART_ARC
(19,22),0.257149 # DEPENDENCYPART_ARC
(19,23),-0.38 # DEPENDENCYPART_ARC
(20,17),-3.54661 # DEPENDENCYPART_ARC
(20,19),-0.407584 # DEPENDENCYPART_ARC
(20,21),-0.0454191 # DEPENDENCYPART_ARC
(20,22),-0.674439 # DEPENDENCYPART_ARC
(21,1),-1.66279 # DEPENDENCYPART_ARC
(21,2),-0.867403 # DEPENDENCYPART_ARC
(21,4),-1.30467 # DEPENDENCYPART_ARC
(21,5),-0.659382 # DEPENDENCYPART_ARC
(21,7),-1.09813 # DEPENDENCYPART_ARC
(21,8),-0.354206 # DEPENDENCYPART_ARC
(21,9),-0.753453 # DEPENDENCYPART_ARC
(21,10),-1.43733 # DEPENDENCYPART_ARC
(21,12),-0.413415 # DEPENDENCYPART_ARC
(21,13),-0.586 # DEPENDENCYPART_ARC
(21,15),0.260111 # DEPENDENCYPART_ARC
(21,16),-0.0926037 # DEPENDENCYPART_ARC
(21,17),0.607398 # DEPENDENCYPART_ARC
(21,18),0.664193 # DEPENDENCYPART_ARC
(21,19),0.701932 # DEPENDENCYPART_ARC
(21,20),3.13831 # DEPENDENCYPART_ARC
(21,22),2.61916 # DEPENDENCYPART_ARC
(21,23),0.214542 # DEPENDENCYPART_ARC
(22,14),-1.39052 # DEPENDENCYPART_ARC
(22,17),-2.86118 # DEPENDENCYPART_ARC
(22,19),-0.560596 # DEPENDENCYPART_ARC
(22,20),0.237605 # DEPENDENCYPART_ARC
(22,21),0.0939819 # DEPENDENCYPART_ARC
(22,23),0.146645 # DEPENDENCYPART_ARC
(23,1),-2.20617 # DEPENDENCYPART_ARC
(23,2),-3.31544 # DEPENDENCYPART_ARC
(23,20),-1.92534 # DEPENDENCYPART_ARC
(23,22),-1.95158 # DEPENDENCYPART_ARC
