# _root_ Εκτός από την σωρεία καταχρήσεων μεγάλης κλίμακας , διαπράττονται και πολλές καταχρήσεις σε μικρή κλίμακα , διότι ο τομέας των μεταφορών χαρακτηρίζεται σε μεγάλο βαθμό από καταχρήσεις .
#goldHeads=9,1,5,5,2,7,5,9,0,12,12,9,9,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
#predictedHeads=9,1,4,2,4,7,5,9,0,12,12,9,12,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
(8,11),-1.13852 # DEPENDENCYPART_ARC
(8,12),-1.29376 # DEPENDENCYPART_ARC
(8,17),-0.868468 # DEPENDENCYPART_ARC
(9,1),0.834033 # DEPENDENCYPART_ARC
(9,2),-0.301777 # DEPENDENCYPART_ARC
(9,4),-0.903198 # DEPENDENCYPART_ARC
(9,5),-2.20338 # DEPENDENCYPART_ARC
(9,6),-1.85875 # DEPENDENCYPART_ARC
(9,7),-2.43191 # DEPENDENCYPART_ARC
(9,8),1.05379 # DEPENDENCYPART_ARC
(9,10),0.436847 # DEPENDENCYPART_ARC
(9,11),-0.320571 # DEPENDENCYPART_ARC
(9,12),1.01527 # DEPENDENCYPART_ARC
(9,13),0.556504 # DEPENDENCYPART_ARC
(9,14),-2.27204 # DEPENDENCYPART_ARC
(9,15),-1.26841 # DEPENDENCYPART_ARC
(9,16),0.488516 # DEPENDENCYPART_ARC
(9,17),0.570895 # DEPENDENCYPART_ARC
(9,19),-2.16138 # DEPENDENCYPART_ARC
(9,21),-3.33814 # DEPENDENCYPART_ARC
(9,22),-5.38684 # DEPENDENCYPART_ARC
(9,23),-0.944914 # DEPENDENCYPART_ARC
(9,25),-3.56899 # DEPENDENCYPART_ARC
(9,26),-1.573 # DEPENDENCYPART_ARC
(10,1),0.0292507 # DEPENDENCYPART_ARC
(10,2),-0.527879 # DEPENDENCYPART_ARC
(10,4),0.211483 # DEPENDENCYPART_ARC
(10,5),0.766011 # DEPENDENCYPART_ARC
(10,6),0.433254 # DEPENDENCYPART_ARC
(10,7),0.798776 # DEPENDENCYPART_ARC
(10,8),0.77306 # DEPENDENCYPART_ARC
(10,9),1.56434 # DEPENDENCYPART_ARC
(10,11),1.58301 # DEPENDENCYPART_ARC
(10,12),0.309056 # DEPENDENCYPART_ARC
(10,13),-0.371795 # DEPENDENCYPART_ARC
(10,14),-0.212861 # DEPENDENCYPART_ARC
(10,15),-1.03894 # DEPENDENCYPART_ARC
(10,16),-0.127185 # DEPENDENCYPART_ARC
(10,17),-0.639662 # DEPENDENCYPART_ARC
(10,19),-2.09346 # DEPENDENCYPART_ARC
(10,22),-1.00598 # DEPENDENCYPART_ARC
(10,23),-1.76889 # DEPENDENCYPART_ARC
(11,10),0.308341 # DEPENDENCYPART_ARC
(11,12),-0.63361 # DEPENDENCYPART_ARC
(11,13),-0.503144 # DEPENDENCYPART_ARC
(11,14),-2.37554 # DEPENDENCYPART_ARC
(11,15),-1.56954 # DEPENDENCYPART_ARC
(12,1),-1.25685 # DEPENDENCYPART_ARC
(12,3),-0.714834 # DEPENDENCYPART_ARC
(12,6),-1.62817 # DEPENDENCYPART_ARC
(12,7),-1.61903 # DEPENDENCYPART_ARC
(12,10),1.19501 # DEPENDENCYPART_ARC
(12,11),2.72351 # DEPENDENCYPART_ARC
(12,13),0.898327 # DEPENDENCYPART_ARC
(12,14),-0.110935 # DEPENDENCYPART_ARC
(12,15),-0.860203 # DEPENDENCYPART_ARC
(12,16),0.0861869 # DEPENDENCYPART_ARC
(12,17),-0.386593 # DEPENDENCYPART_ARC
(12,19),-2.4343 # DEPENDENCYPART_ARC
(12,22),-1.49761 # DEPENDENCYPART_ARC
(12,23),-1.39997 # DEPENDENCYPART_ARC
(12,26),-1.10595 # DEPENDENCYPART_ARC
(13,10),0.0186478 # DEPENDENCYPART_ARC
(13,12),-0.856824 # DEPENDENCYPART_ARC
(13,14),0.971413 # DEPENDENCYPART_ARC
(13,15),2.33172 # DEPENDENCYPART_ARC
(13,16),0.257027 # DEPENDENCYPART_ARC
(13,17),0.146227 # DEPENDENCYPART_ARC
(13,19),-0.66979 # DEPENDENCYPART_ARC
(13,21),-1.6043 # DEPENDENCYPART_ARC
(14,12),-2.31883 # DEPENDENCYPART_ARC
(14,15),0.185057 # DEPENDENCYPART_ARC
(14,16),-0.333286 # DEPENDENCYPART_ARC
(14,17),-0.358894 # DEPENDENCYPART_ARC
(14,19),-1.47055 # DEPENDENCYPART_ARC
(14,21),-0.880624 # DEPENDENCYPART_ARC
(15,10),0.381867 # DEPENDENCYPART_ARC
(15,11),-0.316849 # DEPENDENCYPART_ARC
(15,12),-1.3164 # DEPENDENCYPART_ARC
(15,13),0.279803 # DEPENDENCYPART_ARC
(15,14),3.22437 # DEPENDENCYPART_ARC
(15,16),0.0662756 # DEPENDENCYPART_ARC
(15,17),-0.161934 # DEPENDENCYPART_ARC
(15,19),-1.58347 # DEPENDENCYPART_ARC
(15,21),-0.876946 # DEPENDENCYPART_ARC
(15,22),-1.74304 # DEPENDENCYPART_ARC
(16,11),-0.680561 # DEPENDENCYPART_ARC
(16,12),-0.324431 # DEPENDENCYPART_ARC
(16,13),-0.20017 # DEPENDENCYPART_ARC
(16,14),-0.325904 # DEPENDENCYPART_ARC
(16,15),-0.232445 # DEPENDENCYPART_ARC
(16,17),-0.267492 # DEPENDENCYPART_ARC
(16,19),-0.251591 # DEPENDENCYPART_ARC
(16,21),-0.721077 # DEPENDENCYPART_ARC
(16,22),-0.952198 # DEPENDENCYPART_ARC
(16,25),-1.64321 # DEPENDENCYPART_ARC
(17,16),1.83004 # DEPENDENCYPART_ARC
(17,18),0.405881 # DEPENDENCYPART_ARC
(17,22),1.88181 # DEPENDENCYPART_ARC
(19,14),-1.04946 # DEPENDENCYPART_ARC
(19,15),-2.32635 # DEPENDENCYPART_ARC
(19,18),2.73419 # DEPENDENCYPART_ARC
(19,20),-0.375873 # DEPENDENCYPART_ARC
(19,21),2.15938 # DEPENDENCYPART_ARC
(19,22),-0.280788 # DEPENDENCYPART_ARC
(19,23),-0.360803 # DEPENDENCYPART_ARC
(19,24),-1.58967 # DEPENDENCYPART_ARC
(19,25),-1.3663 # DEPENDENCYPART_ARC
(19,26),-0.516197 # DEPENDENCYPART_ARC
(19,27),-2.26127 # DEPENDENCYPART_ARC
(21,18),-2.0097 # DEPENDENCYPART_ARC
(21,19),-2.10994 # DEPENDENCYPART_ARC
(21,20),3.20727 # DEPENDENCYPART_ARC
(21,22),-1.37425 # DEPENDENCYPART_ARC
(21,23),-1.22294 # DEPENDENCYPART_ARC
(21,24),-2.29786 # DEPENDENCYPART_ARC
(21,25),-2.49347 # DEPENDENCYPART_ARC
(21,26),-1.50808 # DEPENDENCYPART_ARC
(22,1),0.28975 # DEPENDENCYPART_ARC
(22,2),-1.62615 # DEPENDENCYPART_ARC
(22,4),-1.7177 # DEPENDENCYPART_ARC
(22,5),-4.21073 # DEPENDENCYPART_ARC
(22,6),-3.67289 # DEPENDENCYPART_ARC
(22,7),-3.11776 # DEPENDENCYPART_ARC
(22,8),0.265961 # DEPENDENCYPART_ARC
(22,9),-2.8601 # DEPENDENCYPART_ARC
(22,10),-0.104598 # DEPENDENCYPART_ARC
(22,11),-1.09075 # DEPENDENCYPART_ARC
(22,12),-2.03928 # DEPENDENCYPART_ARC
(22,13),-0.0149813 # DEPENDENCYPART_ARC
(22,14),-1.11905 # DEPENDENCYPART_ARC
(22,15),-1.39384 # DEPENDENCYPART_ARC
(22,16),0.711233 # DEPENDENCYPART_ARC
(22,17),0.315722 # DEPENDENCYPART_ARC
(22,18),-1.37842 # DEPENDENCYPART_ARC
(22,19),2.14727 # DEPENDENCYPART_ARC
(22,20),-1.69246 # DEPENDENCYPART_ARC
(22,21),-0.945082 # DEPENDENCYPART_ARC
(22,23),2.08304 # DEPENDENCYPART_ARC
(22,24),-0.965054 # DEPENDENCYPART_ARC
(22,25),0.457193 # DEPENDENCYPART_ARC
(22,26),0.861725 # DEPENDENCYPART_ARC
(22,27),-1.68209 # DEPENDENCYPART_ARC
(22,28),0.326456 # DEPENDENCYPART_ARC
(23,21),-1.17998 # DEPENDENCYPART_ARC
(23,24),1.08627 # DEPENDENCYPART_ARC
(23,25),2.6353 # DEPENDENCYPART_ARC
(23,26),-0.212663 # DEPENDENCYPART_ARC
(23,27),0.898208 # DEPENDENCYPART_ARC
(24,21),-2.85988 # DEPENDENCYPART_ARC
(24,23),-0.402784 # DEPENDENCYPART_ARC
(24,25),0.173487 # DEPENDENCYPART_ARC
(24,26),-0.425485 # DEPENDENCYPART_ARC
(24,27),-1.34943 # DEPENDENCYPART_ARC
(25,18),-0.860874 # DEPENDENCYPART_ARC
(25,19),-0.957024 # DEPENDENCYPART_ARC
(25,20),-1.00063 # DEPENDENCYPART_ARC
(25,21),-1.98217 # DEPENDENCYPART_ARC
(25,23),0.435625 # DEPENDENCYPART_ARC
(25,24),3.27266 # DEPENDENCYPART_ARC
(25,26),0.538873 # DEPENDENCYPART_ARC
(25,27),-0.335823 # DEPENDENCYPART_ARC
(26,23),-0.455674 # DEPENDENCYPART_ARC
(26,25),-1.07723 # DEPENDENCYPART_ARC
(26,27),2.71153 # DEPENDENCYPART_ARC
(26,28),0.13358 # DEPENDENCYPART_ARC
(27,20),-1.30437 # DEPENDENCYPART_ARC
(27,23),-1.59006 # DEPENDENCYPART_ARC
(27,24),-1.50184 # DEPENDENCYPART_ARC
(27,25),-1.6578 # DEPENDENCYPART_ARC
(27,26),-0.215015 # DEPENDENCYPART_ARC
(28,25),-2.01741 # DEPENDENCYPART_ARC
(28,26),-1.88879 # DEPENDENCYPART_ARC
(28,27),-1.84687 # DEPENDENCYPART_ARC
