# _root_ Στην αρχή υπήρξαν , επίσης , προβλήματα στην κατανομή των πόρων του προγράμματος στις εθνικές υπηρεσίες .
#goldHeads=3,1,0,5,3,5,3,7,8,11,9,13,11,9,16,14,0,
#predictedHeads=3,1,0,5,3,5,3,3,8,11,9,13,11,9,16,14,0,
(14,17),0.129068 # DEPENDENCYPART_ARC
(15,7),-2.04976 # DEPENDENCYPART_ARC
(15,12),-0.975776 # DEPENDENCYPART_ARC
(15,13),-1.45953 # DEPENDENCYPART_ARC
(15,16),0.0666365 # DEPENDENCYPART_ARC
(15,17),-0.230028 # DEPENDENCYPART_ARC
(16,3),-3.30903 # DEPENDENCYPART_ARC
(16,5),-1.02892 # DEPENDENCYPART_ARC
(16,10),-0.960878 # DEPENDENCYPART_ARC
(16,11),-0.767859 # DEPENDENCYPART_ARC
(16,12),-0.827422 # DEPENDENCYPART_ARC
(16,13),-0.981622 # DEPENDENCYPART_ARC
(16,14),0.57762 # DEPENDENCYPART_ARC
(16,15),3.69817 # DEPENDENCYPART_ARC
(16,17),0.139676 # DEPENDENCYPART_ARC
(17,3),-3.12948 # DEPENDENCYPART_ARC
(17,7),-2.49052 # DEPENDENCYPART_ARC
(17,8),-2.67827 # DEPENDENCYPART_ARC
(17,14),-1.9241 # DEPENDENCYPART_ARC
(17,16),-2.11927 # DEPENDENCYPART_ARC
