# _root_ Στις διάφορες δράσεις κατέστη δυνατόν , όπως επιθυμούσαμε , να γίνει ισόρροπη κατανομή πόρων μεταξύ ανταλλαγής νέων και εθελοντικής υπηρεσίας .
#goldHeads=4,3,1,0,4,8,8,4,8,11,4,13,11,13,13,18,16,15,20,18,0,
#predictedHeads=4,3,1,0,4,8,8,4,8,11,8,13,11,13,14,15,18,20,18,16,0,
(8,7),2.08314 # DEPENDENCYPART_ARC
(8,9),0.813931 # DEPENDENCYPART_ARC
(8,10),-0.206544 # DEPENDENCYPART_ARC
(8,11),-0.652725 # DEPENDENCYPART_ARC
(8,12),-1.45315 # DEPENDENCYPART_ARC
(8,13),-0.582626 # DEPENDENCYPART_ARC
(8,14),-3.05464 # DEPENDENCYPART_ARC
(8,15),-0.708222 # DEPENDENCYPART_ARC
(8,16),-3.02156 # DEPENDENCYPART_ARC
(8,18),-0.335906 # DEPENDENCYPART_ARC
(8,21),-0.497405 # DEPENDENCYPART_ARC
(9,1),-0.772207 # DEPENDENCYPART_ARC
(9,2),-1.02494 # DEPENDENCYPART_ARC
(9,3),-1.15082 # DEPENDENCYPART_ARC
(9,4),-1.06058 # DEPENDENCYPART_ARC
(9,5),-1.03956 # DEPENDENCYPART_ARC
(9,6),-0.516753 # DEPENDENCYPART_ARC
(9,7),-0.81794 # DEPENDENCYPART_ARC
(9,8),-0.42724 # DEPENDENCYPART_ARC
(9,11),-0.746868 # DEPENDENCYPART_ARC
(9,12),-0.735987 # DEPENDENCYPART_ARC
(9,13),-1.00586 # DEPENDENCYPART_ARC
(9,17),-1.30363 # DEPENDENCYPART_ARC
(9,19),-1.10645 # DEPENDENCYPART_ARC
(10,13),-0.690773 # DEPENDENCYPART_ARC
(11,1),-0.26549 # DEPENDENCYPART_ARC
(11,2),-2.50697 # DEPENDENCYPART_ARC
(11,3),-2.62114 # DEPENDENCYPART_ARC
(11,4),-5.43004 # DEPENDENCYPART_ARC
(11,5),-2.58631 # DEPENDENCYPART_ARC
(11,6),-0.0484564 # DEPENDENCYPART_ARC
(11,7),-0.00457422 # DEPENDENCYPART_ARC
(11,8),-0.794941 # DEPENDENCYPART_ARC
(11,9),0.326629 # DEPENDENCYPART_ARC
(11,10),2.15825 # DEPENDENCYPART_ARC
(11,12),1.19163 # DEPENDENCYPART_ARC
(11,13),2.24502 # DEPENDENCYPART_ARC
(11,14),-0.847602 # DEPENDENCYPART_ARC
(11,15),-0.0677771 # DEPENDENCYPART_ARC
(11,16),-1.19008 # DEPENDENCYPART_ARC
(11,17),-1.69439 # DEPENDENCYPART_ARC
(11,18),-0.264436 # DEPENDENCYPART_ARC
(11,19),-2.37213 # DEPENDENCYPART_ARC
(11,20),-1.88826 # DEPENDENCYPART_ARC
(11,21),-0.200557 # DEPENDENCYPART_ARC
(12,7),-1.15996 # DEPENDENCYPART_ARC
(12,9),-0.68209 # DEPENDENCYPART_ARC
(12,11),-1.36523 # DEPENDENCYPART_ARC
(12,13),-0.737344 # DEPENDENCYPART_ARC
(12,14),0.278366 # DEPENDENCYPART_ARC
(12,16),-0.724954 # DEPENDENCYPART_ARC
(13,8),-3.54687 # DEPENDENCYPART_ARC
(13,9),-0.489493 # DEPENDENCYPART_ARC
(13,11),-0.409163 # DEPENDENCYPART_ARC
(13,12),3.1507 # DEPENDENCYPART_ARC
(13,14),2.24154 # DEPENDENCYPART_ARC
(13,15),0.616816 # DEPENDENCYPART_ARC
(13,16),0.614241 # DEPENDENCYPART_ARC
(13,17),-0.621757 # DEPENDENCYPART_ARC
(13,18),-0.0534686 # DEPENDENCYPART_ARC
(13,19),-1.13595 # DEPENDENCYPART_ARC
(13,20),-0.475996 # DEPENDENCYPART_ARC
(14,9),-0.333631 # DEPENDENCYPART_ARC
(14,12),0.343991 # DEPENDENCYPART_ARC
(14,13),0.0615595 # DEPENDENCYPART_ARC
(14,15),1.13119 # DEPENDENCYPART_ARC
(14,16),1.55907 # DEPENDENCYPART_ARC
(14,17),0.628287 # DEPENDENCYPART_ARC
(14,18),-0.196389 # DEPENDENCYPART_ARC
(14,19),-0.041913 # DEPENDENCYPART_ARC
(15,12),-0.963151 # DEPENDENCYPART_ARC
(15,13),-0.698264 # DEPENDENCYPART_ARC
(15,14),-0.0792275 # DEPENDENCYPART_ARC
(15,16),1.83726 # DEPENDENCYPART_ARC
(15,17),0.32892 # DEPENDENCYPART_ARC
(15,18),0.593082 # DEPENDENCYPART_ARC
(15,20),0.446862 # DEPENDENCYPART_ARC
(15,21),-0.275721 # DEPENDENCYPART_ARC
(16,12),-1.44733 # DEPENDENCYPART_ARC
(16,13),-1.52994 # DEPENDENCYPART_ARC
(16,14),-1.10629 # DEPENDENCYPART_ARC
(16,15),0.54229 # DEPENDENCYPART_ARC
(16,17),1.14093 # DEPENDENCYPART_ARC
(16,18),0.288386 # DEPENDENCYPART_ARC
(16,19),0.168144 # DEPENDENCYPART_ARC
(16,20),1.01769 # DEPENDENCYPART_ARC
(16,21),-0.0586369 # DEPENDENCYPART_ARC
(17,14),-1.30176 # DEPENDENCYPART_ARC
(17,15),-0.401295 # DEPENDENCYPART_ARC
(17,16),-1.22495 # DEPENDENCYPART_ARC
(17,18),-0.0333794 # DEPENDENCYPART_ARC
(17,19),-1.4624 # DEPENDENCYPART_ARC
(17,20),-0.214569 # DEPENDENCYPART_ARC
(18,1),-1.11523 # DEPENDENCYPART_ARC
(18,2),-0.633031 # DEPENDENCYPART_ARC
(18,3),-0.615616 # DEPENDENCYPART_ARC
(18,4),-0.801129 # DEPENDENCYPART_ARC
(18,5),-0.131677 # DEPENDENCYPART_ARC
(18,6),-0.573422 # DEPENDENCYPART_ARC
(18,7),-0.321381 # DEPENDENCYPART_ARC
(18,8),-1.01106 # DEPENDENCYPART_ARC
(18,9),-0.149647 # DEPENDENCYPART_ARC
(18,11),0.392132 # DEPENDENCYPART_ARC
(18,12),0.102161 # DEPENDENCYPART_ARC
(18,13),0.0072511 # DEPENDENCYPART_ARC
(18,14),0.29158 # DEPENDENCYPART_ARC
(18,15),0.0805734 # DEPENDENCYPART_ARC
(18,16),0.691748 # DEPENDENCYPART_ARC
(18,17),2.25223 # DEPENDENCYPART_ARC
(18,19),3.68925 # DEPENDENCYPART_ARC
(18,20),0.323818 # DEPENDENCYPART_ARC
(18,21),0.0769674 # DEPENDENCYPART_ARC
(19,15),-1.00403 # DEPENDENCYPART_ARC
(19,17),0.123749 # DEPENDENCYPART_ARC
(19,20),0.189888 # DEPENDENCYPART_ARC
(19,21),-0.672177 # DEPENDENCYPART_ARC
(20,14),-1.88334 # DEPENDENCYPART_ARC
(20,15),-0.417646 # DEPENDENCYPART_ARC
(20,16),-0.268731 # DEPENDENCYPART_ARC
(20,17),-0.175156 # DEPENDENCYPART_ARC
(20,18),1.82659 # DEPENDENCYPART_ARC
(20,19),2.05257 # DEPENDENCYPART_ARC
(20,21),0.0415217 # DEPENDENCYPART_ARC
(21,19),-1.89157 # DEPENDENCYPART_ARC
(21,20),-2.11835 # DEPENDENCYPART_ARC
