# _root_ Αξίζει να επισκεφθείτε το Διοικητήριο , σημείο αναφοράς του οικισμού , κτισμένο κατά την περίοδο της Bενετοκρατίας .
#goldHeads=0,3,1,5,6,3,6,7,10,8,6,6,12,15,13,17,15,0,
#predictedHeads=0,3,1,5,3,3,6,7,10,8,3,10,12,15,13,17,15,0,
(11,12),-0.582379 # DEPENDENCYPART_ARC
(11,13),-1.15654 # DEPENDENCYPART_ARC
(11,15),-1.06024 # DEPENDENCYPART_ARC
(11,17),-1.33075 # DEPENDENCYPART_ARC
(12,1),-3.70593 # DEPENDENCYPART_ARC
(12,3),-6.11215 # DEPENDENCYPART_ARC
(12,5),-2.14236 # DEPENDENCYPART_ARC
(12,6),-0.208001 # DEPENDENCYPART_ARC
(12,7),-1.63999 # DEPENDENCYPART_ARC
(12,8),-2.58318 # DEPENDENCYPART_ARC
(12,9),-1.6535 # DEPENDENCYPART_ARC
(12,10),-2.41352 # DEPENDENCYPART_ARC
(12,11),0.339969 # DEPENDENCYPART_ARC
(12,13),1.45049 # DEPENDENCYPART_ARC
(12,14),-1.09267 # DEPENDENCYPART_ARC
(12,15),-2.52966 # DEPENDENCYPART_ARC
(12,17),-4.57581 # DEPENDENCYPART_ARC
(12,18),0.388232 # DEPENDENCYPART_ARC
(13,10),-1.23 # DEPENDENCYPART_ARC
(13,11),-0.107817 # DEPENDENCYPART_ARC
(13,12),-0.341984 # DEPENDENCYPART_ARC
(13,14),-0.121814 # DEPENDENCYPART_ARC
(13,15),2.35902 # DEPENDENCYPART_ARC
(13,17),0.199869 # DEPENDENCYPART_ARC
(13,18),-0.491507 # DEPENDENCYPART_ARC
(15,6),-1.37413 # DEPENDENCYPART_ARC
(15,8),-2.36749 # DEPENDENCYPART_ARC
(15,9),-2.62954 # DEPENDENCYPART_ARC
(15,10),-2.2321 # DEPENDENCYPART_ARC
(15,13),-0.115644 # DEPENDENCYPART_ARC
(15,14),3.07345 # DEPENDENCYPART_ARC
(15,16),0.408714 # DEPENDENCYPART_ARC
(15,17),2.32764 # DEPENDENCYPART_ARC
(15,18),0.0661503 # DEPENDENCYPART_ARC
(17,14),-0.31852 # DEPENDENCYPART_ARC
(17,15),-1.50129 # DEPENDENCYPART_ARC
(17,16),3.1337 # DEPENDENCYPART_ARC
(17,18),0.0357741 # DEPENDENCYPART_ARC
(18,3),-3.16055 # DEPENDENCYPART_ARC
(18,7),-2.69645 # DEPENDENCYPART_ARC
(18,15),-2.18264 # DEPENDENCYPART_ARC
(18,17),-2.13908 # DEPENDENCYPART_ARC
