# _root_ Από αυτή την άποψη , θέλω να εξετάσω την ισορροπία μεταξύ των οικονομικών , των περιβαλλοντικών και των κοινωνικών ζητημάτων .
#goldHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,19,17,11,0,
#predictedHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,6,20,20,17,0,
(6,11),0.402165 # DEPENDENCYPART_ARC
(6,13),-2.19049 # DEPENDENCYPART_ARC
(6,14),0.697119 # DEPENDENCYPART_ARC
(6,17),-0.0237636 # DEPENDENCYPART_ARC
(6,20),-3.5332 # DEPENDENCYPART_ARC
(6,21),0.828098 # DEPENDENCYPART_ARC
(7,8),0.0419341 # DEPENDENCYPART_ARC
(7,10),-0.879603 # DEPENDENCYPART_ARC
(8,1),-0.0997362 # DEPENDENCYPART_ARC
(8,2),-2.32465 # DEPENDENCYPART_ARC
(8,3),-1.70564 # DEPENDENCYPART_ARC
(8,4),-1.18425 # DEPENDENCYPART_ARC
(8,5),-0.394457 # DEPENDENCYPART_ARC
(8,6),-1.24027 # DEPENDENCYPART_ARC
(8,7),2.14377 # DEPENDENCYPART_ARC
(8,9),-0.517542 # DEPENDENCYPART_ARC
(8,10),2.2173 # DEPENDENCYPART_ARC
(8,11),0.567166 # DEPENDENCYPART_ARC
(8,13),-2.17351 # DEPENDENCYPART_ARC
(8,14),0.0373134 # DEPENDENCYPART_ARC
(8,16),-2.75977 # DEPENDENCYPART_ARC
(8,17),-0.260673 # DEPENDENCYPART_ARC
(8,20),-3.09236 # DEPENDENCYPART_ARC
(8,21),-0.265856 # DEPENDENCYPART_ARC
(9,11),-0.313111 # DEPENDENCYPART_ARC
(10,1),-1.15149 # DEPENDENCYPART_ARC
(10,3),-0.696006 # DEPENDENCYPART_ARC
(10,5),-1.14853 # DEPENDENCYPART_ARC
(10,8),-1.51201 # DEPENDENCYPART_ARC
(10,9),3.06186 # DEPENDENCYPART_ARC
(10,11),1.15418 # DEPENDENCYPART_ARC
(10,12),0.162276 # DEPENDENCYPART_ARC
(10,13),-0.0734238 # DEPENDENCYPART_ARC
(10,14),-0.123103 # DEPENDENCYPART_ARC
(10,16),-0.767663 # DEPENDENCYPART_ARC
(10,17),-0.17814 # DEPENDENCYPART_ARC
(10,20),-0.426061 # DEPENDENCYPART_ARC
(10,21),-0.326293 # DEPENDENCYPART_ARC
(11,1),-1.1649 # DEPENDENCYPART_ARC
(11,2),-1.69315 # DEPENDENCYPART_ARC
(11,4),-1.28568 # DEPENDENCYPART_ARC
(11,5),-0.705897 # DEPENDENCYPART_ARC
(11,6),-1.40884 # DEPENDENCYPART_ARC
(11,8),-1.44515 # DEPENDENCYPART_ARC
(11,9),-0.147236 # DEPENDENCYPART_ARC
(11,10),-0.353829 # DEPENDENCYPART_ARC
(11,12),0.762967 # DEPENDENCYPART_ARC
(11,13),0.759726 # DEPENDENCYPART_ARC
(11,14),0.569486 # DEPENDENCYPART_ARC
(11,17),-0.0415358 # DEPENDENCYPART_ARC
(11,21),-0.0634711 # DEPENDENCYPART_ARC
(12,17),-0.376668 # DEPENDENCYPART_ARC
(13,4),-3.10221 # DEPENDENCYPART_ARC
(13,10),-2.25765 # DEPENDENCYPART_ARC
(13,11),-0.494242 # DEPENDENCYPART_ARC
(13,12),1.99662 # DEPENDENCYPART_ARC
(13,14),-0.06086 # DEPENDENCYPART_ARC
(13,16),-1.04552 # DEPENDENCYPART_ARC
(13,17),-0.672391 # DEPENDENCYPART_ARC
(13,20),-1.41008 # DEPENDENCYPART_ARC
(14,4),-0.939191 # DEPENDENCYPART_ARC
(14,5),-0.895035 # DEPENDENCYPART_ARC
(14,6),-0.500345 # DEPENDENCYPART_ARC
(14,8),-0.492281 # DEPENDENCYPART_ARC
(14,10),-0.219996 # DEPENDENCYPART_ARC
(14,11),-0.0898261 # DEPENDENCYPART_ARC
(14,13),-0.0649763 # DEPENDENCYPART_ARC
(14,16),0.256669 # DEPENDENCYPART_ARC
(14,17),0.459517 # DEPENDENCYPART_ARC
(14,19),-0.0352349 # DEPENDENCYPART_ARC
(14,20),-0.135349 # DEPENDENCYPART_ARC
(14,21),0.460976 # DEPENDENCYPART_ARC
(16,10),-2.85992 # DEPENDENCYPART_ARC
(16,11),-1.43564 # DEPENDENCYPART_ARC
(16,14),-0.578984 # DEPENDENCYPART_ARC
(16,15),1.97576 # DEPENDENCYPART_ARC
(16,19),-1.60876 # DEPENDENCYPART_ARC
(16,20),-0.463766 # DEPENDENCYPART_ARC
(17,1),-0.546322 # DEPENDENCYPART_ARC
(17,4),0.0884921 # DEPENDENCYPART_ARC
(17,5),-0.346149 # DEPENDENCYPART_ARC
(17,6),-0.637011 # DEPENDENCYPART_ARC
(17,8),-0.503342 # DEPENDENCYPART_ARC
(17,10),0.645562 # DEPENDENCYPART_ARC
(17,11),0.157879 # DEPENDENCYPART_ARC
(17,12),-0.0457657 # DEPENDENCYPART_ARC
(17,13),0.867984 # DEPENDENCYPART_ARC
(17,14),1.4565 # DEPENDENCYPART_ARC
(17,15),0.310948 # DEPENDENCYPART_ARC
(17,16),1.42647 # DEPENDENCYPART_ARC
(17,18),0.207909 # DEPENDENCYPART_ARC
(17,19),2.18903 # DEPENDENCYPART_ARC
(17,20),0.72998 # DEPENDENCYPART_ARC
(17,21),0.308087 # DEPENDENCYPART_ARC
(19,10),-2.78489 # DEPENDENCYPART_ARC
(19,18),1.93303 # DEPENDENCYPART_ARC
(19,20),0.659851 # DEPENDENCYPART_ARC
(19,21),-0.68796 # DEPENDENCYPART_ARC
(20,11),-0.862124 # DEPENDENCYPART_ARC
(20,12),-0.396442 # DEPENDENCYPART_ARC
(20,14),-0.281496 # DEPENDENCYPART_ARC
(20,15),1.07564 # DEPENDENCYPART_ARC
(20,16),0.176348 # DEPENDENCYPART_ARC
(20,17),0.974739 # DEPENDENCYPART_ARC
(20,18),3.01077 # DEPENDENCYPART_ARC
(20,19),2.87481 # DEPENDENCYPART_ARC
(20,21),0.11322 # DEPENDENCYPART_ARC
(21,6),-2.76219 # DEPENDENCYPART_ARC
(21,13),-2.42312 # DEPENDENCYPART_ARC
(21,16),-2.33526 # DEPENDENCYPART_ARC
(21,19),-1.93363 # DEPENDENCYPART_ARC
(21,20),-2.13199 # DEPENDENCYPART_ARC
