# _root_ Η πρόταση , κατά την άποψή μας , βελτιώνει και δεν υπονομεύει την ασφαλή και αξιόπιστη επισκευή των αυτοκινήτων .
#goldHeads=2,10,4,10,6,4,6,4,10,0,12,10,17,15,17,15,12,19,17,0,
#predictedHeads=2,9,4,9,6,4,6,9,10,0,12,10,17,15,17,15,12,19,17,0,
(14,16),-0.964749 # DEPENDENCYPART_ARC
(14,17),-0.792625 # DEPENDENCYPART_ARC
(14,19),-0.475026 # DEPENDENCYPART_ARC
(15,2),-0.513155 # DEPENDENCYPART_ARC
(15,3),-0.714896 # DEPENDENCYPART_ARC
(15,4),-0.904321 # DEPENDENCYPART_ARC
(15,6),-0.340679 # DEPENDENCYPART_ARC
(15,8),-0.21853 # DEPENDENCYPART_ARC
(15,9),-0.0471441 # DEPENDENCYPART_ARC
(15,10),-0.0717691 # DEPENDENCYPART_ARC
(15,11),-0.00295924 # DEPENDENCYPART_ARC
(15,12),0.303986 # DEPENDENCYPART_ARC
(15,13),0.4506 # DEPENDENCYPART_ARC
(15,14),2.67807 # DEPENDENCYPART_ARC
(15,16),3.8156 # DEPENDENCYPART_ARC
(15,17),0.407873 # DEPENDENCYPART_ARC
(15,19),-0.399416 # DEPENDENCYPART_ARC
(15,20),-0.196468 # DEPENDENCYPART_ARC
(16,13),-0.175254 # DEPENDENCYPART_ARC
(16,14),0.147138 # DEPENDENCYPART_ARC
(16,15),0.505006 # DEPENDENCYPART_ARC
(16,17),-0.30204 # DEPENDENCYPART_ARC
(16,19),-0.68681 # DEPENDENCYPART_ARC
(16,20),-0.550717 # DEPENDENCYPART_ARC
(17,8),-0.59299 # DEPENDENCYPART_ARC
(17,10),-0.0267384 # DEPENDENCYPART_ARC
(17,12),-2.90886 # DEPENDENCYPART_ARC
(17,13),2.07738 # DEPENDENCYPART_ARC
(17,14),0.961705 # DEPENDENCYPART_ARC
(17,15),1.91545 # DEPENDENCYPART_ARC
(17,16),2.61015 # DEPENDENCYPART_ARC
(17,18),0.0710399 # DEPENDENCYPART_ARC
(17,19),2.3987 # DEPENDENCYPART_ARC
(17,20),0.31092 # DEPENDENCYPART_ARC
(19,13),-2.88095 # DEPENDENCYPART_ARC
(19,14),-2.75338 # DEPENDENCYPART_ARC
(19,15),0.0525632 # DEPENDENCYPART_ARC
(19,16),-2.22441 # DEPENDENCYPART_ARC
(19,17),-2.82855 # DEPENDENCYPART_ARC
(19,18),3.30555 # DEPENDENCYPART_ARC
(19,20),-0.0773475 # DEPENDENCYPART_ARC
(20,3),-2.32291 # DEPENDENCYPART_ARC
(20,9),-2.51733 # DEPENDENCYPART_ARC
(20,12),-2.6216 # DEPENDENCYPART_ARC
(20,16),-1.99808 # DEPENDENCYPART_ARC
(20,17),-2.01758 # DEPENDENCYPART_ARC
(20,19),-2.09122 # DEPENDENCYPART_ARC
