# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,2,12,13,16,17,20,20,20,14,22,20,2,20,26,24,28,26,30,28,32,30,0,
(9,14),0.132699 # DEPENDENCYPART_ARC
(9,17),-0.134329 # DEPENDENCYPART_ARC
(9,18),-0.719745 # DEPENDENCYPART_ARC
(10,8),-0.446552 # DEPENDENCYPART_ARC
(10,9),0.0227711 # DEPENDENCYPART_ARC
(10,11),1.71153 # DEPENDENCYPART_ARC
(10,12),0.441161 # DEPENDENCYPART_ARC
(11,6),-1.10448 # DEPENDENCYPART_ARC
(11,12),0.161921 # DEPENDENCYPART_ARC
(12,2),-0.684526 # DEPENDENCYPART_ARC
(12,7),-0.657563 # DEPENDENCYPART_ARC
(12,10),-0.142077 # DEPENDENCYPART_ARC
(12,11),-0.0184635 # DEPENDENCYPART_ARC
(12,13),0.139259 # DEPENDENCYPART_ARC
(12,14),-0.353713 # DEPENDENCYPART_ARC
(12,16),-0.57426 # DEPENDENCYPART_ARC
(13,14),2.47492 # DEPENDENCYPART_ARC
(13,26),-1.37045 # DEPENDENCYPART_ARC
(14,12),-0.0754017 # DEPENDENCYPART_ARC
(14,13),-0.184896 # DEPENDENCYPART_ARC
(14,15),0.194547 # DEPENDENCYPART_ARC
(14,16),1.10326 # DEPENDENCYPART_ARC
(14,17),0.0808219 # DEPENDENCYPART_ARC
(14,18),-0.00186969 # DEPENDENCYPART_ARC
(14,19),0.208209 # DEPENDENCYPART_ARC
(14,20),0.785744 # DEPENDENCYPART_ARC
(14,22),-0.647017 # DEPENDENCYPART_ARC
(14,23),-0.0841687 # DEPENDENCYPART_ARC
(16,14),-0.205923 # DEPENDENCYPART_ARC
(16,15),1.27826 # DEPENDENCYPART_ARC
(16,18),-0.517984 # DEPENDENCYPART_ARC
(16,19),-0.366873 # DEPENDENCYPART_ARC
(16,20),-0.616137 # DEPENDENCYPART_ARC
(16,24),-0.512399 # DEPENDENCYPART_ARC
(17,1),-1.49736 # DEPENDENCYPART_ARC
(17,2),-0.345556 # DEPENDENCYPART_ARC
(17,4),-1.37352 # DEPENDENCYPART_ARC
(17,6),-0.378876 # DEPENDENCYPART_ARC
(17,7),-0.0438302 # DEPENDENCYPART_ARC
(17,8),0.0923605 # DEPENDENCYPART_ARC
(17,9),0.0437913 # DEPENDENCYPART_ARC
(17,10),0.343941 # DEPENDENCYPART_ARC
(17,11),-0.207874 # DEPENDENCYPART_ARC
(17,12),0.25874 # DEPENDENCYPART_ARC
(17,13),0.392016 # DEPENDENCYPART_ARC
(17,14),0.806578 # DEPENDENCYPART_ARC
(17,15),0.142776 # DEPENDENCYPART_ARC
(17,16),1.42935 # DEPENDENCYPART_ARC
(17,18),0.566849 # DEPENDENCYPART_ARC
(17,19),0.865806 # DEPENDENCYPART_ARC
(17,20),0.37544 # DEPENDENCYPART_ARC
(17,22),-0.260513 # DEPENDENCYPART_ARC
(17,23),0.374755 # DEPENDENCYPART_ARC
(17,24),-0.543317 # DEPENDENCYPART_ARC
(17,26),-0.158264 # DEPENDENCYPART_ARC
(17,30),-1.21934 # DEPENDENCYPART_ARC
(18,8),0.432031 # DEPENDENCYPART_ARC
(18,9),0.455985 # DEPENDENCYPART_ARC
(18,10),-0.0788682 # DEPENDENCYPART_ARC
(18,15),0.321289 # DEPENDENCYPART_ARC
(18,16),0.519356 # DEPENDENCYPART_ARC
(18,17),0.683768 # DEPENDENCYPART_ARC
(18,20),0.168199 # DEPENDENCYPART_ARC
(18,22),-0.885464 # DEPENDENCYPART_ARC
(18,23),-0.13537 # DEPENDENCYPART_ARC
(18,24),-0.763953 # DEPENDENCYPART_ARC
(18,26),-2.3035 # DEPENDENCYPART_ARC
(19,6),-0.602517 # DEPENDENCYPART_ARC
(19,17),0.19287 # DEPENDENCYPART_ARC
(19,20),0.708979 # DEPENDENCYPART_ARC
(19,22),-0.124807 # DEPENDENCYPART_ARC
(20,15),1.19543 # DEPENDENCYPART_ARC
(20,16),-0.503061 # DEPENDENCYPART_ARC
(20,17),0.735989 # DEPENDENCYPART_ARC
(20,18),0.932339 # DEPENDENCYPART_ARC
(20,19),1.43646 # DEPENDENCYPART_ARC
(20,21),-0.526646 # DEPENDENCYPART_ARC
(20,22),2.06427 # DEPENDENCYPART_ARC
(20,23),0.133998 # DEPENDENCYPART_ARC
(20,24),0.0102196 # DEPENDENCYPART_ARC
(20,26),-1.76158 # DEPENDENCYPART_ARC
(20,28),-2.27276 # DEPENDENCYPART_ARC
(20,30),-1.08776 # DEPENDENCYPART_ARC
(20,32),-2.67202 # DEPENDENCYPART_ARC
(22,15),-2.45526 # DEPENDENCYPART_ARC
(22,16),-3.37639 # DEPENDENCYPART_ARC
(22,20),-0.533506 # DEPENDENCYPART_ARC
(22,21),2.77627 # DEPENDENCYPART_ARC
(22,23),-0.261942 # DEPENDENCYPART_ARC
(22,24),-0.0377752 # DEPENDENCYPART_ARC
(22,25),-0.902587 # DEPENDENCYPART_ARC
(22,26),-1.47278 # DEPENDENCYPART_ARC
(22,28),-2.48454 # DEPENDENCYPART_ARC
(22,30),-1.45087 # DEPENDENCYPART_ARC
(22,32),-2.77689 # DEPENDENCYPART_ARC
(23,14),0.0501806 # DEPENDENCYPART_ARC
(23,16),-0.705295 # DEPENDENCYPART_ARC
(23,20),-0.380715 # DEPENDENCYPART_ARC
(23,22),-0.317101 # DEPENDENCYPART_ARC
(23,24),-0.172549 # DEPENDENCYPART_ARC
(23,26),-0.955138 # DEPENDENCYPART_ARC
(23,28),-1.1537 # DEPENDENCYPART_ARC
(23,32),-1.46119 # DEPENDENCYPART_ARC
(24,22),-1.00164 # DEPENDENCYPART_ARC
(24,23),0.602985 # DEPENDENCYPART_ARC
(24,25),0.601482 # DEPENDENCYPART_ARC
(24,26),1.97893 # DEPENDENCYPART_ARC
(24,28),0.0199805 # DEPENDENCYPART_ARC
(24,30),-0.498584 # DEPENDENCYPART_ARC
(24,32),-1.96117 # DEPENDENCYPART_ARC
(25,26),0.114554 # DEPENDENCYPART_ARC
(25,28),-0.80259 # DEPENDENCYPART_ARC
(26,1),-1.51484 # DEPENDENCYPART_ARC
(26,2),-5.44535 # DEPENDENCYPART_ARC
(26,4),-2.63389 # DEPENDENCYPART_ARC
(26,7),-3.90137 # DEPENDENCYPART_ARC
(26,8),-0.764604 # DEPENDENCYPART_ARC
(26,9),-0.822658 # DEPENDENCYPART_ARC
(26,10),-0.632373 # DEPENDENCYPART_ARC
(26,14),-0.673966 # DEPENDENCYPART_ARC
(26,16),-1.69144 # DEPENDENCYPART_ARC
(26,17),-0.338987 # DEPENDENCYPART_ARC
(26,18),-0.406683 # DEPENDENCYPART_ARC
(26,19),-0.832719 # DEPENDENCYPART_ARC
(26,20),-1.05074 # DEPENDENCYPART_ARC
(26,21),-1.07326 # DEPENDENCYPART_ARC
(26,22),-3.1123 # DEPENDENCYPART_ARC
(26,23),0.585645 # DEPENDENCYPART_ARC
(26,24),0.960156 # DEPENDENCYPART_ARC
(26,25),2.35657 # DEPENDENCYPART_ARC
(26,27),-0.980662 # DEPENDENCYPART_ARC
(26,28),1.77545 # DEPENDENCYPART_ARC
(26,30),-2.67777 # DEPENDENCYPART_ARC
(26,32),-1.04944 # DEPENDENCYPART_ARC
(26,33),0.0534334 # DEPENDENCYPART_ARC
(28,21),-1.55781 # DEPENDENCYPART_ARC
(28,27),2.97159 # DEPENDENCYPART_ARC
(28,29),1.06271 # DEPENDENCYPART_ARC
(28,30),1.6424 # DEPENDENCYPART_ARC
(28,32),-0.789068 # DEPENDENCYPART_ARC
(29,30),-1.87154 # DEPENDENCYPART_ARC
(30,1),-1.9319 # DEPENDENCYPART_ARC
(30,4),-2.62661 # DEPENDENCYPART_ARC
(30,8),-1.44884 # DEPENDENCYPART_ARC
(30,9),-1.42828 # DEPENDENCYPART_ARC
(30,10),-2.08806 # DEPENDENCYPART_ARC
(30,16),-1.28329 # DEPENDENCYPART_ARC
(30,18),-0.585962 # DEPENDENCYPART_ARC
(30,20),-0.290592 # DEPENDENCYPART_ARC
(30,22),-2.83649 # DEPENDENCYPART_ARC
(30,23),-0.364466 # DEPENDENCYPART_ARC
(30,24),-0.24614 # DEPENDENCYPART_ARC
(30,27),-1.98888 # DEPENDENCYPART_ARC
(30,28),-0.422899 # DEPENDENCYPART_ARC
(30,29),3.243 # DEPENDENCYPART_ARC
(30,31),-0.853863 # DEPENDENCYPART_ARC
(30,32),1.10562 # DEPENDENCYPART_ARC
(30,33),0.374735 # DEPENDENCYPART_ARC
(32,27),-1.00057 # DEPENDENCYPART_ARC
(32,28),-1.54977 # DEPENDENCYPART_ARC
(32,29),-2.3413 # DEPENDENCYPART_ARC
(32,30),-1.05978 # DEPENDENCYPART_ARC
(32,31),3.36802 # DEPENDENCYPART_ARC
(33,32),-2.13908 # DEPENDENCYPART_ARC
