# _root_ Απλουστευτικές ενιαίες λύσεις , όπως η περικοπή του χρόνου εργασίας σε ευρωπαϊκό επίπεδο , είναι άνευ σημαντικής ουσίας .
#goldHeads=3,3,5,5,15,7,5,9,7,9,7,13,11,15,0,15,18,16,0,
#predictedHeads=3,3,0,15,15,7,15,9,7,9,7,13,11,15,0,15,18,16,0,
(5,7),-0.227301 # DEPENDENCYPART_ARC
(5,9),-0.80002 # DEPENDENCYPART_ARC
(5,10),-0.86542 # DEPENDENCYPART_ARC
(5,11),-0.685749 # DEPENDENCYPART_ARC
(5,13),-2.04627 # DEPENDENCYPART_ARC
(5,14),-0.0759948 # DEPENDENCYPART_ARC
(5,15),-1.33177 # DEPENDENCYPART_ARC
(5,16),-1.46778 # DEPENDENCYPART_ARC
(7,1),-1.49656 # DEPENDENCYPART_ARC
(7,2),-1.26383 # DEPENDENCYPART_ARC
(7,3),-2.86386 # DEPENDENCYPART_ARC
(7,4),-0.881327 # DEPENDENCYPART_ARC
(7,5),-0.543612 # DEPENDENCYPART_ARC
(7,6),3.08115 # DEPENDENCYPART_ARC
(7,8),-0.163591 # DEPENDENCYPART_ARC
(7,9),2.196 # DEPENDENCYPART_ARC
(7,10),1.15575 # DEPENDENCYPART_ARC
(7,11),0.691058 # DEPENDENCYPART_ARC
(7,12),-1.3597 # DEPENDENCYPART_ARC
(7,13),-0.867068 # DEPENDENCYPART_ARC
(7,14),0.263086 # DEPENDENCYPART_ARC
(7,15),-1.68392 # DEPENDENCYPART_ARC
(7,16),-0.808825 # DEPENDENCYPART_ARC
(7,18),-0.56088 # DEPENDENCYPART_ARC
(8,10),-0.170539 # DEPENDENCYPART_ARC
(9,6),-0.23593 # DEPENDENCYPART_ARC
(9,7),-1.38228 # DEPENDENCYPART_ARC
(9,8),2.66274 # DEPENDENCYPART_ARC
(9,10),2.68033 # DEPENDENCYPART_ARC
(9,11),0.409478 # DEPENDENCYPART_ARC
(9,12),-0.809964 # DEPENDENCYPART_ARC
(9,13),-0.256969 # DEPENDENCYPART_ARC
(9,15),-2.04232 # DEPENDENCYPART_ARC
(9,16),-1.37975 # DEPENDENCYPART_ARC
(10,3),-4.34291 # DEPENDENCYPART_ARC
(10,4),-1.14076 # DEPENDENCYPART_ARC
(10,5),-1.33584 # DEPENDENCYPART_ARC
(10,6),-0.686599 # DEPENDENCYPART_ARC
(10,7),-1.71182 # DEPENDENCYPART_ARC
(10,8),0.649475 # DEPENDENCYPART_ARC
(10,9),0.859978 # DEPENDENCYPART_ARC
(10,11),0.629028 # DEPENDENCYPART_ARC
(10,12),-1.07124 # DEPENDENCYPART_ARC
(10,13),-0.82332 # DEPENDENCYPART_ARC
(10,14),-0.046608 # DEPENDENCYPART_ARC
(10,15),-1.68194 # DEPENDENCYPART_ARC
(10,16),-1.39479 # DEPENDENCYPART_ARC
(11,9),-1.0329 # DEPENDENCYPART_ARC
(11,10),-0.688101 # DEPENDENCYPART_ARC
(11,12),1.01308 # DEPENDENCYPART_ARC
(11,13),2.47108 # DEPENDENCYPART_ARC
(11,14),0.316011 # DEPENDENCYPART_ARC
(11,15),-0.8225 # DEPENDENCYPART_ARC
(11,18),-1.18725 # DEPENDENCYPART_ARC
(12,3),-2.83599 # DEPENDENCYPART_ARC
(12,10),-2.45518 # DEPENDENCYPART_ARC
(12,13),0.51318 # DEPENDENCYPART_ARC
(12,14),-0.289844 # DEPENDENCYPART_ARC
(12,15),-1.24076 # DEPENDENCYPART_ARC
(12,16),-1.10218 # DEPENDENCYPART_ARC
(12,18),-0.790069 # DEPENDENCYPART_ARC
(13,4),-0.105701 # DEPENDENCYPART_ARC
(13,5),-0.920897 # DEPENDENCYPART_ARC
(13,6),-1.09622 # DEPENDENCYPART_ARC
(13,8),-0.0885687 # DEPENDENCYPART_ARC
(13,9),0.528687 # DEPENDENCYPART_ARC
(13,10),-0.578225 # DEPENDENCYPART_ARC
(13,11),0.449876 # DEPENDENCYPART_ARC
(13,12),3.74449 # DEPENDENCYPART_ARC
(13,14),-0.179014 # DEPENDENCYPART_ARC
(13,15),-0.867411 # DEPENDENCYPART_ARC
(13,16),-1.33168 # DEPENDENCYPART_ARC
(13,17),-1.62822 # DEPENDENCYPART_ARC
(13,18),-0.306209 # DEPENDENCYPART_ARC
(14,3),-0.925399 # DEPENDENCYPART_ARC
(14,4),-0.814001 # DEPENDENCYPART_ARC
(14,5),-0.500006 # DEPENDENCYPART_ARC
(14,7),-0.657727 # DEPENDENCYPART_ARC
(14,9),-0.585971 # DEPENDENCYPART_ARC
(14,10),-0.369746 # DEPENDENCYPART_ARC
(14,11),-0.250538 # DEPENDENCYPART_ARC
(14,12),-0.357481 # DEPENDENCYPART_ARC
(14,13),-0.410086 # DEPENDENCYPART_ARC
(14,15),-0.786405 # DEPENDENCYPART_ARC
(14,16),-1.19472 # DEPENDENCYPART_ARC
(14,17),-1.22871 # DEPENDENCYPART_ARC
(14,18),-1.12191 # DEPENDENCYPART_ARC
(15,1),-0.952633 # DEPENDENCYPART_ARC
(15,2),-1.02093 # DEPENDENCYPART_ARC
(15,3),-1.80738 # DEPENDENCYPART_ARC
(15,4),0.797498 # DEPENDENCYPART_ARC
(15,5),0.0772165 # DEPENDENCYPART_ARC
(15,7),1.54215 # DEPENDENCYPART_ARC
(15,9),-0.976576 # DEPENDENCYPART_ARC
(15,10),-1.3703 # DEPENDENCYPART_ARC
(15,11),0.575162 # DEPENDENCYPART_ARC
(15,12),0.259993 # DEPENDENCYPART_ARC
(15,13),0.0908808 # DEPENDENCYPART_ARC
(15,14),1.34727 # DEPENDENCYPART_ARC
(15,16),1.45169 # DEPENDENCYPART_ARC
(15,17),-0.641736 # DEPENDENCYPART_ARC
(15,18),-0.549454 # DEPENDENCYPART_ARC
(15,19),0.40121 # DEPENDENCYPART_ARC
(16,13),-1.29467 # DEPENDENCYPART_ARC
(16,14),-0.279619 # DEPENDENCYPART_ARC
(16,17),1.18258 # DEPENDENCYPART_ARC
(16,18),2.62745 # DEPENDENCYPART_ARC
(16,19),0.268448 # DEPENDENCYPART_ARC
(17,16),-0.365113 # DEPENDENCYPART_ARC
(17,18),0.624292 # DEPENDENCYPART_ARC
(17,19),-0.631199 # DEPENDENCYPART_ARC
(18,8),-1.80049 # DEPENDENCYPART_ARC
(18,11),-1.07193 # DEPENDENCYPART_ARC
(18,12),-2.3068 # DEPENDENCYPART_ARC
(18,13),-2.84721 # DEPENDENCYPART_ARC
(18,16),0.355581 # DEPENDENCYPART_ARC
(18,17),2.92527 # DEPENDENCYPART_ARC
(18,19),0.0250066 # DEPENDENCYPART_ARC
(19,18),-2.1383 # DEPENDENCYPART_ARC
