# _root_ Επίσης , μέσα στο Κάστρο υπήρχαν οι απαραίτητες δεξαμενές για νερό , ενώ το Νεκροταφείο βρισκόταν έξω από την πόλη .
#goldHeads=13,13,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,17,20,18,0,
#predictedHeads=6,6,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,16,20,18,0,
(11,12),-0.0754485 # DEPENDENCYPART_ARC
(11,13),-0.0292012 # DEPENDENCYPART_ARC
(11,15),-1.33223 # DEPENDENCYPART_ARC
(11,16),-1.83604 # DEPENDENCYPART_ARC
(12,1),-0.601754 # DEPENDENCYPART_ARC
(12,2),-1.0151 # DEPENDENCYPART_ARC
(12,4),-0.560454 # DEPENDENCYPART_ARC
(12,5),-0.810954 # DEPENDENCYPART_ARC
(12,6),-0.894992 # DEPENDENCYPART_ARC
(12,8),-0.604315 # DEPENDENCYPART_ARC
(12,9),-0.215643 # DEPENDENCYPART_ARC
(12,10),-0.19562 # DEPENDENCYPART_ARC
(12,11),-0.033517 # DEPENDENCYPART_ARC
(12,13),-0.221126 # DEPENDENCYPART_ARC
(12,15),-0.415902 # DEPENDENCYPART_ARC
(12,16),-0.901745 # DEPENDENCYPART_ARC
(12,18),-1.09337 # DEPENDENCYPART_ARC
(12,20),-1.34219 # DEPENDENCYPART_ARC
(13,1),-0.148657 # DEPENDENCYPART_ARC
(13,2),-0.258837 # DEPENDENCYPART_ARC
(13,3),-0.0865719 # DEPENDENCYPART_ARC
(13,4),-0.652607 # DEPENDENCYPART_ARC
(13,5),-0.0761908 # DEPENDENCYPART_ARC
(13,6),1.54276 # DEPENDENCYPART_ARC
(13,7),-0.0978769 # DEPENDENCYPART_ARC
(13,8),-0.0725719 # DEPENDENCYPART_ARC
(13,9),0.200533 # DEPENDENCYPART_ARC
(13,10),-0.0478993 # DEPENDENCYPART_ARC
(13,11),0.568957 # DEPENDENCYPART_ARC
(13,12),1.98673 # DEPENDENCYPART_ARC
(13,14),0.15418 # DEPENDENCYPART_ARC
(13,15),0.897528 # DEPENDENCYPART_ARC
(13,16),2.322 # DEPENDENCYPART_ARC
(13,17),-0.59185 # DEPENDENCYPART_ARC
(13,18),-0.57451 # DEPENDENCYPART_ARC
(13,20),-1.34771 # DEPENDENCYPART_ARC
(13,21),0.0217964 # DEPENDENCYPART_ARC
(15,7),-1.18372 # DEPENDENCYPART_ARC
(15,10),-0.766344 # DEPENDENCYPART_ARC
(15,11),-1.14951 # DEPENDENCYPART_ARC
(15,12),-0.656418 # DEPENDENCYPART_ARC
(15,13),0.402038 # DEPENDENCYPART_ARC
(15,14),3.09674 # DEPENDENCYPART_ARC
(15,16),-1.32639 # DEPENDENCYPART_ARC
(15,17),-0.78712 # DEPENDENCYPART_ARC
(15,18),-1.39364 # DEPENDENCYPART_ARC
(15,20),-1.59237 # DEPENDENCYPART_ARC
(16,1),0.675114 # DEPENDENCYPART_ARC
(16,2),-0.0628021 # DEPENDENCYPART_ARC
(16,3),0.321939 # DEPENDENCYPART_ARC
(16,4),-1.31114 # DEPENDENCYPART_ARC
(16,5),-1.6034 # DEPENDENCYPART_ARC
(16,6),-1.52843 # DEPENDENCYPART_ARC
(16,8),-1.07279 # DEPENDENCYPART_ARC
(16,9),0.145266 # DEPENDENCYPART_ARC
(16,10),-0.491212 # DEPENDENCYPART_ARC
(16,11),-1.37047 # DEPENDENCYPART_ARC
(16,12),0.373408 # DEPENDENCYPART_ARC
(16,13),0.521808 # DEPENDENCYPART_ARC
(16,14),-0.830772 # DEPENDENCYPART_ARC
(16,15),2.15091 # DEPENDENCYPART_ARC
(16,17),2.07157 # DEPENDENCYPART_ARC
(16,18),1.08649 # DEPENDENCYPART_ARC
(16,20),0.34597 # DEPENDENCYPART_ARC
(16,21),0.262359 # DEPENDENCYPART_ARC
(17,1),-1.01527 # DEPENDENCYPART_ARC
(17,2),-0.813852 # DEPENDENCYPART_ARC
(17,3),-0.983384 # DEPENDENCYPART_ARC
(17,9),-1.07788 # DEPENDENCYPART_ARC
(17,10),-0.587544 # DEPENDENCYPART_ARC
(17,11),-0.997397 # DEPENDENCYPART_ARC
(17,12),-0.582164 # DEPENDENCYPART_ARC
(17,14),-0.21488 # DEPENDENCYPART_ARC
(17,15),-0.704475 # DEPENDENCYPART_ARC
(17,18),0.786723 # DEPENDENCYPART_ARC
(17,20),-0.814158 # DEPENDENCYPART_ARC
(17,21),-0.5414 # DEPENDENCYPART_ARC
(18,15),-1.3786 # DEPENDENCYPART_ARC
(18,17),-0.165101 # DEPENDENCYPART_ARC
(18,19),0.228515 # DEPENDENCYPART_ARC
(18,20),2.65493 # DEPENDENCYPART_ARC
(18,21),0.101128 # DEPENDENCYPART_ARC
(20,14),-2.58245 # DEPENDENCYPART_ARC
(20,17),-1.02513 # DEPENDENCYPART_ARC
(20,18),-0.390239 # DEPENDENCYPART_ARC
(20,19),2.76557 # DEPENDENCYPART_ARC
(20,21),0.185252 # DEPENDENCYPART_ARC
(21,16),-2.40481 # DEPENDENCYPART_ARC
(21,18),-1.822 # DEPENDENCYPART_ARC
(21,20),-2.02064 # DEPENDENCYPART_ARC
