# _root_ Κύριε Πρόεδρε , καταρχάς θα ήθελα να συγχαρώ τους τρεις εισηγητές - τον κ. Χατζηδάκη , τον κ. van Dam και τον κ. Grosch - για το έργο τους .
#goldHeads=2,6,2,6,6,0,8,6,11,11,12,8,15,15,21,21,20,20,20,21,12,24,24,21,12,8,28,26,28,0,
#predictedHeads=2,6,6,3,6,0,8,6,11,11,8,8,15,15,21,21,20,20,20,21,8,24,24,21,12,8,28,26,28,0,
(16,26),-0.61422 # DEPENDENCYPART_ARC
(16,30),-0.400948 # DEPENDENCYPART_ARC
(18,16),-0.472917 # DEPENDENCYPART_ARC
(18,17),1.06362 # DEPENDENCYPART_ARC
(19,16),-0.117372 # DEPENDENCYPART_ARC
(19,17),1.42174 # DEPENDENCYPART_ARC
(19,18),1.00748 # DEPENDENCYPART_ARC
(19,20),0.0304887 # DEPENDENCYPART_ARC
(19,24),-0.44857 # DEPENDENCYPART_ARC
(20,17),1.8272 # DEPENDENCYPART_ARC
(20,18),1.61626 # DEPENDENCYPART_ARC
(20,19),1.79598 # DEPENDENCYPART_ARC
(20,24),-0.609954 # DEPENDENCYPART_ARC
(21,1),0.144278 # DEPENDENCYPART_ARC
(21,2),-0.656962 # DEPENDENCYPART_ARC
(21,3),0.631591 # DEPENDENCYPART_ARC
(21,4),0.0186766 # DEPENDENCYPART_ARC
(21,6),-1.15009 # DEPENDENCYPART_ARC
(21,8),-0.354704 # DEPENDENCYPART_ARC
(21,11),0.672958 # DEPENDENCYPART_ARC
(21,12),0.389346 # DEPENDENCYPART_ARC
(21,15),0.90159 # DEPENDENCYPART_ARC
(21,16),1.29832 # DEPENDENCYPART_ARC
(21,17),-0.147797 # DEPENDENCYPART_ARC
(21,19),0.146225 # DEPENDENCYPART_ARC
(21,20),0.502227 # DEPENDENCYPART_ARC
(21,22),0.0547962 # DEPENDENCYPART_ARC
(21,23),1.1248 # DEPENDENCYPART_ARC
(21,24),0.987329 # DEPENDENCYPART_ARC
(21,25),0.404846 # DEPENDENCYPART_ARC
(21,26),-0.251652 # DEPENDENCYPART_ARC
(21,28),-0.432452 # DEPENDENCYPART_ARC
(21,30),0.146228 # DEPENDENCYPART_ARC
(23,21),-0.446949 # DEPENDENCYPART_ARC
(23,22),1.00047 # DEPENDENCYPART_ARC
(23,25),0.260886 # DEPENDENCYPART_ARC
(24,21),0.361035 # DEPENDENCYPART_ARC
(24,22),2.25524 # DEPENDENCYPART_ARC
(24,23),2.31617 # DEPENDENCYPART_ARC
(24,25),-0.0941614 # DEPENDENCYPART_ARC
(25,1),-1.66425 # DEPENDENCYPART_ARC
(25,2),-1.83151 # DEPENDENCYPART_ARC
(25,11),-1.26506 # DEPENDENCYPART_ARC
(25,15),-1.32629 # DEPENDENCYPART_ARC
(25,21),-0.297797 # DEPENDENCYPART_ARC
(25,24),-0.311313 # DEPENDENCYPART_ARC
(25,26),-0.306527 # DEPENDENCYPART_ARC
(25,28),-0.241275 # DEPENDENCYPART_ARC
(25,30),-0.10188 # DEPENDENCYPART_ARC
(26,25),0.152295 # DEPENDENCYPART_ARC
(26,27),-0.322342 # DEPENDENCYPART_ARC
(26,28),2.25785 # DEPENDENCYPART_ARC
(26,30),0.0544606 # DEPENDENCYPART_ARC
(28,22),-1.07086 # DEPENDENCYPART_ARC
(28,25),-0.475984 # DEPENDENCYPART_ARC
(28,26),0.000855361 # DEPENDENCYPART_ARC
(28,27),3.04435 # DEPENDENCYPART_ARC
(28,29),2.32383 # DEPENDENCYPART_ARC
(28,30),-0.134515 # DEPENDENCYPART_ARC
(30,15),-2.71149 # DEPENDENCYPART_ARC
(30,26),-1.97834 # DEPENDENCYPART_ARC
(30,28),-2.01204 # DEPENDENCYPART_ARC
