# _root_ Ασφαλώς , η συνόψιση των μέχρι τώρα οδηγιών , η εναρμόνιση και ο εκσυγχρονισμός τους αποτελούν ένα πολύ ουσιαστικό βήμα .
#goldHeads=16,16,4,12,8,8,6,4,12,11,12,16,14,12,14,0,20,19,20,16,0,
#predictedHeads=16,16,4,0,8,4,6,6,12,11,12,4,14,16,14,12,20,19,20,16,0,
(4,5),0.367229 # DEPENDENCYPART_ARC
(4,6),0.820314 # DEPENDENCYPART_ARC
(4,7),0.650011 # DEPENDENCYPART_ARC
(4,8),1.65926 # DEPENDENCYPART_ARC
(4,9),0.397482 # DEPENDENCYPART_ARC
(4,11),-0.476765 # DEPENDENCYPART_ARC
(4,12),0.901284 # DEPENDENCYPART_ARC
(4,14),-2.02533 # DEPENDENCYPART_ARC
(4,16),-0.313175 # DEPENDENCYPART_ARC
(4,18),-0.523001 # DEPENDENCYPART_ARC
(4,21),0.531416 # DEPENDENCYPART_ARC
(5,7),-0.582276 # DEPENDENCYPART_ARC
(6,4),-0.933164 # DEPENDENCYPART_ARC
(6,5),0.474621 # DEPENDENCYPART_ARC
(6,7),1.48072 # DEPENDENCYPART_ARC
(6,8),2.21208 # DEPENDENCYPART_ARC
(6,9),0.592381 # DEPENDENCYPART_ARC
(6,11),-0.354314 # DEPENDENCYPART_ARC
(6,12),0.402735 # DEPENDENCYPART_ARC
(6,14),-1.79807 # DEPENDENCYPART_ARC
(6,21),-0.715917 # DEPENDENCYPART_ARC
(7,1),-1.16837 # DEPENDENCYPART_ARC
(7,2),-1.17653 # DEPENDENCYPART_ARC
(7,4),-1.26855 # DEPENDENCYPART_ARC
(7,5),0.227993 # DEPENDENCYPART_ARC
(7,6),-0.118809 # DEPENDENCYPART_ARC
(7,8),0.512921 # DEPENDENCYPART_ARC
(7,9),-0.588995 # DEPENDENCYPART_ARC
(7,11),-1.40445 # DEPENDENCYPART_ARC
(7,12),-0.747728 # DEPENDENCYPART_ARC
(7,14),-2.13587 # DEPENDENCYPART_ARC
(7,16),-1.8204 # DEPENDENCYPART_ARC
(7,18),-1.98946 # DEPENDENCYPART_ARC
(8,1),-1.14705 # DEPENDENCYPART_ARC
(8,2),-0.62914 # DEPENDENCYPART_ARC
(8,3),-1.28204 # DEPENDENCYPART_ARC
(8,4),-2.52679 # DEPENDENCYPART_ARC
(8,5),0.8147 # DEPENDENCYPART_ARC
(8,6),0.383922 # DEPENDENCYPART_ARC
(8,7),1.07596 # DEPENDENCYPART_ARC
(8,9),0.0221911 # DEPENDENCYPART_ARC
(8,10),-0.811727 # DEPENDENCYPART_ARC
(8,11),-1.18864 # DEPENDENCYPART_ARC
(8,12),-0.163168 # DEPENDENCYPART_ARC
(8,16),-0.621762 # DEPENDENCYPART_ARC
(8,20),-3.9122 # DEPENDENCYPART_ARC
(9,1),-0.486551 # DEPENDENCYPART_ARC
(9,2),-0.830037 # DEPENDENCYPART_ARC
(9,4),-0.644881 # DEPENDENCYPART_ARC
(9,6),-0.119072 # DEPENDENCYPART_ARC
(9,7),-0.447793 # DEPENDENCYPART_ARC
(9,8),0.256926 # DEPENDENCYPART_ARC
(9,11),0.236274 # DEPENDENCYPART_ARC
(9,12),0.183363 # DEPENDENCYPART_ARC
(9,14),-0.45278 # DEPENDENCYPART_ARC
(9,16),-0.644053 # DEPENDENCYPART_ARC
(9,19),-1.36362 # DEPENDENCYPART_ARC
(9,21),-0.360378 # DEPENDENCYPART_ARC
(11,1),-1.75324 # DEPENDENCYPART_ARC
(11,2),-1.18268 # DEPENDENCYPART_ARC
(11,3),-1.07094 # DEPENDENCYPART_ARC
(11,5),-2.47269 # DEPENDENCYPART_ARC
(11,6),-0.980452 # DEPENDENCYPART_ARC
(11,7),-1.00191 # DEPENDENCYPART_ARC
(11,8),-2.35061 # DEPENDENCYPART_ARC
(11,9),-0.584791 # DEPENDENCYPART_ARC
(11,10),2.91606 # DEPENDENCYPART_ARC
(11,13),-1.13714 # DEPENDENCYPART_ARC
(11,14),-1.26577 # DEPENDENCYPART_ARC
(11,16),-0.5443 # DEPENDENCYPART_ARC
(11,18),-1.15672 # DEPENDENCYPART_ARC
(11,20),-2.8891 # DEPENDENCYPART_ARC
(12,1),-0.224759 # DEPENDENCYPART_ARC
(12,2),0.447748 # DEPENDENCYPART_ARC
(12,4),0.590005 # DEPENDENCYPART_ARC
(12,6),0.632843 # DEPENDENCYPART_ARC
(12,7),-0.409219 # DEPENDENCYPART_ARC
(12,8),1.32623 # DEPENDENCYPART_ARC
(12,9),1.6673 # DEPENDENCYPART_ARC
(12,10),0.492508 # DEPENDENCYPART_ARC
(12,11),2.62264 # DEPENDENCYPART_ARC
(12,13),-0.125598 # DEPENDENCYPART_ARC
(12,14),1.59201 # DEPENDENCYPART_ARC
(12,15),-0.306207 # DEPENDENCYPART_ARC
(12,16),0.781283 # DEPENDENCYPART_ARC
(12,18),-0.269756 # DEPENDENCYPART_ARC
(12,19),-0.737002 # DEPENDENCYPART_ARC
(12,20),-0.274926 # DEPENDENCYPART_ARC
(12,21),-0.383669 # DEPENDENCYPART_ARC
(14,5),-2.66476 # DEPENDENCYPART_ARC
(14,10),0.342903 # DEPENDENCYPART_ARC
(14,11),-1.2395 # DEPENDENCYPART_ARC
(14,12),-0.0873073 # DEPENDENCYPART_ARC
(14,13),2.50019 # DEPENDENCYPART_ARC
(14,15),1.98815 # DEPENDENCYPART_ARC
(14,16),0.739743 # DEPENDENCYPART_ARC
(14,18),-0.412377 # DEPENDENCYPART_ARC
(14,19),-1.56007 # DEPENDENCYPART_ARC
(14,20),-1.3236 # DEPENDENCYPART_ARC
(14,21),-0.401223 # DEPENDENCYPART_ARC
(16,1),0.742516 # DEPENDENCYPART_ARC
(16,2),1.36403 # DEPENDENCYPART_ARC
(16,4),0.0713311 # DEPENDENCYPART_ARC
(16,6),0.719644 # DEPENDENCYPART_ARC
(16,7),0.515866 # DEPENDENCYPART_ARC
(16,8),-2.29431 # DEPENDENCYPART_ARC
(16,9),1.52986 # DEPENDENCYPART_ARC
(16,11),0.38149 # DEPENDENCYPART_ARC
(16,12),0.647261 # DEPENDENCYPART_ARC
(16,13),0.0406636 # DEPENDENCYPART_ARC
(16,14),1.6798 # DEPENDENCYPART_ARC
(16,15),0.294494 # DEPENDENCYPART_ARC
(16,18),0.0966851 # DEPENDENCYPART_ARC
(16,19),-1.44187 # DEPENDENCYPART_ARC
(16,20),1.33691 # DEPENDENCYPART_ARC
(16,21),0.318858 # DEPENDENCYPART_ARC
(17,18),1.08158 # DEPENDENCYPART_ARC
(18,1),-1.30195 # DEPENDENCYPART_ARC
(18,2),-1.21861 # DEPENDENCYPART_ARC
(18,19),0.212002 # DEPENDENCYPART_ARC
(18,20),0.128865 # DEPENDENCYPART_ARC
(18,21),-0.430046 # DEPENDENCYPART_ARC
(19,11),-1.39369 # DEPENDENCYPART_ARC
(19,14),-0.429991 # DEPENDENCYPART_ARC
(19,17),0.922014 # DEPENDENCYPART_ARC
(19,18),2.17103 # DEPENDENCYPART_ARC
(19,20),0.4255 # DEPENDENCYPART_ARC
(19,21),-0.182585 # DEPENDENCYPART_ARC
(20,10),-1.94491 # DEPENDENCYPART_ARC
(20,13),-0.643703 # DEPENDENCYPART_ARC
(20,14),-0.815566 # DEPENDENCYPART_ARC
(20,17),2.56273 # DEPENDENCYPART_ARC
(20,18),1.18267 # DEPENDENCYPART_ARC
(20,19),3.44107 # DEPENDENCYPART_ARC
(20,21),0.262904 # DEPENDENCYPART_ARC
(21,4),-3.33591 # DEPENDENCYPART_ARC
(21,19),-1.88852 # DEPENDENCYPART_ARC
(21,20),-2.0835 # DEPENDENCYPART_ARC
