# _root_ Οι επεμβατική αντιμετώπιση της διέγερσης των πυρήνων , που γίνεται και στην Ελλάδα , γίνεται στις περιπτώσεις που οι ασθενείς έχουν κορεστεί από τα φάρμακα .
#goldHeads=3,3,15,5,3,7,5,10,10,3,13,10,12,10,0,15,16,22,20,22,22,17,22,25,23,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,12,10,12,15,11,15,16,17,20,21,22,17,22,25,23,0,
(14,11),-0.0489699 # DEPENDENCYPART_ARC
(14,12),-0.310114 # DEPENDENCYPART_ARC
(14,13),0.102062 # DEPENDENCYPART_ARC
(14,15),-0.758094 # DEPENDENCYPART_ARC
(14,16),-1.16702 # DEPENDENCYPART_ARC
(14,17),-1.10624 # DEPENDENCYPART_ARC
(14,20),-1.72809 # DEPENDENCYPART_ARC
(15,2),-1.16771 # DEPENDENCYPART_ARC
(15,3),-1.17263 # DEPENDENCYPART_ARC
(15,5),-1.89194 # DEPENDENCYPART_ARC
(15,7),-2.76449 # DEPENDENCYPART_ARC
(15,8),0.533875 # DEPENDENCYPART_ARC
(15,9),1.51202 # DEPENDENCYPART_ARC
(15,10),-2.53772 # DEPENDENCYPART_ARC
(15,11),0.405174 # DEPENDENCYPART_ARC
(15,12),0.585809 # DEPENDENCYPART_ARC
(15,13),-0.0472943 # DEPENDENCYPART_ARC
(15,14),1.17244 # DEPENDENCYPART_ARC
(15,16),1.93197 # DEPENDENCYPART_ARC
(15,17),0.214929 # DEPENDENCYPART_ARC
(15,18),0.78841 # DEPENDENCYPART_ARC
(15,20),-0.22267 # DEPENDENCYPART_ARC
(15,21),-2.07041 # DEPENDENCYPART_ARC
(15,22),-3.4746 # DEPENDENCYPART_ARC
(15,23),-0.787706 # DEPENDENCYPART_ARC
(15,25),-2.65309 # DEPENDENCYPART_ARC
(15,26),0.710858 # DEPENDENCYPART_ARC
(16,14),-0.392939 # DEPENDENCYPART_ARC
(16,17),3.2952 # DEPENDENCYPART_ARC
(17,13),-2.37204 # DEPENDENCYPART_ARC
(17,16),0.201776 # DEPENDENCYPART_ARC
(17,18),0.886686 # DEPENDENCYPART_ARC
(17,19),-0.374179 # DEPENDENCYPART_ARC
(17,20),0.189876 # DEPENDENCYPART_ARC
(17,21),0.250305 # DEPENDENCYPART_ARC
(17,22),-0.00240518 # DEPENDENCYPART_ARC
(17,23),-0.833481 # DEPENDENCYPART_ARC
(17,25),-2.99589 # DEPENDENCYPART_ARC
(18,9),-1.96596 # DEPENDENCYPART_ARC
(18,12),-0.788424 # DEPENDENCYPART_ARC
(18,16),-0.129586 # DEPENDENCYPART_ARC
(18,17),-0.213643 # DEPENDENCYPART_ARC
(18,19),-0.101288 # DEPENDENCYPART_ARC
(18,20),-0.228966 # DEPENDENCYPART_ARC
(18,21),-0.42591 # DEPENDENCYPART_ARC
(18,22),-1.3829 # DEPENDENCYPART_ARC
(18,23),-0.703701 # DEPENDENCYPART_ARC
(18,25),-1.74982 # DEPENDENCYPART_ARC
(20,17),-1.19484 # DEPENDENCYPART_ARC
(20,18),-0.144379 # DEPENDENCYPART_ARC
(20,19),2.61544 # DEPENDENCYPART_ARC
(20,21),-0.868688 # DEPENDENCYPART_ARC
(20,23),-0.431788 # DEPENDENCYPART_ARC
(20,25),-2.13965 # DEPENDENCYPART_ARC
(21,2),-2.84405 # DEPENDENCYPART_ARC
(21,3),-3.28455 # DEPENDENCYPART_ARC
(21,5),-4.55939 # DEPENDENCYPART_ARC
(21,7),-3.85299 # DEPENDENCYPART_ARC
(21,8),-0.705369 # DEPENDENCYPART_ARC
(21,9),-0.775063 # DEPENDENCYPART_ARC
(21,10),-4.7009 # DEPENDENCYPART_ARC
(21,11),-0.332066 # DEPENDENCYPART_ARC
(21,12),-1.0982 # DEPENDENCYPART_ARC
(21,13),-2.57756 # DEPENDENCYPART_ARC
(21,14),-0.698067 # DEPENDENCYPART_ARC
(21,15),-4.02714 # DEPENDENCYPART_ARC
(21,16),-0.639972 # DEPENDENCYPART_ARC
(21,17),-1.13679 # DEPENDENCYPART_ARC
(21,18),-0.0504324 # DEPENDENCYPART_ARC
(21,19),-0.953172 # DEPENDENCYPART_ARC
(21,20),0.804222 # DEPENDENCYPART_ARC
(21,22),-2.3285 # DEPENDENCYPART_ARC
(21,23),-0.710359 # DEPENDENCYPART_ARC
(21,25),-1.01371 # DEPENDENCYPART_ARC
(22,2),-2.83475 # DEPENDENCYPART_ARC
(22,3),-0.919319 # DEPENDENCYPART_ARC
(22,5),-2.24651 # DEPENDENCYPART_ARC
(22,7),-2.71435 # DEPENDENCYPART_ARC
(22,8),0.409133 # DEPENDENCYPART_ARC
(22,9),0.981062 # DEPENDENCYPART_ARC
(22,10),-2.67433 # DEPENDENCYPART_ARC
(22,11),-0.0988827 # DEPENDENCYPART_ARC
(22,12),-0.574573 # DEPENDENCYPART_ARC
(22,13),-0.652423 # DEPENDENCYPART_ARC
(22,14),0.272588 # DEPENDENCYPART_ARC
(22,15),-2.37117 # DEPENDENCYPART_ARC
(22,16),0.579316 # DEPENDENCYPART_ARC
(22,17),0.448289 # DEPENDENCYPART_ARC
(22,18),0.861681 # DEPENDENCYPART_ARC
(22,19),-0.872593 # DEPENDENCYPART_ARC
(22,20),0.491647 # DEPENDENCYPART_ARC
(22,21),4.70232 # DEPENDENCYPART_ARC
(22,23),1.95411 # DEPENDENCYPART_ARC
(22,24),-0.719991 # DEPENDENCYPART_ARC
(22,25),0.983158 # DEPENDENCYPART_ARC
(22,26),0.511737 # DEPENDENCYPART_ARC
(23,21),-1.17569 # DEPENDENCYPART_ARC
(23,24),0.0140415 # DEPENDENCYPART_ARC
(23,25),2.59758 # DEPENDENCYPART_ARC
(23,26),-0.0699199 # DEPENDENCYPART_ARC
(25,19),-1.57909 # DEPENDENCYPART_ARC
(25,20),-1.51024 # DEPENDENCYPART_ARC
(25,23),-0.182178 # DEPENDENCYPART_ARC
(25,24),3.30187 # DEPENDENCYPART_ARC
(26,23),-1.90196 # DEPENDENCYPART_ARC
(26,25),-2.13908 # DEPENDENCYPART_ARC
