# _root_ Τα τελευταία χρόνια , η δημιουργία Συνεδριακού Κέντρου , δυναμικότητας 1000 συνέδρων έδωσε σημαντική ώθηση στην τουριστική ανάπτυξη της περιοχής .
#goldHeads=3,3,13,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
#predictedHeads=3,3,4,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
(4,3),0.357875 # DEPENDENCYPART_ARC
(4,6),0.115401 # DEPENDENCYPART_ARC
(4,7),-0.443444 # DEPENDENCYPART_ARC
(4,8),0.0953365 # DEPENDENCYPART_ARC
(4,9),-0.0922018 # DEPENDENCYPART_ARC
(4,10),-0.535551 # DEPENDENCYPART_ARC
(4,13),-0.610888 # DEPENDENCYPART_ARC
(4,14),-1.29397 # DEPENDENCYPART_ARC
(6,1),-1.60033 # DEPENDENCYPART_ARC
(6,2),-2.1736 # DEPENDENCYPART_ARC
(6,3),-2.94771 # DEPENDENCYPART_ARC
(6,4),-0.695682 # DEPENDENCYPART_ARC
(6,5),2.6114 # DEPENDENCYPART_ARC
(6,7),0.372331 # DEPENDENCYPART_ARC
(6,8),2.50439 # DEPENDENCYPART_ARC
(6,9),0.395559 # DEPENDENCYPART_ARC
(6,10),0.888144 # DEPENDENCYPART_ARC
(6,11),0.220839 # DEPENDENCYPART_ARC
(6,12),0.332233 # DEPENDENCYPART_ARC
(6,13),-1.77488 # DEPENDENCYPART_ARC
(6,15),-2.17922 # DEPENDENCYPART_ARC
(6,16),-0.919998 # DEPENDENCYPART_ARC
(7,3),-0.957587 # DEPENDENCYPART_ARC
(7,4),-0.379929 # DEPENDENCYPART_ARC
(7,5),-0.00776566 # DEPENDENCYPART_ARC
(7,6),-0.11741 # DEPENDENCYPART_ARC
(7,8),0.716228 # DEPENDENCYPART_ARC
(7,9),-0.540933 # DEPENDENCYPART_ARC
(7,10),-0.462006 # DEPENDENCYPART_ARC
(7,12),-0.932855 # DEPENDENCYPART_ARC
(7,13),-2.2014 # DEPENDENCYPART_ARC
(7,16),-2.55793 # DEPENDENCYPART_ARC
(8,1),-1.17139 # DEPENDENCYPART_ARC
(8,2),-1.66297 # DEPENDENCYPART_ARC
(8,3),-3.09869 # DEPENDENCYPART_ARC
(8,4),-0.317946 # DEPENDENCYPART_ARC
(8,5),0.323322 # DEPENDENCYPART_ARC
(8,6),-0.569463 # DEPENDENCYPART_ARC
(8,7),2.84755 # DEPENDENCYPART_ARC
(8,9),-0.246402 # DEPENDENCYPART_ARC
(8,10),1.37114 # DEPENDENCYPART_ARC
(8,11),-0.572536 # DEPENDENCYPART_ARC
(8,12),0.194189 # DEPENDENCYPART_ARC
(8,13),-1.79136 # DEPENDENCYPART_ARC
(8,16),-2.49372 # DEPENDENCYPART_ARC
(9,2),-0.280573 # DEPENDENCYPART_ARC
(9,3),0.239178 # DEPENDENCYPART_ARC
(9,4),-0.018856 # DEPENDENCYPART_ARC
(9,6),0.0507861 # DEPENDENCYPART_ARC
(9,7),-0.0725964 # DEPENDENCYPART_ARC
(9,8),0.437701 # DEPENDENCYPART_ARC
(9,10),0.472985 # DEPENDENCYPART_ARC
(9,11),-0.150522 # DEPENDENCYPART_ARC
(9,12),-0.172793 # DEPENDENCYPART_ARC
(9,13),-0.722914 # DEPENDENCYPART_ARC
(9,14),-1.26317 # DEPENDENCYPART_ARC
(9,16),-0.458167 # DEPENDENCYPART_ARC
(9,18),-1.08061 # DEPENDENCYPART_ARC
(10,1),-2.88616 # DEPENDENCYPART_ARC
(10,3),-4.48265 # DEPENDENCYPART_ARC
(10,4),-1.31079 # DEPENDENCYPART_ARC
(10,5),-0.136819 # DEPENDENCYPART_ARC
(10,6),-2.02321 # DEPENDENCYPART_ARC
(10,7),-1.02697 # DEPENDENCYPART_ARC
(10,8),-0.599582 # DEPENDENCYPART_ARC
(10,9),0.111166 # DEPENDENCYPART_ARC
(10,11),0.886692 # DEPENDENCYPART_ARC
(10,12),2.33426 # DEPENDENCYPART_ARC
(10,13),-0.941527 # DEPENDENCYPART_ARC
(10,14),-1.54895 # DEPENDENCYPART_ARC
(10,15),-1.20425 # DEPENDENCYPART_ARC
(10,16),-0.698149 # DEPENDENCYPART_ARC
(10,18),-1.9897 # DEPENDENCYPART_ARC
(10,20),-0.973815 # DEPENDENCYPART_ARC
(11,9),-0.160408 # DEPENDENCYPART_ARC
(11,10),-0.10451 # DEPENDENCYPART_ARC
(11,12),0.193572 # DEPENDENCYPART_ARC
(11,15),-1.03901 # DEPENDENCYPART_ARC
(12,4),-0.757958 # DEPENDENCYPART_ARC
(12,5),-1.01902 # DEPENDENCYPART_ARC
(12,6),-2.43726 # DEPENDENCYPART_ARC
(12,7),-1.69233 # DEPENDENCYPART_ARC
(12,8),-1.33981 # DEPENDENCYPART_ARC
(12,9),-0.355838 # DEPENDENCYPART_ARC
(12,10),0.231567 # DEPENDENCYPART_ARC
(12,11),1.9859 # DEPENDENCYPART_ARC
(12,13),-1.96549 # DEPENDENCYPART_ARC
(12,14),-1.38814 # DEPENDENCYPART_ARC
(12,15),-1.80134 # DEPENDENCYPART_ARC
(12,16),-1.52153 # DEPENDENCYPART_ARC
(12,17),-2.04775 # DEPENDENCYPART_ARC
(12,18),-2.85946 # DEPENDENCYPART_ARC
(12,20),-1.77911 # DEPENDENCYPART_ARC
(13,2),-2.59421 # DEPENDENCYPART_ARC
(13,3),-2.22675 # DEPENDENCYPART_ARC
(13,4),0.86766 # DEPENDENCYPART_ARC
(13,6),0.941684 # DEPENDENCYPART_ARC
(13,7),-3.77811 # DEPENDENCYPART_ARC
(13,8),-1.90463 # DEPENDENCYPART_ARC
(13,9),1.04556 # DEPENDENCYPART_ARC
(13,10),-0.995091 # DEPENDENCYPART_ARC
(13,11),0.448443 # DEPENDENCYPART_ARC
(13,12),-0.723099 # DEPENDENCYPART_ARC
(13,14),0.701569 # DEPENDENCYPART_ARC
(13,15),2.79637 # DEPENDENCYPART_ARC
(13,16),1.71553 # DEPENDENCYPART_ARC
(13,17),-1.26239 # DEPENDENCYPART_ARC
(13,18),0.645306 # DEPENDENCYPART_ARC
(13,20),-2.05836 # DEPENDENCYPART_ARC
(13,21),0.0198539 # DEPENDENCYPART_ARC
(14,12),-2.27482 # DEPENDENCYPART_ARC
(14,15),-0.0752055 # DEPENDENCYPART_ARC
(14,16),-0.334173 # DEPENDENCYPART_ARC
(14,17),-1.53797 # DEPENDENCYPART_ARC
(14,18),-1.42603 # DEPENDENCYPART_ARC
(14,20),-1.16898 # DEPENDENCYPART_ARC
(15,5),-0.70645 # DEPENDENCYPART_ARC
(15,10),-0.919833 # DEPENDENCYPART_ARC
(15,12),-1.60999 # DEPENDENCYPART_ARC
(15,13),-1.66386 # DEPENDENCYPART_ARC
(15,14),3.22593 # DEPENDENCYPART_ARC
(15,16),1.03799 # DEPENDENCYPART_ARC
(15,17),-0.322457 # DEPENDENCYPART_ARC
(15,18),-0.62037 # DEPENDENCYPART_ARC
(15,20),0.266103 # DEPENDENCYPART_ARC
(16,14),-0.349643 # DEPENDENCYPART_ARC
(16,17),0.84746 # DEPENDENCYPART_ARC
(16,18),2.66309 # DEPENDENCYPART_ARC
(16,20),-0.154662 # DEPENDENCYPART_ARC
(16,21),-0.438433 # DEPENDENCYPART_ARC
(17,15),-2.44433 # DEPENDENCYPART_ARC
(17,18),0.175395 # DEPENDENCYPART_ARC
(17,20),-0.337609 # DEPENDENCYPART_ARC
(18,14),1.0848 # DEPENDENCYPART_ARC
(18,15),-0.250818 # DEPENDENCYPART_ARC
(18,16),0.796944 # DEPENDENCYPART_ARC
(18,17),3.4219 # DEPENDENCYPART_ARC
(18,19),0.464346 # DEPENDENCYPART_ARC
(18,20),2.41643 # DEPENDENCYPART_ARC
(18,21),0.280184 # DEPENDENCYPART_ARC
(20,14),-2.03398 # DEPENDENCYPART_ARC
(20,15),-2.78463 # DEPENDENCYPART_ARC
(20,17),-0.80967 # DEPENDENCYPART_ARC
(20,18),-1.63971 # DEPENDENCYPART_ARC
(20,19),3.11208 # DEPENDENCYPART_ARC
(20,21),0.0357529 # DEPENDENCYPART_ARC
(21,18),-2.06119 # DEPENDENCYPART_ARC
(21,20),-2.17515 # DEPENDENCYPART_ARC
