# _root_ Στο σημείο των εκβολών του , στο Ιόνιο , δημιουργείται το δέλτα του ποταμού .
#goldHeads=6,1,4,2,4,10,6,7,10,0,12,10,14,12,0,
#predictedHeads=10,1,4,2,4,10,10,7,10,0,12,10,14,12,0,
(8,12),-1.79729 # DEPENDENCYPART_ARC
(8,14),-1.05699 # DEPENDENCYPART_ARC
(8,15),-0.863454 # DEPENDENCYPART_ARC
(9,1),-1.02639 # DEPENDENCYPART_ARC
(9,2),-0.445867 # DEPENDENCYPART_ARC
(9,4),-0.577251 # DEPENDENCYPART_ARC
(9,6),-0.112843 # DEPENDENCYPART_ARC
(9,7),-0.302782 # DEPENDENCYPART_ARC
(9,8),-0.117325 # DEPENDENCYPART_ARC
(9,10),-0.588079 # DEPENDENCYPART_ARC
(9,12),-0.918318 # DEPENDENCYPART_ARC
(9,14),-1.12183 # DEPENDENCYPART_ARC
(9,15),-0.742033 # DEPENDENCYPART_ARC
(10,1),0.776286 # DEPENDENCYPART_ARC
(10,2),-1.16182 # DEPENDENCYPART_ARC
(10,4),-2.34524 # DEPENDENCYPART_ARC
(10,6),0.826088 # DEPENDENCYPART_ARC
(10,7),0.660567 # DEPENDENCYPART_ARC
(10,8),-0.206914 # DEPENDENCYPART_ARC
(10,9),1.20134 # DEPENDENCYPART_ARC
(10,11),-1.69794 # DEPENDENCYPART_ARC
(10,12),2.23279 # DEPENDENCYPART_ARC
(10,14),-0.972466 # DEPENDENCYPART_ARC
(10,15),0.379302 # DEPENDENCYPART_ARC
(12,3),-2.4338 # DEPENDENCYPART_ARC
(12,6),-0.957048 # DEPENDENCYPART_ARC
(12,8),-1.43932 # DEPENDENCYPART_ARC
(12,9),-0.83425 # DEPENDENCYPART_ARC
(12,10),-0.881596 # DEPENDENCYPART_ARC
(12,11),3.53307 # DEPENDENCYPART_ARC
(12,13),-0.546583 # DEPENDENCYPART_ARC
(12,14),2.26568 # DEPENDENCYPART_ARC
(12,15),0.198019 # DEPENDENCYPART_ARC
(14,6),-1.03162 # DEPENDENCYPART_ARC
(14,9),-1.07977 # DEPENDENCYPART_ARC
(14,10),-1.39821 # DEPENDENCYPART_ARC
(14,11),0.177263 # DEPENDENCYPART_ARC
(14,12),-0.558992 # DEPENDENCYPART_ARC
(14,13),2.86568 # DEPENDENCYPART_ARC
(14,15),0.000240676 # DEPENDENCYPART_ARC
(15,4),-2.82008 # DEPENDENCYPART_ARC
(15,7),-2.76158 # DEPENDENCYPART_ARC
(15,9),-2.09776 # DEPENDENCYPART_ARC
(15,10),-2.55269 # DEPENDENCYPART_ARC
(15,12),-2.23112 # DEPENDENCYPART_ARC
(15,14),-2.18756 # DEPENDENCYPART_ARC
