# _root_ Η Κέρκυρα περιήλθε σε Βρετανική κυριαρχία το 1815 , μετά το Βατερλώ , και από τότε άρχισε να διαμορφώνεται ο σημερινός χαρακτήρας του νησιού .
#goldHeads=2,3,14,3,6,4,8,3,3,3,12,10,3,0,17,15,14,19,17,22,22,19,24,22,0,
#predictedHeads=2,3,0,3,6,4,8,6,12,12,12,14,14,0,17,15,14,19,17,22,22,19,24,22,0,
(14,17),1.60864 # DEPENDENCYPART_ARC
(14,19),0.134998 # DEPENDENCYPART_ARC
(14,21),-0.558585 # DEPENDENCYPART_ARC
(14,22),-1.03369 # DEPENDENCYPART_ARC
(14,24),-1.21932 # DEPENDENCYPART_ARC
(14,25),0.283001 # DEPENDENCYPART_ARC
(15,12),-0.906072 # DEPENDENCYPART_ARC
(15,13),0.290626 # DEPENDENCYPART_ARC
(15,14),0.467873 # DEPENDENCYPART_ARC
(15,16),1.76158 # DEPENDENCYPART_ARC
(15,17),0.770843 # DEPENDENCYPART_ARC
(15,19),-0.581631 # DEPENDENCYPART_ARC
(15,22),-0.729394 # DEPENDENCYPART_ARC
(16,13),-1.05456 # DEPENDENCYPART_ARC
(16,15),-0.427614 # DEPENDENCYPART_ARC
(16,17),-0.0609606 # DEPENDENCYPART_ARC
(16,19),-1.28688 # DEPENDENCYPART_ARC
(16,22),-2.14396 # DEPENDENCYPART_ARC
(16,24),-1.67599 # DEPENDENCYPART_ARC
(17,2),0.088038 # DEPENDENCYPART_ARC
(17,3),-3.58912 # DEPENDENCYPART_ARC
(17,4),-0.708436 # DEPENDENCYPART_ARC
(17,5),-2.02353 # DEPENDENCYPART_ARC
(17,6),-1.37194 # DEPENDENCYPART_ARC
(17,8),-0.613102 # DEPENDENCYPART_ARC
(17,9),0.28102 # DEPENDENCYPART_ARC
(17,10),0.195169 # DEPENDENCYPART_ARC
(17,12),-0.285506 # DEPENDENCYPART_ARC
(17,13),0.489255 # DEPENDENCYPART_ARC
(17,14),0.312991 # DEPENDENCYPART_ARC
(17,15),1.27018 # DEPENDENCYPART_ARC
(17,16),1.31972 # DEPENDENCYPART_ARC
(17,18),0.730556 # DEPENDENCYPART_ARC
(17,19),2.36163 # DEPENDENCYPART_ARC
(17,21),-0.874907 # DEPENDENCYPART_ARC
(17,22),0.718162 # DEPENDENCYPART_ARC
(17,24),-2.20043 # DEPENDENCYPART_ARC
(17,25),0.461714 # DEPENDENCYPART_ARC
(18,19),0.0986404 # DEPENDENCYPART_ARC
(19,3),-4.83187 # DEPENDENCYPART_ARC
(19,4),-1.37849 # DEPENDENCYPART_ARC
(19,5),-1.81675 # DEPENDENCYPART_ARC
(19,6),-1.80486 # DEPENDENCYPART_ARC
(19,8),-1.28114 # DEPENDENCYPART_ARC
(19,9),-0.511027 # DEPENDENCYPART_ARC
(19,10),-0.422486 # DEPENDENCYPART_ARC
(19,12),-3.86898 # DEPENDENCYPART_ARC
(19,13),-0.947682 # DEPENDENCYPART_ARC
(19,15),0.0166066 # DEPENDENCYPART_ARC
(19,16),0.11416 # DEPENDENCYPART_ARC
(19,17),-1.79453 # DEPENDENCYPART_ARC
(19,18),2.25446 # DEPENDENCYPART_ARC
(19,20),-2.13307 # DEPENDENCYPART_ARC
(19,21),0.221928 # DEPENDENCYPART_ARC
(19,22),1.77431 # DEPENDENCYPART_ARC
(19,24),-0.659766 # DEPENDENCYPART_ARC
(19,25),0.0523847 # DEPENDENCYPART_ARC
(21,16),-1.46913 # DEPENDENCYPART_ARC
(21,20),0.782909 # DEPENDENCYPART_ARC
(21,22),-0.212745 # DEPENDENCYPART_ARC
(21,24),-0.343523 # DEPENDENCYPART_ARC
(22,16),-0.647899 # DEPENDENCYPART_ARC
(22,19),-1.26937 # DEPENDENCYPART_ARC
(22,20),3.16819 # DEPENDENCYPART_ARC
(22,21),3.49608 # DEPENDENCYPART_ARC
(22,23),-0.552849 # DEPENDENCYPART_ARC
(22,24),2.56034 # DEPENDENCYPART_ARC
(22,25),0.37584 # DEPENDENCYPART_ARC
(24,20),-0.265497 # DEPENDENCYPART_ARC
(24,21),-1.38916 # DEPENDENCYPART_ARC
(24,22),-0.43421 # DEPENDENCYPART_ARC
(24,23),2.90726 # DEPENDENCYPART_ARC
(24,25),-0.271162 # DEPENDENCYPART_ARC
(25,22),-1.93609 # DEPENDENCYPART_ARC
(25,24),-2.01419 # DEPENDENCYPART_ARC
