# _root_ Σημειώνεται πάντως ότι το " νέο , ευέλικτο Σύμφωνο Σταθερότητας " δίνει μεγαλύτερη έμφαση στο δημόσιο χρέος , κάτι το οποίο δεν ευνοεί χώρες όπως η Ελλάδα .
#goldHeads=0,1,1,9,9,7,9,7,12,9,9,3,14,12,12,17,15,12,3,21,23,23,19,23,24,27,24,0,
#predictedHeads=0,1,1,9,6,7,12,9,7,9,12,3,14,12,12,17,15,23,23,21,23,23,14,23,24,27,23,0,
(3,4),0.12101 # DEPENDENCYPART_ARC
(3,5),0.0951322 # DEPENDENCYPART_ARC
(3,7),-0.134148 # DEPENDENCYPART_ARC
(3,11),-0.47348 # DEPENDENCYPART_ARC
(3,12),1.33778 # DEPENDENCYPART_ARC
(3,18),-0.902618 # DEPENDENCYPART_ARC
(3,19),0.327002 # DEPENDENCYPART_ARC
(3,23),-0.28066 # DEPENDENCYPART_ARC
(5,1),-1.02746 # DEPENDENCYPART_ARC
(5,2),-0.646918 # DEPENDENCYPART_ARC
(5,3),-0.681916 # DEPENDENCYPART_ARC
(5,6),-0.472935 # DEPENDENCYPART_ARC
(5,7),-0.524964 # DEPENDENCYPART_ARC
(5,8),-0.747634 # DEPENDENCYPART_ARC
(5,9),-1.27355 # DEPENDENCYPART_ARC
(5,10),-1.12735 # DEPENDENCYPART_ARC
(5,11),-0.598777 # DEPENDENCYPART_ARC
(5,12),-1.21712 # DEPENDENCYPART_ARC
(5,27),-2.13205 # DEPENDENCYPART_ARC
(6,2),-0.242208 # DEPENDENCYPART_ARC
(6,3),-0.31408 # DEPENDENCYPART_ARC
(6,4),0.920204 # DEPENDENCYPART_ARC
(6,5),0.817472 # DEPENDENCYPART_ARC
(6,7),0.503548 # DEPENDENCYPART_ARC
(6,8),-0.0292004 # DEPENDENCYPART_ARC
(6,9),-0.623235 # DEPENDENCYPART_ARC
(6,10),0.193527 # DEPENDENCYPART_ARC
(6,15),-2.02619 # DEPENDENCYPART_ARC
(7,1),-0.337858 # DEPENDENCYPART_ARC
(7,2),-0.083455 # DEPENDENCYPART_ARC
(7,3),0.20395 # DEPENDENCYPART_ARC
(7,5),0.39116 # DEPENDENCYPART_ARC
(7,6),0.674874 # DEPENDENCYPART_ARC
(7,8),1.06215 # DEPENDENCYPART_ARC
(7,9),0.155799 # DEPENDENCYPART_ARC
(7,10),0.203909 # DEPENDENCYPART_ARC
(7,11),0.523363 # DEPENDENCYPART_ARC
(7,12),-0.342592 # DEPENDENCYPART_ARC
(7,13),-0.546307 # DEPENDENCYPART_ARC
(7,16),-0.65386 # DEPENDENCYPART_ARC
(7,17),-1.09715 # DEPENDENCYPART_ARC
(7,27),-1.25292 # DEPENDENCYPART_ARC
(8,3),-0.704279 # DEPENDENCYPART_ARC
(8,5),-0.26906 # DEPENDENCYPART_ARC
(8,6),0.21806 # DEPENDENCYPART_ARC
(8,7),0.0267595 # DEPENDENCYPART_ARC
(8,9),0.328428 # DEPENDENCYPART_ARC
(8,10),0.750847 # DEPENDENCYPART_ARC
(8,11),0.0539848 # DEPENDENCYPART_ARC
(8,17),-2.44172 # DEPENDENCYPART_ARC
(9,1),-2.28272 # DEPENDENCYPART_ARC
(9,2),-0.603298 # DEPENDENCYPART_ARC
(9,4),1.01378 # DEPENDENCYPART_ARC
(9,5),0.413923 # DEPENDENCYPART_ARC
(9,6),-0.134317 # DEPENDENCYPART_ARC
(9,7),0.587509 # DEPENDENCYPART_ARC
(9,8),2.90843 # DEPENDENCYPART_ARC
(9,10),2.87775 # DEPENDENCYPART_ARC
(9,11),0.50264 # DEPENDENCYPART_ARC
(9,12),-0.479783 # DEPENDENCYPART_ARC
(9,13),-0.216326 # DEPENDENCYPART_ARC
(9,14),-0.943447 # DEPENDENCYPART_ARC
(9,15),-0.949054 # DEPENDENCYPART_ARC
(9,23),-1.57462 # DEPENDENCYPART_ARC
(9,25),-0.556282 # DEPENDENCYPART_ARC
(10,1),-1.7709 # DEPENDENCYPART_ARC
(10,2),-0.646986 # DEPENDENCYPART_ARC
(10,4),-0.606008 # DEPENDENCYPART_ARC
(10,5),0.536819 # DEPENDENCYPART_ARC
(10,6),-2.01762 # DEPENDENCYPART_ARC
(10,7),0.16153 # DEPENDENCYPART_ARC
(10,8),-0.176188 # DEPENDENCYPART_ARC
(10,9),0.30951 # DEPENDENCYPART_ARC
(10,11),0.196286 # DEPENDENCYPART_ARC
(10,12),-1.52776 # DEPENDENCYPART_ARC
(10,13),-1.60715 # DEPENDENCYPART_ARC
(10,14),-1.88891 # DEPENDENCYPART_ARC
(10,15),-1.5256 # DEPENDENCYPART_ARC
(10,16),-2.7785 # DEPENDENCYPART_ARC
(11,1),-1.80223 # DEPENDENCYPART_ARC
(11,6),-1.43503 # DEPENDENCYPART_ARC
(11,8),-1.13781 # DEPENDENCYPART_ARC
(11,9),-1.2553 # DEPENDENCYPART_ARC
(11,10),-1.01891 # DEPENDENCYPART_ARC
(11,12),-0.934073 # DEPENDENCYPART_ARC
(11,13),-1.51228 # DEPENDENCYPART_ARC
(11,14),-1.64995 # DEPENDENCYPART_ARC
(11,27),-2.26351 # DEPENDENCYPART_ARC
(12,1),-2.05757 # DEPENDENCYPART_ARC
(12,2),-0.26502 # DEPENDENCYPART_ARC
(12,3),0.0273095 # DEPENDENCYPART_ARC
(12,5),0.366086 # DEPENDENCYPART_ARC
(12,6),-1.37115 # DEPENDENCYPART_ARC
(12,7),0.784449 # DEPENDENCYPART_ARC
(12,8),-0.97643 # DEPENDENCYPART_ARC
(12,9),-0.194193 # DEPENDENCYPART_ARC
(12,10),-1.1357 # DEPENDENCYPART_ARC
(12,11),1.21475 # DEPENDENCYPART_ARC
(12,13),0.987847 # DEPENDENCYPART_ARC
(12,14),3.59993 # DEPENDENCYPART_ARC
(12,15),1.54032 # DEPENDENCYPART_ARC
(12,16),-1.04067 # DEPENDENCYPART_ARC
(12,17),1.21165 # DEPENDENCYPART_ARC
(12,18),0.809652 # DEPENDENCYPART_ARC
(12,23),-1.49955 # DEPENDENCYPART_ARC
(12,24),-0.851607 # DEPENDENCYPART_ARC
(12,25),-0.405166 # DEPENDENCYPART_ARC
(12,27),-0.863973 # DEPENDENCYPART_ARC
(12,28),0.351412 # DEPENDENCYPART_ARC
(13,11),-0.0844592 # DEPENDENCYPART_ARC
(13,14),-0.0811807 # DEPENDENCYPART_ARC
(13,15),-0.0482762 # DEPENDENCYPART_ARC
(13,16),-1.0644 # DEPENDENCYPART_ARC
(13,17),-1.69237 # DEPENDENCYPART_ARC
(14,4),-1.31431 # DEPENDENCYPART_ARC
(14,8),-0.685224 # DEPENDENCYPART_ARC
(14,9),-0.854166 # DEPENDENCYPART_ARC
(14,10),-0.835102 # DEPENDENCYPART_ARC
(14,11),0.196932 # DEPENDENCYPART_ARC
(14,13),3.19552 # DEPENDENCYPART_ARC
(14,15),1.16226 # DEPENDENCYPART_ARC
(14,16),-0.374826 # DEPENDENCYPART_ARC
(14,17),-0.483817 # DEPENDENCYPART_ARC
(14,18),0.188262 # DEPENDENCYPART_ARC
(14,19),-1.32093 # DEPENDENCYPART_ARC
(14,23),0.105702 # DEPENDENCYPART_ARC
(14,25),-0.503589 # DEPENDENCYPART_ARC
(15,13),-0.810182 # DEPENDENCYPART_ARC
(15,16),1.60066 # DEPENDENCYPART_ARC
(15,17),2.74515 # DEPENDENCYPART_ARC
(15,18),0.143582 # DEPENDENCYPART_ARC
(16,14),-2.09888 # DEPENDENCYPART_ARC
(16,17),0.361018 # DEPENDENCYPART_ARC
(16,18),-0.47426 # DEPENDENCYPART_ARC
(16,23),-1.87134 # DEPENDENCYPART_ARC
(16,24),-2.3506 # DEPENDENCYPART_ARC
(17,13),0.428028 # DEPENDENCYPART_ARC
(17,14),-1.05463 # DEPENDENCYPART_ARC
(17,15),0.108597 # DEPENDENCYPART_ARC
(17,16),3.50995 # DEPENDENCYPART_ARC
(17,18),-0.086336 # DEPENDENCYPART_ARC
(17,19),-0.853388 # DEPENDENCYPART_ARC
(17,23),-0.277086 # DEPENDENCYPART_ARC
(17,24),-2.48777 # DEPENDENCYPART_ARC
(17,25),-1.22514 # DEPENDENCYPART_ARC
(18,1),-1.36955 # DEPENDENCYPART_ARC
(18,7),-0.00146531 # DEPENDENCYPART_ARC
(18,13),-0.632321 # DEPENDENCYPART_ARC
(18,14),-0.291181 # DEPENDENCYPART_ARC
(18,15),-0.0183957 # DEPENDENCYPART_ARC
(18,16),-0.287097 # DEPENDENCYPART_ARC
(18,17),-0.241041 # DEPENDENCYPART_ARC
(18,23),-1.24838 # DEPENDENCYPART_ARC
(18,24),-1.53076 # DEPENDENCYPART_ARC
(18,25),-1.00599 # DEPENDENCYPART_ARC
(18,27),-1.45495 # DEPENDENCYPART_ARC
(19,18),0.0805051 # DEPENDENCYPART_ARC
(19,23),-0.0227726 # DEPENDENCYPART_ARC
(21,20),2.67151 # DEPENDENCYPART_ARC
(22,20),-0.271069 # DEPENDENCYPART_ARC
(22,24),-0.504276 # DEPENDENCYPART_ARC
(23,1),-3.73181 # DEPENDENCYPART_ARC
(23,2),-0.994428 # DEPENDENCYPART_ARC
(23,3),-0.56974 # DEPENDENCYPART_ARC
(23,6),-2.54999 # DEPENDENCYPART_ARC
(23,8),-2.46065 # DEPENDENCYPART_ARC
(23,9),-1.29185 # DEPENDENCYPART_ARC
(23,10),-2.69792 # DEPENDENCYPART_ARC
(23,12),-2.14164 # DEPENDENCYPART_ARC
(23,13),-0.834221 # DEPENDENCYPART_ARC
(23,14),-1.06553 # DEPENDENCYPART_ARC
(23,15),-0.0608317 # DEPENDENCYPART_ARC
(23,16),-1.65765 # DEPENDENCYPART_ARC
(23,17),-1.20952 # DEPENDENCYPART_ARC
(23,18),0.835889 # DEPENDENCYPART_ARC
(23,19),0.639922 # DEPENDENCYPART_ARC
(23,20),0.138751 # DEPENDENCYPART_ARC
(23,21),2.02963 # DEPENDENCYPART_ARC
(23,22),2.50027 # DEPENDENCYPART_ARC
(23,24),2.46634 # DEPENDENCYPART_ARC
(23,25),0.493721 # DEPENDENCYPART_ARC
(23,27),0.483475 # DEPENDENCYPART_ARC
(23,28),-0.36976 # DEPENDENCYPART_ARC
(24,20),-1.35281 # DEPENDENCYPART_ARC
(24,21),-1.69795 # DEPENDENCYPART_ARC
(24,22),0.597464 # DEPENDENCYPART_ARC
(24,23),-1.00752 # DEPENDENCYPART_ARC
(24,25),1.06047 # DEPENDENCYPART_ARC
(24,26),-0.593636 # DEPENDENCYPART_ARC
(24,27),-0.964392 # DEPENDENCYPART_ARC
(25,21),-1.81538 # DEPENDENCYPART_ARC
(25,24),-0.179463 # DEPENDENCYPART_ARC
(25,26),-0.655253 # DEPENDENCYPART_ARC
(25,27),-0.105741 # DEPENDENCYPART_ARC
(25,28),-0.68391 # DEPENDENCYPART_ARC
(27,25),-0.301727 # DEPENDENCYPART_ARC
(27,26),2.92086 # DEPENDENCYPART_ARC
(27,28),-0.246786 # DEPENDENCYPART_ARC
(28,19),-2.15468 # DEPENDENCYPART_ARC
(28,24),-2.27036 # DEPENDENCYPART_ARC
(28,25),-1.52175 # DEPENDENCYPART_ARC
(28,27),-1.98133 # DEPENDENCYPART_ARC
