# _root_ Τελικά , το 1576 μετά από αίτημα της Κέρκυρας , το νησί περιήλθε υπό την προστασία της Βενετίας .
#goldHeads=13,13,4,13,13,5,6,9,7,13,12,13,0,13,16,14,18,16,0,
#predictedHeads=13,13,4,13,13,5,6,9,7,13,12,13,0,13,16,14,18,16,0,
(13,10),1.40851 # DEPENDENCYPART_ARC
(13,11),-0.752109 # DEPENDENCYPART_ARC
(13,12),2.46535 # DEPENDENCYPART_ARC
(13,14),1.63723 # DEPENDENCYPART_ARC
(13,15),-1.0674 # DEPENDENCYPART_ARC
(13,16),-0.0731175 # DEPENDENCYPART_ARC
(13,18),-1.70683 # DEPENDENCYPART_ARC
(13,19),0.352984 # DEPENDENCYPART_ARC
(14,12),-1.1411 # DEPENDENCYPART_ARC
(14,15),-0.0673639 # DEPENDENCYPART_ARC
(14,16),2.41496 # DEPENDENCYPART_ARC
(14,18),0.371166 # DEPENDENCYPART_ARC
(14,19),-0.450362 # DEPENDENCYPART_ARC
(16,8),-1.9764 # DEPENDENCYPART_ARC
(16,11),-1.62008 # DEPENDENCYPART_ARC
(16,12),-2.24351 # DEPENDENCYPART_ARC
(16,14),-0.150166 # DEPENDENCYPART_ARC
(16,15),3.07101 # DEPENDENCYPART_ARC
(16,17),0.532934 # DEPENDENCYPART_ARC
(16,18),2.44183 # DEPENDENCYPART_ARC
(16,19),0.195753 # DEPENDENCYPART_ARC
(18,15),-0.344504 # DEPENDENCYPART_ARC
(18,16),-1.52727 # DEPENDENCYPART_ARC
(18,17),3.10772 # DEPENDENCYPART_ARC
(18,19),-0.534309 # DEPENDENCYPART_ARC
(19,2),-2.55094 # DEPENDENCYPART_ARC
(19,10),-2.13856 # DEPENDENCYPART_ARC
(19,13),-2.45383 # DEPENDENCYPART_ARC
(19,14),-2.25739 # DEPENDENCYPART_ARC
(19,16),-2.0641 # DEPENDENCYPART_ARC
(19,18),-2.02054 # DEPENDENCYPART_ARC
