# _root_ Μιλώντας στην 46η επέτειο από την εξέγερση των κατοίκων του Θιβέτ , ο Δαλάι Λάμα είπε ότι η εικόνα της Κίνας δέχεται πλήγματα από αντιδημοκρατικές συμπεριφορές , καταπάτηση των ανθρωπίνων δικαιωμάτων και ανισότητες στον τρόπο μεταχείρισης των μειονοτήτων .
#goldHeads=16,1,4,2,4,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,23,26,32,32,32,31,31,28,24,32,33,34,35,38,36,0,
#predictedHeads=16,1,4,2,1,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,22,26,24,32,32,31,31,32,22,32,28,34,35,38,36,0,
(7,14),-0.288632 # DEPENDENCYPART_ARC
(7,15),-1.5851 # DEPENDENCYPART_ARC
(7,16),-1.19627 # DEPENDENCYPART_ARC
(7,17),-0.527808 # DEPENDENCYPART_ARC
(7,22),-2.83017 # DEPENDENCYPART_ARC
(7,24),-1.01858 # DEPENDENCYPART_ARC
(7,32),-0.754387 # DEPENDENCYPART_ARC
(9,6),-1.59599 # DEPENDENCYPART_ARC
(9,7),-2.48992 # DEPENDENCYPART_ARC
(9,8),3.25579 # DEPENDENCYPART_ARC
(9,10),0.123921 # DEPENDENCYPART_ARC
(9,11),0.865998 # DEPENDENCYPART_ARC
(9,12),0.0449101 # DEPENDENCYPART_ARC
(9,14),-0.0864263 # DEPENDENCYPART_ARC
(9,15),-0.913372 # DEPENDENCYPART_ARC
(9,16),-2.24197 # DEPENDENCYPART_ARC
(9,17),-0.479648 # DEPENDENCYPART_ARC
(9,19),-2.19178 # DEPENDENCYPART_ARC
(9,24),-1.15806 # DEPENDENCYPART_ARC
(11,8),0.983005 # DEPENDENCYPART_ARC
(11,9),-0.105728 # DEPENDENCYPART_ARC
(11,10),2.47571 # DEPENDENCYPART_ARC
(11,12),0.0568433 # DEPENDENCYPART_ARC
(11,15),-0.190285 # DEPENDENCYPART_ARC
(12,1),-0.78001 # DEPENDENCYPART_ARC
(12,4),-0.75333 # DEPENDENCYPART_ARC
(12,5),-0.377171 # DEPENDENCYPART_ARC
(12,7),-0.436281 # DEPENDENCYPART_ARC
(12,9),-0.0782199 # DEPENDENCYPART_ARC
(12,11),-0.135877 # DEPENDENCYPART_ARC
(12,14),-0.428651 # DEPENDENCYPART_ARC
(12,15),-0.173248 # DEPENDENCYPART_ARC
(12,16),-0.669787 # DEPENDENCYPART_ARC
(12,17),-0.863907 # DEPENDENCYPART_ARC
(12,21),-1.45596 # DEPENDENCYPART_ARC
(12,22),-0.975291 # DEPENDENCYPART_ARC
(13,14),0.611604 # DEPENDENCYPART_ARC
(14,1),-1.85527 # DEPENDENCYPART_ARC
(14,5),-1.01402 # DEPENDENCYPART_ARC
(14,9),-1.18275 # DEPENDENCYPART_ARC
(14,12),-0.33663 # DEPENDENCYPART_ARC
(14,13),0.172609 # DEPENDENCYPART_ARC
(14,15),0.0907793 # DEPENDENCYPART_ARC
(14,16),-0.335571 # DEPENDENCYPART_ARC
(14,19),-1.66274 # DEPENDENCYPART_ARC
(14,22),-1.86326 # DEPENDENCYPART_ARC
(15,1),-1.96383 # DEPENDENCYPART_ARC
(15,6),-0.367481 # DEPENDENCYPART_ARC
(15,8),-2.25996 # DEPENDENCYPART_ARC
(15,10),-0.884849 # DEPENDENCYPART_ARC
(15,12),0.0979767 # DEPENDENCYPART_ARC
(15,13),1.51109 # DEPENDENCYPART_ARC
(15,14),2.02727 # DEPENDENCYPART_ARC
(15,16),-0.605173 # DEPENDENCYPART_ARC
(15,17),-0.412541 # DEPENDENCYPART_ARC
(15,19),-2.31473 # DEPENDENCYPART_ARC
(15,21),-1.59397 # DEPENDENCYPART_ARC
(16,1),2.88344 # DEPENDENCYPART_ARC
(16,2),-0.591951 # DEPENDENCYPART_ARC
(16,3),0.232883 # DEPENDENCYPART_ARC
(16,4),-1.06977 # DEPENDENCYPART_ARC
(16,5),-0.459514 # DEPENDENCYPART_ARC
(16,7),-0.541569 # DEPENDENCYPART_ARC
(16,9),-2.19514 # DEPENDENCYPART_ARC
(16,11),-0.392308 # DEPENDENCYPART_ARC
(16,12),1.11631 # DEPENDENCYPART_ARC
(16,13),-1.50028 # DEPENDENCYPART_ARC
(16,14),1.03006 # DEPENDENCYPART_ARC
(16,15),0.49815 # DEPENDENCYPART_ARC
(16,17),1.50876 # DEPENDENCYPART_ARC
(16,18),-1.89174 # DEPENDENCYPART_ARC
(16,19),0.879568 # DEPENDENCYPART_ARC
(16,21),-1.85873 # DEPENDENCYPART_ARC
(16,22),-2.39364 # DEPENDENCYPART_ARC
(16,23),-1.29958 # DEPENDENCYPART_ARC
(16,24),-0.382572 # DEPENDENCYPART_ARC
(16,27),-0.261723 # DEPENDENCYPART_ARC
(16,32),-0.354831 # DEPENDENCYPART_ARC
(16,34),-1.59692 # DEPENDENCYPART_ARC
(17,18),-0.0173123 # DEPENDENCYPART_ARC
(17,22),2.12164 # DEPENDENCYPART_ARC
(17,27),-0.458841 # DEPENDENCYPART_ARC
(17,32),-0.32602 # DEPENDENCYPART_ARC
(19,10),-3.69603 # DEPENDENCYPART_ARC
(19,13),-1.82705 # DEPENDENCYPART_ARC
(19,18),2.94044 # DEPENDENCYPART_ARC
(19,20),0.126888 # DEPENDENCYPART_ARC
(19,21),2.50836 # DEPENDENCYPART_ARC
(19,22),-0.511568 # DEPENDENCYPART_ARC
(19,23),-1.25707 # DEPENDENCYPART_ARC
(19,24),-0.40023 # DEPENDENCYPART_ARC
(19,25),-1.90948 # DEPENDENCYPART_ARC
(19,26),-1.56758 # DEPENDENCYPART_ARC
(19,32),-0.275697 # DEPENDENCYPART_ARC
(19,34),-0.229278 # DEPENDENCYPART_ARC
(21,18),0.0658114 # DEPENDENCYPART_ARC
(21,19),-0.882385 # DEPENDENCYPART_ARC
(21,20),3.10841 # DEPENDENCYPART_ARC
(21,22),-1.9832 # DEPENDENCYPART_ARC
(21,23),-1.65382 # DEPENDENCYPART_ARC
(22,1),-0.768641 # DEPENDENCYPART_ARC
(22,2),-0.742719 # DEPENDENCYPART_ARC
(22,3),0.798284 # DEPENDENCYPART_ARC
(22,4),-0.843462 # DEPENDENCYPART_ARC
(22,5),-0.588016 # DEPENDENCYPART_ARC
(22,7),-0.58017 # DEPENDENCYPART_ARC
(22,9),-2.27748 # DEPENDENCYPART_ARC
(22,11),-0.0998294 # DEPENDENCYPART_ARC
(22,12),0.699573 # DEPENDENCYPART_ARC
(22,14),0.0151821 # DEPENDENCYPART_ARC
(22,15),-0.488782 # DEPENDENCYPART_ARC
(22,16),-2.04006 # DEPENDENCYPART_ARC
(22,17),-0.194497 # DEPENDENCYPART_ARC
(22,18),-0.970324 # DEPENDENCYPART_ARC
(22,19),2.32652 # DEPENDENCYPART_ARC
(22,20),-0.787494 # DEPENDENCYPART_ARC
(22,21),0.290948 # DEPENDENCYPART_ARC
(22,23),2.13012 # DEPENDENCYPART_ARC
(22,24),1.08864 # DEPENDENCYPART_ARC
(22,25),-1.31365 # DEPENDENCYPART_ARC
(22,26),-0.479318 # DEPENDENCYPART_ARC
(22,27),0.0920767 # DEPENDENCYPART_ARC
(22,28),-1.23447 # DEPENDENCYPART_ARC
(22,30),-2.93815 # DEPENDENCYPART_ARC
(22,31),-2.86899 # DEPENDENCYPART_ARC
(22,32),0.271273 # DEPENDENCYPART_ARC
(22,33),-1.39543 # DEPENDENCYPART_ARC
(22,34),-1.01221 # DEPENDENCYPART_ARC
(22,35),-3.27954 # DEPENDENCYPART_ARC
(22,36),-3.49953 # DEPENDENCYPART_ARC
(22,38),-4.40136 # DEPENDENCYPART_ARC
(23,13),-3.15053 # DEPENDENCYPART_ARC
(23,18),-2.08989 # DEPENDENCYPART_ARC
(23,19),-2.74202 # DEPENDENCYPART_ARC
(23,20),-1.2132 # DEPENDENCYPART_ARC
(23,21),-0.731166 # DEPENDENCYPART_ARC
(23,22),-0.150222 # DEPENDENCYPART_ARC
(23,24),0.856195 # DEPENDENCYPART_ARC
(23,25),0.502133 # DEPENDENCYPART_ARC
(23,26),-0.80373 # DEPENDENCYPART_ARC
(23,27),0.203128 # DEPENDENCYPART_ARC
(23,28),-1.0161 # DEPENDENCYPART_ARC
(23,32),-0.035608 # DEPENDENCYPART_ARC
(23,34),-0.418277 # DEPENDENCYPART_ARC
(24,23),-0.789833 # DEPENDENCYPART_ARC
(24,25),1.32943 # DEPENDENCYPART_ARC
(24,26),2.45466 # DEPENDENCYPART_ARC
(24,27),0.532163 # DEPENDENCYPART_ARC
(24,28),0.149578 # DEPENDENCYPART_ARC
(24,31),-1.44963 # DEPENDENCYPART_ARC
(24,32),0.154204 # DEPENDENCYPART_ARC
(25,23),-1.28289 # DEPENDENCYPART_ARC
(25,26),0.169075 # DEPENDENCYPART_ARC
(25,27),-0.157444 # DEPENDENCYPART_ARC
(25,28),-0.853557 # DEPENDENCYPART_ARC
(25,31),-0.793199 # DEPENDENCYPART_ARC
(25,33),-2.4671 # DEPENDENCYPART_ARC
(26,18),-2.26599 # DEPENDENCYPART_ARC
(26,19),-2.74146 # DEPENDENCYPART_ARC
(26,20),-1.19482 # DEPENDENCYPART_ARC
(26,21),-1.39005 # DEPENDENCYPART_ARC
(26,23),-0.569572 # DEPENDENCYPART_ARC
(26,24),0.118576 # DEPENDENCYPART_ARC
(26,25),3.55003 # DEPENDENCYPART_ARC
(26,27),-0.203774 # DEPENDENCYPART_ARC
(26,28),-0.716303 # DEPENDENCYPART_ARC
(26,30),-1.16543 # DEPENDENCYPART_ARC
(26,31),-0.693659 # DEPENDENCYPART_ARC
(27,1),-1.29514 # DEPENDENCYPART_ARC
(27,7),-1.20357 # DEPENDENCYPART_ARC
(27,15),-0.766951 # DEPENDENCYPART_ARC
(27,19),-0.422374 # DEPENDENCYPART_ARC
(27,21),-0.324475 # DEPENDENCYPART_ARC
(27,23),0.126043 # DEPENDENCYPART_ARC
(27,24),0.400371 # DEPENDENCYPART_ARC
(27,25),0.127931 # DEPENDENCYPART_ARC
(27,26),0.577704 # DEPENDENCYPART_ARC
(27,28),0.856683 # DEPENDENCYPART_ARC
(27,30),-0.347149 # DEPENDENCYPART_ARC
(27,31),-0.020398 # DEPENDENCYPART_ARC
(27,33),-0.722439 # DEPENDENCYPART_ARC
(27,35),-0.679039 # DEPENDENCYPART_ARC
(27,36),-0.485843 # DEPENDENCYPART_ARC
(28,20),-1.10833 # DEPENDENCYPART_ARC
(28,23),-2.24829 # DEPENDENCYPART_ARC
(28,25),-0.297598 # DEPENDENCYPART_ARC
(28,26),-1.10441 # DEPENDENCYPART_ARC
(28,27),0.147441 # DEPENDENCYPART_ARC
(28,29),0.486322 # DEPENDENCYPART_ARC
(28,30),0.461731 # DEPENDENCYPART_ARC
(28,31),2.23243 # DEPENDENCYPART_ARC
(28,32),0.437133 # DEPENDENCYPART_ARC
(28,33),-0.884737 # DEPENDENCYPART_ARC
(28,34),1.2978 # DEPENDENCYPART_ARC
(28,35),-1.45559 # DEPENDENCYPART_ARC
(28,36),-0.0459872 # DEPENDENCYPART_ARC
(28,38),-0.479547 # DEPENDENCYPART_ARC
(30,26),-2.63745 # DEPENDENCYPART_ARC
(30,28),-2.31254 # DEPENDENCYPART_ARC
(30,29),1.46176 # DEPENDENCYPART_ARC
(30,31),0.721492 # DEPENDENCYPART_ARC
(30,33),-1.79392 # DEPENDENCYPART_ARC
(30,34),-1.34651 # DEPENDENCYPART_ARC
(30,35),-1.44092 # DEPENDENCYPART_ARC
(30,36),-1.48497 # DEPENDENCYPART_ARC
(30,38),-2.41095 # DEPENDENCYPART_ARC
(31,25),-1.17355 # DEPENDENCYPART_ARC
(31,26),-3.24384 # DEPENDENCYPART_ARC
(31,28),-3.06187 # DEPENDENCYPART_ARC
(31,29),2.89386 # DEPENDENCYPART_ARC
(31,30),2.79131 # DEPENDENCYPART_ARC
(31,32),-0.121099 # DEPENDENCYPART_ARC
(31,33),-0.781431 # DEPENDENCYPART_ARC
(31,34),-0.652645 # DEPENDENCYPART_ARC
(31,35),-1.91673 # DEPENDENCYPART_ARC
(31,36),-0.374348 # DEPENDENCYPART_ARC
(31,38),-1.77034 # DEPENDENCYPART_ARC
(32,1),-1.2172 # DEPENDENCYPART_ARC
(32,4),-0.819682 # DEPENDENCYPART_ARC
(32,7),-0.733139 # DEPENDENCYPART_ARC
(32,9),-0.673519 # DEPENDENCYPART_ARC
(32,12),-0.397994 # DEPENDENCYPART_ARC
(32,14),-0.526245 # DEPENDENCYPART_ARC
(32,15),0.12827 # DEPENDENCYPART_ARC
(32,16),-0.947411 # DEPENDENCYPART_ARC
(32,17),0.17383 # DEPENDENCYPART_ARC
(32,19),-0.216652 # DEPENDENCYPART_ARC
(32,21),0.18572 # DEPENDENCYPART_ARC
(32,22),-0.0945352 # DEPENDENCYPART_ARC
(32,23),0.566373 # DEPENDENCYPART_ARC
(32,24),-0.453342 # DEPENDENCYPART_ARC
(32,25),0.122828 # DEPENDENCYPART_ARC
(32,26),1.21112 # DEPENDENCYPART_ARC
(32,27),0.984805 # DEPENDENCYPART_ARC
(32,28),1.15127 # DEPENDENCYPART_ARC
(32,29),0.678844 # DEPENDENCYPART_ARC
(32,30),0.815581 # DEPENDENCYPART_ARC
(32,31),2.98511 # DEPENDENCYPART_ARC
(32,33),2.52698 # DEPENDENCYPART_ARC
(32,34),0.127521 # DEPENDENCYPART_ARC
(32,35),0.504753 # DEPENDENCYPART_ARC
(32,36),-0.0291375 # DEPENDENCYPART_ARC
(32,38),-0.551536 # DEPENDENCYPART_ARC
(33,28),-2.22621 # DEPENDENCYPART_ARC
(33,29),0.113132 # DEPENDENCYPART_ARC
(33,30),-0.351114 # DEPENDENCYPART_ARC
(33,31),-0.239461 # DEPENDENCYPART_ARC
(33,32),0.0152257 # DEPENDENCYPART_ARC
(33,34),1.0043 # DEPENDENCYPART_ARC
(33,35),-0.643041 # DEPENDENCYPART_ARC
(33,36),0.281242 # DEPENDENCYPART_ARC
(33,38),-0.750762 # DEPENDENCYPART_ARC
(34,35),2.49753 # DEPENDENCYPART_ARC
(34,36),0.283648 # DEPENDENCYPART_ARC
(34,38),-2.15745 # DEPENDENCYPART_ARC
(35,29),-2.092 # DEPENDENCYPART_ARC
(35,30),-2.39773 # DEPENDENCYPART_ARC
(35,33),-2.33329 # DEPENDENCYPART_ARC
(35,36),2.34678 # DEPENDENCYPART_ARC
(35,37),-0.733173 # DEPENDENCYPART_ARC
(35,38),0.279148 # DEPENDENCYPART_ARC
(36,29),-0.796654 # DEPENDENCYPART_ARC
(36,30),-1.49969 # DEPENDENCYPART_ARC
(36,31),-1.69689 # DEPENDENCYPART_ARC
(36,33),-1.93517 # DEPENDENCYPART_ARC
(36,34),-0.386387 # DEPENDENCYPART_ARC
(36,35),0.437485 # DEPENDENCYPART_ARC
(36,37),0.875614 # DEPENDENCYPART_ARC
(36,38),2.33739 # DEPENDENCYPART_ARC
(38,29),-0.951948 # DEPENDENCYPART_ARC
(38,33),-2.19906 # DEPENDENCYPART_ARC
(38,35),-2.55957 # DEPENDENCYPART_ARC
(38,36),-0.482543 # DEPENDENCYPART_ARC
(38,37),3.44248 # DEPENDENCYPART_ARC
(39,38),-2.13908 # DEPENDENCYPART_ARC
