# _root_ Πιο μακροπρόθεσμα , όταν η νομοθεσία αρχίσει να γίνεται περισσότερο σεβαστή , θα μπορέσει ίσως να αρθεί αυτή η απαγόρευση .
#goldHeads=2,14,4,14,6,9,4,9,7,11,9,14,14,0,14,17,14,20,20,17,0,
#predictedHeads=2,7,7,0,6,7,4,9,7,11,9,14,14,9,14,17,14,20,20,17,0,
(14,13),2.66797 # DEPENDENCYPART_ARC
(14,15),1.9351 # DEPENDENCYPART_ARC
(14,16),0.536442 # DEPENDENCYPART_ARC
(14,17),1.42767 # DEPENDENCYPART_ARC
(14,20),0.173822 # DEPENDENCYPART_ARC
(14,21),0.466053 # DEPENDENCYPART_ARC
(15,1),-0.80762 # DEPENDENCYPART_ARC
(15,10),-0.48686 # DEPENDENCYPART_ARC
(15,12),-0.118411 # DEPENDENCYPART_ARC
(15,14),-0.602008 # DEPENDENCYPART_ARC
(15,17),0.15257 # DEPENDENCYPART_ARC
(15,20),-1.20016 # DEPENDENCYPART_ARC
(15,21),-0.672445 # DEPENDENCYPART_ARC
(16,17),0.335626 # DEPENDENCYPART_ARC
(17,1),-1.03433 # DEPENDENCYPART_ARC
(17,2),-1.5305 # DEPENDENCYPART_ARC
(17,4),-0.360295 # DEPENDENCYPART_ARC
(17,6),0.144787 # DEPENDENCYPART_ARC
(17,10),-1.3056 # DEPENDENCYPART_ARC
(17,11),-3.074 # DEPENDENCYPART_ARC
(17,12),-0.850752 # DEPENDENCYPART_ARC
(17,14),-4.18796 # DEPENDENCYPART_ARC
(17,15),0.112433 # DEPENDENCYPART_ARC
(17,16),1.6154 # DEPENDENCYPART_ARC
(17,18),0.721321 # DEPENDENCYPART_ARC
(17,19),-1.76812 # DEPENDENCYPART_ARC
(17,20),1.54625 # DEPENDENCYPART_ARC
(17,21),0.152235 # DEPENDENCYPART_ARC
(18,20),-0.322854 # DEPENDENCYPART_ARC
(18,21),0.167006 # DEPENDENCYPART_ARC
(19,18),0.079976 # DEPENDENCYPART_ARC
(20,15),-0.870103 # DEPENDENCYPART_ARC
(20,18),2.56648 # DEPENDENCYPART_ARC
(20,19),3.44007 # DEPENDENCYPART_ARC
(20,21),0.183571 # DEPENDENCYPART_ARC
(21,20),-2.13908 # DEPENDENCYPART_ARC
