# _root_ Η Παροικιά , στην δυτική ακτή του νησιού , είναι η πρωτεύουσα και μεγαλύτερη πόλη της Πάρου .
#goldHeads=2,10,4,10,6,4,8,6,4,0,12,13,10,15,13,17,15,0,
#predictedHeads=2,13,4,10,6,4,8,6,10,0,12,10,10,15,13,17,15,0,
(6,8),2.45227 # DEPENDENCYPART_ARC
(6,9),0.0701729 # DEPENDENCYPART_ARC
(6,10),-0.887506 # DEPENDENCYPART_ARC
(6,12),-1.90528 # DEPENDENCYPART_ARC
(6,13),-0.388695 # DEPENDENCYPART_ARC
(6,15),-2.53568 # DEPENDENCYPART_ARC
(8,1),-1.42555 # DEPENDENCYPART_ARC
(8,2),-2.40256 # DEPENDENCYPART_ARC
(8,3),-0.584322 # DEPENDENCYPART_ARC
(8,5),-1.0912 # DEPENDENCYPART_ARC
(8,6),-2.27586 # DEPENDENCYPART_ARC
(8,7),3.00471 # DEPENDENCYPART_ARC
(8,9),-0.535215 # DEPENDENCYPART_ARC
(8,10),-1.4284 # DEPENDENCYPART_ARC
(8,12),-1.42012 # DEPENDENCYPART_ARC
(8,13),-0.936185 # DEPENDENCYPART_ARC
(8,14),-1.74623 # DEPENDENCYPART_ARC
(8,15),-2.72817 # DEPENDENCYPART_ARC
(9,2),-0.521372 # DEPENDENCYPART_ARC
(9,3),-0.238921 # DEPENDENCYPART_ARC
(9,4),-0.640788 # DEPENDENCYPART_ARC
(9,5),-0.281852 # DEPENDENCYPART_ARC
(9,6),-0.190088 # DEPENDENCYPART_ARC
(9,8),-0.245264 # DEPENDENCYPART_ARC
(9,10),-0.659785 # DEPENDENCYPART_ARC
(9,12),-0.906823 # DEPENDENCYPART_ARC
(9,14),-1.60577 # DEPENDENCYPART_ARC
(9,15),-1.48496 # DEPENDENCYPART_ARC
(9,17),-1.52052 # DEPENDENCYPART_ARC
(10,2),-0.750447 # DEPENDENCYPART_ARC
(10,3),0.494936 # DEPENDENCYPART_ARC
(10,4),0.275155 # DEPENDENCYPART_ARC
(10,5),-0.361091 # DEPENDENCYPART_ARC
(10,6),-0.298968 # DEPENDENCYPART_ARC
(10,7),-0.824811 # DEPENDENCYPART_ARC
(10,8),-1.04193 # DEPENDENCYPART_ARC
(10,9),1.14306 # DEPENDENCYPART_ARC
(10,11),-1.80474 # DEPENDENCYPART_ARC
(10,12),2.34928 # DEPENDENCYPART_ARC
(10,13),0.48753 # DEPENDENCYPART_ARC
(10,14),-0.900762 # DEPENDENCYPART_ARC
(10,15),0.93069 # DEPENDENCYPART_ARC
(10,17),-1.64552 # DEPENDENCYPART_ARC
(10,18),0.0810219 # DEPENDENCYPART_ARC
(11,12),0.209734 # DEPENDENCYPART_ARC
(11,13),0.118493 # DEPENDENCYPART_ARC
(12,3),-1.41186 # DEPENDENCYPART_ARC
(12,7),-2.10489 # DEPENDENCYPART_ARC
(12,10),-1.47019 # DEPENDENCYPART_ARC
(12,11),2.93856 # DEPENDENCYPART_ARC
(12,13),0.381965 # DEPENDENCYPART_ARC
(12,14),-0.904857 # DEPENDENCYPART_ARC
(12,15),-0.883738 # DEPENDENCYPART_ARC
(12,17),-0.0689371 # DEPENDENCYPART_ARC
(12,18),-0.486248 # DEPENDENCYPART_ARC
(13,2),0.0898407 # DEPENDENCYPART_ARC
(13,3),0.0743407 # DEPENDENCYPART_ARC
(13,4),-0.421343 # DEPENDENCYPART_ARC
(13,5),-0.180179 # DEPENDENCYPART_ARC
(13,6),0.232735 # DEPENDENCYPART_ARC
(13,7),-0.186106 # DEPENDENCYPART_ARC
(13,8),0.605172 # DEPENDENCYPART_ARC
(13,9),0.436919 # DEPENDENCYPART_ARC
(13,10),0.840765 # DEPENDENCYPART_ARC
(13,11),0.645313 # DEPENDENCYPART_ARC
(13,12),2.1345 # DEPENDENCYPART_ARC
(13,14),1.38939 # DEPENDENCYPART_ARC
(13,15),1.50688 # DEPENDENCYPART_ARC
(13,17),0.421418 # DEPENDENCYPART_ARC
(13,18),-0.268184 # DEPENDENCYPART_ARC
(14,6),-2.55838 # DEPENDENCYPART_ARC
(14,11),0.0145145 # DEPENDENCYPART_ARC
(14,12),-0.913809 # DEPENDENCYPART_ARC
(14,13),0.502537 # DEPENDENCYPART_ARC
(14,15),-0.0603088 # DEPENDENCYPART_ARC
(14,17),-0.737278 # DEPENDENCYPART_ARC
(14,18),-0.516283 # DEPENDENCYPART_ARC
(15,7),-2.02282 # DEPENDENCYPART_ARC
(15,8),-1.84975 # DEPENDENCYPART_ARC
(15,9),-0.960222 # DEPENDENCYPART_ARC
(15,10),-2.05673 # DEPENDENCYPART_ARC
(15,11),1.11555 # DEPENDENCYPART_ARC
(15,12),-0.766333 # DEPENDENCYPART_ARC
(15,13),0.778519 # DEPENDENCYPART_ARC
(15,14),2.16106 # DEPENDENCYPART_ARC
(15,16),0.499639 # DEPENDENCYPART_ARC
(15,17),2.54139 # DEPENDENCYPART_ARC
(15,18),0.329735 # DEPENDENCYPART_ARC
(17,15),-1.64407 # DEPENDENCYPART_ARC
(17,16),3.10772 # DEPENDENCYPART_ARC
(17,18),-0.534309 # DEPENDENCYPART_ARC
(18,10),-2.36267 # DEPENDENCYPART_ARC
(18,12),-2.22091 # DEPENDENCYPART_ARC
(18,13),-1.80896 # DEPENDENCYPART_ARC
(18,14),-1.97443 # DEPENDENCYPART_ARC
(18,15),-2.00741 # DEPENDENCYPART_ARC
(18,17),-2.06123 # DEPENDENCYPART_ARC
