# _root_ Ανησυχώ μήπως η διακρατική συνεργασία στον τομέα της εκπαίδευσης , δηλαδή η διακυβερνητική πτυχή , παραγκωνίσει την κοινοτική προσέγγιση .
#goldHeads=0,1,5,5,11,5,6,9,7,11,16,14,14,11,16,2,19,19,16,0,
#predictedHeads=0,1,5,5,1,5,6,9,7,11,16,14,14,16,16,7,19,19,16,0,
(10,11),-0.276516 # DEPENDENCYPART_ARC
(10,13),-0.366428 # DEPENDENCYPART_ARC
(10,14),-0.0616459 # DEPENDENCYPART_ARC
(10,15),0.133426 # DEPENDENCYPART_ARC
(10,16),-0.80273 # DEPENDENCYPART_ARC
(10,18),-1.22412 # DEPENDENCYPART_ARC
(10,19),-1.14464 # DEPENDENCYPART_ARC
(11,1),-0.602079 # DEPENDENCYPART_ARC
(11,2),0.0733263 # DEPENDENCYPART_ARC
(11,5),-0.00992243 # DEPENDENCYPART_ARC
(11,6),0.481716 # DEPENDENCYPART_ARC
(11,7),-0.0673138 # DEPENDENCYPART_ARC
(11,8),0.249183 # DEPENDENCYPART_ARC
(11,9),0.202056 # DEPENDENCYPART_ARC
(11,10),1.27796 # DEPENDENCYPART_ARC
(11,12),0.145735 # DEPENDENCYPART_ARC
(11,13),-0.0150873 # DEPENDENCYPART_ARC
(11,14),0.117976 # DEPENDENCYPART_ARC
(11,15),0.199929 # DEPENDENCYPART_ARC
(11,16),-0.652258 # DEPENDENCYPART_ARC
(11,19),-1.61851 # DEPENDENCYPART_ARC
(11,20),-0.593808 # DEPENDENCYPART_ARC
(13,5),-2.19137 # DEPENDENCYPART_ARC
(13,11),-0.57222 # DEPENDENCYPART_ARC
(13,12),0.778032 # DEPENDENCYPART_ARC
(13,14),-0.320506 # DEPENDENCYPART_ARC
(13,15),-0.405283 # DEPENDENCYPART_ARC
(13,19),-2.4316 # DEPENDENCYPART_ARC
(14,1),-2.77773 # DEPENDENCYPART_ARC
(14,2),-0.594471 # DEPENDENCYPART_ARC
(14,8),0.213025 # DEPENDENCYPART_ARC
(14,9),-0.871747 # DEPENDENCYPART_ARC
(14,10),0.0229357 # DEPENDENCYPART_ARC
(14,11),-0.112716 # DEPENDENCYPART_ARC
(14,12),3.45591 # DEPENDENCYPART_ARC
(14,13),3.45854 # DEPENDENCYPART_ARC
(14,15),0.246323 # DEPENDENCYPART_ARC
(14,16),0.170871 # DEPENDENCYPART_ARC
(14,18),-2.326 # DEPENDENCYPART_ARC
(14,19),-1.71881 # DEPENDENCYPART_ARC
(15,1),-1.03409 # DEPENDENCYPART_ARC
(15,5),-0.846578 # DEPENDENCYPART_ARC
(15,6),-0.0467333 # DEPENDENCYPART_ARC
(15,7),-0.67687 # DEPENDENCYPART_ARC
(15,9),-0.862215 # DEPENDENCYPART_ARC
(15,13),-0.406738 # DEPENDENCYPART_ARC
(15,14),-0.378685 # DEPENDENCYPART_ARC
(15,16),-0.556126 # DEPENDENCYPART_ARC
(15,18),-1.1835 # DEPENDENCYPART_ARC
(15,19),-1.03019 # DEPENDENCYPART_ARC
(16,1),0.961411 # DEPENDENCYPART_ARC
(16,2),0.157895 # DEPENDENCYPART_ARC
(16,4),-3.2043 # DEPENDENCYPART_ARC
(16,5),0.0257349 # DEPENDENCYPART_ARC
(16,6),-1.27061 # DEPENDENCYPART_ARC
(16,7),-1.43668 # DEPENDENCYPART_ARC
(16,9),-2.21343 # DEPENDENCYPART_ARC
(16,10),0.783554 # DEPENDENCYPART_ARC
(16,11),1.04598 # DEPENDENCYPART_ARC
(16,12),-0.258055 # DEPENDENCYPART_ARC
(16,13),-1.99152 # DEPENDENCYPART_ARC
(16,14),1.19683 # DEPENDENCYPART_ARC
(16,15),1.16849 # DEPENDENCYPART_ARC
(16,17),-0.486482 # DEPENDENCYPART_ARC
(16,18),-0.291441 # DEPENDENCYPART_ARC
(16,19),2.39284 # DEPENDENCYPART_ARC
(16,20),0.782519 # DEPENDENCYPART_ARC
(18,14),-2.09277 # DEPENDENCYPART_ARC
(18,17),0.391126 # DEPENDENCYPART_ARC
(18,19),0.073068 # DEPENDENCYPART_ARC
(18,20),-0.34147 # DEPENDENCYPART_ARC
(19,1),-3.16251 # DEPENDENCYPART_ARC
(19,12),-0.188635 # DEPENDENCYPART_ARC
(19,13),-0.818372 # DEPENDENCYPART_ARC
(19,14),-1.55357 # DEPENDENCYPART_ARC
(19,17),3.15378 # DEPENDENCYPART_ARC
(19,18),3.34265 # DEPENDENCYPART_ARC
(19,20),0.363765 # DEPENDENCYPART_ARC
(20,1),-3.09409 # DEPENDENCYPART_ARC
(20,18),-1.93274 # DEPENDENCYPART_ARC
(20,19),-2.13399 # DEPENDENCYPART_ARC
