# _root_ Πρότεινα να ξεκινήσει ο Πρόεδρός μας , παράλληλα με τις εργασίες της Συνέλευσης και σε συνεργασία με τα εθνικά κοινοβούλια , εκστρατεία με θέμα " Ας μιλήσουμε ανοιχτά " .
#goldHeads=0,3,1,5,3,5,14,14,8,11,9,13,11,3,14,15,16,20,20,17,14,3,22,23,27,27,24,27,27,0,
#predictedHeads=0,3,1,5,3,5,8,3,8,11,9,13,11,11,14,15,16,20,20,17,3,17,22,23,22,27,22,27,27,0,
(3,23),-0.0775348 # DEPENDENCYPART_ARC
(3,25),0.0238019 # DEPENDENCYPART_ARC
(3,28),-0.954921 # DEPENDENCYPART_ARC
(3,29),-0.376539 # DEPENDENCYPART_ARC
(3,30),-0.501027 # DEPENDENCYPART_ARC
(5,1),-2.87907 # DEPENDENCYPART_ARC
(5,3),-1.59754 # DEPENDENCYPART_ARC
(5,4),2.90495 # DEPENDENCYPART_ARC
(5,6),1.74674 # DEPENDENCYPART_ARC
(5,7),-0.199955 # DEPENDENCYPART_ARC
(5,8),-0.0816067 # DEPENDENCYPART_ARC
(5,9),-0.318899 # DEPENDENCYPART_ARC
(5,11),-1.63003 # DEPENDENCYPART_ARC
(5,13),-0.547491 # DEPENDENCYPART_ARC
(5,14),-0.217887 # DEPENDENCYPART_ARC
(5,15),-0.635153 # DEPENDENCYPART_ARC
(5,17),-0.650011 # DEPENDENCYPART_ARC
(5,23),-0.568603 # DEPENDENCYPART_ARC
(7,1),0.0190573 # DEPENDENCYPART_ARC
(7,3),-0.0389478 # DEPENDENCYPART_ARC
(7,5),0.0419735 # DEPENDENCYPART_ARC
(7,8),-0.348592 # DEPENDENCYPART_ARC
(7,9),-0.434867 # DEPENDENCYPART_ARC
(7,11),-0.570513 # DEPENDENCYPART_ARC
(8,1),-1.37645 # DEPENDENCYPART_ARC
(8,3),-1.43914 # DEPENDENCYPART_ARC
(8,5),-0.716562 # DEPENDENCYPART_ARC
(8,7),0.698511 # DEPENDENCYPART_ARC
(8,9),1.40216 # DEPENDENCYPART_ARC
(8,11),-0.618139 # DEPENDENCYPART_ARC
(8,13),-0.364299 # DEPENDENCYPART_ARC
(8,14),-0.206118 # DEPENDENCYPART_ARC
(8,15),-0.385635 # DEPENDENCYPART_ARC
(8,16),-1.56453 # DEPENDENCYPART_ARC
(8,17),-0.430201 # DEPENDENCYPART_ARC
(8,21),-0.272397 # DEPENDENCYPART_ARC
(8,27),-0.971897 # DEPENDENCYPART_ARC
(9,7),0.167836 # DEPENDENCYPART_ARC
(9,8),0.214811 # DEPENDENCYPART_ARC
(9,10),-0.055657 # DEPENDENCYPART_ARC
(9,11),2.36046 # DEPENDENCYPART_ARC
(9,13),0.0423526 # DEPENDENCYPART_ARC
(9,14),-0.0707504 # DEPENDENCYPART_ARC
(9,16),-0.648102 # DEPENDENCYPART_ARC
(9,21),-0.185166 # DEPENDENCYPART_ARC
(11,4),-2.46471 # DEPENDENCYPART_ARC
(11,5),-3.15954 # DEPENDENCYPART_ARC
(11,7),-0.612401 # DEPENDENCYPART_ARC
(11,8),-0.809152 # DEPENDENCYPART_ARC
(11,9),-0.14179 # DEPENDENCYPART_ARC
(11,10),3.75079 # DEPENDENCYPART_ARC
(11,12),0.335762 # DEPENDENCYPART_ARC
(11,13),2.84047 # DEPENDENCYPART_ARC
(11,14),0.281705 # DEPENDENCYPART_ARC
(11,15),0.376117 # DEPENDENCYPART_ARC
(11,16),-1.38677 # DEPENDENCYPART_ARC
(11,17),0.101391 # DEPENDENCYPART_ARC
(11,20),-2.36976 # DEPENDENCYPART_ARC
(11,23),-0.101949 # DEPENDENCYPART_ARC
(11,28),-1.06492 # DEPENDENCYPART_ARC
(11,29),-0.173375 # DEPENDENCYPART_ARC
(13,4),-2.36648 # DEPENDENCYPART_ARC
(13,10),-0.889493 # DEPENDENCYPART_ARC
(13,11),-2.5117 # DEPENDENCYPART_ARC
(13,12),3.02585 # DEPENDENCYPART_ARC
(13,14),0.0495067 # DEPENDENCYPART_ARC
(13,15),-0.243279 # DEPENDENCYPART_ARC
(13,16),-1.28262 # DEPENDENCYPART_ARC
(13,17),-0.494251 # DEPENDENCYPART_ARC
(14,1),-0.662602 # DEPENDENCYPART_ARC
(14,3),-0.0690998 # DEPENDENCYPART_ARC
(14,5),-0.815134 # DEPENDENCYPART_ARC
(14,7),-0.311872 # DEPENDENCYPART_ARC
(14,8),-0.188483 # DEPENDENCYPART_ARC
(14,9),1.01737 # DEPENDENCYPART_ARC
(14,10),0.098079 # DEPENDENCYPART_ARC
(14,11),0.142451 # DEPENDENCYPART_ARC
(14,12),0.263265 # DEPENDENCYPART_ARC
(14,13),0.282175 # DEPENDENCYPART_ARC
(14,15),1.23457 # DEPENDENCYPART_ARC
(14,16),1.3313 # DEPENDENCYPART_ARC
(14,17),0.0884187 # DEPENDENCYPART_ARC
(14,19),-0.458037 # DEPENDENCYPART_ARC
(14,20),-0.0801399 # DEPENDENCYPART_ARC
(14,21),-0.0834102 # DEPENDENCYPART_ARC
(14,22),-0.933795 # DEPENDENCYPART_ARC
(14,23),-0.600344 # DEPENDENCYPART_ARC
(14,24),-1.16649 # DEPENDENCYPART_ARC
(14,25),0.217988 # DEPENDENCYPART_ARC
(14,27),-0.59824 # DEPENDENCYPART_ARC
(14,29),0.160246 # DEPENDENCYPART_ARC
(15,13),-1.18951 # DEPENDENCYPART_ARC
(15,14),0.412259 # DEPENDENCYPART_ARC
(15,16),2.86879 # DEPENDENCYPART_ARC
(15,17),-0.264094 # DEPENDENCYPART_ARC
(15,19),-0.553938 # DEPENDENCYPART_ARC
(15,20),-0.464001 # DEPENDENCYPART_ARC
(15,22),-1.68608 # DEPENDENCYPART_ARC
(16,10),-1.52422 # DEPENDENCYPART_ARC
(16,12),-0.658909 # DEPENDENCYPART_ARC
(16,14),-0.656866 # DEPENDENCYPART_ARC
(16,17),1.61816 # DEPENDENCYPART_ARC
(16,18),-0.428034 # DEPENDENCYPART_ARC
(16,19),-0.624855 # DEPENDENCYPART_ARC
(16,20),-0.861118 # DEPENDENCYPART_ARC
(16,23),0.163582 # DEPENDENCYPART_ARC
(16,27),-1.29286 # DEPENDENCYPART_ARC
(17,15),-0.213357 # DEPENDENCYPART_ARC
(17,16),-0.907468 # DEPENDENCYPART_ARC
(17,18),-0.185883 # DEPENDENCYPART_ARC
(17,19),0.747778 # DEPENDENCYPART_ARC
(17,20),1.62794 # DEPENDENCYPART_ARC
(17,21),0.0983232 # DEPENDENCYPART_ARC
(17,22),0.452048 # DEPENDENCYPART_ARC
(17,24),-0.0434622 # DEPENDENCYPART_ARC
(17,25),-0.197475 # DEPENDENCYPART_ARC
(17,29),-0.683941 # DEPENDENCYPART_ARC
(19,18),1.29552 # DEPENDENCYPART_ARC
(19,20),0.067606 # DEPENDENCYPART_ARC
(19,22),-1.12375 # DEPENDENCYPART_ARC
(19,24),-1.3877 # DEPENDENCYPART_ARC
(20,10),-1.15556 # DEPENDENCYPART_ARC
(20,12),-2.34057 # DEPENDENCYPART_ARC
(20,13),-1.90951 # DEPENDENCYPART_ARC
(20,18),3.39946 # DEPENDENCYPART_ARC
(20,19),3.3707 # DEPENDENCYPART_ARC
(20,21),-0.201596 # DEPENDENCYPART_ARC
(20,22),-0.276064 # DEPENDENCYPART_ARC
(20,23),-0.106371 # DEPENDENCYPART_ARC
(20,24),-1.64267 # DEPENDENCYPART_ARC
(21,1),-0.846703 # DEPENDENCYPART_ARC
(21,3),-0.948487 # DEPENDENCYPART_ARC
(21,5),-0.621006 # DEPENDENCYPART_ARC
(21,7),-0.956443 # DEPENDENCYPART_ARC
(21,11),-0.435487 # DEPENDENCYPART_ARC
(21,13),-0.324177 # DEPENDENCYPART_ARC
(21,15),-0.290549 # DEPENDENCYPART_ARC
(21,16),-0.00891023 # DEPENDENCYPART_ARC
(21,19),-0.0599236 # DEPENDENCYPART_ARC
(21,20),0.498739 # DEPENDENCYPART_ARC
(21,22),0.328022 # DEPENDENCYPART_ARC
(21,23),-0.268879 # DEPENDENCYPART_ARC
(21,24),-0.0590883 # DEPENDENCYPART_ARC
(21,25),0.236451 # DEPENDENCYPART_ARC
(22,12),-1.70048 # DEPENDENCYPART_ARC
(22,18),-0.27216 # DEPENDENCYPART_ARC
(22,19),-1.5557 # DEPENDENCYPART_ARC
(22,20),-1.83112 # DEPENDENCYPART_ARC
(22,21),-0.0434771 # DEPENDENCYPART_ARC
(22,23),1.59092 # DEPENDENCYPART_ARC
(22,24),0.0201528 # DEPENDENCYPART_ARC
(22,25),0.903474 # DEPENDENCYPART_ARC
(22,27),-0.201228 # DEPENDENCYPART_ARC
(22,28),-0.856726 # DEPENDENCYPART_ARC
(22,29),-0.0300999 # DEPENDENCYPART_ARC
(23,21),-0.056456 # DEPENDENCYPART_ARC
(23,22),-0.81265 # DEPENDENCYPART_ARC
(23,24),2.66988 # DEPENDENCYPART_ARC
(23,25),0.171004 # DEPENDENCYPART_ARC
(23,27),-0.729381 # DEPENDENCYPART_ARC
(23,28),-1.20469 # DEPENDENCYPART_ARC
(23,29),-0.751754 # DEPENDENCYPART_ARC
(24,18),-0.295026 # DEPENDENCYPART_ARC
(24,19),-0.96851 # DEPENDENCYPART_ARC
(24,22),-0.928561 # DEPENDENCYPART_ARC
(24,25),0.534263 # DEPENDENCYPART_ARC
(24,27),-1.04378 # DEPENDENCYPART_ARC
(24,28),-1.20467 # DEPENDENCYPART_ARC
(25,5),-1.3816 # DEPENDENCYPART_ARC
(25,19),-1.01105 # DEPENDENCYPART_ARC
(25,20),-1.03903 # DEPENDENCYPART_ARC
(25,22),-0.641597 # DEPENDENCYPART_ARC
(25,23),-0.639639 # DEPENDENCYPART_ARC
(25,24),-0.471454 # DEPENDENCYPART_ARC
(25,27),-1.12091 # DEPENDENCYPART_ARC
(25,28),-1.1668 # DEPENDENCYPART_ARC
(25,29),-0.73084 # DEPENDENCYPART_ARC
(27,1),-4.93884 # DEPENDENCYPART_ARC
(27,3),-3.97778 # DEPENDENCYPART_ARC
(27,5),-2.53942 # DEPENDENCYPART_ARC
(27,7),-0.535215 # DEPENDENCYPART_ARC
(27,8),-0.407941 # DEPENDENCYPART_ARC
(27,9),-1.76804 # DEPENDENCYPART_ARC
(27,11),-1.22906 # DEPENDENCYPART_ARC
(27,13),-3.77429 # DEPENDENCYPART_ARC
(27,14),-0.210893 # DEPENDENCYPART_ARC
(27,15),-0.460232 # DEPENDENCYPART_ARC
(27,16),-2.22514 # DEPENDENCYPART_ARC
(27,17),-0.994593 # DEPENDENCYPART_ARC
(27,19),-2.47274 # DEPENDENCYPART_ARC
(27,20),-1.59494 # DEPENDENCYPART_ARC
(27,21),-0.164528 # DEPENDENCYPART_ARC
(27,22),-0.816541 # DEPENDENCYPART_ARC
(27,23),-0.277336 # DEPENDENCYPART_ARC
(27,24),-1.81625 # DEPENDENCYPART_ARC
(27,25),0.381287 # DEPENDENCYPART_ARC
(27,26),2.03653 # DEPENDENCYPART_ARC
(27,28),2.1325 # DEPENDENCYPART_ARC
(27,29),0.535452 # DEPENDENCYPART_ARC
(27,30),0.238876 # DEPENDENCYPART_ARC
(28,1),-1.24645 # DEPENDENCYPART_ARC
(28,3),-1.38205 # DEPENDENCYPART_ARC
(28,8),-0.947616 # DEPENDENCYPART_ARC
(28,9),-0.723286 # DEPENDENCYPART_ARC
(28,24),-0.563371 # DEPENDENCYPART_ARC
(28,25),-0.0603785 # DEPENDENCYPART_ARC
(28,27),-0.496522 # DEPENDENCYPART_ARC
(28,29),-0.111132 # DEPENDENCYPART_ARC
(28,30),-0.554662 # DEPENDENCYPART_ARC
(29,1),-2.0364 # DEPENDENCYPART_ARC
(29,27),-0.998165 # DEPENDENCYPART_ARC
(29,28),-0.424584 # DEPENDENCYPART_ARC
(29,30),-0.497148 # DEPENDENCYPART_ARC
(30,28),-2.01458 # DEPENDENCYPART_ARC
