# _root_ " Βάζουμε τον εξεταζόμενο στην εξεταστική τράπεζα , με τη βοήθεια των τριών κεφαλών παίρνουμε λήψη σπεκτ , δηλαδή λήψη σε τρία επίπεδα .
#goldHeads=8,8,4,2,2,7,5,0,15,11,9,14,14,11,8,19,16,19,15,19,20,23,21,0,
#predictedHeads=2,0,4,2,2,7,5,2,2,11,9,14,14,11,13,15,16,19,15,19,20,23,21,0,
(15,24),-0.147197 # DEPENDENCYPART_ARC
(16,2),-3.9628 # DEPENDENCYPART_ARC
(16,10),0.180096 # DEPENDENCYPART_ARC
(16,11),-1.06863 # DEPENDENCYPART_ARC
(16,12),-0.294997 # DEPENDENCYPART_ARC
(16,13),-0.921584 # DEPENDENCYPART_ARC
(16,14),-0.928902 # DEPENDENCYPART_ARC
(16,15),-1.62569 # DEPENDENCYPART_ARC
(16,17),1.17259 # DEPENDENCYPART_ARC
(16,18),0.402992 # DEPENDENCYPART_ARC
(16,19),0.205851 # DEPENDENCYPART_ARC
(16,20),-0.413119 # DEPENDENCYPART_ARC
(16,21),-0.119234 # DEPENDENCYPART_ARC
(16,22),-1.83247 # DEPENDENCYPART_ARC
(16,23),-1.42694 # DEPENDENCYPART_ARC
(16,24),0.234731 # DEPENDENCYPART_ARC
(17,14),0.0150143 # DEPENDENCYPART_ARC
(17,16),0.772985 # DEPENDENCYPART_ARC
(17,18),0.00745539 # DEPENDENCYPART_ARC
(17,20),-0.257404 # DEPENDENCYPART_ARC
(17,21),-0.530426 # DEPENDENCYPART_ARC
(18,1),-0.452549 # DEPENDENCYPART_ARC
(18,2),-0.855699 # DEPENDENCYPART_ARC
(18,7),-0.934443 # DEPENDENCYPART_ARC
(18,8),-0.996953 # DEPENDENCYPART_ARC
(18,9),-0.342903 # DEPENDENCYPART_ARC
(18,11),-0.923814 # DEPENDENCYPART_ARC
(18,13),-0.324961 # DEPENDENCYPART_ARC
(18,14),-0.68713 # DEPENDENCYPART_ARC
(18,16),-0.484383 # DEPENDENCYPART_ARC
(18,17),0.125464 # DEPENDENCYPART_ARC
(18,19),-0.249759 # DEPENDENCYPART_ARC
(18,20),-0.080748 # DEPENDENCYPART_ARC
(18,21),-0.239975 # DEPENDENCYPART_ARC
(18,23),-0.501963 # DEPENDENCYPART_ARC
(18,24),-0.035926 # DEPENDENCYPART_ARC
(19,1),-0.539225 # DEPENDENCYPART_ARC
(19,2),-0.432453 # DEPENDENCYPART_ARC
(19,9),0.158174 # DEPENDENCYPART_ARC
(19,14),-0.0852423 # DEPENDENCYPART_ARC
(19,16),0.140256 # DEPENDENCYPART_ARC
(19,18),1.44932 # DEPENDENCYPART_ARC
(19,20),1.12797 # DEPENDENCYPART_ARC
(19,21),0.316346 # DEPENDENCYPART_ARC
(19,23),-0.410462 # DEPENDENCYPART_ARC
(19,24),-0.176616 # DEPENDENCYPART_ARC
(20,12),-1.58094 # DEPENDENCYPART_ARC
(20,16),-0.910742 # DEPENDENCYPART_ARC
(20,18),0.112448 # DEPENDENCYPART_ARC
(20,19),0.42965 # DEPENDENCYPART_ARC
(20,21),1.06027 # DEPENDENCYPART_ARC
(20,22),-1.38374 # DEPENDENCYPART_ARC
(20,23),-0.704315 # DEPENDENCYPART_ARC
(20,24),0.135194 # DEPENDENCYPART_ARC
(21,18),-0.096809 # DEPENDENCYPART_ARC
(21,19),-0.206413 # DEPENDENCYPART_ARC
(21,20),-0.682066 # DEPENDENCYPART_ARC
(21,22),0.531448 # DEPENDENCYPART_ARC
(21,23),2.47885 # DEPENDENCYPART_ARC
(21,24),0.235135 # DEPENDENCYPART_ARC
(22,19),-0.520707 # DEPENDENCYPART_ARC
(22,21),-0.0449493 # DEPENDENCYPART_ARC
(23,16),-1.83079 # DEPENDENCYPART_ARC
(23,18),-0.0196497 # DEPENDENCYPART_ARC
(23,19),-0.237378 # DEPENDENCYPART_ARC
(23,20),-1.17174 # DEPENDENCYPART_ARC
(23,21),0.643301 # DEPENDENCYPART_ARC
(23,22),2.31232 # DEPENDENCYPART_ARC
(23,24),0.372812 # DEPENDENCYPART_ARC
(24,1),-2.31218 # DEPENDENCYPART_ARC
(24,17),-2.14525 # DEPENDENCYPART_ARC
(24,22),-1.67835 # DEPENDENCYPART_ARC
(24,23),-1.97227 # DEPENDENCYPART_ARC
