# _root_ Λυπάμαι πολύ , κύριε Ύπατε Εκπρόσωπε , που δεν μπορώ να συμμεριστώ ούτε καν τη μετριασμένη αισιοδοξία σας .
#goldHeads=0,1,6,6,6,1,6,1,10,8,12,10,12,12,17,17,12,17,0,
#predictedHeads=0,1,1,6,6,1,10,10,10,13,12,10,1,12,17,17,12,17,0,
(7,5),-0.357916 # DEPENDENCYPART_ARC
(7,6),-0.300811 # DEPENDENCYPART_ARC
(7,8),-0.368332 # DEPENDENCYPART_ARC
(7,10),-0.410367 # DEPENDENCYPART_ARC
(7,12),-1.2851 # DEPENDENCYPART_ARC
(7,13),0.112498 # DEPENDENCYPART_ARC
(7,14),-0.619609 # DEPENDENCYPART_ARC
(7,16),-0.971616 # DEPENDENCYPART_ARC
(7,17),-1.02354 # DEPENDENCYPART_ARC
(7,19),0.0413568 # DEPENDENCYPART_ARC
(8,7),0.0844938 # DEPENDENCYPART_ARC
(8,10),-0.990026 # DEPENDENCYPART_ARC
(8,12),-2.03366 # DEPENDENCYPART_ARC
(10,1),-2.81068 # DEPENDENCYPART_ARC
(10,2),-0.029295 # DEPENDENCYPART_ARC
(10,3),0.25924 # DEPENDENCYPART_ARC
(10,4),-0.462207 # DEPENDENCYPART_ARC
(10,5),-1.64755 # DEPENDENCYPART_ARC
(10,6),0.0785121 # DEPENDENCYPART_ARC
(10,7),1.10863 # DEPENDENCYPART_ARC
(10,8),2.333 # DEPENDENCYPART_ARC
(10,9),2.49601 # DEPENDENCYPART_ARC
(10,11),0.417195 # DEPENDENCYPART_ARC
(10,12),1.7692 # DEPENDENCYPART_ARC
(10,13),0.175985 # DEPENDENCYPART_ARC
(10,14),-0.331895 # DEPENDENCYPART_ARC
(10,16),-1.79324 # DEPENDENCYPART_ARC
(10,17),-0.522646 # DEPENDENCYPART_ARC
(10,19),-0.039587 # DEPENDENCYPART_ARC
(11,12),0.108719 # DEPENDENCYPART_ARC
(12,1),-4.02143 # DEPENDENCYPART_ARC
(12,2),-0.7757 # DEPENDENCYPART_ARC
(12,3),-0.628735 # DEPENDENCYPART_ARC
(12,4),-0.919537 # DEPENDENCYPART_ARC
(12,5),-2.61263 # DEPENDENCYPART_ARC
(12,6),-0.58191 # DEPENDENCYPART_ARC
(12,7),-0.220343 # DEPENDENCYPART_ARC
(12,8),1.05249 # DEPENDENCYPART_ARC
(12,9),0.663483 # DEPENDENCYPART_ARC
(12,10),-1.55443 # DEPENDENCYPART_ARC
(12,11),2.26459 # DEPENDENCYPART_ARC
(12,13),0.955268 # DEPENDENCYPART_ARC
(12,14),0.670777 # DEPENDENCYPART_ARC
(12,16),-1.00503 # DEPENDENCYPART_ARC
(12,17),0.767544 # DEPENDENCYPART_ARC
(12,19),0.19029 # DEPENDENCYPART_ARC
(13,1),0.119282 # DEPENDENCYPART_ARC
(13,2),-0.112491 # DEPENDENCYPART_ARC
(13,3),-0.0240253 # DEPENDENCYPART_ARC
(13,4),-0.3931 # DEPENDENCYPART_ARC
(13,5),-0.515418 # DEPENDENCYPART_ARC
(13,6),-0.635387 # DEPENDENCYPART_ARC
(13,7),0.540902 # DEPENDENCYPART_ARC
(13,8),0.132395 # DEPENDENCYPART_ARC
(13,9),0.00167835 # DEPENDENCYPART_ARC
(13,10),0.611468 # DEPENDENCYPART_ARC
(13,11),0.411101 # DEPENDENCYPART_ARC
(13,12),1.63481 # DEPENDENCYPART_ARC
(13,14),0.404498 # DEPENDENCYPART_ARC
(13,16),0.282233 # DEPENDENCYPART_ARC
(13,17),-0.417772 # DEPENDENCYPART_ARC
(13,19),0.250444 # DEPENDENCYPART_ARC
(14,1),-1.39923 # DEPENDENCYPART_ARC
(14,8),-1.83197 # DEPENDENCYPART_ARC
(14,12),-0.786863 # DEPENDENCYPART_ARC
(14,13),0.494033 # DEPENDENCYPART_ARC
(14,15),-0.28809 # DEPENDENCYPART_ARC
(14,16),-0.475042 # DEPENDENCYPART_ARC
(14,17),-0.467348 # DEPENDENCYPART_ARC
(14,19),-0.610729 # DEPENDENCYPART_ARC
(16,14),-0.236941 # DEPENDENCYPART_ARC
(16,15),0.523462 # DEPENDENCYPART_ARC
(16,17),-0.0982657 # DEPENDENCYPART_ARC
(16,18),-1.86539 # DEPENDENCYPART_ARC
(16,19),-0.24395 # DEPENDENCYPART_ARC
(17,13),0.139305 # DEPENDENCYPART_ARC
(17,14),-0.358835 # DEPENDENCYPART_ARC
(17,15),3.00574 # DEPENDENCYPART_ARC
(17,16),3.11811 # DEPENDENCYPART_ARC
(17,18),2.05367 # DEPENDENCYPART_ARC
(17,19),-0.112387 # DEPENDENCYPART_ARC
(19,16),-1.84544 # DEPENDENCYPART_ARC
(19,17),-2.14468 # DEPENDENCYPART_ARC
