# _root_ Ωστόσο , έχουμε παράλληλα επίγνωση του γεγονότος ότι η παρούσα οδηγία είναι μεν σημαντική και ενδιαφέρουσα , αλλά δεν λύνει δυστυχώς ακόμα όλα τα προβλήματα .
#goldHeads=0,3,1,3,3,7,5,7,11,11,12,18,12,15,12,15,18,8,20,18,20,20,25,25,20,0,
#predictedHeads=0,1,1,3,3,7,5,5,11,11,12,8,14,15,18,15,18,12,20,18,20,23,25,25,20,0,
(5,7),2.526 # DEPENDENCYPART_ARC
(5,8),0.622173 # DEPENDENCYPART_ARC
(5,10),-0.432144 # DEPENDENCYPART_ARC
(5,11),-1.33287 # DEPENDENCYPART_ARC
(5,12),-1.94102 # DEPENDENCYPART_ARC
(5,15),-0.597902 # DEPENDENCYPART_ARC
(5,21),-1.52009 # DEPENDENCYPART_ARC
(5,22),-1.41146 # DEPENDENCYPART_ARC
(7,4),-0.43505 # DEPENDENCYPART_ARC
(7,5),-2.09468 # DEPENDENCYPART_ARC
(7,6),3.04468 # DEPENDENCYPART_ARC
(7,8),0.448526 # DEPENDENCYPART_ARC
(7,9),-0.75071 # DEPENDENCYPART_ARC
(7,10),-0.690998 # DEPENDENCYPART_ARC
(7,11),-0.557025 # DEPENDENCYPART_ARC
(8,9),-0.104745 # DEPENDENCYPART_ARC
(8,12),2.37713 # DEPENDENCYPART_ARC
(8,13),-0.35526 # DEPENDENCYPART_ARC
(8,15),-0.166041 # DEPENDENCYPART_ARC
(8,17),-0.269697 # DEPENDENCYPART_ARC
(8,18),0.0347909 # DEPENDENCYPART_ARC
(8,20),0.0748904 # DEPENDENCYPART_ARC
(10,7),-1.49405 # DEPENDENCYPART_ARC
(10,8),-0.660616 # DEPENDENCYPART_ARC
(10,9),1.05143 # DEPENDENCYPART_ARC
(10,11),-0.283791 # DEPENDENCYPART_ARC
(11,1),-1.04185 # DEPENDENCYPART_ARC
(11,3),-3.70457 # DEPENDENCYPART_ARC
(11,4),-0.526263 # DEPENDENCYPART_ARC
(11,6),-0.766312 # DEPENDENCYPART_ARC
(11,7),-0.877144 # DEPENDENCYPART_ARC
(11,9),3.17982 # DEPENDENCYPART_ARC
(11,10),3.53228 # DEPENDENCYPART_ARC
(11,12),-0.933974 # DEPENDENCYPART_ARC
(11,13),-0.613644 # DEPENDENCYPART_ARC
(11,14),-1.34438 # DEPENDENCYPART_ARC
(11,16),-1.64108 # DEPENDENCYPART_ARC
(12,1),-0.263415 # DEPENDENCYPART_ARC
(12,2),-0.301884 # DEPENDENCYPART_ARC
(12,3),-1.7489 # DEPENDENCYPART_ARC
(12,4),-0.51506 # DEPENDENCYPART_ARC
(12,5),-0.636505 # DEPENDENCYPART_ARC
(12,7),-1.67711 # DEPENDENCYPART_ARC
(12,8),-0.332725 # DEPENDENCYPART_ARC
(12,9),-1.15363 # DEPENDENCYPART_ARC
(12,10),0.326485 # DEPENDENCYPART_ARC
(12,11),2.11439 # DEPENDENCYPART_ARC
(12,13),1.09184 # DEPENDENCYPART_ARC
(12,14),2.06165 # DEPENDENCYPART_ARC
(12,15),0.264375 # DEPENDENCYPART_ARC
(12,16),0.940104 # DEPENDENCYPART_ARC
(12,17),0.408507 # DEPENDENCYPART_ARC
(12,18),0.337656 # DEPENDENCYPART_ARC
(12,20),-2.51892 # DEPENDENCYPART_ARC
(12,21),-1.15841 # DEPENDENCYPART_ARC
(12,22),-1.35348 # DEPENDENCYPART_ARC
(12,25),-1.7229 # DEPENDENCYPART_ARC
(12,26),-0.355902 # DEPENDENCYPART_ARC
(13,10),-1.35601 # DEPENDENCYPART_ARC
(13,11),-1.14891 # DEPENDENCYPART_ARC
(13,12),-0.617991 # DEPENDENCYPART_ARC
(13,14),-0.101669 # DEPENDENCYPART_ARC
(13,15),0.022258 # DEPENDENCYPART_ARC
(13,16),-0.982745 # DEPENDENCYPART_ARC
(13,17),-0.322292 # DEPENDENCYPART_ARC
(13,18),-0.382921 # DEPENDENCYPART_ARC
(13,20),-1.43771 # DEPENDENCYPART_ARC
(13,21),-1.43979 # DEPENDENCYPART_ARC
(13,22),-1.43127 # DEPENDENCYPART_ARC
(14,11),-1.34916 # DEPENDENCYPART_ARC
(14,13),1.30165 # DEPENDENCYPART_ARC
(14,15),0.429156 # DEPENDENCYPART_ARC
(14,16),-0.436949 # DEPENDENCYPART_ARC
(15,1),-0.945914 # DEPENDENCYPART_ARC
(15,2),-0.978329 # DEPENDENCYPART_ARC
(15,3),-0.597438 # DEPENDENCYPART_ARC
(15,4),-0.287246 # DEPENDENCYPART_ARC
(15,5),-0.510849 # DEPENDENCYPART_ARC
(15,7),-0.0266599 # DEPENDENCYPART_ARC
(15,8),-0.168584 # DEPENDENCYPART_ARC
(15,9),-0.270243 # DEPENDENCYPART_ARC
(15,10),0.194777 # DEPENDENCYPART_ARC
(15,11),0.254299 # DEPENDENCYPART_ARC
(15,12),0.555645 # DEPENDENCYPART_ARC
(15,13),0.379834 # DEPENDENCYPART_ARC
(15,14),2.37885 # DEPENDENCYPART_ARC
(15,16),2.50529 # DEPENDENCYPART_ARC
(15,17),0.226772 # DEPENDENCYPART_ARC
(15,18),0.00256774 # DEPENDENCYPART_ARC
(15,20),0.323767 # DEPENDENCYPART_ARC
(15,21),-0.455794 # DEPENDENCYPART_ARC
(15,22),-0.639663 # DEPENDENCYPART_ARC
(15,23),-0.569808 # DEPENDENCYPART_ARC
(15,25),-1.45444 # DEPENDENCYPART_ARC
(16,13),0.238876 # DEPENDENCYPART_ARC
(16,14),0.264041 # DEPENDENCYPART_ARC
(16,15),0.621929 # DEPENDENCYPART_ARC
(16,17),-0.014616 # DEPENDENCYPART_ARC
(16,18),-0.364863 # DEPENDENCYPART_ARC
(16,20),-1.67431 # DEPENDENCYPART_ARC
(16,25),-3.16906 # DEPENDENCYPART_ARC
(17,2),-1.22256 # DEPENDENCYPART_ARC
(17,10),-0.939259 # DEPENDENCYPART_ARC
(17,14),-0.582151 # DEPENDENCYPART_ARC
(17,15),-0.102059 # DEPENDENCYPART_ARC
(17,16),-0.051838 # DEPENDENCYPART_ARC
(17,18),-0.0728667 # DEPENDENCYPART_ARC
(17,20),-0.784265 # DEPENDENCYPART_ARC
(17,23),-1.17999 # DEPENDENCYPART_ARC
(18,1),-0.27996 # DEPENDENCYPART_ARC
(18,2),-0.300082 # DEPENDENCYPART_ARC
(18,3),0.924192 # DEPENDENCYPART_ARC
(18,4),-0.0780234 # DEPENDENCYPART_ARC
(18,5),-0.174955 # DEPENDENCYPART_ARC
(18,7),-0.218169 # DEPENDENCYPART_ARC
(18,8),0.0494404 # DEPENDENCYPART_ARC
(18,10),-0.529831 # DEPENDENCYPART_ARC
(18,11),0.120257 # DEPENDENCYPART_ARC
(18,12),2.17419 # DEPENDENCYPART_ARC
(18,13),0.11665 # DEPENDENCYPART_ARC
(18,14),0.103077 # DEPENDENCYPART_ARC
(18,15),0.316938 # DEPENDENCYPART_ARC
(18,16),0.750691 # DEPENDENCYPART_ARC
(18,17),1.65657 # DEPENDENCYPART_ARC
(18,19),0.169668 # DEPENDENCYPART_ARC
(18,20),1.75264 # DEPENDENCYPART_ARC
(18,21),-0.212293 # DEPENDENCYPART_ARC
(18,22),-0.549757 # DEPENDENCYPART_ARC
(18,23),-0.481676 # DEPENDENCYPART_ARC
(18,25),-0.990574 # DEPENDENCYPART_ARC
(18,26),0.218799 # DEPENDENCYPART_ARC
(20,1),-0.490328 # DEPENDENCYPART_ARC
(20,2),-0.905411 # DEPENDENCYPART_ARC
(20,3),-2.77605 # DEPENDENCYPART_ARC
(20,4),-1.11965 # DEPENDENCYPART_ARC
(20,5),-2.04283 # DEPENDENCYPART_ARC
(20,7),-2.96132 # DEPENDENCYPART_ARC
(20,8),-0.824152 # DEPENDENCYPART_ARC
(20,10),-1.89398 # DEPENDENCYPART_ARC
(20,11),0.193581 # DEPENDENCYPART_ARC
(20,12),-3.57601 # DEPENDENCYPART_ARC
(20,13),-0.541955 # DEPENDENCYPART_ARC
(20,14),-1.20774 # DEPENDENCYPART_ARC
(20,15),-0.27978 # DEPENDENCYPART_ARC
(20,16),-0.812359 # DEPENDENCYPART_ARC
(20,17),0.318864 # DEPENDENCYPART_ARC
(20,18),0.454005 # DEPENDENCYPART_ARC
(20,19),2.34202 # DEPENDENCYPART_ARC
(20,21),1.48262 # DEPENDENCYPART_ARC
(20,22),1.00897 # DEPENDENCYPART_ARC
(20,23),0.0746082 # DEPENDENCYPART_ARC
(20,25),0.814948 # DEPENDENCYPART_ARC
(20,26),0.182117 # DEPENDENCYPART_ARC
(21,20),-0.286436 # DEPENDENCYPART_ARC
(21,22),0.0855321 # DEPENDENCYPART_ARC
(21,23),-0.00855268 # DEPENDENCYPART_ARC
(21,25),-0.923851 # DEPENDENCYPART_ARC
(22,4),-0.471286 # DEPENDENCYPART_ARC
(22,13),-0.171084 # DEPENDENCYPART_ARC
(22,21),1.11753 # DEPENDENCYPART_ARC
(22,23),0.410341 # DEPENDENCYPART_ARC
(22,25),-0.634094 # DEPENDENCYPART_ARC
(22,26),-0.619708 # DEPENDENCYPART_ARC
(23,21),0.176949 # DEPENDENCYPART_ARC
(23,22),1.07469 # DEPENDENCYPART_ARC
(23,24),0.0522025 # DEPENDENCYPART_ARC
(23,25),-0.0455375 # DEPENDENCYPART_ARC
(23,26),0.0487267 # DEPENDENCYPART_ARC
(25,21),-0.621138 # DEPENDENCYPART_ARC
(25,22),-0.301473 # DEPENDENCYPART_ARC
(25,23),1.9307 # DEPENDENCYPART_ARC
(25,24),3.43336 # DEPENDENCYPART_ARC
(25,26),0.224094 # DEPENDENCYPART_ARC
(26,23),-1.96708 # DEPENDENCYPART_ARC
(26,25),-2.13114 # DEPENDENCYPART_ARC
