# _root_ Psaní je pro mne paralelní život - i když hlubší než můj život veřejný , a navíc si myslím , že být spisovatelem z povolání je nebezpečné . . .
#goldHeads=2,16,2,3,6,2,9,9,5,9,10,13,11,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
#predictedHeads=2,16,2,3,6,2,9,9,2,9,10,13,16,16,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
(6,2),-1.99608 # DEPENDENCYPART_ARC
(6,3),0.694083 # DEPENDENCYPART_ARC
(6,4),-0.167388 # DEPENDENCYPART_ARC
(6,5),4.38516 # DEPENDENCYPART_ARC
(6,7),0.0880939 # DEPENDENCYPART_ARC
(6,8),-0.161501 # DEPENDENCYPART_ARC
(6,9),-0.889641 # DEPENDENCYPART_ARC
(6,10),-0.91562 # DEPENDENCYPART_ARC
(6,11),-1.07047 # DEPENDENCYPART_ARC
(6,12),-2.2486 # DEPENDENCYPART_ARC
(6,13),-2.44145 # DEPENDENCYPART_ARC
(6,14),-1.31039 # DEPENDENCYPART_ARC
(6,15),-0.75337 # DEPENDENCYPART_ARC
(6,16),-1.76888 # DEPENDENCYPART_ARC
(6,17),-1.58146 # DEPENDENCYPART_ARC
(6,18),-3.86013 # DEPENDENCYPART_ARC
(6,19),-1.71638 # DEPENDENCYPART_ARC
(6,20),-1.37571 # DEPENDENCYPART_ARC
(6,21),-3.03335 # DEPENDENCYPART_ARC
(6,22),-3.685 # DEPENDENCYPART_ARC
(6,23),-7.48741 # DEPENDENCYPART_ARC
(6,24),-3.31078 # DEPENDENCYPART_ARC
(6,25),-4.97989 # DEPENDENCYPART_ARC
(6,26),-4.94499 # DEPENDENCYPART_ARC
(6,27),-7.09976 # DEPENDENCYPART_ARC
(6,28),-7.1862 # DEPENDENCYPART_ARC
(6,29),-8.04136 # DEPENDENCYPART_ARC
(6,30),-8.82665 # DEPENDENCYPART_ARC
(7,1),-0.830774 # DEPENDENCYPART_ARC
(7,2),-0.322303 # DEPENDENCYPART_ARC
(7,3),-0.247421 # DEPENDENCYPART_ARC
(7,4),0.344058 # DEPENDENCYPART_ARC
(7,5),-0.0994844 # DEPENDENCYPART_ARC
(7,6),0.399879 # DEPENDENCYPART_ARC
(7,8),0.719614 # DEPENDENCYPART_ARC
(7,9),0.0595122 # DEPENDENCYPART_ARC
(7,10),-0.211881 # DEPENDENCYPART_ARC
(7,11),0.114049 # DEPENDENCYPART_ARC
(7,12),-0.968008 # DEPENDENCYPART_ARC
(7,13),-0.295926 # DEPENDENCYPART_ARC
(7,14),-1.12524 # DEPENDENCYPART_ARC
(7,15),-0.325044 # DEPENDENCYPART_ARC
(7,16),-0.637501 # DEPENDENCYPART_ARC
(7,17),-1.14729 # DEPENDENCYPART_ARC
(7,18),-1.69868 # DEPENDENCYPART_ARC
(7,19),-0.937283 # DEPENDENCYPART_ARC
(7,20),-0.558762 # DEPENDENCYPART_ARC
(7,21),-1.44611 # DEPENDENCYPART_ARC
(7,22),-1.68845 # DEPENDENCYPART_ARC
(7,23),-2.2958 # DEPENDENCYPART_ARC
(7,24),-2.70604 # DEPENDENCYPART_ARC
(7,25),-3.21872 # DEPENDENCYPART_ARC
(7,26),-1.32991 # DEPENDENCYPART_ARC
(7,27),-3.52139 # DEPENDENCYPART_ARC
(7,28),-1.43001 # DEPENDENCYPART_ARC
(7,29),-1.53682 # DEPENDENCYPART_ARC
(7,30),-1.72154 # DEPENDENCYPART_ARC
(8,1),-1.00016 # DEPENDENCYPART_ARC
(8,2),-1.54141 # DEPENDENCYPART_ARC
(8,3),-0.0302148 # DEPENDENCYPART_ARC
(8,4),-0.212235 # DEPENDENCYPART_ARC
(8,5),0.0457201 # DEPENDENCYPART_ARC
(8,6),0.551745 # DEPENDENCYPART_ARC
(8,7),0.565821 # DEPENDENCYPART_ARC
(8,9),-0.065595 # DEPENDENCYPART_ARC
(8,10),0.291585 # DEPENDENCYPART_ARC
(8,11),-0.178742 # DEPENDENCYPART_ARC
(8,12),-0.639995 # DEPENDENCYPART_ARC
(8,13),-0.447746 # DEPENDENCYPART_ARC
(8,14),-1.37742 # DEPENDENCYPART_ARC
(8,15),-0.129233 # DEPENDENCYPART_ARC
(8,16),-0.537543 # DEPENDENCYPART_ARC
(8,17),-0.99928 # DEPENDENCYPART_ARC
(8,18),-1.70208 # DEPENDENCYPART_ARC
(8,19),-1.31511 # DEPENDENCYPART_ARC
(8,20),-0.924795 # DEPENDENCYPART_ARC
(8,21),-2.37399 # DEPENDENCYPART_ARC
(8,22),-3.48123 # DEPENDENCYPART_ARC
(8,23),-2.63021 # DEPENDENCYPART_ARC
(8,24),-1.88403 # DEPENDENCYPART_ARC
(8,25),-3.22231 # DEPENDENCYPART_ARC
(8,26),-4.20508 # DEPENDENCYPART_ARC
(8,27),-3.89705 # DEPENDENCYPART_ARC
(8,28),-2.49806 # DEPENDENCYPART_ARC
(8,29),-2.58602 # DEPENDENCYPART_ARC
(8,30),-2.98854 # DEPENDENCYPART_ARC
(9,1),-1.40727 # DEPENDENCYPART_ARC
(9,2),-1.5818 # DEPENDENCYPART_ARC
(9,3),-0.754866 # DEPENDENCYPART_ARC
(9,4),-0.505554 # DEPENDENCYPART_ARC
(9,5),-0.079296 # DEPENDENCYPART_ARC
(9,6),0.35932 # DEPENDENCYPART_ARC
(9,7),1.09009 # DEPENDENCYPART_ARC
(9,8),2.54027 # DEPENDENCYPART_ARC
(9,10),1.74372 # DEPENDENCYPART_ARC
(9,11),0.826722 # DEPENDENCYPART_ARC
(9,13),-1.05265 # DEPENDENCYPART_ARC
(9,14),-0.983423 # DEPENDENCYPART_ARC
(9,15),1.31931 # DEPENDENCYPART_ARC
(9,16),0.102063 # DEPENDENCYPART_ARC
(9,17),-0.951384 # DEPENDENCYPART_ARC
(9,19),0.453684 # DEPENDENCYPART_ARC
(9,20),0.417446 # DEPENDENCYPART_ARC
(9,21),-2.07248 # DEPENDENCYPART_ARC
(9,22),-2.12152 # DEPENDENCYPART_ARC
(9,23),-3.07985 # DEPENDENCYPART_ARC
(9,24),-1.43091 # DEPENDENCYPART_ARC
(9,25),-3.68864 # DEPENDENCYPART_ARC
(9,26),-1.85308 # DEPENDENCYPART_ARC
(9,27),-3.63197 # DEPENDENCYPART_ARC
(9,28),-2.02763 # DEPENDENCYPART_ARC
(9,29),-2.217 # DEPENDENCYPART_ARC
(9,30),-2.6493 # DEPENDENCYPART_ARC
(10,1),-5.41674 # DEPENDENCYPART_ARC
(10,2),-4.61811 # DEPENDENCYPART_ARC
(10,3),-1.13845 # DEPENDENCYPART_ARC
(10,4),-2.54308 # DEPENDENCYPART_ARC
(10,5),-3.8053 # DEPENDENCYPART_ARC
(10,6),-4.15098 # DEPENDENCYPART_ARC
(10,7),-1.32647 # DEPENDENCYPART_ARC
(10,8),-1.13296 # DEPENDENCYPART_ARC
(10,9),-0.370028 # DEPENDENCYPART_ARC
(10,11),2.12098 # DEPENDENCYPART_ARC
(10,12),-1.54717 # DEPENDENCYPART_ARC
(10,13),-2.65173 # DEPENDENCYPART_ARC
(10,14),-2.31593 # DEPENDENCYPART_ARC
(10,15),-0.246307 # DEPENDENCYPART_ARC
(10,16),-0.503194 # DEPENDENCYPART_ARC
(10,17),-0.87128 # DEPENDENCYPART_ARC
(10,18),-1.12909 # DEPENDENCYPART_ARC
(10,19),-2.03592 # DEPENDENCYPART_ARC
(10,20),-0.552703 # DEPENDENCYPART_ARC
(10,21),-0.996075 # DEPENDENCYPART_ARC
(10,22),-1.24841 # DEPENDENCYPART_ARC
(10,23),-3.31284 # DEPENDENCYPART_ARC
(10,24),-2.59415 # DEPENDENCYPART_ARC
(10,25),-3.80488 # DEPENDENCYPART_ARC
(10,26),-3.43198 # DEPENDENCYPART_ARC
(10,27),-3.95743 # DEPENDENCYPART_ARC
(10,28),-2.45733 # DEPENDENCYPART_ARC
(10,29),-2.74058 # DEPENDENCYPART_ARC
(10,30),-3.37547 # DEPENDENCYPART_ARC
(11,1),-2.94775 # DEPENDENCYPART_ARC
(11,2),-1.68895 # DEPENDENCYPART_ARC
(11,3),-2.82373 # DEPENDENCYPART_ARC
(11,4),-2.14115 # DEPENDENCYPART_ARC
(11,5),-2.96436 # DEPENDENCYPART_ARC
(11,6),-2.47611 # DEPENDENCYPART_ARC
(11,7),-0.777014 # DEPENDENCYPART_ARC
(11,8),-1.07004 # DEPENDENCYPART_ARC
(11,9),-0.653872 # DEPENDENCYPART_ARC
(11,10),-0.662572 # DEPENDENCYPART_ARC
(11,13),1.54117 # DEPENDENCYPART_ARC
(11,14),0.537923 # DEPENDENCYPART_ARC
(11,15),0.169419 # DEPENDENCYPART_ARC
(11,16),0.104279 # DEPENDENCYPART_ARC
(11,17),-0.512514 # DEPENDENCYPART_ARC
(11,19),0.00299478 # DEPENDENCYPART_ARC
(11,20),-0.292405 # DEPENDENCYPART_ARC
(11,21),-1.68712 # DEPENDENCYPART_ARC
(11,22),-2.32221 # DEPENDENCYPART_ARC
(11,23),-1.84622 # DEPENDENCYPART_ARC
(11,24),-2.08436 # DEPENDENCYPART_ARC
(11,25),-2.97545 # DEPENDENCYPART_ARC
(11,26),-3.78793 # DEPENDENCYPART_ARC
(11,27),-3.06484 # DEPENDENCYPART_ARC
(11,28),-1.90127 # DEPENDENCYPART_ARC
(11,29),-1.85773 # DEPENDENCYPART_ARC
(11,30),-1.83553 # DEPENDENCYPART_ARC
(12,7),-1.05982 # DEPENDENCYPART_ARC
(12,8),-1.31092 # DEPENDENCYPART_ARC
(12,15),-0.580794 # DEPENDENCYPART_ARC
(12,16),-0.262001 # DEPENDENCYPART_ARC
(12,20),-0.865157 # DEPENDENCYPART_ARC
(12,28),-1.75806 # DEPENDENCYPART_ARC
(12,29),-1.98482 # DEPENDENCYPART_ARC
(12,30),-2.29262 # DEPENDENCYPART_ARC
(13,1),-6.19563 # DEPENDENCYPART_ARC
(13,2),-3.70695 # DEPENDENCYPART_ARC
(13,3),-2.43331 # DEPENDENCYPART_ARC
(13,4),-4.09826 # DEPENDENCYPART_ARC
(13,5),-0.456312 # DEPENDENCYPART_ARC
(13,6),-5.07507 # DEPENDENCYPART_ARC
(13,7),-0.181117 # DEPENDENCYPART_ARC
(13,8),-0.391159 # DEPENDENCYPART_ARC
(13,9),-1.42822 # DEPENDENCYPART_ARC
(13,10),-0.166887 # DEPENDENCYPART_ARC
(13,11),-0.0269347 # DEPENDENCYPART_ARC
(13,12),3.87955 # DEPENDENCYPART_ARC
(13,14),2.05632 # DEPENDENCYPART_ARC
(13,15),-0.358966 # DEPENDENCYPART_ARC
(13,16),0.309018 # DEPENDENCYPART_ARC
(13,17),-0.182604 # DEPENDENCYPART_ARC
(13,18),-1.39184 # DEPENDENCYPART_ARC
(13,19),-0.00172783 # DEPENDENCYPART_ARC
(13,20),-0.460623 # DEPENDENCYPART_ARC
(13,21),-1.08544 # DEPENDENCYPART_ARC
(13,22),-1.97573 # DEPENDENCYPART_ARC
(13,23),-4.14586 # DEPENDENCYPART_ARC
(13,24),-1.24024 # DEPENDENCYPART_ARC
(13,25),-1.48315 # DEPENDENCYPART_ARC
(13,26),-4.71517 # DEPENDENCYPART_ARC
(13,27),-5.24726 # DEPENDENCYPART_ARC
(13,28),-4.25281 # DEPENDENCYPART_ARC
(13,29),-4.76766 # DEPENDENCYPART_ARC
(13,30),-5.43085 # DEPENDENCYPART_ARC
(14,1),-2.71324 # DEPENDENCYPART_ARC
(14,2),-3.71914 # DEPENDENCYPART_ARC
(14,3),-0.529097 # DEPENDENCYPART_ARC
(14,4),-1.63682 # DEPENDENCYPART_ARC
(14,5),-2.35838 # DEPENDENCYPART_ARC
(14,6),-1.75374 # DEPENDENCYPART_ARC
(14,7),-0.260519 # DEPENDENCYPART_ARC
(14,8),-0.775402 # DEPENDENCYPART_ARC
(14,9),-0.542255 # DEPENDENCYPART_ARC
(14,10),-1.21649 # DEPENDENCYPART_ARC
(14,11),0.142342 # DEPENDENCYPART_ARC
(14,12),0.0933352 # DEPENDENCYPART_ARC
(14,13),0.753655 # DEPENDENCYPART_ARC
(14,15),0.185095 # DEPENDENCYPART_ARC
(14,16),0.350054 # DEPENDENCYPART_ARC
(14,17),-0.122499 # DEPENDENCYPART_ARC
(14,18),-0.489932 # DEPENDENCYPART_ARC
(14,19),-0.648525 # DEPENDENCYPART_ARC
(14,20),-0.758648 # DEPENDENCYPART_ARC
(14,21),-0.569212 # DEPENDENCYPART_ARC
(14,22),-0.667956 # DEPENDENCYPART_ARC
(14,23),-1.38817 # DEPENDENCYPART_ARC
(14,24),-1.60952 # DEPENDENCYPART_ARC
(14,25),-3.20738 # DEPENDENCYPART_ARC
(14,26),-2.76914 # DEPENDENCYPART_ARC
(14,27),-3.70934 # DEPENDENCYPART_ARC
(14,28),-2.15865 # DEPENDENCYPART_ARC
(14,29),-2.71653 # DEPENDENCYPART_ARC
(14,30),-3.4126 # DEPENDENCYPART_ARC
(15,1),-1.89239 # DEPENDENCYPART_ARC
(15,2),-0.210577 # DEPENDENCYPART_ARC
(15,3),-0.794987 # DEPENDENCYPART_ARC
(15,4),-0.904882 # DEPENDENCYPART_ARC
(15,5),-0.850651 # DEPENDENCYPART_ARC
(15,6),-0.860935 # DEPENDENCYPART_ARC
(15,7),-0.887174 # DEPENDENCYPART_ARC
(15,8),0.228057 # DEPENDENCYPART_ARC
(15,9),-0.523728 # DEPENDENCYPART_ARC
(15,10),-0.867015 # DEPENDENCYPART_ARC
(15,11),0.407183 # DEPENDENCYPART_ARC
(15,12),-0.0233974 # DEPENDENCYPART_ARC
(15,13),-0.423005 # DEPENDENCYPART_ARC
(15,14),-0.137606 # DEPENDENCYPART_ARC
(15,16),-0.651744 # DEPENDENCYPART_ARC
(15,17),-1.06346 # DEPENDENCYPART_ARC
(15,18),-1.54891 # DEPENDENCYPART_ARC
(15,19),-1.22514 # DEPENDENCYPART_ARC
(15,20),-1.52894 # DEPENDENCYPART_ARC
(15,21),-1.61612 # DEPENDENCYPART_ARC
(15,22),-2.52715 # DEPENDENCYPART_ARC
(15,23),-4.12582 # DEPENDENCYPART_ARC
(15,24),-3.37467 # DEPENDENCYPART_ARC
(15,25),-4.83481 # DEPENDENCYPART_ARC
(15,26),-2.95423 # DEPENDENCYPART_ARC
(15,27),-3.11279 # DEPENDENCYPART_ARC
(15,28),-1.40849 # DEPENDENCYPART_ARC
(15,29),-1.6358 # DEPENDENCYPART_ARC
(15,30),-1.97822 # DEPENDENCYPART_ARC
(16,1),0.277806 # DEPENDENCYPART_ARC
(16,2),1.9563 # DEPENDENCYPART_ARC
(16,3),-0.449743 # DEPENDENCYPART_ARC
(16,4),-0.314966 # DEPENDENCYPART_ARC
(16,5),-0.289838 # DEPENDENCYPART_ARC
(16,6),0.300126 # DEPENDENCYPART_ARC
(16,7),0.45403 # DEPENDENCYPART_ARC
(16,8),-0.0777919 # DEPENDENCYPART_ARC
(16,9),0.203216 # DEPENDENCYPART_ARC
(16,10),0.683972 # DEPENDENCYPART_ARC
(16,11),0.368086 # DEPENDENCYPART_ARC
(16,12),1.08155 # DEPENDENCYPART_ARC
(16,13),1.82223 # DEPENDENCYPART_ARC
(16,14),2.11512 # DEPENDENCYPART_ARC
(16,15),2.46782 # DEPENDENCYPART_ARC
(16,17),0.875916 # DEPENDENCYPART_ARC
(16,18),0.372143 # DEPENDENCYPART_ARC
(16,19),2.37285 # DEPENDENCYPART_ARC
(16,20),0.891447 # DEPENDENCYPART_ARC
(16,21),0.381213 # DEPENDENCYPART_ARC
(16,22),-0.289231 # DEPENDENCYPART_ARC
(16,23),-2.01111 # DEPENDENCYPART_ARC
(16,24),-0.779489 # DEPENDENCYPART_ARC
(16,25),-2.73485 # DEPENDENCYPART_ARC
(16,26),-0.115212 # DEPENDENCYPART_ARC
(16,27),-1.68647 # DEPENDENCYPART_ARC
(16,28),-0.396721 # DEPENDENCYPART_ARC
(16,29),-0.261242 # DEPENDENCYPART_ARC
(16,30),-0.594602 # DEPENDENCYPART_ARC
(17,1),-3.88629 # DEPENDENCYPART_ARC
(17,2),-2.81189 # DEPENDENCYPART_ARC
(17,3),-3.23902 # DEPENDENCYPART_ARC
(17,4),-2.71113 # DEPENDENCYPART_ARC
(17,5),-2.99546 # DEPENDENCYPART_ARC
(17,6),-2.87638 # DEPENDENCYPART_ARC
(17,7),-2.42493 # DEPENDENCYPART_ARC
(17,8),-1.92533 # DEPENDENCYPART_ARC
(17,9),-2.12003 # DEPENDENCYPART_ARC
(17,10),-2.72329 # DEPENDENCYPART_ARC
(17,11),-1.91295 # DEPENDENCYPART_ARC
(17,12),-1.76129 # DEPENDENCYPART_ARC
(17,13),-1.80809 # DEPENDENCYPART_ARC
(17,14),-1.46183 # DEPENDENCYPART_ARC
(17,15),-1.11279 # DEPENDENCYPART_ARC
(17,16),-0.386738 # DEPENDENCYPART_ARC
(17,19),-0.562602 # DEPENDENCYPART_ARC
(17,20),-0.948995 # DEPENDENCYPART_ARC
(17,21),-1.37957 # DEPENDENCYPART_ARC
(17,22),-1.69692 # DEPENDENCYPART_ARC
(17,23),-2.56647 # DEPENDENCYPART_ARC
(17,24),-2.11104 # DEPENDENCYPART_ARC
(17,25),-2.9763 # DEPENDENCYPART_ARC
(17,26),-2.27155 # DEPENDENCYPART_ARC
(17,27),-2.33427 # DEPENDENCYPART_ARC
(17,28),-2.04378 # DEPENDENCYPART_ARC
(17,29),-2.46853 # DEPENDENCYPART_ARC
(17,30),-2.93231 # DEPENDENCYPART_ARC
(19,1),-2.5656 # DEPENDENCYPART_ARC
(19,2),-3.02332 # DEPENDENCYPART_ARC
(19,3),-1.54996 # DEPENDENCYPART_ARC
(19,4),-4.25446 # DEPENDENCYPART_ARC
(19,5),-4.081 # DEPENDENCYPART_ARC
(19,6),-4.00464 # DEPENDENCYPART_ARC
(19,7),-0.856725 # DEPENDENCYPART_ARC
(19,8),-1.5935 # DEPENDENCYPART_ARC
(19,9),-0.315725 # DEPENDENCYPART_ARC
(19,10),-1.70169 # DEPENDENCYPART_ARC
(19,11),-0.477781 # DEPENDENCYPART_ARC
(19,12),-2.14134 # DEPENDENCYPART_ARC
(19,13),-0.479925 # DEPENDENCYPART_ARC
