# _root_ Měl jsem pocit , že je motor obsahem handicapován a nasadil dvojité zapalování , ale se zvýšením výkonu mi nedošly jiné souvislosti .
#goldHeads=15,1,1,5,3,10,6,9,6,5,10,13,11,15,0,20,16,17,20,15,22,20,0,
#predictedHeads=15,1,1,5,3,5,6,9,10,5,10,13,11,15,0,20,16,17,20,15,22,20,0,
(1,10),0.711375 # DEPENDENCYPART_ARC
(1,11),-4.5156 # DEPENDENCYPART_ARC
(1,12),-7.31931 # DEPENDENCYPART_ARC
(1,13),-1.75877 # DEPENDENCYPART_ARC
(1,14),-0.24152 # DEPENDENCYPART_ARC
(1,15),-0.980397 # DEPENDENCYPART_ARC
(1,16),-2.65359 # DEPENDENCYPART_ARC
(1,17),-4.8186 # DEPENDENCYPART_ARC
(1,18),-5.6447 # DEPENDENCYPART_ARC
(1,19),-4.30636 # DEPENDENCYPART_ARC
(1,20),-5.37741 # DEPENDENCYPART_ARC
(1,21),-8.24277 # DEPENDENCYPART_ARC
(1,22),-4.43729 # DEPENDENCYPART_ARC
(1,23),-0.927342 # DEPENDENCYPART_ARC
(2,1),-0.684325 # DEPENDENCYPART_ARC
(2,3),1.43793 # DEPENDENCYPART_ARC
(2,4),-0.299201 # DEPENDENCYPART_ARC
(2,5),-0.370173 # DEPENDENCYPART_ARC
(2,6),-3.73932 # DEPENDENCYPART_ARC
(2,7),-2.96017 # DEPENDENCYPART_ARC
(2,8),-4.20311 # DEPENDENCYPART_ARC
(2,9),-2.06277 # DEPENDENCYPART_ARC
(2,10),-1.83972 # DEPENDENCYPART_ARC
(2,11),-7.2559 # DEPENDENCYPART_ARC
(2,12),-6.91647 # DEPENDENCYPART_ARC
(2,13),-5.62619 # DEPENDENCYPART_ARC
(2,14),-1.21959 # DEPENDENCYPART_ARC
(2,15),-2.57514 # DEPENDENCYPART_ARC
(2,16),-5.15064 # DEPENDENCYPART_ARC
(2,17),-7.76985 # DEPENDENCYPART_ARC
(2,18),-8.72729 # DEPENDENCYPART_ARC
(2,19),-7.0823 # DEPENDENCYPART_ARC
(2,20),-10.3641 # DEPENDENCYPART_ARC
(2,21),-8.76815 # DEPENDENCYPART_ARC
(2,22),-9.3878 # DEPENDENCYPART_ARC
(2,23),-1.06485 # DEPENDENCYPART_ARC
(3,1),-2.11411 # DEPENDENCYPART_ARC
(3,2),-1.04665 # DEPENDENCYPART_ARC
(3,4),-0.0267399 # DEPENDENCYPART_ARC
(3,5),2.20085 # DEPENDENCYPART_ARC
(3,6),-1.30885 # DEPENDENCYPART_ARC
(3,7),-1.69344 # DEPENDENCYPART_ARC
(3,8),-1.20207 # DEPENDENCYPART_ARC
(3,9),-1.04732 # DEPENDENCYPART_ARC
(3,10),0.0984169 # DEPENDENCYPART_ARC
(3,11),-4.41767 # DEPENDENCYPART_ARC
(3,12),-3.20817 # DEPENDENCYPART_ARC
(3,13),-3.24804 # DEPENDENCYPART_ARC
(3,14),-1.20825 # DEPENDENCYPART_ARC
(3,15),-1.18318 # DEPENDENCYPART_ARC
(3,16),-2.7134 # DEPENDENCYPART_ARC
(3,17),-5.41888 # DEPENDENCYPART_ARC
(3,18),-2.80454 # DEPENDENCYPART_ARC
(3,19),-3.66216 # DEPENDENCYPART_ARC
(3,20),-6.74004 # DEPENDENCYPART_ARC
(3,21),-8.12772 # DEPENDENCYPART_ARC
(3,22),-6.04845 # DEPENDENCYPART_ARC
(3,23),-8.29304 # DEPENDENCYPART_ARC
(4,1),-0.0799497 # DEPENDENCYPART_ARC
(4,2),-0.493821 # DEPENDENCYPART_ARC
(4,3),-0.169941 # DEPENDENCYPART_ARC
(4,5),0.423095 # DEPENDENCYPART_ARC
(4,6),-0.231765 # DEPENDENCYPART_ARC
(4,7),-1.43005 # DEPENDENCYPART_ARC
(4,8),-1.70349 # DEPENDENCYPART_ARC
(4,9),-0.728811 # DEPENDENCYPART_ARC
(4,10),-0.782517 # DEPENDENCYPART_ARC
(4,11),-1.82772 # DEPENDENCYPART_ARC
(4,12),-2.72671 # DEPENDENCYPART_ARC
(4,13),-3.42492 # DEPENDENCYPART_ARC
(4,14),-0.840315 # DEPENDENCYPART_ARC
(4,15),-0.972194 # DEPENDENCYPART_ARC
(4,16),-3.1784 # DEPENDENCYPART_ARC
(4,17),-4.5135 # DEPENDENCYPART_ARC
(4,18),-4.45664 # DEPENDENCYPART_ARC
(4,20),-2.73559 # DEPENDENCYPART_ARC
(4,21),-4.09214 # DEPENDENCYPART_ARC
(4,22),-5.29714 # DEPENDENCYPART_ARC
(4,23),-1.56193 # DEPENDENCYPART_ARC
(5,1),-0.967253 # DEPENDENCYPART_ARC
(5,2),-0.752749 # DEPENDENCYPART_ARC
(5,3),-0.925852 # DEPENDENCYPART_ARC
(5,4),2.47198 # DEPENDENCYPART_ARC
(5,6),2.56778 # DEPENDENCYPART_ARC
(5,7),-1.27855 # DEPENDENCYPART_ARC
(5,8),-2.36112 # DEPENDENCYPART_ARC
(5,9),1.25513 # DEPENDENCYPART_ARC
(5,10),1.1625 # DEPENDENCYPART_ARC
(5,11),-0.350245 # DEPENDENCYPART_ARC
(5,12),-2.48011 # DEPENDENCYPART_ARC
(5,13),-3.68439 # DEPENDENCYPART_ARC
(5,14),0.421933 # DEPENDENCYPART_ARC
(5,15),0.233767 # DEPENDENCYPART_ARC
(5,16),-2.24486 # DEPENDENCYPART_ARC
(5,17),-4.2777 # DEPENDENCYPART_ARC
(5,18),-4.74884 # DEPENDENCYPART_ARC
(5,20),-1.09809 # DEPENDENCYPART_ARC
(5,21),-3.93146 # DEPENDENCYPART_ARC
(5,22),-5.53982 # DEPENDENCYPART_ARC
(5,23),-1.67825 # DEPENDENCYPART_ARC
(6,1),-2.27326 # DEPENDENCYPART_ARC
(6,2),-2.04147 # DEPENDENCYPART_ARC
(6,3),-1.70557 # DEPENDENCYPART_ARC
(6,4),-0.438715 # DEPENDENCYPART_ARC
(6,5),-0.717715 # DEPENDENCYPART_ARC
(6,7),3.51962 # DEPENDENCYPART_ARC
(6,8),2.09287 # DEPENDENCYPART_ARC
(6,9),1.71422 # DEPENDENCYPART_ARC
(6,10),0.548554 # DEPENDENCYPART_ARC
(6,11),-2.68513 # DEPENDENCYPART_ARC
(6,12),-2.50984 # DEPENDENCYPART_ARC
(6,13),-1.09301 # DEPENDENCYPART_ARC
(6,14),-0.0509809 # DEPENDENCYPART_ARC
(6,15),-0.0893088 # DEPENDENCYPART_ARC
(6,16),-1.31201 # DEPENDENCYPART_ARC
(6,17),-2.75931 # DEPENDENCYPART_ARC
(6,18),-3.64513 # DEPENDENCYPART_ARC
(6,19),-3.39951 # DEPENDENCYPART_ARC
(6,20),-5.42085 # DEPENDENCYPART_ARC
(6,21),-3.51341 # DEPENDENCYPART_ARC
(6,22),-3.49956 # DEPENDENCYPART_ARC
(6,23),-1.50782 # DEPENDENCYPART_ARC
(7,1),-5.18799 # DEPENDENCYPART_ARC
(7,2),-3.58126 # DEPENDENCYPART_ARC
(7,3),-5.60864 # DEPENDENCYPART_ARC
(7,4),-1.25262 # DEPENDENCYPART_ARC
(7,5),-1.44955 # DEPENDENCYPART_ARC
(7,6),-1.6445 # DEPENDENCYPART_ARC
(7,8),1.87305 # DEPENDENCYPART_ARC
(7,9),0.279028 # DEPENDENCYPART_ARC
(7,10),0.119312 # DEPENDENCYPART_ARC
(7,11),-2.61297 # DEPENDENCYPART_ARC
(7,12),-4.14893 # DEPENDENCYPART_ARC
(7,13),-4.82888 # DEPENDENCYPART_ARC
(7,14),-1.11001 # DEPENDENCYPART_ARC
(7,15),-1.21472 # DEPENDENCYPART_ARC
(7,16),-1.28764 # DEPENDENCYPART_ARC
(7,17),-5.3551 # DEPENDENCYPART_ARC
(7,18),-1.89361 # DEPENDENCYPART_ARC
(7,19),-2.75309 # DEPENDENCYPART_ARC
(7,20),-5.3527 # DEPENDENCYPART_ARC
(7,21),-5.8805 # DEPENDENCYPART_ARC
(7,22),-5.00753 # DEPENDENCYPART_ARC
(7,23),-6.58096 # DEPENDENCYPART_ARC
(8,1),-4.5476 # DEPENDENCYPART_ARC
(8,2),-2.80345 # DEPENDENCYPART_ARC
(8,3),-3.85101 # DEPENDENCYPART_ARC
(8,4),-1.14498 # DEPENDENCYPART_ARC
(8,5),-1.53336 # DEPENDENCYPART_ARC
(8,6),-1.15439 # DEPENDENCYPART_ARC
(8,7),0.0708345 # DEPENDENCYPART_ARC
(8,9),-0.0758852 # DEPENDENCYPART_ARC
(8,10),0.102336 # DEPENDENCYPART_ARC
(8,11),-2.58305 # DEPENDENCYPART_ARC
(8,12),-3.09235 # DEPENDENCYPART_ARC
(8,13),-3.66558 # DEPENDENCYPART_ARC
(8,14),-1.01646 # DEPENDENCYPART_ARC
(8,15),-1.3782 # DEPENDENCYPART_ARC
(8,16),-1.3508 # DEPENDENCYPART_ARC
(8,17),-4.42651 # DEPENDENCYPART_ARC
(8,18),-2.42395 # DEPENDENCYPART_ARC
(8,19),-3.14902 # DEPENDENCYPART_ARC
(8,20),-5.67042 # DEPENDENCYPART_ARC
(8,21),-7.21535 # DEPENDENCYPART_ARC
(8,22),-5.59608 # DEPENDENCYPART_ARC
(8,23),-5.93072 # DEPENDENCYPART_ARC
(9,1),-0.639485 # DEPENDENCYPART_ARC
(9,2),-1.36002 # DEPENDENCYPART_ARC
(9,3),-2.14744 # DEPENDENCYPART_ARC
(9,4),-0.893876 # DEPENDENCYPART_ARC
(9,5),-1.11342 # DEPENDENCYPART_ARC
(9,6),1.99922 # DEPENDENCYPART_ARC
(9,7),1.88318 # DEPENDENCYPART_ARC
(9,8),2.50085 # DEPENDENCYPART_ARC
(9,10),-0.359508 # DEPENDENCYPART_ARC
(9,11),-1.64405 # DEPENDENCYPART_ARC
(9,12),-5.12444 # DEPENDENCYPART_ARC
(9,13),-1.21913 # DEPENDENCYPART_ARC
(9,14),-1.15518 # DEPENDENCYPART_ARC
(9,15),-0.755774 # DEPENDENCYPART_ARC
(9,16),-1.3815 # DEPENDENCYPART_ARC
(9,17),-2.40431 # DEPENDENCYPART_ARC
(9,18),-3.13729 # DEPENDENCYPART_ARC
(9,19),-3.46849 # DEPENDENCYPART_ARC
(9,20),-3.89091 # DEPENDENCYPART_ARC
(9,21),-7.01214 # DEPENDENCYPART_ARC
(9,22),-4.02675 # DEPENDENCYPART_ARC
(9,23),-2.34416 # DEPENDENCYPART_ARC
(10,1),-0.755501 # DEPENDENCYPART_ARC
(10,2),1.40421 # DEPENDENCYPART_ARC
(10,3),0.201888 # DEPENDENCYPART_ARC
(10,4),0.899859 # DEPENDENCYPART_ARC
(10,5),0.533447 # DEPENDENCYPART_ARC
(10,6),2.04641 # DEPENDENCYPART_ARC
(10,7),1.95558 # DEPENDENCYPART_ARC
(10,8),2.34283 # DEPENDENCYPART_ARC
(10,9),3.82434 # DEPENDENCYPART_ARC
(10,11),2.55178 # DEPENDENCYPART_ARC
(10,12),0.607885 # DEPENDENCYPART_ARC
(10,13),0.390879 # DEPENDENCYPART_ARC
(10,14),0.00709407 # DEPENDENCYPART_ARC
(10,15),-0.0503779 # DEPENDENCYPART_ARC
(10,16),-0.783409 # DEPENDENCYPART_ARC
(10,17),-1.29666 # DEPENDENCYPART_ARC
(10,18),-1.58356 # DEPENDENCYPART_ARC
(10,19),-1.63674 # DEPENDENCYPART_ARC
(10,20),-0.223677 # DEPENDENCYPART_ARC
(10,21),-2.4868 # DEPENDENCYPART_ARC
(10,22),-2.52841 # DEPENDENCYPART_ARC
(10,23),-1.26583 # DEPENDENCYPART_ARC
(11,1),-3.89187 # DEPENDENCYPART_ARC
(11,2),-2.27793 # DEPENDENCYPART_ARC
(11,3),-1.74619 # DEPENDENCYPART_ARC
(11,4),-1.67476 # DEPENDENCYPART_ARC
(11,5),-1.49734 # DEPENDENCYPART_ARC
(11,6),-0.55259 # DEPENDENCYPART_ARC
(11,7),0.424206 # DEPENDENCYPART_ARC
(11,8),0.00709853 # DEPENDENCYPART_ARC
(11,9),-0.545096 # DEPENDENCYPART_ARC
(11,10),0.346671 # DEPENDENCYPART_ARC
(11,12),-1.30578 # DEPENDENCYPART_ARC
(11,13),2.91745 # DEPENDENCYPART_ARC
(11,14),0.0514666 # DEPENDENCYPART_ARC
(11,15),0.437156 # DEPENDENCYPART_ARC
(11,16),0.47278 # DEPENDENCYPART_ARC
(11,17),-1.16983 # DEPENDENCYPART_ARC
(11,18),-1.95414 # DEPENDENCYPART_ARC
(11,19),-1.76512 # DEPENDENCYPART_ARC
(11,20),-2.25764 # DEPENDENCYPART_ARC
(11,21),-3.83482 # DEPENDENCYPART_ARC
(11,22),-1.04282 # DEPENDENCYPART_ARC
(11,23),-1.31782 # DEPENDENCYPART_ARC
(12,1),-5.18807 # DEPENDENCYPART_ARC
(12,2),-4.26142 # DEPENDENCYPART_ARC
(12,3),-3.71094 # DEPENDENCYPART_ARC
(12,4),-2.60428 # DEPENDENCYPART_ARC
(12,5),-2.14557 # DEPENDENCYPART_ARC
(12,6),-4.03278 # DEPENDENCYPART_ARC
(12,7),-4.15837 # DEPENDENCYPART_ARC
(12,8),-1.50191 # DEPENDENCYPART_ARC
(12,9),-3.30374 # DEPENDENCYPART_ARC
(12,10),-0.559496 # DEPENDENCYPART_ARC
(12,11),-2.83441 # DEPENDENCYPART_ARC
(12,13),-0.781365 # DEPENDENCYPART_ARC
(12,14),-0.770451 # DEPENDENCYPART_ARC
(12,15),-0.0750275 # DEPENDENCYPART_ARC
(12,16),-1.38051 # DEPENDENCYPART_ARC
(12,17),-1.64414 # DEPENDENCYPART_ARC
(12,18),-3.34411 # DEPENDENCYPART_ARC
(12,19),-3.34829 # DEPENDENCYPART_ARC
(12,20),-2.31673 # DEPENDENCYPART_ARC
(12,21),-4.28676 # DEPENDENCYPART_ARC
(12,22),-4.92445 # DEPENDENCYPART_ARC
(12,23),-2.56601 # DEPENDENCYPART_ARC
(13,1),-4.52577 # DEPENDENCYPART_ARC
(13,2),-3.07721 # DEPENDENCYPART_ARC
(13,3),-4.35999 # DEPENDENCYPART_ARC
(13,4),-1.80067 # DEPENDENCYPART_ARC
(13,5),-2.8941 # DEPENDENCYPART_ARC
(13,6),-2.04036 # DEPENDENCYPART_ARC
(13,7),-3.76358 # DEPENDENCYPART_ARC
(13,8),-3.84208 # DEPENDENCYPART_ARC
(13,9),-1.11906 # DEPENDENCYPART_ARC
(13,10),-0.152155 # DEPENDENCYPART_ARC
(13,11),-2.59755 # DEPENDENCYPART_ARC
(13,12),4.81973 # DEPENDENCYPART_ARC
(13,14),-0.235129 # DEPENDENCYPART_ARC
(13,15),0.310861 # DEPENDENCYPART_ARC
(13,16),-0.563686 # DEPENDENCYPART_ARC
(13,17),-1.70479 # DEPENDENCYPART_ARC
(13,18),-0.137247 # DEPENDENCYPART_ARC
(13,19),-2.52694 # DEPENDENCYPART_ARC
(13,20),-0.620103 # DEPENDENCYPART_ARC
(13,21),-5.22972 # DEPENDENCYPART_ARC
(13,22),-3.92139 # DEPENDENCYPART_ARC
(13,23),-4.03505 # DEPENDENCYPART_ARC
(14,1),-1.14737 # DEPENDENCYPART_ARC
(14,2),-1.63543 # DEPENDENCYPART_ARC
(14,3),-2.20279 # DEPENDENCYPART_ARC
(14,4),-0.540899 # DEPENDENCYPART_ARC
(14,5),0.18261 # DEPENDENCYPART_ARC
(14,6),-1.1927 # DEPENDENCYPART_ARC
(14,7),-1.20769 # DEPENDENCYPART_ARC
(14,8),-1.70894 # DEPENDENCYPART_ARC
(14,9),-0.604686 # DEPENDENCYPART_ARC
(14,10),-0.473822 # DEPENDENCYPART_ARC
(14,11),-0.146115 # DEPENDENCYPART_ARC
(14,12),-0.55553 # DEPENDENCYPART_ARC
(14,13),-0.771948 # DEPENDENCYPART_ARC
(14,15),0.234673 # DEPENDENCYPART_ARC
(14,16),-0.164996 # DEPENDENCYPART_ARC
(14,17),-0.562841 # DEPENDENCYPART_ARC
(14,18),-0.640447 # DEPENDENCYPART_ARC
(14,20),0.0157461 # DEPENDENCYPART_ARC
(14,21),-1.77156 # DEPENDENCYPART_ARC
(14,22),-1.76319 # DEPENDENCYPART_ARC
(14,23),-0.823675 # DEPENDENCYPART_ARC
(15,1),0.84323 # DEPENDENCYPART_ARC
(15,2),0.130734 # DEPENDENCYPART_ARC
(15,3),-0.129039 # DEPENDENCYPART_ARC
(15,4),-0.682529 # DEPENDENCYPART_ARC
(15,5),-0.265275 # DEPENDENCYPART_ARC
(15,6),0.896975 # DEPENDENCYPART_ARC
(15,7),1.13598 # DEPENDENCYPART_ARC
(15,8),0.25335 # DEPENDENCYPART_ARC
(15,9),1.15532 # DEPENDENCYPART_ARC
(15,10),0.936438 # DEPENDENCYPART_ARC
(15,11),2.06606 # DEPENDENCYPART_ARC
(15,12),0.675804 # DEPENDENCYPART_ARC
(15,13),0.604749 # DEPENDENCYPART_ARC
(15,14),2.57186 # DEPENDENCYPART_ARC
(15,16),1.34518 # DEPENDENCYPART_ARC
(15,17),0.829907 # DEPENDENCYPART_ARC
(15,18),0.147856 # DEPENDENCYPART_ARC
(15,19),-0.647443 # DEPENDENCYPART_ARC
(15,20),1.62116 # DEPENDENCYPART_ARC
(15,21),-0.689652 # DEPENDENCYPART_ARC
(15,22),-0.996658 # DEPENDENCYPART_ARC
(15,23),-0.165308 # DEPENDENCYPART_ARC
(16,3),-4.41429 # DEPENDENCYPART_ARC
(16,4),-2.29837 # DEPENDENCYPART_ARC
(16,7),-4.13882 # DEPENDENCYPART_ARC
(16,8),-2.81877 # DEPENDENCYPART_ARC
(16,10),-1.82197 # DEPENDENCYPART_ARC
(16,12),-2.24956 # DEPENDENCYPART_ARC
(16,13),-2.04125 # DEPENDENCYPART_ARC
(16,14),0.675465 # DEPENDENCYPART_ARC
(16,15),-0.050783 # DEPENDENCYPART_ARC
(16,17),3.39938 # DEPENDENCYPART_ARC
(16,18),-0.659979 # DEPENDENCYPART_ARC
(16,19),-1.35753 # DEPENDENCYPART_ARC
(16,21),-2.38449 # DEPENDENCYPART_ARC
(16,22),-4.77216 # DEPENDENCYPART_ARC
(16,23),-1.17775 # DEPENDENCYPART_ARC
(17,1),-5.81352 # DEPENDENCYPART_ARC
(17,2),-3.41205 # DEPENDENCYPART_ARC
(17,3),-8.03991 # DEPENDENCYPART_ARC
(17,4),-2.28562 # DEPENDENCYPART_ARC
(17,5),-4.29715 # DEPENDENCYPART_ARC
(17,6),-2.38512 # DEPENDENCYPART_ARC
(17,7),-6.1981 # DEPENDENCYPART_ARC
(17,8),-4.64688 # DEPENDENCYPART_ARC
(17,9),-3.3936 # DEPENDENCYPART_ARC
(17,10),-1.64188 # DEPENDENCYPART_ARC
(17,11),-4.82668 # DEPENDENCYPART_ARC
(17,12),-2.53464 # DEPENDENCYPART_ARC
(17,13),-4.3344 # DEPENDENCYPART_ARC
(17,14),-0.18276 # DEPENDENCYPART_ARC
(17,15),0.496369 # DEPENDENCYPART_ARC
(17,16),1.10462 # DEPENDENCYPART_ARC
(17,18),3.68232 # DEPENDENCYPART_ARC
(17,19),-0.821584 # DEPENDENCYPART_ARC
(17,20),-1.27906 # DEPENDENCYPART_ARC
(17,21),-4.35514 # DEPENDENCYPART_ARC
(17,22),-2.49982 # DEPENDENCYPART_ARC
(17,23),-2.07589 # DEPENDENCYPART_ARC
(18,1),-4.74636 # DEPENDENCYPART_ARC
(18,2),-3.88667 # DEPENDENCYPART_ARC
(18,3),-7.67529 # DEPENDENCYPART_ARC
(18,4),-2.76562 # DEPENDENCYPART_ARC
(18,5),-4.55958 # DEPENDENCYPART_ARC
(18,6),-3.03687 # DEPENDENCYPART_ARC
(18,7),-4.81603 # DEPENDENCYPART_ARC
(18,8),-6.99528 # DEPENDENCYPART_ARC
(18,9),-3.00469 # DEPENDENCYPART_ARC
(18,10),-1.81957 # DEPENDENCYPART_ARC
(18,11),-3.80767 # DEPENDENCYPART_ARC
(18,12),-3.60907 # DEPENDENCYPART_ARC
(18,13),-4.83254 # DEPENDENCYPART_ARC
(18,14),-0.881574 # DEPENDENCYPART_ARC
(18,15),-0.537951 # DEPENDENCYPART_ARC
(18,16),0.381949 # DEPENDENCYPART_ARC
(18,17),-0.956944 # DEPENDENCYPART_ARC
(18,19),-0.00808528 # DEPENDENCYPART_ARC
(18,20),-1.64444 # DEPENDENCYPART_ARC
(18,21),-4.88639 # DEPENDENCYPART_ARC
(18,22),-1.07967 # DEPENDENCYPART_ARC
(18,23),-1.19058 # DEPENDENCYPART_ARC
(19,3),-3.32894 # DEPENDENCYPART_ARC
(19,7),-2.53009 # DEPENDENCYPART_ARC
(19,8),-2.70058 # DEPENDENCYPART_ARC
(19,12),-0.438034 # DEPENDENCYPART_ARC
(19,13),-2.10967 # DEPENDENCYPART_ARC
(19,17),-1.19548 # DEPENDENCYPART_ARC
(19,18),-0.586068 # DEPENDENCYPART_ARC
(19,21),-2.20329 # DEPENDENCYPART_ARC
(19,22),-2.54738 # DEPENDENCYPART_ARC
(20,1),-4.96801 # DEPENDENCYPART_ARC
(20,2),-2.70295 # DEPENDENCYPART_ARC
(20,3),-2.27907 # DEPENDENCYPART_ARC
(20,4),-1.01909 # DEPENDENCYPART_ARC
(20,5),-1.35386 # DEPENDENCYPART_ARC
(20,6),-1.63508 # DEPENDENCYPART_ARC
(20,7),-0.775639 # DEPENDENCYPART_ARC
(20,8),-0.9262 # DEPENDENCYPART_ARC
(20,9),-2.41415 # DEPENDENCYPART_ARC
(20,10),0.544535 # DEPENDENCYPART_ARC
(20,11),-2.48324 # DEPENDENCYPART_ARC
(20,12),-2.98241 # DEPENDENCYPART_ARC
(20,13),-1.31386 # DEPENDENCYPART_ARC
(20,14),1.11149 # DEPENDENCYPART_ARC
(20,15),0.523453 # DEPENDENCYPART_ARC
(20,16),2.15234 # DEPENDENCYPART_ARC
(20,17),0.465559 # DEPENDENCYPART_ARC
(20,18),-1.03897 # DEPENDENCYPART_ARC
(20,19),2.74288 # DEPENDENCYPART_ARC
(20,21),0.398296 # DEPENDENCYPART_ARC
(20,22),2.91931 # DEPENDENCYPART_ARC
(20,23),-0.176687 # DEPENDENCYPART_ARC
(21,1),-4.10413 # DEPENDENCYPART_ARC
(21,2),-2.85691 # DEPENDENCYPART_ARC
(21,3),-4.76998 # DEPENDENCYPART_ARC
(21,4),-4.36568 # DEPENDENCYPART_ARC
(21,5),-3.75183 # DEPENDENCYPART_ARC
(21,6),-3.44966 # DEPENDENCYPART_ARC
(21,7),-3.8909 # DEPENDENCYPART_ARC
(21,8),-2.75597 # DEPENDENCYPART_ARC
(21,9),-3.13316 # DEPENDENCYPART_ARC
(21,10),-2.81292 # DEPENDENCYPART_ARC
(21,11),-3.23001 # DEPENDENCYPART_ARC
(21,12),-4.86903 # DEPENDENCYPART_ARC
(21,13),-3.75387 # DEPENDENCYPART_ARC
(21,14),-2.07842 # DEPENDENCYPART_ARC
(21,15),-1.97537 # DEPENDENCYPART_ARC
(21,16),0.0132415 # DEPENDENCYPART_ARC
(21,17),-1.00598 # DEPENDENCYPART_ARC
(21,18),-3.15709 # DEPENDENCYPART_ARC
(21,19),-0.418284 # DEPENDENCYPART_ARC
(21,20),-1.76487 # DEPENDENCYPART_ARC
(21,22),-1.2615 # DEPENDENCYPART_ARC
(21,23),-1.30697 # DEPENDENCYPART_ARC
(22,1),-6.38882 # DEPENDENCYPART_ARC
(22,2),-3.63071 # DEPENDENCYPART_ARC
(22,3),-9.55626 # DEPENDENCYPART_ARC
(22,4),-3.10956 # DEPENDENCYPART_ARC
(22,5),-5.62577 # DEPENDENCYPART_ARC
(22,6),-3.02784 # DEPENDENCYPART_ARC
(22,7),-4.29369 # DEPENDENCYPART_ARC
(22,8),-7.37991 # DEPENDENCYPART_ARC
(22,9),-3.53163 # DEPENDENCYPART_ARC
(22,10),-2.75223 # DEPENDENCYPART_ARC
(22,11),-5.44111 # DEPENDENCYPART_ARC
(22,12),-5.64523 # DEPENDENCYPART_ARC
(22,13),-7.34494 # DEPENDENCYPART_ARC
(22,14),-1.49464 # DEPENDENCYPART_ARC
(22,15),-1.23997 # DEPENDENCYPART_ARC
(22,16),-0.526567 # DEPENDENCYPART_ARC
(22,17),-3.43255 # DEPENDENCYPART_ARC
(22,18),-3.60227 # DEPENDENCYPART_ARC
(22,19),-2.62404 # DEPENDENCYPART_ARC
(22,20),-1.72279 # DEPENDENCYPART_ARC
(22,21),4.67731 # DEPENDENCYPART_ARC
(22,23),-0.0755884 # DEPENDENCYPART_ARC
(23,1),-4.19532 # DEPENDENCYPART_ARC
(23,2),-4.4614 # DEPENDENCYPART_ARC
(23,3),-5.13257 # DEPENDENCYPART_ARC
(23,4),-4.90201 # DEPENDENCYPART_ARC
(23,5),-3.36261 # DEPENDENCYPART_ARC
(23,6),-4.19486 # DEPENDENCYPART_ARC
(23,7),-4.54871 # DEPENDENCYPART_ARC
(23,8),-4.79884 # DEPENDENCYPART_ARC
(23,9),-3.35905 # DEPENDENCYPART_ARC
(23,10),-3.26465 # DEPENDENCYPART_ARC
(23,11),-3.13845 # DEPENDENCYPART_ARC
(23,12),-3.05341 # DEPENDENCYPART_ARC
(23,13),-3.35203 # DEPENDENCYPART_ARC
(23,14),-2.6865 # DEPENDENCYPART_ARC
(23,15),-2.50118 # DEPENDENCYPART_ARC
(23,16),-3.36372 # DEPENDENCYPART_ARC
(23,17),-2.42398 # DEPENDENCYPART_ARC
(23,18),-2.84921 # DEPENDENCYPART_ARC
(23,20),-2.40861 # DEPENDENCYPART_ARC
(23,21),-1.60448 # DEPENDENCYPART_ARC
(23,22),-2.30362 # DEPENDENCYPART_ARC
