# _root_ Jestliže rada jednou jmenovala komisi a schválila její závěr , nemůže se zříci odpovědnosti , trvá na svém ředitel Sadil .
#goldHeads=11,6,4,6,4,1,6,9,7,1,15,13,11,13,0,15,16,17,20,16,0,
#predictedHeads=11,4,4,6,4,1,6,9,7,1,0,13,11,13,1,15,16,17,20,16,0,
(16,4),-3.31904 # DEPENDENCYPART_ARC
(16,5),-1.38814 # DEPENDENCYPART_ARC
(16,6),-0.308552 # DEPENDENCYPART_ARC
(16,7),-2.50418 # DEPENDENCYPART_ARC
(16,8),-3.13519 # DEPENDENCYPART_ARC
(16,9),0.164018 # DEPENDENCYPART_ARC
(16,10),-1.40214 # DEPENDENCYPART_ARC
(16,11),0.0820244 # DEPENDENCYPART_ARC
(16,12),1.40867 # DEPENDENCYPART_ARC
(16,13),1.85772 # DEPENDENCYPART_ARC
(16,14),-1.60496 # DEPENDENCYPART_ARC
(16,15),0.0635499 # DEPENDENCYPART_ARC
(16,17),2.79943 # DEPENDENCYPART_ARC
(16,18),-0.355535 # DEPENDENCYPART_ARC
(16,19),1.80982 # DEPENDENCYPART_ARC
(16,20),2.56594 # DEPENDENCYPART_ARC
(16,21),0.166753 # DEPENDENCYPART_ARC
(17,1),-2.52889 # DEPENDENCYPART_ARC
(17,2),-4.23617 # DEPENDENCYPART_ARC
(17,3),-2.74455 # DEPENDENCYPART_ARC
(17,4),-3.28431 # DEPENDENCYPART_ARC
(17,5),-3.38327 # DEPENDENCYPART_ARC
(17,6),-2.14791 # DEPENDENCYPART_ARC
(17,7),-3.07986 # DEPENDENCYPART_ARC
(17,8),-2.02647 # DEPENDENCYPART_ARC
(17,9),-3.06064 # DEPENDENCYPART_ARC
(17,10),-2.56558 # DEPENDENCYPART_ARC
(17,11),-2.84869 # DEPENDENCYPART_ARC
(17,14),-2.06987 # DEPENDENCYPART_ARC
(17,15),-0.742293 # DEPENDENCYPART_ARC
(17,16),-1.3404 # DEPENDENCYPART_ARC
(17,18),2.9957 # DEPENDENCYPART_ARC
(17,19),0.427113 # DEPENDENCYPART_ARC
(17,20),-1.39266 # DEPENDENCYPART_ARC
(17,21),-0.444328 # DEPENDENCYPART_ARC
(18,10),-1.64871 # DEPENDENCYPART_ARC
(18,15),-1.07607 # DEPENDENCYPART_ARC
(18,21),-0.798076 # DEPENDENCYPART_ARC
(19,1),-5.59725 # DEPENDENCYPART_ARC
(19,2),-8.02048 # DEPENDENCYPART_ARC
(19,3),-4.53799 # DEPENDENCYPART_ARC
(19,4),-5.28955 # DEPENDENCYPART_ARC
(19,5),-9.52212 # DEPENDENCYPART_ARC
(19,6),-5.29175 # DEPENDENCYPART_ARC
(19,7),-5.10671 # DEPENDENCYPART_ARC
(19,8),-3.3642 # DEPENDENCYPART_ARC
(19,9),-7.65184 # DEPENDENCYPART_ARC
(19,10),-3.03483 # DEPENDENCYPART_ARC
(19,11),-3.67112 # DEPENDENCYPART_ARC
(19,12),-5.29927 # DEPENDENCYPART_ARC
(19,13),-2.23914 # DEPENDENCYPART_ARC
(19,14),-6.3096 # DEPENDENCYPART_ARC
(19,15),-1.69411 # DEPENDENCYPART_ARC
(19,16),-2.21057 # DEPENDENCYPART_ARC
(19,17),0.00307073 # DEPENDENCYPART_ARC
(19,18),1.2456 # DEPENDENCYPART_ARC
(19,20),0.947493 # DEPENDENCYPART_ARC
(19,21),0.0814306 # DEPENDENCYPART_ARC
(20,1),-5.13969 # DEPENDENCYPART_ARC
(20,2),-5.05457 # DEPENDENCYPART_ARC
(20,3),-4.17623 # DEPENDENCYPART_ARC
(20,4),-5.83365 # DEPENDENCYPART_ARC
(20,5),-5.89484 # DEPENDENCYPART_ARC
(20,6),-4.33634 # DEPENDENCYPART_ARC
(20,7),-5.62205 # DEPENDENCYPART_ARC
(20,8),-4.10256 # DEPENDENCYPART_ARC
(20,9),-5.89375 # DEPENDENCYPART_ARC
(20,10),-2.57392 # DEPENDENCYPART_ARC
(20,11),-3.84645 # DEPENDENCYPART_ARC
(20,12),-5.49262 # DEPENDENCYPART_ARC
(20,13),-1.84264 # DEPENDENCYPART_ARC
(20,14),-2.92617 # DEPENDENCYPART_ARC
(20,15),-1.29488 # DEPENDENCYPART_ARC
(20,16),-2.223 # DEPENDENCYPART_ARC
(20,17),0.895783 # DEPENDENCYPART_ARC
(20,18),-0.0161389 # DEPENDENCYPART_ARC
(20,19),5.7104 # DEPENDENCYPART_ARC
(20,21),0.438106 # DEPENDENCYPART_ARC
(21,1),-4.13705 # DEPENDENCYPART_ARC
(21,2),-7.18529 # DEPENDENCYPART_ARC
(21,3),-4.72362 # DEPENDENCYPART_ARC
(21,4),-5.01277 # DEPENDENCYPART_ARC
(21,5),-5.90977 # DEPENDENCYPART_ARC
(21,6),-4.81477 # DEPENDENCYPART_ARC
(21,7),-4.8391 # DEPENDENCYPART_ARC
(21,8),-4.01512 # DEPENDENCYPART_ARC
(21,9),-5.37708 # DEPENDENCYPART_ARC
(21,10),-4.30569 # DEPENDENCYPART_ARC
(21,11),-4.25297 # DEPENDENCYPART_ARC
(21,12),-4.10044 # DEPENDENCYPART_ARC
(21,13),-4.2105 # DEPENDENCYPART_ARC
(21,14),-3.58103 # DEPENDENCYPART_ARC
(21,15),-3.39783 # DEPENDENCYPART_ARC
(21,16),-3.57424 # DEPENDENCYPART_ARC
(21,17),-3.51849 # DEPENDENCYPART_ARC
(21,19),-3.54945 # DEPENDENCYPART_ARC
(21,20),-3.18183 # DEPENDENCYPART_ARC
