# _root_ Mezi pašeráky byli v Průhonicích u Prahy zadrženi i dva policisté z Bratislavy , kteří - jak se po prvním výslechu ukázalo - nepřísluší ke kriminální , ale k dopravní policii .
#goldHeads=8,1,8,8,4,5,6,0,11,11,8,11,12,24,24,22,22,22,22,21,19,24,22,11,28,25,28,24,28,31,29,0,
#predictedHeads=3,1,8,3,4,8,6,0,11,11,8,11,12,22,24,22,22,22,22,21,19,13,22,28,28,25,28,22,28,31,29,0,
(3,21),-3.57074 # DEPENDENCYPART_ARC
(3,22),-3.72267 # DEPENDENCYPART_ARC
(3,23),0.00205566 # DEPENDENCYPART_ARC
(3,24),-5.86726 # DEPENDENCYPART_ARC
(3,25),-1.91818 # DEPENDENCYPART_ARC
(3,26),-5.0152 # DEPENDENCYPART_ARC
(3,27),-1.34943 # DEPENDENCYPART_ARC
(3,28),-0.428636 # DEPENDENCYPART_ARC
(3,29),-2.77959 # DEPENDENCYPART_ARC
(3,30),-7.37117 # DEPENDENCYPART_ARC
(3,31),-6.18285 # DEPENDENCYPART_ARC
(3,32),-1.85023 # DEPENDENCYPART_ARC
(4,1),-1.38575 # DEPENDENCYPART_ARC
(4,2),-1.72235 # DEPENDENCYPART_ARC
(4,3),-1.54743 # DEPENDENCYPART_ARC
(4,5),4.54382 # DEPENDENCYPART_ARC
(4,6),-0.749191 # DEPENDENCYPART_ARC
(4,7),-1.05597 # DEPENDENCYPART_ARC
(4,8),-2.09386 # DEPENDENCYPART_ARC
(4,9),-1.42886 # DEPENDENCYPART_ARC
(4,10),-3.46005 # DEPENDENCYPART_ARC
(4,11),-6.13506 # DEPENDENCYPART_ARC
(4,12),-1.95185 # DEPENDENCYPART_ARC
(4,13),-6.37791 # DEPENDENCYPART_ARC
(4,14),-1.80633 # DEPENDENCYPART_ARC
(4,15),-4.96795 # DEPENDENCYPART_ARC
(4,16),-2.15405 # DEPENDENCYPART_ARC
(4,17),-1.84487 # DEPENDENCYPART_ARC
(4,18),-4.11075 # DEPENDENCYPART_ARC
(4,19),-2.65941 # DEPENDENCYPART_ARC
(4,20),-3.06112 # DEPENDENCYPART_ARC
(4,21),-5.65106 # DEPENDENCYPART_ARC
(4,22),-3.21459 # DEPENDENCYPART_ARC
(4,23),-3.54011 # DEPENDENCYPART_ARC
(4,24),-2.91718 # DEPENDENCYPART_ARC
(4,25),-3.01039 # DEPENDENCYPART_ARC
(4,26),-3.73339 # DEPENDENCYPART_ARC
(4,27),-4.55821 # DEPENDENCYPART_ARC
(4,28),-3.71528 # DEPENDENCYPART_ARC
(4,29),-3.40508 # DEPENDENCYPART_ARC
(4,30),-4.07801 # DEPENDENCYPART_ARC
(4,31),-12.2153 # DEPENDENCYPART_ARC
(4,32),-5.49064 # DEPENDENCYPART_ARC
(5,1),-1.04456 # DEPENDENCYPART_ARC
(5,2),-2.2698 # DEPENDENCYPART_ARC
(5,3),-5.21655 # DEPENDENCYPART_ARC
(5,4),-0.392895 # DEPENDENCYPART_ARC
(5,6),0.923713 # DEPENDENCYPART_ARC
(5,7),0.191165 # DEPENDENCYPART_ARC
(5,8),0.0879579 # DEPENDENCYPART_ARC
(5,9),-0.827823 # DEPENDENCYPART_ARC
(5,10),-2.42343 # DEPENDENCYPART_ARC
(5,11),-5.77378 # DEPENDENCYPART_ARC
(5,12),-1.04458 # DEPENDENCYPART_ARC
(5,13),-3.61429 # DEPENDENCYPART_ARC
(5,14),-1.40118 # DEPENDENCYPART_ARC
(5,15),-3.6204 # DEPENDENCYPART_ARC
(5,16),-1.91367 # DEPENDENCYPART_ARC
(5,17),-1.1904 # DEPENDENCYPART_ARC
(5,18),-4.57822 # DEPENDENCYPART_ARC
(5,19),-2.35948 # DEPENDENCYPART_ARC
(5,20),-3.20177 # DEPENDENCYPART_ARC
(5,21),-4.90662 # DEPENDENCYPART_ARC
(5,22),-3.21246 # DEPENDENCYPART_ARC
(5,23),-2.89615 # DEPENDENCYPART_ARC
(5,24),-4.48939 # DEPENDENCYPART_ARC
(5,25),-5.20935 # DEPENDENCYPART_ARC
(5,26),-6.25644 # DEPENDENCYPART_ARC
(5,27),-2.13954 # DEPENDENCYPART_ARC
(5,28),-1.01558 # DEPENDENCYPART_ARC
(5,29),-6.0735 # DEPENDENCYPART_ARC
(5,30),-7.07997 # DEPENDENCYPART_ARC
(5,31),-10.2115 # DEPENDENCYPART_ARC
(5,32),-10.5267 # DEPENDENCYPART_ARC
(6,1),-1.20933 # DEPENDENCYPART_ARC
(6,2),-0.942305 # DEPENDENCYPART_ARC
(6,3),-2.01649 # DEPENDENCYPART_ARC
(6,4),0.460581 # DEPENDENCYPART_ARC
(6,5),1.12822 # DEPENDENCYPART_ARC
(6,7),5.94803 # DEPENDENCYPART_ARC
(6,8),-1.3666 # DEPENDENCYPART_ARC
(6,9),-0.849675 # DEPENDENCYPART_ARC
(6,10),-2.47061 # DEPENDENCYPART_ARC
(6,11),-3.69987 # DEPENDENCYPART_ARC
(6,12),-1.46271 # DEPENDENCYPART_ARC
(6,13),-1.19452 # DEPENDENCYPART_ARC
(6,14),-1.39122 # DEPENDENCYPART_ARC
(6,15),-4.38243 # DEPENDENCYPART_ARC
(6,16),-1.46589 # DEPENDENCYPART_ARC
(6,17),-1.17269 # DEPENDENCYPART_ARC
(6,18),-3.50463 # DEPENDENCYPART_ARC
(6,19),-2.38047 # DEPENDENCYPART_ARC
(6,20),-2.56762 # DEPENDENCYPART_ARC
(6,21),-4.85382 # DEPENDENCYPART_ARC
(6,22),-2.95692 # DEPENDENCYPART_ARC
(6,23),-2.95897 # DEPENDENCYPART_ARC
(6,24),-2.45948 # DEPENDENCYPART_ARC
(6,25),-2.76441 # DEPENDENCYPART_ARC
(6,26),-3.02804 # DEPENDENCYPART_ARC
(6,27),-3.84521 # DEPENDENCYPART_ARC
(6,28),-2.50014 # DEPENDENCYPART_ARC
(6,29),-3.21047 # DEPENDENCYPART_ARC
(6,30),-3.39452 # DEPENDENCYPART_ARC
(6,31),-10.1903 # DEPENDENCYPART_ARC
(6,32),-4.70265 # DEPENDENCYPART_ARC
(7,1),-0.999906 # DEPENDENCYPART_ARC
(7,2),-4.93194 # DEPENDENCYPART_ARC
(7,3),-5.39283 # DEPENDENCYPART_ARC
(7,4),-1.21107 # DEPENDENCYPART_ARC
(7,5),-4.32166 # DEPENDENCYPART_ARC
(7,6),0.199984 # DEPENDENCYPART_ARC
(7,8),-0.717321 # DEPENDENCYPART_ARC
(7,9),-0.983662 # DEPENDENCYPART_ARC
(7,10),-2.90193 # DEPENDENCYPART_ARC
(7,11),-4.1844 # DEPENDENCYPART_ARC
(7,12),-1.66815 # DEPENDENCYPART_ARC
(7,13),-2.40194 # DEPENDENCYPART_ARC
(7,14),-1.98231 # DEPENDENCYPART_ARC
(7,15),-4.42368 # DEPENDENCYPART_ARC
(7,16),-2.10343 # DEPENDENCYPART_ARC
(7,17),-1.51344 # DEPENDENCYPART_ARC
(7,18),-3.75123 # DEPENDENCYPART_ARC
(7,19),-2.87144 # DEPENDENCYPART_ARC
(7,20),-4.14239 # DEPENDENCYPART_ARC
(7,21),-5.04569 # DEPENDENCYPART_ARC
(7,22),-3.39982 # DEPENDENCYPART_ARC
(7,23),-3.26591 # DEPENDENCYPART_ARC
(7,24),-6.27432 # DEPENDENCYPART_ARC
(7,25),-5.45243 # DEPENDENCYPART_ARC
(7,26),-5.50705 # DEPENDENCYPART_ARC
(7,27),-2.93676 # DEPENDENCYPART_ARC
(7,28),-1.91178 # DEPENDENCYPART_ARC
(7,29),-6.20568 # DEPENDENCYPART_ARC
(7,30),-6.53771 # DEPENDENCYPART_ARC
(7,31),-9.31576 # DEPENDENCYPART_ARC
(7,32),-10.3414 # DEPENDENCYPART_ARC
(8,1),2.27736 # DEPENDENCYPART_ARC
(8,2),2.03206 # DEPENDENCYPART_ARC
(8,3),2.78519 # DEPENDENCYPART_ARC
(8,4),2.66593 # DEPENDENCYPART_ARC
(8,5),-0.838989 # DEPENDENCYPART_ARC
(8,6),2.28784 # DEPENDENCYPART_ARC
(8,7),-1.77071 # DEPENDENCYPART_ARC
(8,9),0.203421 # DEPENDENCYPART_ARC
(8,10),-0.766999 # DEPENDENCYPART_ARC
(8,11),1.06132 # DEPENDENCYPART_ARC
(8,12),0.668413 # DEPENDENCYPART_ARC
(8,13),-2.24888 # DEPENDENCYPART_ARC
(8,14),0.121829 # DEPENDENCYPART_ARC
(8,15),-2.40843 # DEPENDENCYPART_ARC
(8,16),-0.510091 # DEPENDENCYPART_ARC
(8,17),-0.481544 # DEPENDENCYPART_ARC
(8,18),-1.47174 # DEPENDENCYPART_ARC
(8,19),0.0535528 # DEPENDENCYPART_ARC
(8,20),-3.68775 # DEPENDENCYPART_ARC
(8,21),-1.1928 # DEPENDENCYPART_ARC
(8,22),-1.67423 # DEPENDENCYPART_ARC
(8,23),-0.18492 # DEPENDENCYPART_ARC
(8,24),-4.59947 # DEPENDENCYPART_ARC
(8,25),-1.29821 # DEPENDENCYPART_ARC
(8,26),-4.70411 # DEPENDENCYPART_ARC
(8,27),-0.826696 # DEPENDENCYPART_ARC
(8,28),-0.180192 # DEPENDENCYPART_ARC
(8,29),-1.28189 # DEPENDENCYPART_ARC
(8,30),-6.80508 # DEPENDENCYPART_ARC
(8,31),-3.98122 # DEPENDENCYPART_ARC
(8,32),-1.55162 # DEPENDENCYPART_ARC
(9,1),-0.269649 # DEPENDENCYPART_ARC
(9,2),-0.485671 # DEPENDENCYPART_ARC
(9,3),-1.34284 # DEPENDENCYPART_ARC
(9,4),0.492791 # DEPENDENCYPART_ARC
(9,5),1.06266 # DEPENDENCYPART_ARC
(9,6),0.845758 # DEPENDENCYPART_ARC
(9,7),1.1231 # DEPENDENCYPART_ARC
(9,8),0.582918 # DEPENDENCYPART_ARC
(9,10),0.258021 # DEPENDENCYPART_ARC
(9,11),1.26829 # DEPENDENCYPART_ARC
(9,12),-0.0759186 # DEPENDENCYPART_ARC
(9,13),0.0810092 # DEPENDENCYPART_ARC
(9,14),-0.337513 # DEPENDENCYPART_ARC
(9,15),-1.32333 # DEPENDENCYPART_ARC
(9,16),-1.10557 # DEPENDENCYPART_ARC
(9,17),-1.86686 # DEPENDENCYPART_ARC
(9,18),-2.02525 # DEPENDENCYPART_ARC
(9,19),-1.51947 # DEPENDENCYPART_ARC
(9,20),-2.09635 # DEPENDENCYPART_ARC
(9,21),-1.36329 # DEPENDENCYPART_ARC
(9,22),-2.24359 # DEPENDENCYPART_ARC
(9,23),-1.37935 # DEPENDENCYPART_ARC
(9,24),-3.03239 # DEPENDENCYPART_ARC
(9,25),-1.45625 # DEPENDENCYPART_ARC
(9,26),-3.86508 # DEPENDENCYPART_ARC
(9,27),-2.75342 # DEPENDENCYPART_ARC
(9,28),-1.01453 # DEPENDENCYPART_ARC
(9,29),-3.26915 # DEPENDENCYPART_ARC
(9,30),-4.08995 # DEPENDENCYPART_ARC
(9,31),-3.14725 # DEPENDENCYPART_ARC
(9,32),-3.66677 # DEPENDENCYPART_ARC
(10,1),-1.22614 # DEPENDENCYPART_ARC
(10,2),-3.00838 # DEPENDENCYPART_ARC
(10,3),-2.84776 # DEPENDENCYPART_ARC
(10,4),-0.982411 # DEPENDENCYPART_ARC
(10,5),-3.59348 # DEPENDENCYPART_ARC
(10,6),0.0442038 # DEPENDENCYPART_ARC
(10,7),-3.25824 # DEPENDENCYPART_ARC
(10,8),-1.25862 # DEPENDENCYPART_ARC
(10,9),1.29311 # DEPENDENCYPART_ARC
(10,11),0.189813 # DEPENDENCYPART_ARC
(10,12),0.958225 # DEPENDENCYPART_ARC
(10,13),-2.15427 # DEPENDENCYPART_ARC
(10,14),-1.61451 # DEPENDENCYPART_ARC
(10,15),-1.26677 # DEPENDENCYPART_ARC
(10,16),-1.86706 # DEPENDENCYPART_ARC
(10,17),-1.31262 # DEPENDENCYPART_ARC
(10,18),-2.58668 # DEPENDENCYPART_ARC
(10,19),-1.14392 # DEPENDENCYPART_ARC
(10,20),-2.99213 # DEPENDENCYPART_ARC
(10,21),-2.98315 # DEPENDENCYPART_ARC
(10,22),-3.67345 # DEPENDENCYPART_ARC
(10,23),-2.95928 # DEPENDENCYPART_ARC
(10,24),-2.60782 # DEPENDENCYPART_ARC
(10,25),-2.96155 # DEPENDENCYPART_ARC
(10,26),-4.65773 # DEPENDENCYPART_ARC
(10,27),-2.60067 # DEPENDENCYPART_ARC
(10,28),-2.38494 # DEPENDENCYPART_ARC
(10,29),-3.35127 # DEPENDENCYPART_ARC
(10,30),-5.12635 # DEPENDENCYPART_ARC
(10,31),-6.19412 # DEPENDENCYPART_ARC
(10,32),-4.88984 # DEPENDENCYPART_ARC
(11,1),-1.01679 # DEPENDENCYPART_ARC
(11,2),-3.51786 # DEPENDENCYPART_ARC
(11,3),-3.90448 # DEPENDENCYPART_ARC
(11,4),-1.48621 # DEPENDENCYPART_ARC
(11,5),-6.05616 # DEPENDENCYPART_ARC
(11,6),-0.890838 # DEPENDENCYPART_ARC
(11,7),-4.29048 # DEPENDENCYPART_ARC
(11,8),-1.31563 # DEPENDENCYPART_ARC
(11,9),2.14978 # DEPENDENCYPART_ARC
(11,10),4.38698 # DEPENDENCYPART_ARC
(11,12),2.30838 # DEPENDENCYPART_ARC
(11,13),1.19118 # DEPENDENCYPART_ARC
(11,14),-0.563473 # DEPENDENCYPART_ARC
(11,15),-0.289541 # DEPENDENCYPART_ARC
(11,16),-0.804577 # DEPENDENCYPART_ARC
(11,17),-0.329219 # DEPENDENCYPART_ARC
(11,18),-2.93745 # DEPENDENCYPART_ARC
(11,19),-1.44103 # DEPENDENCYPART_ARC
(11,20),-2.42899 # DEPENDENCYPART_ARC
(11,21),-2.95989 # DEPENDENCYPART_ARC
(11,22),-1.26597 # DEPENDENCYPART_ARC
(11,23),-1.84849 # DEPENDENCYPART_ARC
(11,24),-1.97281 # DEPENDENCYPART_ARC
(11,25),-4.20754 # DEPENDENCYPART_ARC
(11,26),-6.11266 # DEPENDENCYPART_ARC
(11,27),-1.26484 # DEPENDENCYPART_ARC
(11,28),0.0464124 # DEPENDENCYPART_ARC
(11,29),-5.11777 # DEPENDENCYPART_ARC
(11,30),-6.70788 # DEPENDENCYPART_ARC
(11,31),-7.13297 # DEPENDENCYPART_ARC
(11,32),-7.22569 # DEPENDENCYPART_ARC
(12,1),-3.51174 # DEPENDENCYPART_ARC
(12,2),-2.81281 # DEPENDENCYPART_ARC
(12,3),-3.80556 # DEPENDENCYPART_ARC
(12,4),-2.69945 # DEPENDENCYPART_ARC
(12,5),-2.37988 # DEPENDENCYPART_ARC
(12,6),-2.58875 # DEPENDENCYPART_ARC
(12,7),-2.29477 # DEPENDENCYPART_ARC
(12,8),-3.11528 # DEPENDENCYPART_ARC
(12,9),-1.57613 # DEPENDENCYPART_ARC
(12,10),-2.03905 # DEPENDENCYPART_ARC
(12,11),-2.48429 # DEPENDENCYPART_ARC
(12,13),4.48424 # DEPENDENCYPART_ARC
(12,14),0.147219 # DEPENDENCYPART_ARC
(12,15),-2.58307 # DEPENDENCYPART_ARC
(12,16),0.234171 # DEPENDENCYPART_ARC
(12,17),-0.0853286 # DEPENDENCYPART_ARC
(12,18),-2.12535 # DEPENDENCYPART_ARC
(12,19),-1.55083 # DEPENDENCYPART_ARC
(12,20),-1.06401 # DEPENDENCYPART_ARC
(12,21),-1.79406 # DEPENDENCYPART_ARC
(12,22),-2.04805 # DEPENDENCYPART_ARC
(12,23),-1.25042 # DEPENDENCYPART_ARC
(12,24),-1.5164 # DEPENDENCYPART_ARC
(12,25),-2.07923 # DEPENDENCYPART_ARC
(12,26),-2.44151 # DEPENDENCYPART_ARC
(12,27),-2.38773 # DEPENDENCYPART_ARC
(12,28),-2.33479 # DEPENDENCYPART_ARC
(12,29),-2.37057 # DEPENDENCYPART_ARC
(12,30),-3.03369 # DEPENDENCYPART_ARC
(12,31),-7.24426 # DEPENDENCYPART_ARC
(12,32),-3.31615 # DEPENDENCYPART_ARC
(13,1),-1.49739 # DEPENDENCYPART_ARC
(13,2),-6.50226 # DEPENDENCYPART_ARC
(13,3),-5.73594 # DEPENDENCYPART_ARC
(13,4),-2.61235 # DEPENDENCYPART_ARC
(13,5),-6.42571 # DEPENDENCYPART_ARC
(13,6),-1.31868 # DEPENDENCYPART_ARC
(13,7),-2.27318 # DEPENDENCYPART_ARC
(13,8),-4.11315 # DEPENDENCYPART_ARC
(13,9),0.42827 # DEPENDENCYPART_ARC
(13,10),-4.27176 # DEPENDENCYPART_ARC
(13,11),-3.27496 # DEPENDENCYPART_ARC
(13,12),0.0566923 # DEPENDENCYPART_ARC
(13,14),-0.654644 # DEPENDENCYPART_ARC
(13,15),-2.72358 # DEPENDENCYPART_ARC
(13,16),-0.314036 # DEPENDENCYPART_ARC
(13,17),-0.392039 # DEPENDENCYPART_ARC
(13,18),-2.26245 # DEPENDENCYPART_ARC
(13,19),-1.64342 # DEPENDENCYPART_ARC
(13,20),-2.42605 # DEPENDENCYPART_ARC
(13,21),-2.69619 # DEPENDENCYPART_ARC
(13,22),1.35078 # DEPENDENCYPART_ARC
(13,23),-1.06528 # DEPENDENCYPART_ARC
(13,24),-2.66023 # DEPENDENCYPART_ARC
(13,25),-3.79622 # DEPENDENCYPART_ARC
(13,26),-3.8635 # DEPENDENCYPART_ARC
(13,27),-0.598733 # DEPENDENCYPART_ARC
(13,28),0.115975 # DEPENDENCYPART_ARC
(13,29),-4.68608 # DEPENDENCYPART_ARC
(13,30),-4.81923 # DEPENDENCYPART_ARC
(13,31),-6.80361 # DEPENDENCYPART_ARC
(13,32),-6.27245 # DEPENDENCYPART_ARC
(14,1),-2.7182 # DEPENDENCYPART_ARC
(14,2),-2.12623 # DEPENDENCYPART_ARC
(14,3),-0.171264 # DEPENDENCYPART_ARC
(14,4),-1.56768 # DEPENDENCYPART_ARC
(14,5),-1.10633 # DEPENDENCYPART_ARC
(14,6),-1.95428 # DEPENDENCYPART_ARC
(14,7),-1.19722 # DEPENDENCYPART_ARC
(14,8),0.106652 # DEPENDENCYPART_ARC
(14,9),-1.41487 # DEPENDENCYPART_ARC
(14,10),-1.46704 # DEPENDENCYPART_ARC
(14,11),-0.660915 # DEPENDENCYPART_ARC
(14,12),-1.80712 # DEPENDENCYPART_ARC
(14,13),-0.274855 # DEPENDENCYPART_ARC
(14,15),-0.599687 # DEPENDENCYPART_ARC
(14,16),-0.601261 # DEPENDENCYPART_ARC
(14,17),-1.4 # DEPENDENCYPART_ARC
(14,18),-1.53142 # DEPENDENCYPART_ARC
(14,19),-1.77355 # DEPENDENCYPART_ARC
(14,20),-1.25923 # DEPENDENCYPART_ARC
(14,21),-1.80638 # DEPENDENCYPART_ARC
(14,22),-0.633708 # DEPENDENCYPART_ARC
(14,23),-1.05938 # DEPENDENCYPART_ARC
(14,24),-1.3725 # DEPENDENCYPART_ARC
(14,25),-2.57877 # DEPENDENCYPART_ARC
(14,26),-2.61514 # DEPENDENCYPART_ARC
(14,27),-1.43731 # DEPENDENCYPART_ARC
(14,28),-1.309 # DEPENDENCYPART_ARC
(14,29),-3.12487 # DEPENDENCYPART_ARC
(14,30),-2.77623 # DEPENDENCYPART_ARC
(14,31),-3.10831 # DEPENDENCYPART_ARC
(14,32),-1.73903 # DEPENDENCYPART_ARC
(15,1),-1.55066 # DEPENDENCYPART_ARC
(15,2),-3.42639 # DEPENDENCYPART_ARC
(15,3),-2.63619 # DEPENDENCYPART_ARC
(15,4),-1.67815 # DEPENDENCYPART_ARC
(15,5),-4.06437 # DEPENDENCYPART_ARC
(15,6),-1.11513 # DEPENDENCYPART_ARC
(15,7),-4.21176 # DEPENDENCYPART_ARC
(15,8),-1.40145 # DEPENDENCYPART_ARC
(15,9),-0.748023 # DEPENDENCYPART_ARC
(15,10),0.0750671 # DEPENDENCYPART_ARC
(15,11),-1.61345 # DEPENDENCYPART_ARC
(15,12),-0.364395 # DEPENDENCYPART_ARC
(15,13),-3.11859 # DEPENDENCYPART_ARC
(15,14),0.152961 # DEPENDENCYPART_ARC
(15,16),0.411198 # DEPENDENCYPART_ARC
(15,17),0.478766 # DEPENDENCYPART_ARC
(15,18),-1.27936 # DEPENDENCYPART_ARC
(15,19),-0.317564 # DEPENDENCYPART_ARC
(15,20),0.83453 # DEPENDENCYPART_ARC
(15,21),-0.99028 # DEPENDENCYPART_ARC
(15,22),1.31057 # DEPENDENCYPART_ARC
(15,23),-0.330001 # DEPENDENCYPART_ARC
(15,24),-0.991624 # DEPENDENCYPART_ARC
(15,25),-1.78243 # DEPENDENCYPART_ARC
(15,26),-1.14088 # DEPENDENCYPART_ARC
(15,27),-0.0922301 # DEPENDENCYPART_ARC
(15,28),-0.0970966 # DEPENDENCYPART_ARC
(15,29),-2.18468 # DEPENDENCYPART_ARC
(15,30),-1.52248 # DEPENDENCYPART_ARC
(15,31),-2.34997 # DEPENDENCYPART_ARC
(15,32),-0.97839 # DEPENDENCYPART_ARC
(16,1),-2.78553 # DEPENDENCYPART_ARC
(16,2),-2.40277 # DEPENDENCYPART_ARC
(16,3),-0.541101 # DEPENDENCYPART_ARC
(16,4),-1.56172 # DEPENDENCYPART_ARC
(16,5),-1.68068 # DEPENDENCYPART_ARC
