# _root_ Pro tento školní rok není změněno nic , uvažuje se však o systému školného a půjček u vysokoškoláků , zazněly úvahy o podílu na placení středního odborného školství .
#goldHeads=5,4,4,1,11,5,5,11,19,9,0,9,12,15,13,15,15,17,11,19,20,21,22,23,24,28,28,25,0,
#predictedHeads=6,4,4,1,11,5,5,11,11,9,0,9,12,15,13,15,16,17,9,11,20,21,22,23,24,28,28,25,0,
(3,10),-3.3585 # DEPENDENCYPART_ARC
(3,11),-1.96389 # DEPENDENCYPART_ARC
(3,12),-3.35123 # DEPENDENCYPART_ARC
(3,13),-5.52249 # DEPENDENCYPART_ARC
(3,14),-5.3922 # DEPENDENCYPART_ARC
(3,15),-2.39165 # DEPENDENCYPART_ARC
(3,16),-5.64176 # DEPENDENCYPART_ARC
(3,17),-2.94983 # DEPENDENCYPART_ARC
(3,18),-6.44381 # DEPENDENCYPART_ARC
(3,19),-2.16478 # DEPENDENCYPART_ARC
(3,20),-5.15519 # DEPENDENCYPART_ARC
(3,21),-8.62858 # DEPENDENCYPART_ARC
(3,22),-4.59192 # DEPENDENCYPART_ARC
(3,23),-8.86182 # DEPENDENCYPART_ARC
(3,24),-4.17295 # DEPENDENCYPART_ARC
(3,25),-8.6893 # DEPENDENCYPART_ARC
(3,26),-6.95272 # DEPENDENCYPART_ARC
(3,27),-6.85017 # DEPENDENCYPART_ARC
(3,28),-9.01346 # DEPENDENCYPART_ARC
(3,29),-6.02075 # DEPENDENCYPART_ARC
(4,1),0.507266 # DEPENDENCYPART_ARC
(4,2),5.31377 # DEPENDENCYPART_ARC
(4,3),5.57716 # DEPENDENCYPART_ARC
(4,5),-1.87172 # DEPENDENCYPART_ARC
(4,6),-1.75161 # DEPENDENCYPART_ARC
(4,7),-2.5383 # DEPENDENCYPART_ARC
(4,8),-1.75656 # DEPENDENCYPART_ARC
(4,9),-4.1705 # DEPENDENCYPART_ARC
(4,10),-2.46649 # DEPENDENCYPART_ARC
(4,11),-2.34385 # DEPENDENCYPART_ARC
(4,12),-2.53681 # DEPENDENCYPART_ARC
(4,13),-4.99725 # DEPENDENCYPART_ARC
(4,14),-3.80946 # DEPENDENCYPART_ARC
(4,15),-1.46955 # DEPENDENCYPART_ARC
(4,16),-4.25364 # DEPENDENCYPART_ARC
(4,17),-2.93555 # DEPENDENCYPART_ARC
(4,18),-6.01714 # DEPENDENCYPART_ARC
(4,19),-2.04963 # DEPENDENCYPART_ARC
(4,20),-6.49224 # DEPENDENCYPART_ARC
(4,21),-8.8543 # DEPENDENCYPART_ARC
(4,22),-3.88284 # DEPENDENCYPART_ARC
(4,23),-7.63866 # DEPENDENCYPART_ARC
(4,24),-4.31663 # DEPENDENCYPART_ARC
(4,25),-8.26899 # DEPENDENCYPART_ARC
(4,26),-5.75919 # DEPENDENCYPART_ARC
(4,27),-6.46094 # DEPENDENCYPART_ARC
(4,28),-7.51179 # DEPENDENCYPART_ARC
(4,29),-10.1101 # DEPENDENCYPART_ARC
(5,1),1.8502 # DEPENDENCYPART_ARC
(5,2),-0.906699 # DEPENDENCYPART_ARC
(5,3),-1.9745 # DEPENDENCYPART_ARC
(5,4),1.19796 # DEPENDENCYPART_ARC
(5,6),3.2481 # DEPENDENCYPART_ARC
(5,7),1.92629 # DEPENDENCYPART_ARC
(5,8),0.860277 # DEPENDENCYPART_ARC
(5,9),-1.79346 # DEPENDENCYPART_ARC
(5,10),-0.00124021 # DEPENDENCYPART_ARC
(5,11),-0.0563903 # DEPENDENCYPART_ARC
(5,12),-1.62944 # DEPENDENCYPART_ARC
(5,13),-2.9753 # DEPENDENCYPART_ARC
(5,14),-2.95211 # DEPENDENCYPART_ARC
(5,15),-0.766952 # DEPENDENCYPART_ARC
(5,16),-3.75938 # DEPENDENCYPART_ARC
(5,17),-0.997775 # DEPENDENCYPART_ARC
(5,18),-5.01753 # DEPENDENCYPART_ARC
(5,19),-0.0714393 # DEPENDENCYPART_ARC
(5,20),-4.11439 # DEPENDENCYPART_ARC
(5,21),-3.55288 # DEPENDENCYPART_ARC
(5,22),-3.42959 # DEPENDENCYPART_ARC
(5,23),-5.12599 # DEPENDENCYPART_ARC
(5,24),-2.84257 # DEPENDENCYPART_ARC
(5,25),-5.75538 # DEPENDENCYPART_ARC
(5,26),-4.03331 # DEPENDENCYPART_ARC
(5,27),-5.12638 # DEPENDENCYPART_ARC
(5,28),-5.52479 # DEPENDENCYPART_ARC
(5,29),-1.83643 # DEPENDENCYPART_ARC
(6,1),2.44466 # DEPENDENCYPART_ARC
(6,2),-1.8297 # DEPENDENCYPART_ARC
(6,3),-3.52638 # DEPENDENCYPART_ARC
(6,4),-0.8293 # DEPENDENCYPART_ARC
(6,5),1.42334 # DEPENDENCYPART_ARC
(6,7),1.61227 # DEPENDENCYPART_ARC
(6,8),0.544857 # DEPENDENCYPART_ARC
(6,9),-2.16956 # DEPENDENCYPART_ARC
(6,11),-0.158053 # DEPENDENCYPART_ARC
(6,12),-1.22246 # DEPENDENCYPART_ARC
(6,13),-2.35377 # DEPENDENCYPART_ARC
(6,14),-2.46626 # DEPENDENCYPART_ARC
(6,15),-0.287681 # DEPENDENCYPART_ARC
(6,16),-4.43274 # DEPENDENCYPART_ARC
(6,17),-1.00979 # DEPENDENCYPART_ARC
(6,18),-5.94678 # DEPENDENCYPART_ARC
(6,19),-0.124861 # DEPENDENCYPART_ARC
(6,20),-4.83851 # DEPENDENCYPART_ARC
(6,21),-4.3905 # DEPENDENCYPART_ARC
(6,22),-2.69466 # DEPENDENCYPART_ARC
(6,23),-4.52934 # DEPENDENCYPART_ARC
(6,24),-2.37811 # DEPENDENCYPART_ARC
(6,25),-4.79848 # DEPENDENCYPART_ARC
(6,26),-5.29045 # DEPENDENCYPART_ARC
(6,27),-5.95805 # DEPENDENCYPART_ARC
(6,28),-4.73284 # DEPENDENCYPART_ARC
(6,29),-2.00044 # DEPENDENCYPART_ARC
(7,1),-0.223882 # DEPENDENCYPART_ARC
(7,2),-1.25965 # DEPENDENCYPART_ARC
(7,3),-0.184644 # DEPENDENCYPART_ARC
(7,5),-0.972078 # DEPENDENCYPART_ARC
(7,8),0.16725 # DEPENDENCYPART_ARC
(7,9),0.525138 # DEPENDENCYPART_ARC
(7,11),0.393629 # DEPENDENCYPART_ARC
(7,12),0.165759 # DEPENDENCYPART_ARC
(7,15),0.15517 # DEPENDENCYPART_ARC
(7,17),-0.418742 # DEPENDENCYPART_ARC
(7,19),-0.576751 # DEPENDENCYPART_ARC
(7,20),-2.53078 # DEPENDENCYPART_ARC
(7,22),-0.881584 # DEPENDENCYPART_ARC
(7,24),-1.01058 # DEPENDENCYPART_ARC
(7,26),-1.28578 # DEPENDENCYPART_ARC
(7,27),-1.50487 # DEPENDENCYPART_ARC
(7,29),-1.99563 # DEPENDENCYPART_ARC
(8,1),-0.127051 # DEPENDENCYPART_ARC
(8,2),0.412352 # DEPENDENCYPART_ARC
(8,3),-0.70473 # DEPENDENCYPART_ARC
(8,4),0.00137079 # DEPENDENCYPART_ARC
(8,5),1.09296 # DEPENDENCYPART_ARC
(8,6),0.810675 # DEPENDENCYPART_ARC
(8,7),1.11974 # DEPENDENCYPART_ARC
(8,9),0.481986 # DEPENDENCYPART_ARC
(8,10),-0.780527 # DEPENDENCYPART_ARC
(8,11),-0.566086 # DEPENDENCYPART_ARC
(8,12),-1.01056 # DEPENDENCYPART_ARC
(8,13),-1.79681 # DEPENDENCYPART_ARC
(8,14),-1.87012 # DEPENDENCYPART_ARC
(8,15),-0.959263 # DEPENDENCYPART_ARC
(8,16),-2.61969 # DEPENDENCYPART_ARC
(8,17),-1.73854 # DEPENDENCYPART_ARC
(8,18),-2.92167 # DEPENDENCYPART_ARC
(8,19),-0.547586 # DEPENDENCYPART_ARC
(8,20),-1.89451 # DEPENDENCYPART_ARC
(8,21),-4.05757 # DEPENDENCYPART_ARC
(8,22),-2.67952 # DEPENDENCYPART_ARC
(8,23),-4.52216 # DEPENDENCYPART_ARC
(8,24),-3.15278 # DEPENDENCYPART_ARC
(8,25),-4.96073 # DEPENDENCYPART_ARC
(8,26),-3.22584 # DEPENDENCYPART_ARC
(8,27),-2.87166 # DEPENDENCYPART_ARC
(8,28),-5.187 # DEPENDENCYPART_ARC
(8,29),-2.11243 # DEPENDENCYPART_ARC
(9,1),1.59749 # DEPENDENCYPART_ARC
(9,2),-1.93995 # DEPENDENCYPART_ARC
(9,3),-2.36732 # DEPENDENCYPART_ARC
(9,4),-0.441224 # DEPENDENCYPART_ARC
(9,5),-0.216268 # DEPENDENCYPART_ARC
(9,6),0.5666 # DEPENDENCYPART_ARC
(9,7),1.52997 # DEPENDENCYPART_ARC
(9,8),1.18144 # DEPENDENCYPART_ARC
(9,10),3.38416 # DEPENDENCYPART_ARC
(9,11),1.0265 # DEPENDENCYPART_ARC
(9,12),1.26389 # DEPENDENCYPART_ARC
(9,13),-0.691823 # DEPENDENCYPART_ARC
(9,14),-0.703149 # DEPENDENCYPART_ARC
(9,15),0.699379 # DEPENDENCYPART_ARC
(9,16),-1.95744 # DEPENDENCYPART_ARC
(9,17),0.537176 # DEPENDENCYPART_ARC
(9,18),-3.38484 # DEPENDENCYPART_ARC
(9,19),0.952313 # DEPENDENCYPART_ARC
(9,20),-2.95949 # DEPENDENCYPART_ARC
(9,21),-0.895853 # DEPENDENCYPART_ARC
(9,22),-0.765976 # DEPENDENCYPART_ARC
(9,23),-3.05092 # DEPENDENCYPART_ARC
(9,24),-0.373783 # DEPENDENCYPART_ARC
(9,25),-3.88632 # DEPENDENCYPART_ARC
(9,26),-4.67925 # DEPENDENCYPART_ARC
(9,27),-5.80143 # DEPENDENCYPART_ARC
(9,28),-3.39663 # DEPENDENCYPART_ARC
(9,29),-0.393544 # DEPENDENCYPART_ARC
(11,1),-1.28352 # DEPENDENCYPART_ARC
(11,2),-2.01129 # DEPENDENCYPART_ARC
(11,3),-2.39107 # DEPENDENCYPART_ARC
(11,4),-1.449 # DEPENDENCYPART_ARC
(11,5),1.43433 # DEPENDENCYPART_ARC
(11,6),0.866423 # DEPENDENCYPART_ARC
(11,7),-1.43621 # DEPENDENCYPART_ARC
(11,8),1.50656 # DEPENDENCYPART_ARC
(11,9),1.54807 # DEPENDENCYPART_ARC
(11,10),-0.356554 # DEPENDENCYPART_ARC
(11,12),0.218173 # DEPENDENCYPART_ARC
(11,13),-1.03234 # DEPENDENCYPART_ARC
(11,14),-1.20583 # DEPENDENCYPART_ARC
(11,15),0.482747 # DEPENDENCYPART_ARC
(11,16),-1.99427 # DEPENDENCYPART_ARC
(11,17),-0.705719 # DEPENDENCYPART_ARC
(11,18),-3.11179 # DEPENDENCYPART_ARC
(11,19),0.245559 # DEPENDENCYPART_ARC
(11,20),0.501122 # DEPENDENCYPART_ARC
(11,21),-3.73554 # DEPENDENCYPART_ARC
(11,22),-1.89486 # DEPENDENCYPART_ARC
(11,23),-4.15575 # DEPENDENCYPART_ARC
(11,24),-1.88334 # DEPENDENCYPART_ARC
(11,25),-4.56663 # DEPENDENCYPART_ARC
(11,26),-3.03716 # DEPENDENCYPART_ARC
(11,27),-3.19873 # DEPENDENCYPART_ARC
(11,28),-5.12069 # DEPENDENCYPART_ARC
(11,29),-1.42688 # DEPENDENCYPART_ARC
(12,1),-3.55263 # DEPENDENCYPART_ARC
(12,2),-2.16583 # DEPENDENCYPART_ARC
(12,3),-3.1814 # DEPENDENCYPART_ARC
(12,4),-3.61822 # DEPENDENCYPART_ARC
(12,5),-3.0107 # DEPENDENCYPART_ARC
(12,7),-2.02812 # DEPENDENCYPART_ARC
(12,8),-0.56973 # DEPENDENCYPART_ARC
(12,9),-2.3651 # DEPENDENCYPART_ARC
(12,11),-0.516467 # DEPENDENCYPART_ARC
(12,13),3.74907 # DEPENDENCYPART_ARC
(12,14),-1.40378 # DEPENDENCYPART_ARC
(12,15),1.85287 # DEPENDENCYPART_ARC
(12,16),-3.95021 # DEPENDENCYPART_ARC
(12,17),-1.82681 # DEPENDENCYPART_ARC
(12,18),-5.4603 # DEPENDENCYPART_ARC
(12,19),-0.344258 # DEPENDENCYPART_ARC
(12,20),-2.927 # DEPENDENCYPART_ARC
(12,21),-7.93461 # DEPENDENCYPART_ARC
(12,22),-2.62071 # DEPENDENCYPART_ARC
(12,23),-5.12531 # DEPENDENCYPART_ARC
(12,24),-3.04925 # DEPENDENCYPART_ARC
(12,25),-6.42584 # DEPENDENCYPART_ARC
(12,26),-4.49837 # DEPENDENCYPART_ARC
(12,27),-4.52198 # DEPENDENCYPART_ARC
(12,28),-10.8268 # DEPENDENCYPART_ARC
(12,29),-2.96491 # DEPENDENCYPART_ARC
(13,1),-1.21331 # DEPENDENCYPART_ARC
(13,2),-1.72099 # DEPENDENCYPART_ARC
(13,3),-3.78785 # DEPENDENCYPART_ARC
(13,4),-5.58184 # DEPENDENCYPART_ARC
(13,5),-3.60911 # DEPENDENCYPART_ARC
(13,6),-2.84316 # DEPENDENCYPART_ARC
(13,7),-3.80775 # DEPENDENCYPART_ARC
(13,8),-1.29942 # DEPENDENCYPART_ARC
(13,9),-2.18879 # DEPENDENCYPART_ARC
(13,10),-3.17643 # DEPENDENCYPART_ARC
(13,11),0.114576 # DEPENDENCYPART_ARC
(13,12),1.10242 # DEPENDENCYPART_ARC
(13,14),3.35563 # DEPENDENCYPART_ARC
(13,15),2.0151 # DEPENDENCYPART_ARC
(13,16),0.157558 # DEPENDENCYPART_ARC
(13,17),1.09612 # DEPENDENCYPART_ARC
(13,18),-1.30537 # DEPENDENCYPART_ARC
(13,19),-0.494141 # DEPENDENCYPART_ARC
(13,20),-1.6031 # DEPENDENCYPART_ARC
(13,21),-4.29583 # DEPENDENCYPART_ARC
(13,22),-0.0236009 # DEPENDENCYPART_ARC
(13,23),-3.4422 # DEPENDENCYPART_ARC
(13,24),-0.404978 # DEPENDENCYPART_ARC
(13,25),-3.87574 # DEPENDENCYPART_ARC
(13,26),-2.60537 # DEPENDENCYPART_ARC
(13,27),-3.11258 # DEPENDENCYPART_ARC
(13,28),-2.97166 # DEPENDENCYPART_ARC
(13,29),-6.9333 # DEPENDENCYPART_ARC
(14,1),-2.5722 # DEPENDENCYPART_ARC
(14,2),-4.32225 # DEPENDENCYPART_ARC
(14,3),-6.77942 # DEPENDENCYPART_ARC
(14,4),-7.34263 # DEPENDENCYPART_ARC
(14,5),-4.5649 # DEPENDENCYPART_ARC
(14,6),-2.56945 # DEPENDENCYPART_ARC
(14,7),-4.65981 # DEPENDENCYPART_ARC
(14,8),-2.62687 # DEPENDENCYPART_ARC
(14,9),-3.228 # DEPENDENCYPART_ARC
(14,10),-4.44313 # DEPENDENCYPART_ARC
(14,11),-1.67006 # DEPENDENCYPART_ARC
(14,12),-1.79916 # DEPENDENCYPART_ARC
(14,13),-1.42658 # DEPENDENCYPART_ARC
(14,15),-0.408819 # DEPENDENCYPART_ARC
(14,16),0.535466 # DEPENDENCYPART_ARC
(14,17),-0.453079 # DEPENDENCYPART_ARC
(14,18),-2.11984 # DEPENDENCYPART_ARC
(14,19),-1.89822 # DEPENDENCYPART_ARC
(14,20),-3.42003 # DEPENDENCYPART_ARC
(14,21),-4.78098 # DEPENDENCYPART_ARC
(14,22),-1.28348 # DEPENDENCYPART_ARC
(14,23),-4.97988 # DEPENDENCYPART_ARC
(14,24),-1.66696 # DEPENDENCYPART_ARC
(14,25),-5.55159 # DEPENDENCYPART_ARC
(14,26),-1.87054 # DEPENDENCYPART_ARC
(14,27),-2.3633 # DEPENDENCYPART_ARC
(14,28),-3.29194 # DEPENDENCYPART_ARC
(14,29),-7.72577 # DEPENDENCYPART_ARC
(15,1),-0.963171 # DEPENDENCYPART_ARC
(15,2),-0.463197 # DEPENDENCYPART_ARC
(15,3),-0.795276 # DEPENDENCYPART_ARC
(15,4),-1.4609 # DEPENDENCYPART_ARC
(15,5),-0.524576 # DEPENDENCYPART_ARC
(15,6),0.00380489 # DEPENDENCYPART_ARC
(15,7),-0.281288 # DEPENDENCYPART_ARC
(15,8),0.268354 # DEPENDENCYPART_ARC
(15,9),0.621598 # DEPENDENCYPART_ARC
(15,10),0.362857 # DEPENDENCYPART_ARC
(15,11),-0.0124749 # DEPENDENCYPART_ARC
(15,12),-0.126277 # DEPENDENCYPART_ARC
(15,13),2.01534 # DEPENDENCYPART_ARC
(15,14),4.13731 # DEPENDENCYPART_ARC
(15,16),3.27627 # DEPENDENCYPART_ARC
(15,17),1.20494 # DEPENDENCYPART_ARC
(15,18),0.744465 # DEPENDENCYPART_ARC
(15,19),0.146289 # DEPENDENCYPART_ARC
(15,20),0.42101 # DEPENDENCYPART_ARC
(15,21),-1.00682 # DEPENDENCYPART_ARC
(15,22),-0.662952 # DEPENDENCYPART_ARC
(15,23),-1.58627 # DEPENDENCYPART_ARC
(15,24),-0.549214 # DEPENDENCYPART_ARC
(15,25),-2.18181 # DEPENDENCYPART_ARC
(15,26),-1.8033 # DEPENDENCYPART_ARC
(15,27),-2.11043 # DEPENDENCYPART_ARC
(15,28),-2.16549 # DEPENDENCYPART_ARC
(15,29),-1.79811 # DEPENDENCYPART_ARC
(16,1),-3.78631 # DEPENDENCYPART_ARC
(16,2),-6.14041 # DEPENDENCYPART_ARC
(16,3),-9.22257 # DEPENDENCYPART_ARC
(16,4),-8.61732 # DEPENDENCYPART_ARC
(16,5),-5.27787 # DEPENDENCYPART_ARC
(16,6),-4.62844 # DEPENDENCYPART_ARC
(16,7),-6.0728 # DEPENDENCYPART_ARC
(16,8),-2.83227 # DEPENDENCYPART_ARC
(16,9),-4.12274 # DEPENDENCYPART_ARC
(16,10),-6.05118 # DEPENDENCYPART_ARC
(16,11),-2.40052 # DEPENDENCYPART_ARC
(16,12),-3.26271 # DEPENDENCYPART_ARC
(16,13),-4.42994 # DEPENDENCYPART_ARC
(16,14),-3.7625 # DEPENDENCYPART_ARC
(16,15),-0.767258 # DEPENDENCYPART_ARC
(16,17),1.39237 # DEPENDENCYPART_ARC
(16,18),0.219153 # DEPENDENCYPART_ARC
(16,19),-0.57879 # DEPENDENCYPART_ARC
(16,20),-0.692395 # DEPENDENCYPART_ARC
(16,21),-3.70102 # DEPENDENCYPART_ARC
(16,22),-0.155113 # DEPENDENCYPART_ARC
(16,23),-3.87618 # DEPENDENCYPART_ARC
(16,24),-0.682564 # DEPENDENCYPART_ARC
(16,25),-4.37557 # DEPENDENCYPART_ARC
(16,26),-2.89913 # DEPENDENCYPART_ARC
(16,27),-3.57669 # DEPENDENCYPART_ARC
(16,28),-2.56187 # DEPENDENCYPART_ARC
(16,29),-5.6078 # DEPENDENCYPART_ARC
(17,1),-3.61558 # DEPENDENCYPART_ARC
(17,2),-2.39006 # DEPENDENCYPART_ARC
(17,3),-3.13486 # DEPENDENCYPART_ARC
(17,4),-3.26459 # DEPENDENCYPART_ARC
(17,5),-3.12414 # DEPENDENCYPART_ARC
(17,7),-2.55357 # DEPENDENCYPART_ARC
(17,8),-1.19293 # DEPENDENCYPART_ARC
(17,9),-2.91849 # DEPENDENCYPART_ARC
(17,11),-1.85315 # DEPENDENCYPART_ARC
(17,12),-2.30742 # DEPENDENCYPART_ARC
(17,13),-0.704686 # DEPENDENCYPART_ARC
(17,14),-2.10863 # DEPENDENCYPART_ARC
(17,15),-0.915626 # DEPENDENCYPART_ARC
(17,16),-1.66602 # DEPENDENCYPART_ARC
(17,18),3.43639 # DEPENDENCYPART_ARC
(17,19),-0.0166658 # DEPENDENCYPART_ARC
(17,20),-1.64814 # DEPENDENCYPART_ARC
(17,21),-3.61446 # DEPENDENCYPART_ARC
(17,22),-1.65821 # DEPENDENCYPART_ARC
(17,23),-2.46049 # DEPENDENCYPART_ARC
(17,24),-2.10073 # DEPENDENCYPART_ARC
(17,25),-3.93753 # DEPENDENCYPART_ARC
(17,26),-1.42863 # DEPENDENCYPART_ARC
(17,27),-1.51169 # DEPENDENCYPART_ARC
(17,28),-4.48735 # DEPENDENCYPART_ARC
(17,29),-2.24375 # DEPENDENCYPART_ARC
(18,1),-2.54144 # DEPENDENCYPART_ARC
(18,2),-5.18304 # DEPENDENCYPART_ARC
(18,3),-8.33171 # DEPENDENCYPART_ARC
(18,4),-8.66753 # DEPENDENCYPART_ARC
(18,5),-4.2922 # DEPENDENCYPART_ARC
(18,6),-2.97137 # DEPENDENCYPART_ARC
(18,7),-5.04456 # DEPENDENCYPART_ARC
(18,8),-1.94713 # DEPENDENCYPART_ARC
(18,9),-2.83296 # DEPENDENCYPART_ARC
(18,10),-5.41785 # DEPENDENCYPART_ARC
(18,11),-1.86477 # DEPENDENCYPART_ARC
(18,12),-1.68233 # DEPENDENCYPART_ARC
(18,13),-4.89727 # DEPENDENCYPART_ARC
(18,14),-3.76415 # DEPENDENCYPART_ARC
(18,15),-0.928864 # DEPENDENCYPART_ARC
(18,16),-3.84204 # DEPENDENCYPART_ARC
(18,17),-0.102879 # DEPENDENCYPART_ARC
(18,19),-0.751495 # DEPENDENCYPART_ARC
(18,20),-0.864164 # DEPENDENCYPART_ARC
(18,21),-3.75425 # DEPENDENCYPART_ARC
(18,22),-1.05226 # DEPENDENCYPART_ARC
(18,23),-3.42429 # DEPENDENCYPART_ARC
(18,24),-1.61737 # DEPENDENCYPART_ARC
(18,25),-4.31362 # DEPENDENCYPART_ARC
(18,26),-2.72871 # DEPENDENCYPART_ARC
(18,27),-3.30474 # DEPENDENCYPART_ARC
(18,28),-1.90146 # DEPENDENCYPART_ARC
(18,29),-5.20598 # DEPENDENCYPART_ARC
(19,1),-1.67603 # DEPENDENCYPART_ARC
(19,2),-1.08472 # DEPENDENCYPART_ARC
(19,3),-2.4425 # DEPENDENCYPART_ARC
(19,4),-1.34824 # DEPENDENCYPART_ARC
(19,5),0.24474 # DEPENDENCYPART_ARC
(19,6),0.200967 # DEPENDENCYPART_ARC
(19,7),-1.02215 # DEPENDENCYPART_ARC
(19,8),-0.144972 # DEPENDENCYPART_ARC
(19,9),0.655921 # DEPENDENCYPART_ARC
(19,10),-1.38778 # DEPENDENCYPART_ARC
(19,11),-0.113243 # DEPENDENCYPART_ARC
(19,12),-0.423094 # DEPENDENCYPART_ARC
(19,13),1.06343 # DEPENDENCYPART_ARC
(19,14),0.0705603 # DEPENDENCYPART_ARC
(19,15),-0.381129 # DEPENDENCYPART_ARC
(19,16),0.23896 # DEPENDENCYPART_ARC
(19,17),-0.15643 # DEPENDENCYPART_ARC
(19,18),0.509673 # DEPENDENCYPART_ARC
(19,20),0.0669121 # DEPENDENCYPART_ARC
(19,21),-0.969848 # DEPENDENCYPART_ARC
(19,22),-0.55809 # DEPENDENCYPART_ARC
(19,23),-1.7721 # DEPENDENCYPART_ARC
