# _root_ Obávám se , že Ivanu Hlinkovi a Stanislavu Neveselému zbyla už právě jen ta slepá víra v boží zázrak , který se nepochybně sám od sebe nedostaví .
#goldHeads=0,1,4,1,6,7,10,9,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,19,0,
#predictedHeads=0,1,4,1,6,7,4,7,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,27,27,25,19,0,
(6,16),-4.92075 # DEPENDENCYPART_ARC
(6,17),-4.53353 # DEPENDENCYPART_ARC
(6,18),-5.09011 # DEPENDENCYPART_ARC
(6,19),-7.16071 # DEPENDENCYPART_ARC
(6,20),-2.19315 # DEPENDENCYPART_ARC
(6,21),-4.95782 # DEPENDENCYPART_ARC
(6,22),-5.23181 # DEPENDENCYPART_ARC
(6,23),-3.95565 # DEPENDENCYPART_ARC
(6,24),-2.90934 # DEPENDENCYPART_ARC
(6,25),-4.07538 # DEPENDENCYPART_ARC
(6,26),-2.99172 # DEPENDENCYPART_ARC
(6,27),-3.83885 # DEPENDENCYPART_ARC
(6,28),-7.46637 # DEPENDENCYPART_ARC
(7,1),0.110476 # DEPENDENCYPART_ARC
(7,2),-0.202732 # DEPENDENCYPART_ARC
(7,3),0.707827 # DEPENDENCYPART_ARC
(7,4),0.226515 # DEPENDENCYPART_ARC
(7,5),1.62109 # DEPENDENCYPART_ARC
(7,6),4.08647 # DEPENDENCYPART_ARC
(7,8),3.47875 # DEPENDENCYPART_ARC
(7,9),0.615092 # DEPENDENCYPART_ARC
(7,10),1.05498 # DEPENDENCYPART_ARC
(7,11),-0.167243 # DEPENDENCYPART_ARC
(7,12),-0.378551 # DEPENDENCYPART_ARC
(7,13),-0.352371 # DEPENDENCYPART_ARC
(7,14),-0.746917 # DEPENDENCYPART_ARC
(7,15),-1.17013 # DEPENDENCYPART_ARC
(7,16),-0.576862 # DEPENDENCYPART_ARC
(7,17),-0.542874 # DEPENDENCYPART_ARC
(7,18),-2.00111 # DEPENDENCYPART_ARC
(7,19),-0.904857 # DEPENDENCYPART_ARC
(7,20),-0.502132 # DEPENDENCYPART_ARC
(7,21),-1.66758 # DEPENDENCYPART_ARC
(7,22),-1.96346 # DEPENDENCYPART_ARC
(7,23),-1.10026 # DEPENDENCYPART_ARC
(7,24),-2.03195 # DEPENDENCYPART_ARC
(7,25),-2.02121 # DEPENDENCYPART_ARC
(7,26),-2.23778 # DEPENDENCYPART_ARC
(7,27),0.0232591 # DEPENDENCYPART_ARC
(7,28),-1.90043 # DEPENDENCYPART_ARC
(8,1),-5.28598 # DEPENDENCYPART_ARC
(8,2),-7.27678 # DEPENDENCYPART_ARC
(8,3),-1.45219 # DEPENDENCYPART_ARC
(8,4),-3.26292 # DEPENDENCYPART_ARC
(8,5),0.643305 # DEPENDENCYPART_ARC
(8,6),-2.38543 # DEPENDENCYPART_ARC
(8,7),-0.373056 # DEPENDENCYPART_ARC
(8,9),0.186737 # DEPENDENCYPART_ARC
(8,10),-2.87481 # DEPENDENCYPART_ARC
(8,11),-0.582403 # DEPENDENCYPART_ARC
(8,12),-0.68619 # DEPENDENCYPART_ARC
(8,13),-0.685483 # DEPENDENCYPART_ARC
(8,14),-1.92814 # DEPENDENCYPART_ARC
(8,15),-4.72497 # DEPENDENCYPART_ARC
(8,16),-3.84886 # DEPENDENCYPART_ARC
(8,17),-2.48997 # DEPENDENCYPART_ARC
(8,18),-4.38567 # DEPENDENCYPART_ARC
(8,19),-6.31395 # DEPENDENCYPART_ARC
(8,20),-0.909831 # DEPENDENCYPART_ARC
(8,21),-3.56875 # DEPENDENCYPART_ARC
(8,22),-3.62735 # DEPENDENCYPART_ARC
(8,23),-2.96931 # DEPENDENCYPART_ARC
(8,24),-1.55495 # DEPENDENCYPART_ARC
(8,25),-3.24454 # DEPENDENCYPART_ARC
(8,26),-1.08873 # DEPENDENCYPART_ARC
(8,27),-2.75877 # DEPENDENCYPART_ARC
(8,28),-5.0009 # DEPENDENCYPART_ARC
(9,1),-3.89712 # DEPENDENCYPART_ARC
(9,2),-1.50086 # DEPENDENCYPART_ARC
(9,3),-0.552687 # DEPENDENCYPART_ARC
(9,4),-0.605945 # DEPENDENCYPART_ARC
(9,5),1.52251 # DEPENDENCYPART_ARC
(9,6),-0.573601 # DEPENDENCYPART_ARC
(9,7),0.725716 # DEPENDENCYPART_ARC
(9,8),2.46304 # DEPENDENCYPART_ARC
(9,10),-1.38286 # DEPENDENCYPART_ARC
(9,11),-0.123516 # DEPENDENCYPART_ARC
(9,12),-0.188122 # DEPENDENCYPART_ARC
(9,13),-0.82791 # DEPENDENCYPART_ARC
(9,14),-2.87702 # DEPENDENCYPART_ARC
(9,15),-3.96589 # DEPENDENCYPART_ARC
(9,16),-2.72262 # DEPENDENCYPART_ARC
(9,17),-0.489502 # DEPENDENCYPART_ARC
(9,18),-3.66019 # DEPENDENCYPART_ARC
(9,19),-3.02731 # DEPENDENCYPART_ARC
(9,20),-0.850336 # DEPENDENCYPART_ARC
(9,22),-2.79894 # DEPENDENCYPART_ARC
(9,23),-1.40706 # DEPENDENCYPART_ARC
(9,24),-3.37335 # DEPENDENCYPART_ARC
(9,25),-1.89457 # DEPENDENCYPART_ARC
(9,26),-2.90138 # DEPENDENCYPART_ARC
(9,27),-3.68445 # DEPENDENCYPART_ARC
(9,28),-2.48895 # DEPENDENCYPART_ARC
(10,1),-0.478859 # DEPENDENCYPART_ARC
(10,2),0.499687 # DEPENDENCYPART_ARC
(10,3),0.0537701 # DEPENDENCYPART_ARC
(10,4),-0.533556 # DEPENDENCYPART_ARC
(10,5),0.396147 # DEPENDENCYPART_ARC
(10,6),-0.607083 # DEPENDENCYPART_ARC
(10,7),0.918957 # DEPENDENCYPART_ARC
(10,8),1.39525 # DEPENDENCYPART_ARC
(10,9),0.374871 # DEPENDENCYPART_ARC
(10,11),1.45274 # DEPENDENCYPART_ARC
(10,12),1.09942 # DEPENDENCYPART_ARC
(10,13),0.326211 # DEPENDENCYPART_ARC
(10,14),0.25321 # DEPENDENCYPART_ARC
(10,15),-0.01306 # DEPENDENCYPART_ARC
(10,16),2.16697 # DEPENDENCYPART_ARC
(10,17),1.09837 # DEPENDENCYPART_ARC
(10,18),-2.84385 # DEPENDENCYPART_ARC
(10,19),1.79012 # DEPENDENCYPART_ARC
(10,20),0.212753 # DEPENDENCYPART_ARC
(10,21),-1.86881 # DEPENDENCYPART_ARC
(10,22),-0.730413 # DEPENDENCYPART_ARC
(10,23),-0.523749 # DEPENDENCYPART_ARC
(10,24),-2.03564 # DEPENDENCYPART_ARC
(10,25),-0.13706 # DEPENDENCYPART_ARC
(10,26),-4.22019 # DEPENDENCYPART_ARC
(10,27),-1.27256 # DEPENDENCYPART_ARC
(10,28),-0.496598 # DEPENDENCYPART_ARC
(11,1),-2.78368 # DEPENDENCYPART_ARC
(11,3),-2.26653 # DEPENDENCYPART_ARC
(11,4),-2.17045 # DEPENDENCYPART_ARC
(11,5),-2.45483 # DEPENDENCYPART_ARC
(11,6),-2.41148 # DEPENDENCYPART_ARC
(11,7),-1.66788 # DEPENDENCYPART_ARC
(11,8),-1.68861 # DEPENDENCYPART_ARC
(11,9),-1.31737 # DEPENDENCYPART_ARC
(11,10),-1.35222 # DEPENDENCYPART_ARC
(11,12),-0.59402 # DEPENDENCYPART_ARC
(11,13),-0.891372 # DEPENDENCYPART_ARC
(11,14),-1.86808 # DEPENDENCYPART_ARC
(11,15),-1.68567 # DEPENDENCYPART_ARC
(11,16),-1.97261 # DEPENDENCYPART_ARC
(11,17),-1.96764 # DEPENDENCYPART_ARC
(11,18),-2.29358 # DEPENDENCYPART_ARC
(11,19),-2.9947 # DEPENDENCYPART_ARC
(11,20),-1.7197 # DEPENDENCYPART_ARC
(11,21),-2.70451 # DEPENDENCYPART_ARC
(11,23),-2.22263 # DEPENDENCYPART_ARC
(11,24),-2.9673 # DEPENDENCYPART_ARC
(11,25),-2.59544 # DEPENDENCYPART_ARC
(11,27),-2.45396 # DEPENDENCYPART_ARC
(11,28),-2.90058 # DEPENDENCYPART_ARC
(12,1),-2.53117 # DEPENDENCYPART_ARC
(12,3),-1.92448 # DEPENDENCYPART_ARC
(12,4),-1.90472 # DEPENDENCYPART_ARC
(12,5),-2.27358 # DEPENDENCYPART_ARC
(12,6),-2.15201 # DEPENDENCYPART_ARC
(12,7),-1.49474 # DEPENDENCYPART_ARC
(12,8),-1.64238 # DEPENDENCYPART_ARC
(12,9),-1.30555 # DEPENDENCYPART_ARC
(12,10),-1.32144 # DEPENDENCYPART_ARC
(12,11),0.719945 # DEPENDENCYPART_ARC
(12,13),0.550173 # DEPENDENCYPART_ARC
(12,14),-0.734582 # DEPENDENCYPART_ARC
(12,15),-0.860451 # DEPENDENCYPART_ARC
(12,16),-1.19251 # DEPENDENCYPART_ARC
(12,17),-1.13306 # DEPENDENCYPART_ARC
(12,18),-1.498 # DEPENDENCYPART_ARC
(12,19),-2.31954 # DEPENDENCYPART_ARC
(12,20),-0.865804 # DEPENDENCYPART_ARC
(12,21),-1.91219 # DEPENDENCYPART_ARC
(12,23),-1.6351 # DEPENDENCYPART_ARC
(12,24),-2.15856 # DEPENDENCYPART_ARC
(12,25),-1.7505 # DEPENDENCYPART_ARC
(12,27),-1.59792 # DEPENDENCYPART_ARC
(12,28),-2.0883 # DEPENDENCYPART_ARC
(13,1),-2.50196 # DEPENDENCYPART_ARC
(13,3),-2.2051 # DEPENDENCYPART_ARC
(13,4),-1.62535 # DEPENDENCYPART_ARC
(13,5),-1.49868 # DEPENDENCYPART_ARC
(13,6),-1.43498 # DEPENDENCYPART_ARC
(13,7),-1.44071 # DEPENDENCYPART_ARC
(13,8),-1.10033 # DEPENDENCYPART_ARC
(13,9),-1.03168 # DEPENDENCYPART_ARC
(13,10),-0.727442 # DEPENDENCYPART_ARC
(13,11),-0.300389 # DEPENDENCYPART_ARC
(13,12),0.114389 # DEPENDENCYPART_ARC
(13,14),-0.501842 # DEPENDENCYPART_ARC
(13,15),-0.986408 # DEPENDENCYPART_ARC
(13,16),-1.58209 # DEPENDENCYPART_ARC
(13,17),-1.58577 # DEPENDENCYPART_ARC
(13,18),-1.75519 # DEPENDENCYPART_ARC
(13,19),-2.1648 # DEPENDENCYPART_ARC
(13,20),-1.14657 # DEPENDENCYPART_ARC
(13,23),-1.75703 # DEPENDENCYPART_ARC
(13,25),-2.21421 # DEPENDENCYPART_ARC
(13,27),-1.76509 # DEPENDENCYPART_ARC
(13,28),-2.35881 # DEPENDENCYPART_ARC
(14,1),-2.87633 # DEPENDENCYPART_ARC
(14,3),-1.47006 # DEPENDENCYPART_ARC
(14,4),-2.40912 # DEPENDENCYPART_ARC
(14,5),-3.68563 # DEPENDENCYPART_ARC
(14,6),-4.04792 # DEPENDENCYPART_ARC
(14,7),-1.95823 # DEPENDENCYPART_ARC
(14,8),-3.56769 # DEPENDENCYPART_ARC
(14,9),-2.37374 # DEPENDENCYPART_ARC
(14,10),-2.65221 # DEPENDENCYPART_ARC
(14,11),-0.111403 # DEPENDENCYPART_ARC
(14,12),0.808729 # DEPENDENCYPART_ARC
(14,13),1.17953 # DEPENDENCYPART_ARC
(14,15),1.42071 # DEPENDENCYPART_ARC
(14,16),-0.0153329 # DEPENDENCYPART_ARC
(14,17),-0.210676 # DEPENDENCYPART_ARC
(14,18),-1.62634 # DEPENDENCYPART_ARC
(14,19),-1.74262 # DEPENDENCYPART_ARC
(14,20),-0.493413 # DEPENDENCYPART_ARC
(14,21),0.306547 # DEPENDENCYPART_ARC
(14,23),-1.16719 # DEPENDENCYPART_ARC
(14,24),0.564108 # DEPENDENCYPART_ARC
(14,25),-0.364586 # DEPENDENCYPART_ARC
(14,27),-0.919474 # DEPENDENCYPART_ARC
(14,28),-1.33278 # DEPENDENCYPART_ARC
(15,1),-3.93739 # DEPENDENCYPART_ARC
(15,2),-2.7239 # DEPENDENCYPART_ARC
(15,3),-2.3689 # DEPENDENCYPART_ARC
(15,4),-2.4154 # DEPENDENCYPART_ARC
(15,5),0.278689 # DEPENDENCYPART_ARC
(15,6),-2.47162 # DEPENDENCYPART_ARC
(15,7),-2.00724 # DEPENDENCYPART_ARC
(15,8),0.54765 # DEPENDENCYPART_ARC
(15,9),-3.21058 # DEPENDENCYPART_ARC
(15,10),-4.34666 # DEPENDENCYPART_ARC
(15,11),-1.10697 # DEPENDENCYPART_ARC
(15,12),-0.95705 # DEPENDENCYPART_ARC
(15,13),0.0704359 # DEPENDENCYPART_ARC
(15,14),-0.311222 # DEPENDENCYPART_ARC
(15,16),-0.887156 # DEPENDENCYPART_ARC
(15,17),0.220756 # DEPENDENCYPART_ARC
(15,18),-3.51434 # DEPENDENCYPART_ARC
(15,19),-3.03131 # DEPENDENCYPART_ARC
(15,20),-1.03538 # DEPENDENCYPART_ARC
(15,22),-2.90303 # DEPENDENCYPART_ARC
(15,23),-1.57354 # DEPENDENCYPART_ARC
(15,24),-3.02129 # DEPENDENCYPART_ARC
(15,25),-2.06278 # DEPENDENCYPART_ARC
(15,26),-3.11629 # DEPENDENCYPART_ARC
(15,27),-3.0965 # DEPENDENCYPART_ARC
(15,28),-2.54516 # DEPENDENCYPART_ARC
(16,1),-2.95491 # DEPENDENCYPART_ARC
(16,2),-4.97487 # DEPENDENCYPART_ARC
(16,3),-0.433812 # DEPENDENCYPART_ARC
(16,4),-2.94414 # DEPENDENCYPART_ARC
(16,5),-1.2097 # DEPENDENCYPART_ARC
(16,6),-4.04696 # DEPENDENCYPART_ARC
(16,7),-1.77606 # DEPENDENCYPART_ARC
(16,8),-0.306934 # DEPENDENCYPART_ARC
(16,9),-3.47685 # DEPENDENCYPART_ARC
(16,10),-3.38344 # DEPENDENCYPART_ARC
(16,11),0.452372 # DEPENDENCYPART_ARC
(16,12),1.43709 # DEPENDENCYPART_ARC
(16,13),1.47959 # DEPENDENCYPART_ARC
(16,14),4.01242 # DEPENDENCYPART_ARC
(16,15),5.00344 # DEPENDENCYPART_ARC
(16,17),2.39568 # DEPENDENCYPART_ARC
(16,18),-1.62298 # DEPENDENCYPART_ARC
(16,19),-2.7368 # DEPENDENCYPART_ARC
(16,20),0.0871815 # DEPENDENCYPART_ARC
(16,21),-1.23705 # DEPENDENCYPART_ARC
(16,22),-1.95926 # DEPENDENCYPART_ARC
(16,23),-0.413327 # DEPENDENCYPART_ARC
(16,24),0.0266779 # DEPENDENCYPART_ARC
(16,25),-0.432448 # DEPENDENCYPART_ARC
(16,26),-0.271739 # DEPENDENCYPART_ARC
(16,27),1.37654 # DEPENDENCYPART_ARC
(16,28),-2.0117 # DEPENDENCYPART_ARC
(17,1),-4.45573 # DEPENDENCYPART_ARC
(17,3),-2.11502 # DEPENDENCYPART_ARC
(17,4),-2.47797 # DEPENDENCYPART_ARC
(17,5),-4.83329 # DEPENDENCYPART_ARC
(17,6),-4.44279 # DEPENDENCYPART_ARC
(17,7),-2.47279 # DEPENDENCYPART_ARC
(17,8),-4.32077 # DEPENDENCYPART_ARC
(17,9),-3.26828 # DEPENDENCYPART_ARC
(17,10),-3.48385 # DEPENDENCYPART_ARC
(17,11),-2.35947 # DEPENDENCYPART_ARC
(17,12),-2.18387 # DEPENDENCYPART_ARC
(17,13),-1.82075 # DEPENDENCYPART_ARC
(17,14),-2.37003 # DEPENDENCYPART_ARC
(17,15),-2.35705 # DEPENDENCYPART_ARC
(17,16),-2.797 # DEPENDENCYPART_ARC
(17,18),1.11924 # DEPENDENCYPART_ARC
(17,19),3.90376 # DEPENDENCYPART_ARC
(17,20),0.0270982 # DEPENDENCYPART_ARC
(17,21),-2.98376 # DEPENDENCYPART_ARC
(17,23),-0.875994 # DEPENDENCYPART_ARC
(17,24),-4.09135 # DEPENDENCYPART_ARC
(17,25),-1.85278 # DEPENDENCYPART_ARC
(17,26),-1.74572 # DEPENDENCYPART_ARC
(17,27),-1.91548 # DEPENDENCYPART_ARC
(17,28),-1.97498 # DEPENDENCYPART_ARC
(18,1),-5.57472 # DEPENDENCYPART_ARC
(18,2),-2.93629 # DEPENDENCYPART_ARC
(18,3),-2.88405 # DEPENDENCYPART_ARC
(18,4),-2.83223 # DEPENDENCYPART_ARC
(18,5),-2.46434 # DEPENDENCYPART_ARC
(18,6),-4.78587 # DEPENDENCYPART_ARC
(18,7),-2.39624 # DEPENDENCYPART_ARC
(18,8),-2.11323 # DEPENDENCYPART_ARC
(18,9),-4.01804 # DEPENDENCYPART_ARC
(18,10),-5.91929 # DEPENDENCYPART_ARC
(18,11),-2.24921 # DEPENDENCYPART_ARC
(18,12),-2.24192 # DEPENDENCYPART_ARC
(18,13),-0.915252 # DEPENDENCYPART_ARC
(18,14),-3.60855 # DEPENDENCYPART_ARC
(18,15),-4.92271 # DEPENDENCYPART_ARC
(18,16),-4.04592 # DEPENDENCYPART_ARC
(18,17),-0.580467 # DEPENDENCYPART_ARC
(18,19),-0.509078 # DEPENDENCYPART_ARC
(18,20),-0.831279 # DEPENDENCYPART_ARC
(18,22),-2.34044 # DEPENDENCYPART_ARC
(18,23),-1.10962 # DEPENDENCYPART_ARC
(18,24),-3.67638 # DEPENDENCYPART_ARC
(18,25),-1.71157 # DEPENDENCYPART_ARC
(18,26),-2.96971 # DEPENDENCYPART_ARC
(18,27),-2.62768 # DEPENDENCYPART_ARC
(18,28),-1.83558 # DEPENDENCYPART_ARC
(19,1),-2.83501 # DEPENDENCYPART_ARC
(19,2),-4.83229 # DEPENDENCYPART_ARC
(19,3),-0.521674 # DEPENDENCYPART_ARC
(19,4),-3.63024 # DEPENDENCYPART_ARC
(19,5),-2.23609 # DEPENDENCYPART_ARC
(19,6),-4.52765 # DEPENDENCYPART_ARC
(19,7),-1.9576 # DEPENDENCYPART_ARC
(19,8),-1.30826 # DEPENDENCYPART_ARC
(19,9),-1.78655 # DEPENDENCYPART_ARC
(19,10),-2.74554 # DEPENDENCYPART_ARC
(19,11),0.260744 # DEPENDENCYPART_ARC
(19,12),0.824447 # DEPENDENCYPART_ARC
(19,13),0.889091 # DEPENDENCYPART_ARC
(19,14),-1.15789 # DEPENDENCYPART_ARC
(19,15),-1.46662 # DEPENDENCYPART_ARC
(19,16),-3.31774 # DEPENDENCYPART_ARC
(19,17),0.674989 # DEPENDENCYPART_ARC
(19,18),6.14635 # DEPENDENCYPART_ARC
(19,20),-0.289792 # DEPENDENCYPART_ARC
(19,21),-3.03002 # DEPENDENCYPART_ARC
(19,22),-1.65786 # DEPENDENCYPART_ARC
(19,23),-0.696288 # DEPENDENCYPART_ARC
(19,24),-1.76855 # DEPENDENCYPART_ARC
(19,25),-0.939389 # DEPENDENCYPART_ARC
(19,26),-0.820349 # DEPENDENCYPART_ARC
(19,27),2.18332 # DEPENDENCYPART_ARC
(19,28),-0.89731 # DEPENDENCYPART_ARC
(20,1),-1.62695 # DEPENDENCYPART_ARC
(20,2),-3.54556 # DEPENDENCYPART_ARC
(20,3),-1.76178 # DEPENDENCYPART_ARC
(20,4),-2.53547 # DEPENDENCYPART_ARC
(20,5),-2.83146 # DEPENDENCYPART_ARC
(20,6),-2.9288 # DEPENDENCYPART_ARC
(20,7),-1.8891 # DEPENDENCYPART_ARC
(20,8),-2.96029 # DEPENDENCYPART_ARC
(20,9),-2.84025 # DEPENDENCYPART_ARC
(20,10),-0.830782 # DEPENDENCYPART_ARC
(20,11),-1.64509 # DEPENDENCYPART_ARC
(20,12),-1.6816 # DEPENDENCYPART_ARC
(20,13),-1.54256 # DEPENDENCYPART_ARC
(20,14),-1.54049 # DEPENDENCYPART_ARC
(20,15),-1.4916 # DEPENDENCYPART_ARC
(20,16),-1.27398 # DEPENDENCYPART_ARC
(20,17),-1.34071 # DEPENDENCYPART_ARC
