# _root_ Strana demokratické levice po přehodnocení faktu , že vedoucí silou SNP byla komunistická strana , se jednoznačně staví za antifašistický a demokratický odkaz povstání .
#goldHeads=18,3,1,18,4,5,8,6,10,12,10,8,14,12,8,18,18,0,18,21,23,21,19,23,0,
#predictedHeads=18,3,1,0,4,5,8,6,10,12,10,8,14,12,18,18,18,14,18,21,23,21,19,23,0,
(11,16),-1.68896 # DEPENDENCYPART_ARC
(11,17),-1.31195 # DEPENDENCYPART_ARC
(11,18),-4.15362 # DEPENDENCYPART_ARC
(11,19),-3.43725 # DEPENDENCYPART_ARC
(11,20),-4.72558 # DEPENDENCYPART_ARC
(11,21),-0.930187 # DEPENDENCYPART_ARC
(11,22),-5.54071 # DEPENDENCYPART_ARC
(11,23),-6.24493 # DEPENDENCYPART_ARC
(11,24),-3.80772 # DEPENDENCYPART_ARC
(11,25),-5.22288 # DEPENDENCYPART_ARC
(12,1),0.721292 # DEPENDENCYPART_ARC
(12,2),-6.94368 # DEPENDENCYPART_ARC
(12,3),-2.56076 # DEPENDENCYPART_ARC
(12,4),-1.2141 # DEPENDENCYPART_ARC
(12,5),-2.0735 # DEPENDENCYPART_ARC
(12,6),-4.49443 # DEPENDENCYPART_ARC
(12,7),-0.134881 # DEPENDENCYPART_ARC
(12,8),-0.965959 # DEPENDENCYPART_ARC
(12,9),-2.7655 # DEPENDENCYPART_ARC
(12,10),1.30729 # DEPENDENCYPART_ARC
(12,11),0.0755923 # DEPENDENCYPART_ARC
(12,13),1.58047 # DEPENDENCYPART_ARC
(12,14),2.97133 # DEPENDENCYPART_ARC
(12,15),0.0276177 # DEPENDENCYPART_ARC
(12,16),0.0991184 # DEPENDENCYPART_ARC
(12,17),-0.28033 # DEPENDENCYPART_ARC
(12,18),-1.56084 # DEPENDENCYPART_ARC
(12,19),-0.18188 # DEPENDENCYPART_ARC
(12,20),-2.30009 # DEPENDENCYPART_ARC
(12,21),-0.379164 # DEPENDENCYPART_ARC
(12,22),-4.0461 # DEPENDENCYPART_ARC
(12,23),-0.0207919 # DEPENDENCYPART_ARC
(12,24),-2.46089 # DEPENDENCYPART_ARC
(12,25),-0.940529 # DEPENDENCYPART_ARC
(13,1),-3.02587 # DEPENDENCYPART_ARC
(13,2),-3.98442 # DEPENDENCYPART_ARC
(13,3),-4.2339 # DEPENDENCYPART_ARC
(13,4),-1.66708 # DEPENDENCYPART_ARC
(13,5),-3.90213 # DEPENDENCYPART_ARC
(13,6),-3.52633 # DEPENDENCYPART_ARC
(13,7),-1.47095 # DEPENDENCYPART_ARC
(13,8),-1.13299 # DEPENDENCYPART_ARC
(13,9),-2.2971 # DEPENDENCYPART_ARC
(13,10),-0.378994 # DEPENDENCYPART_ARC
(13,11),-2.77015 # DEPENDENCYPART_ARC
(13,12),-2.01362 # DEPENDENCYPART_ARC
(13,14),-0.127596 # DEPENDENCYPART_ARC
(13,15),-0.690737 # DEPENDENCYPART_ARC
(13,16),-0.993847 # DEPENDENCYPART_ARC
(13,17),-0.834864 # DEPENDENCYPART_ARC
(13,18),-2.27957 # DEPENDENCYPART_ARC
(13,19),-1.2779 # DEPENDENCYPART_ARC
(13,20),-4.0798 # DEPENDENCYPART_ARC
(13,21),-1.07378 # DEPENDENCYPART_ARC
(13,22),-4.2308 # DEPENDENCYPART_ARC
(13,23),-3.98114 # DEPENDENCYPART_ARC
(13,24),-3.80343 # DEPENDENCYPART_ARC
(13,25),-2.39451 # DEPENDENCYPART_ARC
(14,1),-2.88087 # DEPENDENCYPART_ARC
(14,2),-1.50776 # DEPENDENCYPART_ARC
(14,3),-5.65469 # DEPENDENCYPART_ARC
(14,4),-1.98464 # DEPENDENCYPART_ARC
(14,5),-5.35439 # DEPENDENCYPART_ARC
(14,6),-5.86102 # DEPENDENCYPART_ARC
(14,7),-0.954999 # DEPENDENCYPART_ARC
(14,8),-1.74914 # DEPENDENCYPART_ARC
(14,9),0.155915 # DEPENDENCYPART_ARC
(14,10),-2.45291 # DEPENDENCYPART_ARC
(14,11),-2.77411 # DEPENDENCYPART_ARC
(14,12),-2.23167 # DEPENDENCYPART_ARC
(14,13),5.36577 # DEPENDENCYPART_ARC
(14,15),0.0645301 # DEPENDENCYPART_ARC
(14,16),-1.05436 # DEPENDENCYPART_ARC
(14,17),-0.0173316 # DEPENDENCYPART_ARC
(14,18),1.64211 # DEPENDENCYPART_ARC
(14,19),-0.532121 # DEPENDENCYPART_ARC
(14,20),-3.04922 # DEPENDENCYPART_ARC
(14,21),0.549055 # DEPENDENCYPART_ARC
(14,22),-3.50677 # DEPENDENCYPART_ARC
(14,23),-4.45289 # DEPENDENCYPART_ARC
(14,24),-0.622989 # DEPENDENCYPART_ARC
(14,25),-2.88093 # DEPENDENCYPART_ARC
(15,1),-1.57282 # DEPENDENCYPART_ARC
(15,2),-1.58055 # DEPENDENCYPART_ARC
(15,3),-1.04012 # DEPENDENCYPART_ARC
(15,4),-1.27775 # DEPENDENCYPART_ARC
(15,5),-0.153533 # DEPENDENCYPART_ARC
(15,6),-0.784277 # DEPENDENCYPART_ARC
(15,7),-0.0647703 # DEPENDENCYPART_ARC
(15,8),-0.434931 # DEPENDENCYPART_ARC
(15,9),-0.868981 # DEPENDENCYPART_ARC
(15,10),-0.547324 # DEPENDENCYPART_ARC
(15,11),-0.549089 # DEPENDENCYPART_ARC
(15,12),0.940863 # DEPENDENCYPART_ARC
(15,13),0.193398 # DEPENDENCYPART_ARC
(15,14),0.0632509 # DEPENDENCYPART_ARC
(15,16),0.253831 # DEPENDENCYPART_ARC
(15,17),-0.0161424 # DEPENDENCYPART_ARC
(15,18),0.958463 # DEPENDENCYPART_ARC
(15,19),-0.523478 # DEPENDENCYPART_ARC
(15,20),-0.533581 # DEPENDENCYPART_ARC
(15,21),-0.0783698 # DEPENDENCYPART_ARC
(15,22),-0.675037 # DEPENDENCYPART_ARC
(15,23),-1.2051 # DEPENDENCYPART_ARC
(15,24),-0.838816 # DEPENDENCYPART_ARC
(15,25),-0.266506 # DEPENDENCYPART_ARC
(16,1),-4.15591 # DEPENDENCYPART_ARC
(16,2),-4.32799 # DEPENDENCYPART_ARC
(16,3),-3.66783 # DEPENDENCYPART_ARC
(16,4),-2.62793 # DEPENDENCYPART_ARC
(16,5),-3.44183 # DEPENDENCYPART_ARC
(16,6),-3.22279 # DEPENDENCYPART_ARC
(16,7),-2.57445 # DEPENDENCYPART_ARC
(16,8),-2.64555 # DEPENDENCYPART_ARC
(16,9),-3.35658 # DEPENDENCYPART_ARC
(16,10),-2.61212 # DEPENDENCYPART_ARC
(16,11),-2.76817 # DEPENDENCYPART_ARC
(16,12),-1.73741 # DEPENDENCYPART_ARC
(16,13),-2.8781 # DEPENDENCYPART_ARC
(16,14),-1.73547 # DEPENDENCYPART_ARC
(16,15),-0.869631 # DEPENDENCYPART_ARC
(16,17),-0.0819346 # DEPENDENCYPART_ARC
(16,18),-2.95633 # DEPENDENCYPART_ARC
(16,19),-2.29271 # DEPENDENCYPART_ARC
(16,20),-1.59936 # DEPENDENCYPART_ARC
(16,21),-1.8581 # DEPENDENCYPART_ARC
(16,22),-2.17191 # DEPENDENCYPART_ARC
(16,23),-1.49471 # DEPENDENCYPART_ARC
(16,24),-2.18251 # DEPENDENCYPART_ARC
(16,25),-1.79974 # DEPENDENCYPART_ARC
(17,1),-3.19597 # DEPENDENCYPART_ARC
(17,2),-3.0531 # DEPENDENCYPART_ARC
(17,3),-2.87615 # DEPENDENCYPART_ARC
(17,4),-3.0392 # DEPENDENCYPART_ARC
(17,5),-2.75557 # DEPENDENCYPART_ARC
(17,6),-2.19489 # DEPENDENCYPART_ARC
(17,7),-1.21594 # DEPENDENCYPART_ARC
(17,8),-1.39088 # DEPENDENCYPART_ARC
(17,9),-2.20923 # DEPENDENCYPART_ARC
(17,10),-2.71559 # DEPENDENCYPART_ARC
(17,11),-2.15356 # DEPENDENCYPART_ARC
(17,12),-1.88451 # DEPENDENCYPART_ARC
(17,13),-1.84364 # DEPENDENCYPART_ARC
(17,14),-1.4399 # DEPENDENCYPART_ARC
(17,15),-0.0819647 # DEPENDENCYPART_ARC
(17,16),-0.247019 # DEPENDENCYPART_ARC
(17,18),-0.9687 # DEPENDENCYPART_ARC
(17,19),-1.08001 # DEPENDENCYPART_ARC
(17,20),-2.13674 # DEPENDENCYPART_ARC
(17,21),-1.03469 # DEPENDENCYPART_ARC
(17,22),-2.31863 # DEPENDENCYPART_ARC
(17,23),-2.90791 # DEPENDENCYPART_ARC
(17,24),-1.6351 # DEPENDENCYPART_ARC
(17,25),-1.32557 # DEPENDENCYPART_ARC
(18,1),1.56815 # DEPENDENCYPART_ARC
(18,2),-5.33015 # DEPENDENCYPART_ARC
(18,3),-2.52196 # DEPENDENCYPART_ARC
(18,4),-1.02821 # DEPENDENCYPART_ARC
(18,5),-1.67903 # DEPENDENCYPART_ARC
(18,6),-3.28034 # DEPENDENCYPART_ARC
(18,7),0.0327919 # DEPENDENCYPART_ARC
(18,8),-1.35803 # DEPENDENCYPART_ARC
(18,9),-1.46073 # DEPENDENCYPART_ARC
(18,10),0.952233 # DEPENDENCYPART_ARC
(18,11),-0.135127 # DEPENDENCYPART_ARC
(18,12),-1.42624 # DEPENDENCYPART_ARC
(18,13),0.104958 # DEPENDENCYPART_ARC
(18,14),1.42584 # DEPENDENCYPART_ARC
(18,15),2.14268 # DEPENDENCYPART_ARC
(18,16),4.85521 # DEPENDENCYPART_ARC
(18,17),3.02725 # DEPENDENCYPART_ARC
(18,19),2.78561 # DEPENDENCYPART_ARC
(18,20),-0.464923 # DEPENDENCYPART_ARC
(18,21),0.347435 # DEPENDENCYPART_ARC
(18,22),-2.45691 # DEPENDENCYPART_ARC
(18,23),1.37015 # DEPENDENCYPART_ARC
(18,24),-0.65638 # DEPENDENCYPART_ARC
(18,25),-0.195046 # DEPENDENCYPART_ARC
(19,1),-5.5391 # DEPENDENCYPART_ARC
(19,2),-4.10431 # DEPENDENCYPART_ARC
(19,3),-4.59139 # DEPENDENCYPART_ARC
(19,4),-5.11922 # DEPENDENCYPART_ARC
(19,5),-3.38346 # DEPENDENCYPART_ARC
(19,6),-3.25339 # DEPENDENCYPART_ARC
(19,7),-2.53698 # DEPENDENCYPART_ARC
(19,8),-2.2668 # DEPENDENCYPART_ARC
(19,9),-3.05176 # DEPENDENCYPART_ARC
(19,10),-3.32096 # DEPENDENCYPART_ARC
(19,11),-3.90184 # DEPENDENCYPART_ARC
(19,12),-3.32579 # DEPENDENCYPART_ARC
(19,13),-3.45817 # DEPENDENCYPART_ARC
(19,14),-3.70812 # DEPENDENCYPART_ARC
(19,15),-0.869274 # DEPENDENCYPART_ARC
(19,16),-1.64662 # DEPENDENCYPART_ARC
(19,17),-1.2535 # DEPENDENCYPART_ARC
(19,18),-1.80428 # DEPENDENCYPART_ARC
(19,20),3.36639 # DEPENDENCYPART_ARC
(19,21),1.68787 # DEPENDENCYPART_ARC
(19,22),1.0826 # DEPENDENCYPART_ARC
(19,23),2.98261 # DEPENDENCYPART_ARC
(19,24),-1.88832 # DEPENDENCYPART_ARC
(19,25),-0.594357 # DEPENDENCYPART_ARC
(20,1),-6.36579 # DEPENDENCYPART_ARC
(20,2),-6.40618 # DEPENDENCYPART_ARC
(20,3),-6.35084 # DEPENDENCYPART_ARC
(20,4),-3.57103 # DEPENDENCYPART_ARC
(20,5),-6.2244 # DEPENDENCYPART_ARC
(20,6),-5.83708 # DEPENDENCYPART_ARC
(20,7),-3.16413 # DEPENDENCYPART_ARC
(20,8),-2.62406 # DEPENDENCYPART_ARC
(20,9),-4.98508 # DEPENDENCYPART_ARC
(20,10),-2.83956 # DEPENDENCYPART_ARC
(20,11),-5.80603 # DEPENDENCYPART_ARC
(20,12),-5.2882 # DEPENDENCYPART_ARC
(20,13),-5.55099 # DEPENDENCYPART_ARC
(20,14),-5.19161 # DEPENDENCYPART_ARC
(20,15),-1.39156 # DEPENDENCYPART_ARC
(20,16),-1.01507 # DEPENDENCYPART_ARC
(20,17),-0.103489 # DEPENDENCYPART_ARC
(20,18),-3.55328 # DEPENDENCYPART_ARC
(20,19),-0.19974 # DEPENDENCYPART_ARC
(20,21),-0.21861 # DEPENDENCYPART_ARC
(20,22),-2.28166 # DEPENDENCYPART_ARC
(20,23),-2.72771 # DEPENDENCYPART_ARC
(20,24),-2.23791 # DEPENDENCYPART_ARC
(20,25),-1.605 # DEPENDENCYPART_ARC
(21,1),-2.80587 # DEPENDENCYPART_ARC
