# _root_ Povstání zkomplikovalo plány nacistů na obranu Karpat , připoutalo nemalé nacistické jednotky na Slovensko , rozrušilo komunikační systém v týlu fronty a vytvořilo nebezpečné ohnisko nepokojů .
#goldHeads=22,22,2,3,3,5,6,22,22,12,12,9,9,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
#predictedHeads=2,15,2,3,3,5,6,2,22,12,12,9,12,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
(8,27),-1.68457 # DEPENDENCYPART_ARC
(9,1),2.43904 # DEPENDENCYPART_ARC
(9,2),-0.520875 # DEPENDENCYPART_ARC
(9,3),-0.342132 # DEPENDENCYPART_ARC
(9,4),-2.07668 # DEPENDENCYPART_ARC
(9,5),0.41249 # DEPENDENCYPART_ARC
(9,6),0.614443 # DEPENDENCYPART_ARC
(9,7),-2.27425 # DEPENDENCYPART_ARC
(9,8),0.505963 # DEPENDENCYPART_ARC
(9,10),-0.468454 # DEPENDENCYPART_ARC
(9,11),-2.13697 # DEPENDENCYPART_ARC
(9,12),2.08939 # DEPENDENCYPART_ARC
(9,13),1.75904 # DEPENDENCYPART_ARC
(9,14),0.366912 # DEPENDENCYPART_ARC
(9,15),1.1323 # DEPENDENCYPART_ARC
(9,16),-2.32934 # DEPENDENCYPART_ARC
(9,17),-3.31445 # DEPENDENCYPART_ARC
(9,18),0.857137 # DEPENDENCYPART_ARC
(9,19),0.112964 # DEPENDENCYPART_ARC
(9,20),-2.05033 # DEPENDENCYPART_ARC
(9,21),-2.17447 # DEPENDENCYPART_ARC
(9,22),0.0745074 # DEPENDENCYPART_ARC
(9,23),-3.63627 # DEPENDENCYPART_ARC
(9,24),-3.91018 # DEPENDENCYPART_ARC
(9,25),-1.10965 # DEPENDENCYPART_ARC
(9,26),-3.61144 # DEPENDENCYPART_ARC
(9,27),-0.735566 # DEPENDENCYPART_ARC
(10,1),-5.04946 # DEPENDENCYPART_ARC
(10,2),-3.13419 # DEPENDENCYPART_ARC
(10,3),-3.00006 # DEPENDENCYPART_ARC
(10,4),-5.12042 # DEPENDENCYPART_ARC
(10,5),-0.937876 # DEPENDENCYPART_ARC
(10,6),-1.45275 # DEPENDENCYPART_ARC
(10,7),-3.93276 # DEPENDENCYPART_ARC
(10,8),-0.437418 # DEPENDENCYPART_ARC
(10,9),-1.21364 # DEPENDENCYPART_ARC
(10,11),-0.00914645 # DEPENDENCYPART_ARC
(10,12),-0.171676 # DEPENDENCYPART_ARC
(10,13),0.524245 # DEPENDENCYPART_ARC
(10,14),-1.25797 # DEPENDENCYPART_ARC
(10,15),-0.297349 # DEPENDENCYPART_ARC
(10,16),-2.82651 # DEPENDENCYPART_ARC
(10,17),-3.12261 # DEPENDENCYPART_ARC
(10,18),-2.35938 # DEPENDENCYPART_ARC
(10,19),-0.841086 # DEPENDENCYPART_ARC
(10,20),-2.92914 # DEPENDENCYPART_ARC
(10,21),-4.27391 # DEPENDENCYPART_ARC
(10,22),-0.640886 # DEPENDENCYPART_ARC
(10,23),-4.13117 # DEPENDENCYPART_ARC
(10,24),-3.26744 # DEPENDENCYPART_ARC
(10,25),-4.81233 # DEPENDENCYPART_ARC
(10,26),-5.3886 # DEPENDENCYPART_ARC
(10,27),-3.49813 # DEPENDENCYPART_ARC
(11,1),-4.81743 # DEPENDENCYPART_ARC
(11,2),-3.006 # DEPENDENCYPART_ARC
(11,3),-2.64959 # DEPENDENCYPART_ARC
(11,4),-4.7947 # DEPENDENCYPART_ARC
(11,5),-1.4172 # DEPENDENCYPART_ARC
(11,6),-1.48248 # DEPENDENCYPART_ARC
(11,7),-3.63604 # DEPENDENCYPART_ARC
(11,8),-0.979165 # DEPENDENCYPART_ARC
(11,9),-1.5467 # DEPENDENCYPART_ARC
(11,10),-1.21135 # DEPENDENCYPART_ARC
(11,12),-0.555621 # DEPENDENCYPART_ARC
(11,13),0.578088 # DEPENDENCYPART_ARC
(11,14),-2.09899 # DEPENDENCYPART_ARC
(11,15),-0.316648 # DEPENDENCYPART_ARC
(11,16),-2.55042 # DEPENDENCYPART_ARC
(11,17),-3.46107 # DEPENDENCYPART_ARC
(11,18),-3.47612 # DEPENDENCYPART_ARC
(11,19),-1.28918 # DEPENDENCYPART_ARC
(11,20),-3.47323 # DEPENDENCYPART_ARC
(11,21),-5.05241 # DEPENDENCYPART_ARC
(11,22),-1.01672 # DEPENDENCYPART_ARC
(11,23),-3.9617 # DEPENDENCYPART_ARC
(11,24),-3.6102 # DEPENDENCYPART_ARC
(11,25),-5.82034 # DEPENDENCYPART_ARC
(11,26),-6.13566 # DEPENDENCYPART_ARC
(11,27),-3.37634 # DEPENDENCYPART_ARC
(12,1),-5.83677 # DEPENDENCYPART_ARC
(12,2),-3.42355 # DEPENDENCYPART_ARC
(12,3),-1.29994 # DEPENDENCYPART_ARC
(12,4),-4.12857 # DEPENDENCYPART_ARC
(12,5),-1.02535 # DEPENDENCYPART_ARC
(12,6),-0.425194 # DEPENDENCYPART_ARC
(12,7),-2.2722 # DEPENDENCYPART_ARC
(12,8),-0.797081 # DEPENDENCYPART_ARC
(12,9),-2.16243 # DEPENDENCYPART_ARC
(12,10),4.21822 # DEPENDENCYPART_ARC
(12,11),5.04585 # DEPENDENCYPART_ARC
(12,13),2.34381 # DEPENDENCYPART_ARC
(12,14),-0.579882 # DEPENDENCYPART_ARC
(12,15),-0.0488922 # DEPENDENCYPART_ARC
(12,16),-0.679997 # DEPENDENCYPART_ARC
(12,17),-2.02063 # DEPENDENCYPART_ARC
(12,18),-2.41339 # DEPENDENCYPART_ARC
(12,19),-0.0326113 # DEPENDENCYPART_ARC
(12,20),-2.23073 # DEPENDENCYPART_ARC
(12,21),-1.23515 # DEPENDENCYPART_ARC
(12,22),-0.0350536 # DEPENDENCYPART_ARC
(12,23),-2.685 # DEPENDENCYPART_ARC
(12,24),-3.6387 # DEPENDENCYPART_ARC
(12,25),-4.47992 # DEPENDENCYPART_ARC
(12,26),-2.88129 # DEPENDENCYPART_ARC
(12,27),-6.0387 # DEPENDENCYPART_ARC
(13,1),-4.204 # DEPENDENCYPART_ARC
(13,2),-3.29172 # DEPENDENCYPART_ARC
(13,3),-3.37107 # DEPENDENCYPART_ARC
(13,4),-3.44534 # DEPENDENCYPART_ARC
(13,5),-2.17435 # DEPENDENCYPART_ARC
(13,6),-2.23931 # DEPENDENCYPART_ARC
(13,7),-2.71042 # DEPENDENCYPART_ARC
(13,8),-1.74522 # DEPENDENCYPART_ARC
(13,9),-2.47895 # DEPENDENCYPART_ARC
(13,10),-2.49784 # DEPENDENCYPART_ARC
(13,11),-1.88063 # DEPENDENCYPART_ARC
(13,12),-2.36156 # DEPENDENCYPART_ARC
(13,14),3.94092 # DEPENDENCYPART_ARC
(13,15),0.243756 # DEPENDENCYPART_ARC
(13,16),-0.96675 # DEPENDENCYPART_ARC
(13,17),-0.304415 # DEPENDENCYPART_ARC
(13,18),-0.0383865 # DEPENDENCYPART_ARC
(13,19),-1.42743 # DEPENDENCYPART_ARC
(13,20),-2.71361 # DEPENDENCYPART_ARC
(13,21),-6.22741 # DEPENDENCYPART_ARC
(13,22),-1.77768 # DEPENDENCYPART_ARC
(13,23),-1.9032 # DEPENDENCYPART_ARC
(13,24),-1.69074 # DEPENDENCYPART_ARC
(13,25),-4.7176 # DEPENDENCYPART_ARC
(13,26),-9.04476 # DEPENDENCYPART_ARC
(13,27),-2.03702 # DEPENDENCYPART_ARC
(14,1),-6.87147 # DEPENDENCYPART_ARC
(14,2),-3.95206 # DEPENDENCYPART_ARC
(14,3),-4.53345 # DEPENDENCYPART_ARC
(14,4),-5.13677 # DEPENDENCYPART_ARC
(14,5),-1.73053 # DEPENDENCYPART_ARC
(14,6),-4.43977 # DEPENDENCYPART_ARC
(14,7),-5.35857 # DEPENDENCYPART_ARC
(14,8),-2.42899 # DEPENDENCYPART_ARC
(14,9),-2.80109 # DEPENDENCYPART_ARC
(14,10),-3.91822 # DEPENDENCYPART_ARC
(14,11),-3.14229 # DEPENDENCYPART_ARC
(14,12),-4.17164 # DEPENDENCYPART_ARC
(14,13),-0.479673 # DEPENDENCYPART_ARC
(14,15),-1.37513 # DEPENDENCYPART_ARC
(14,16),-1.32943 # DEPENDENCYPART_ARC
(14,17),-2.06044 # DEPENDENCYPART_ARC
(14,18),-3.22041 # DEPENDENCYPART_ARC
(14,19),-2.04655 # DEPENDENCYPART_ARC
(14,20),-3.20189 # DEPENDENCYPART_ARC
(14,21),-2.97023 # DEPENDENCYPART_ARC
(14,22),-0.858429 # DEPENDENCYPART_ARC
(14,23),-3.0792 # DEPENDENCYPART_ARC
(14,24),-2.93171 # DEPENDENCYPART_ARC
(14,25),-5.62891 # DEPENDENCYPART_ARC
(14,26),-4.09732 # DEPENDENCYPART_ARC
(14,27),-6.95928 # DEPENDENCYPART_ARC
(15,1),-0.220166 # DEPENDENCYPART_ARC
(15,2),1.15187 # DEPENDENCYPART_ARC
(15,3),-0.149363 # DEPENDENCYPART_ARC
(15,4),-0.384639 # DEPENDENCYPART_ARC
(15,5),-0.53698 # DEPENDENCYPART_ARC
(15,6),0.41123 # DEPENDENCYPART_ARC
(15,7),-0.265798 # DEPENDENCYPART_ARC
(15,8),0.390877 # DEPENDENCYPART_ARC
(15,9),1.38883 # DEPENDENCYPART_ARC
(15,10),0.0894946 # DEPENDENCYPART_ARC
(15,11),-0.00258033 # DEPENDENCYPART_ARC
(15,12),0.768123 # DEPENDENCYPART_ARC
(15,13),-0.0181293 # DEPENDENCYPART_ARC
(15,14),0.91027 # DEPENDENCYPART_ARC
(15,16),0.317327 # DEPENDENCYPART_ARC
(15,17),-0.6466 # DEPENDENCYPART_ARC
(15,18),-0.816193 # DEPENDENCYPART_ARC
(15,19),-0.73717 # DEPENDENCYPART_ARC
(15,20),-1.58261 # DEPENDENCYPART_ARC
(15,21),-1.28566 # DEPENDENCYPART_ARC
(15,22),-0.480315 # DEPENDENCYPART_ARC
(15,23),-1.34905 # DEPENDENCYPART_ARC
(15,24),-2.18827 # DEPENDENCYPART_ARC
(15,25),-2.9249 # DEPENDENCYPART_ARC
(15,26),-2.56136 # DEPENDENCYPART_ARC
(15,27),-1.13694 # DEPENDENCYPART_ARC
(16,1),1.8992 # DEPENDENCYPART_ARC
(16,2),-1.3426 # DEPENDENCYPART_ARC
(16,3),-0.905823 # DEPENDENCYPART_ARC
(16,4),-2.84598 # DEPENDENCYPART_ARC
(16,5),-0.648358 # DEPENDENCYPART_ARC
(16,6),-0.463242 # DEPENDENCYPART_ARC
(16,7),-3.36003 # DEPENDENCYPART_ARC
(16,8),-0.839465 # DEPENDENCYPART_ARC
(16,9),0.194246 # DEPENDENCYPART_ARC
(16,10),-3.53464 # DEPENDENCYPART_ARC
(16,11),-2.56641 # DEPENDENCYPART_ARC
(16,12),-0.16 # DEPENDENCYPART_ARC
(16,13),0.441144 # DEPENDENCYPART_ARC
(16,14),0.427453 # DEPENDENCYPART_ARC
(16,15),0.371146 # DEPENDENCYPART_ARC
(16,17),-0.15598 # DEPENDENCYPART_ARC
(16,18),3.48588 # DEPENDENCYPART_ARC
(16,19),1.57957 # DEPENDENCYPART_ARC
(16,20),-0.266425 # DEPENDENCYPART_ARC
(16,21),-0.506368 # DEPENDENCYPART_ARC
(16,22),0.609547 # DEPENDENCYPART_ARC
(16,23),-2.56044 # DEPENDENCYPART_ARC
(16,24),-2.33177 # DEPENDENCYPART_ARC
(16,25),0.20618 # DEPENDENCYPART_ARC
(16,26),-2.26263 # DEPENDENCYPART_ARC
(16,27),-0.340929 # DEPENDENCYPART_ARC
(17,1),-6.3025 # DEPENDENCYPART_ARC
(17,2),-6.05994 # DEPENDENCYPART_ARC
(17,3),-3.65086 # DEPENDENCYPART_ARC
(17,4),-5.37687 # DEPENDENCYPART_ARC
(17,5),-2.66622 # DEPENDENCYPART_ARC
(17,6),-3.46059 # DEPENDENCYPART_ARC
(17,7),-4.91686 # DEPENDENCYPART_ARC
(17,8),-2.87743 # DEPENDENCYPART_ARC
(17,9),-5.4267 # DEPENDENCYPART_ARC
(17,10),-5.39853 # DEPENDENCYPART_ARC
(17,11),-5.12328 # DEPENDENCYPART_ARC
(17,12),-2.9979 # DEPENDENCYPART_ARC
(17,13),-0.987411 # DEPENDENCYPART_ARC
(17,14),-2.07607 # DEPENDENCYPART_ARC
(17,15),-0.907091 # DEPENDENCYPART_ARC
(17,16),-3.64664 # DEPENDENCYPART_ARC
(17,18),-0.308662 # DEPENDENCYPART_ARC
(17,19),-0.199995 # DEPENDENCYPART_ARC
(17,20),-2.37936 # DEPENDENCYPART_ARC
(17,21),-2.62543 # DEPENDENCYPART_ARC
(17,22),-0.29258 # DEPENDENCYPART_ARC
(17,23),-2.47219 # DEPENDENCYPART_ARC
(17,24),-3.30643 # DEPENDENCYPART_ARC
(17,25),-4.0046 # DEPENDENCYPART_ARC
(17,26),-5.05692 # DEPENDENCYPART_ARC
(17,27),-2.32134 # DEPENDENCYPART_ARC
(18,1),-6.92495 # DEPENDENCYPART_ARC
(18,2),-3.47222 # DEPENDENCYPART_ARC
(18,3),-3.83571 # DEPENDENCYPART_ARC
(18,4),-5.83334 # DEPENDENCYPART_ARC
(18,5),-1.07164 # DEPENDENCYPART_ARC
(18,6),-2.5946 # DEPENDENCYPART_ARC
(18,7),-5.46553 # DEPENDENCYPART_ARC
(18,8),-2.64811 # DEPENDENCYPART_ARC
(18,9),-2.75072 # DEPENDENCYPART_ARC
(18,10),-3.27599 # DEPENDENCYPART_ARC
(18,11),-2.97689 # DEPENDENCYPART_ARC
(18,12),-3.87948 # DEPENDENCYPART_ARC
(18,13),-0.424907 # DEPENDENCYPART_ARC
(18,14),-0.811651 # DEPENDENCYPART_ARC
(18,15),-1.02116 # DEPENDENCYPART_ARC
(18,16),-1.45628 # DEPENDENCYPART_ARC
(18,17),5.39095 # DEPENDENCYPART_ARC
(18,19),1.97649 # DEPENDENCYPART_ARC
(18,20),1.13937 # DEPENDENCYPART_ARC
(18,21),1.38879 # DEPENDENCYPART_ARC
(18,22),0.58681 # DEPENDENCYPART_ARC
(18,23),-0.876121 # DEPENDENCYPART_ARC
(18,24),-1.71564 # DEPENDENCYPART_ARC
(18,25),-2.3751 # DEPENDENCYPART_ARC
(18,26),-1.46341 # DEPENDENCYPART_ARC
(18,27),-3.30653 # DEPENDENCYPART_ARC
(19,1),-5.61976 # DEPENDENCYPART_ARC
(19,2),-3.71447 # DEPENDENCYPART_ARC
(19,3),-5.25655 # DEPENDENCYPART_ARC
(19,4),-5.30457 # DEPENDENCYPART_ARC
(19,5),-4.64667 # DEPENDENCYPART_ARC
(19,6),-3.27399 # DEPENDENCYPART_ARC
(19,7),-5.10864 # DEPENDENCYPART_ARC
(19,8),-3.55094 # DEPENDENCYPART_ARC
(19,9),-3.24994 # DEPENDENCYPART_ARC
