# _root_ Lékaři mi to udělali jakousi zrychlenou metodou , trénoval jsem už po dvou týdnech místo šesti , jenže stejně jsem přišel o část letní přípravy .
#goldHeads=4,4,4,18,7,7,4,18,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
#predictedHeads=4,4,4,18,7,7,4,4,0,9,14,9,14,12,9,15,18,9,21,21,18,21,22,25,23,0,
(3,15),-1.89132 # DEPENDENCYPART_ARC
(3,16),-2.3564 # DEPENDENCYPART_ARC
(3,17),-0.729609 # DEPENDENCYPART_ARC
(3,18),-2.82319 # DEPENDENCYPART_ARC
(3,19),-2.48585 # DEPENDENCYPART_ARC
(3,20),-4.77836 # DEPENDENCYPART_ARC
(3,21),-6.03729 # DEPENDENCYPART_ARC
(3,22),-2.40412 # DEPENDENCYPART_ARC
(3,23),-2.67692 # DEPENDENCYPART_ARC
(3,24),-4.42008 # DEPENDENCYPART_ARC
(3,25),-2.99761 # DEPENDENCYPART_ARC
(3,26),-2.18694 # DEPENDENCYPART_ARC
(4,1),2.4602 # DEPENDENCYPART_ARC
(4,2),2.18599 # DEPENDENCYPART_ARC
(4,3),2.703 # DEPENDENCYPART_ARC
(4,5),1.25592 # DEPENDENCYPART_ARC
(4,6),-1.5378 # DEPENDENCYPART_ARC
(4,7),1.57495 # DEPENDENCYPART_ARC
(4,8),1.31338 # DEPENDENCYPART_ARC
(4,9),-2.181 # DEPENDENCYPART_ARC
(4,10),-0.215577 # DEPENDENCYPART_ARC
(4,11),-0.683392 # DEPENDENCYPART_ARC
(4,12),0.422159 # DEPENDENCYPART_ARC
(4,13),-2.56108 # DEPENDENCYPART_ARC
(4,14),-1.28557 # DEPENDENCYPART_ARC
(4,15),0.873225 # DEPENDENCYPART_ARC
(4,16),-3.18792 # DEPENDENCYPART_ARC
(4,17),-0.218435 # DEPENDENCYPART_ARC
(4,18),-0.490063 # DEPENDENCYPART_ARC
(4,19),-1.01177 # DEPENDENCYPART_ARC
(4,20),-1.84005 # DEPENDENCYPART_ARC
(4,21),-5.24206 # DEPENDENCYPART_ARC
(4,22),-2.53704 # DEPENDENCYPART_ARC
(4,23),-3.97645 # DEPENDENCYPART_ARC
(4,24),-7.98433 # DEPENDENCYPART_ARC
(4,25),-4.26709 # DEPENDENCYPART_ARC
(4,26),-1.08554 # DEPENDENCYPART_ARC
(5,1),-3.28919 # DEPENDENCYPART_ARC
(5,2),-2.20021 # DEPENDENCYPART_ARC
(5,3),-1.17979 # DEPENDENCYPART_ARC
(5,4),-1.80583 # DEPENDENCYPART_ARC
(5,6),0.891214 # DEPENDENCYPART_ARC
(5,7),-1.63992 # DEPENDENCYPART_ARC
(5,8),-0.333588 # DEPENDENCYPART_ARC
(5,9),-0.23626 # DEPENDENCYPART_ARC
(5,10),-1.27109 # DEPENDENCYPART_ARC
(5,11),-0.89038 # DEPENDENCYPART_ARC
(5,12),-0.472103 # DEPENDENCYPART_ARC
(5,13),-1.48585 # DEPENDENCYPART_ARC
(5,14),-3.02117 # DEPENDENCYPART_ARC
(5,15),-0.345609 # DEPENDENCYPART_ARC
(5,16),-2.0677 # DEPENDENCYPART_ARC
(5,17),-0.883078 # DEPENDENCYPART_ARC
(5,18),-1.77482 # DEPENDENCYPART_ARC
(5,19),-1.77959 # DEPENDENCYPART_ARC
(5,20),-3.97536 # DEPENDENCYPART_ARC
(5,21),-4.04685 # DEPENDENCYPART_ARC
(5,22),-1.58471 # DEPENDENCYPART_ARC
(5,23),-3.82687 # DEPENDENCYPART_ARC
(5,24),-3.53578 # DEPENDENCYPART_ARC
(5,25),-3.91336 # DEPENDENCYPART_ARC
(5,26),-1.97164 # DEPENDENCYPART_ARC
(6,1),-4.85431 # DEPENDENCYPART_ARC
(6,2),-0.945439 # DEPENDENCYPART_ARC
(6,3),-2.13802 # DEPENDENCYPART_ARC
(6,4),-3.50329 # DEPENDENCYPART_ARC
(6,5),1.09198 # DEPENDENCYPART_ARC
(6,7),-0.0373402 # DEPENDENCYPART_ARC
(6,8),-0.426871 # DEPENDENCYPART_ARC
(6,9),-2.12852 # DEPENDENCYPART_ARC
(6,10),-2.19489 # DEPENDENCYPART_ARC
(6,11),-1.2936 # DEPENDENCYPART_ARC
(6,12),-1.54782 # DEPENDENCYPART_ARC
(6,13),-2.32318 # DEPENDENCYPART_ARC
(6,14),-3.65657 # DEPENDENCYPART_ARC
(6,15),-1.56616 # DEPENDENCYPART_ARC
(6,16),-2.86714 # DEPENDENCYPART_ARC
(6,17),-1.58488 # DEPENDENCYPART_ARC
(6,18),-1.06754 # DEPENDENCYPART_ARC
(6,19),-1.86968 # DEPENDENCYPART_ARC
(6,20),-3.53925 # DEPENDENCYPART_ARC
(6,21),-4.22204 # DEPENDENCYPART_ARC
(6,22),-3.37417 # DEPENDENCYPART_ARC
(6,23),-7.60096 # DEPENDENCYPART_ARC
(6,24),-5.52075 # DEPENDENCYPART_ARC
(6,25),-6.8528 # DEPENDENCYPART_ARC
(6,26),-3.69226 # DEPENDENCYPART_ARC
(7,1),-4.84422 # DEPENDENCYPART_ARC
(7,2),-1.84719 # DEPENDENCYPART_ARC
(7,3),-0.760475 # DEPENDENCYPART_ARC
(7,4),-3.41614 # DEPENDENCYPART_ARC
(7,5),4.46716 # DEPENDENCYPART_ARC
(7,6),5.13577 # DEPENDENCYPART_ARC
(7,8),-0.22196 # DEPENDENCYPART_ARC
(7,9),-0.765346 # DEPENDENCYPART_ARC
(7,10),-0.557375 # DEPENDENCYPART_ARC
(7,11),-1.00845 # DEPENDENCYPART_ARC
(7,12),-1.57692 # DEPENDENCYPART_ARC
(7,13),-3.28607 # DEPENDENCYPART_ARC
(7,14),-3.63186 # DEPENDENCYPART_ARC
(7,15),-2.07483 # DEPENDENCYPART_ARC
(7,16),-3.06434 # DEPENDENCYPART_ARC
(7,17),-0.851033 # DEPENDENCYPART_ARC
(7,18),-1.46999 # DEPENDENCYPART_ARC
(7,19),-2.21973 # DEPENDENCYPART_ARC
(7,20),-3.67238 # DEPENDENCYPART_ARC
(7,21),-4.16201 # DEPENDENCYPART_ARC
(7,22),-3.51283 # DEPENDENCYPART_ARC
(7,23),-8.24066 # DEPENDENCYPART_ARC
(7,24),-3.4104 # DEPENDENCYPART_ARC
(7,25),-4.77198 # DEPENDENCYPART_ARC
(7,26),-7.11676 # DEPENDENCYPART_ARC
(8,1),0.0509559 # DEPENDENCYPART_ARC
(8,2),-0.0790323 # DEPENDENCYPART_ARC
(8,3),0.0622948 # DEPENDENCYPART_ARC
(8,4),0.760897 # DEPENDENCYPART_ARC
(8,5),0.638799 # DEPENDENCYPART_ARC
(8,6),0.213392 # DEPENDENCYPART_ARC
(8,7),0.0328332 # DEPENDENCYPART_ARC
(8,9),0.14643 # DEPENDENCYPART_ARC
(8,10),-0.157712 # DEPENDENCYPART_ARC
(8,11),-0.757244 # DEPENDENCYPART_ARC
(8,12),-1.02186 # DEPENDENCYPART_ARC
(8,13),-1.29843 # DEPENDENCYPART_ARC
(8,14),-2.06782 # DEPENDENCYPART_ARC
(8,15),-0.83069 # DEPENDENCYPART_ARC
(8,16),-1.63328 # DEPENDENCYPART_ARC
(8,17),-0.257996 # DEPENDENCYPART_ARC
(8,18),-0.360293 # DEPENDENCYPART_ARC
(8,19),-1.13056 # DEPENDENCYPART_ARC
(8,20),-1.79721 # DEPENDENCYPART_ARC
(8,21),-2.9538 # DEPENDENCYPART_ARC
(8,22),-2.02882 # DEPENDENCYPART_ARC
(8,23),-4.0759 # DEPENDENCYPART_ARC
(8,24),-2.65641 # DEPENDENCYPART_ARC
(8,25),-4.09281 # DEPENDENCYPART_ARC
(8,26),-1.01709 # DEPENDENCYPART_ARC
(9,1),1.63824 # DEPENDENCYPART_ARC
(9,2),0.557821 # DEPENDENCYPART_ARC
(9,3),-0.0755536 # DEPENDENCYPART_ARC
(9,4),-0.391362 # DEPENDENCYPART_ARC
(9,5),-0.461019 # DEPENDENCYPART_ARC
(9,6),-1.74194 # DEPENDENCYPART_ARC
(9,7),-0.083183 # DEPENDENCYPART_ARC
(9,8),0.347169 # DEPENDENCYPART_ARC
(9,10),4.29895 # DEPENDENCYPART_ARC
(9,11),1.34196 # DEPENDENCYPART_ARC
(9,12),1.83513 # DEPENDENCYPART_ARC
(9,13),-1.09389 # DEPENDENCYPART_ARC
(9,14),0.561762 # DEPENDENCYPART_ARC
(9,15),1.69308 # DEPENDENCYPART_ARC
(9,16),-2.18136 # DEPENDENCYPART_ARC
(9,17),0.703435 # DEPENDENCYPART_ARC
(9,18),0.88057 # DEPENDENCYPART_ARC
(9,19),0.247278 # DEPENDENCYPART_ARC
(9,20),0.275643 # DEPENDENCYPART_ARC
(9,21),-2.29123 # DEPENDENCYPART_ARC
(9,22),-0.910194 # DEPENDENCYPART_ARC
(9,23),-1.87198 # DEPENDENCYPART_ARC
(9,24),-5.98674 # DEPENDENCYPART_ARC
(9,25),-3.12692 # DEPENDENCYPART_ARC
(9,26),0.321934 # DEPENDENCYPART_ARC
(10,1),-1.84244 # DEPENDENCYPART_ARC
(10,2),-1.49068 # DEPENDENCYPART_ARC
(10,3),-0.879449 # DEPENDENCYPART_ARC
(10,4),-4.01194 # DEPENDENCYPART_ARC
(10,5),-1.76694 # DEPENDENCYPART_ARC
(10,6),-3.33889 # DEPENDENCYPART_ARC
(10,7),-1.21469 # DEPENDENCYPART_ARC
(10,8),-0.966497 # DEPENDENCYPART_ARC
(10,9),-0.704094 # DEPENDENCYPART_ARC
(10,11),0.335467 # DEPENDENCYPART_ARC
(10,12),0.18103 # DEPENDENCYPART_ARC
(10,13),-3.0457 # DEPENDENCYPART_ARC
(10,14),-1.38472 # DEPENDENCYPART_ARC
(10,15),-0.236726 # DEPENDENCYPART_ARC
(10,16),-3.23919 # DEPENDENCYPART_ARC
(10,17),-0.0765917 # DEPENDENCYPART_ARC
(10,18),0.0752561 # DEPENDENCYPART_ARC
(10,19),-1.14201 # DEPENDENCYPART_ARC
(10,20),-2.44904 # DEPENDENCYPART_ARC
(10,21),-4.04241 # DEPENDENCYPART_ARC
(10,22),-2.76633 # DEPENDENCYPART_ARC
(10,23),-3.30174 # DEPENDENCYPART_ARC
(10,24),-6.63753 # DEPENDENCYPART_ARC
(10,25),-4.13409 # DEPENDENCYPART_ARC
(10,26),-0.306979 # DEPENDENCYPART_ARC
(11,1),-3.18966 # DEPENDENCYPART_ARC
(11,2),-1.88859 # DEPENDENCYPART_ARC
(11,3),-1.67184 # DEPENDENCYPART_ARC
(11,4),-1.74165 # DEPENDENCYPART_ARC
(11,5),-1.55707 # DEPENDENCYPART_ARC
(11,6),-1.83751 # DEPENDENCYPART_ARC
(11,7),-2.03324 # DEPENDENCYPART_ARC
(11,8),-1.50437 # DEPENDENCYPART_ARC
(11,9),-0.941407 # DEPENDENCYPART_ARC
(11,10),-0.947712 # DEPENDENCYPART_ARC
(11,12),0.139763 # DEPENDENCYPART_ARC
(11,13),-0.7576 # DEPENDENCYPART_ARC
(11,14),-0.937888 # DEPENDENCYPART_ARC
(11,15),-1.30685 # DEPENDENCYPART_ARC
(11,16),-1.42279 # DEPENDENCYPART_ARC
(11,17),-0.730354 # DEPENDENCYPART_ARC
(11,18),-0.955216 # DEPENDENCYPART_ARC
(11,19),-1.26741 # DEPENDENCYPART_ARC
(11,20),-1.80676 # DEPENDENCYPART_ARC
(11,21),-1.94391 # DEPENDENCYPART_ARC
(11,22),-2.07687 # DEPENDENCYPART_ARC
(11,23),-2.76647 # DEPENDENCYPART_ARC
(11,24),-2.18522 # DEPENDENCYPART_ARC
(11,25),-2.90677 # DEPENDENCYPART_ARC
(11,26),-2.39484 # DEPENDENCYPART_ARC
(12,1),-4.67588 # DEPENDENCYPART_ARC
(12,2),-2.13286 # DEPENDENCYPART_ARC
(12,3),-1.64191 # DEPENDENCYPART_ARC
(12,4),-3.02791 # DEPENDENCYPART_ARC
(12,5),-1.61323 # DEPENDENCYPART_ARC
(12,6),-2.3753 # DEPENDENCYPART_ARC
(12,7),-2.23263 # DEPENDENCYPART_ARC
(12,8),-0.727119 # DEPENDENCYPART_ARC
(12,9),-1.85914 # DEPENDENCYPART_ARC
(12,10),-1.47851 # DEPENDENCYPART_ARC
(12,11),-0.124659 # DEPENDENCYPART_ARC
(12,13),1.89267 # DEPENDENCYPART_ARC
(12,14),4.43392 # DEPENDENCYPART_ARC
(12,15),-0.514201 # DEPENDENCYPART_ARC
(12,16),-0.420562 # DEPENDENCYPART_ARC
(12,17),0.269999 # DEPENDENCYPART_ARC
(12,18),-0.80728 # DEPENDENCYPART_ARC
(12,19),-1.40589 # DEPENDENCYPART_ARC
(12,20),-1.11081 # DEPENDENCYPART_ARC
(12,21),-1.91117 # DEPENDENCYPART_ARC
(12,22),-1.39792 # DEPENDENCYPART_ARC
(12,23),-3.62534 # DEPENDENCYPART_ARC
(12,24),-3.00548 # DEPENDENCYPART_ARC
(12,25),-4.29536 # DEPENDENCYPART_ARC
(12,26),-2.08065 # DEPENDENCYPART_ARC
(13,1),-2.86682 # DEPENDENCYPART_ARC
(13,2),-3.16589 # DEPENDENCYPART_ARC
(13,3),-2.84695 # DEPENDENCYPART_ARC
(13,4),-3.79338 # DEPENDENCYPART_ARC
(13,5),-2.46763 # DEPENDENCYPART_ARC
(13,6),-3.13319 # DEPENDENCYPART_ARC
(13,7),-2.20484 # DEPENDENCYPART_ARC
(13,8),-1.61918 # DEPENDENCYPART_ARC
(13,9),-3.62577 # DEPENDENCYPART_ARC
(13,10),-2.64333 # DEPENDENCYPART_ARC
(13,11),0.536421 # DEPENDENCYPART_ARC
(13,12),-0.734746 # DEPENDENCYPART_ARC
(13,14),2.92492 # DEPENDENCYPART_ARC
(13,15),-0.122239 # DEPENDENCYPART_ARC
(13,16),-1.76245 # DEPENDENCYPART_ARC
(13,17),-1.24309 # DEPENDENCYPART_ARC
(13,18),-1.17305 # DEPENDENCYPART_ARC
(13,19),-1.5798 # DEPENDENCYPART_ARC
(13,20),-3.50431 # DEPENDENCYPART_ARC
(13,21),-3.58675 # DEPENDENCYPART_ARC
(13,22),-2.92682 # DEPENDENCYPART_ARC
(13,23),-3.22132 # DEPENDENCYPART_ARC
(13,24),-3.11338 # DEPENDENCYPART_ARC
(13,25),-1.59758 # DEPENDENCYPART_ARC
(13,26),-2.70809 # DEPENDENCYPART_ARC
(14,1),-3.02956 # DEPENDENCYPART_ARC
(14,2),-2.99573 # DEPENDENCYPART_ARC
(14,3),-3.36593 # DEPENDENCYPART_ARC
(14,4),-4.30253 # DEPENDENCYPART_ARC
(14,5),-1.9975 # DEPENDENCYPART_ARC
(14,6),-3.08197 # DEPENDENCYPART_ARC
(14,7),-2.46472 # DEPENDENCYPART_ARC
(14,8),-1.00441 # DEPENDENCYPART_ARC
(14,9),-3.51603 # DEPENDENCYPART_ARC
(14,10),-0.900028 # DEPENDENCYPART_ARC
(14,11),2.35112 # DEPENDENCYPART_ARC
(14,12),0.183695 # DEPENDENCYPART_ARC
(14,13),4.94368 # DEPENDENCYPART_ARC
(14,15),0.315525 # DEPENDENCYPART_ARC
(14,16),-0.888337 # DEPENDENCYPART_ARC
(14,17),-0.953662 # DEPENDENCYPART_ARC
(14,18),-0.967273 # DEPENDENCYPART_ARC
(14,19),-1.37815 # DEPENDENCYPART_ARC
(14,20),-2.8117 # DEPENDENCYPART_ARC
(14,21),-2.69939 # DEPENDENCYPART_ARC
(14,22),-1.70243 # DEPENDENCYPART_ARC
(14,23),-7.24554 # DEPENDENCYPART_ARC
(14,24),-5.34058 # DEPENDENCYPART_ARC
(14,25),-3.3149 # DEPENDENCYPART_ARC
(14,26),-4.41866 # DEPENDENCYPART_ARC
(15,1),-4.33823 # DEPENDENCYPART_ARC
(15,2),-2.17136 # DEPENDENCYPART_ARC
(15,3),-1.77609 # DEPENDENCYPART_ARC
(15,4),-3.08138 # DEPENDENCYPART_ARC
(15,5),-1.91363 # DEPENDENCYPART_ARC
(15,6),-2.36145 # DEPENDENCYPART_ARC
(15,7),-2.46536 # DEPENDENCYPART_ARC
(15,8),-1.13338 # DEPENDENCYPART_ARC
(15,9),-2.39321 # DEPENDENCYPART_ARC
(15,10),-2.17112 # DEPENDENCYPART_ARC
(15,11),-1.18122 # DEPENDENCYPART_ARC
(15,12),-1.26736 # DEPENDENCYPART_ARC
(15,13),-0.615372 # DEPENDENCYPART_ARC
(15,14),-0.00317861 # DEPENDENCYPART_ARC
(15,16),1.89228 # DEPENDENCYPART_ARC
(15,17),0.727141 # DEPENDENCYPART_ARC
(15,18),0.00423169 # DEPENDENCYPART_ARC
(15,19),-0.796463 # DEPENDENCYPART_ARC
(15,20),-0.362817 # DEPENDENCYPART_ARC
(15,21),-1.35407 # DEPENDENCYPART_ARC
(15,22),-0.795198 # DEPENDENCYPART_ARC
(15,23),-2.45996 # DEPENDENCYPART_ARC
(15,24),-1.00859 # DEPENDENCYPART_ARC
(15,25),-0.732894 # DEPENDENCYPART_ARC
(15,26),-1.59636 # DEPENDENCYPART_ARC
(16,1),-2.47677 # DEPENDENCYPART_ARC
(16,2),-1.83518 # DEPENDENCYPART_ARC
(16,3),-1.54201 # DEPENDENCYPART_ARC
(16,4),-3.20257 # DEPENDENCYPART_ARC
(16,5),-1.30024 # DEPENDENCYPART_ARC
(16,6),-2.67695 # DEPENDENCYPART_ARC
(16,7),-2.33312 # DEPENDENCYPART_ARC
(16,8),-1.52944 # DEPENDENCYPART_ARC
(16,9),-3.31784 # DEPENDENCYPART_ARC
(16,10),-2.66981 # DEPENDENCYPART_ARC
(16,11),0.171611 # DEPENDENCYPART_ARC
(16,12),-1.11557 # DEPENDENCYPART_ARC
(16,13),-0.571177 # DEPENDENCYPART_ARC
(16,14),-0.983447 # DEPENDENCYPART_ARC
(16,15),0.112149 # DEPENDENCYPART_ARC
(16,17),0.670783 # DEPENDENCYPART_ARC
(16,18),0.0436731 # DEPENDENCYPART_ARC
(16,19),-0.512918 # DEPENDENCYPART_ARC
(16,20),-1.88116 # DEPENDENCYPART_ARC
(16,21),-2.08369 # DEPENDENCYPART_ARC
(16,22),-2.1283 # DEPENDENCYPART_ARC
(16,23),-3.31342 # DEPENDENCYPART_ARC
(16,24),-3.28819 # DEPENDENCYPART_ARC
(16,25),-2.73905 # DEPENDENCYPART_ARC
(16,26),-1.23389 # DEPENDENCYPART_ARC
(17,1),-2.65024 # DEPENDENCYPART_ARC
(17,2),-1.28219 # DEPENDENCYPART_ARC
(17,3),-0.658053 # DEPENDENCYPART_ARC
(17,4),-0.349355 # DEPENDENCYPART_ARC
(17,5),-0.789618 # DEPENDENCYPART_ARC
(17,6),-1.54945 # DEPENDENCYPART_ARC
(17,7),-1.91524 # DEPENDENCYPART_ARC
(17,8),-1.01048 # DEPENDENCYPART_ARC
(17,9),0.348721 # DEPENDENCYPART_ARC
(17,10),0.107713 # DEPENDENCYPART_ARC
(17,11),-0.240225 # DEPENDENCYPART_ARC
(17,12),-0.249921 # DEPENDENCYPART_ARC
(17,13),-0.20079 # DEPENDENCYPART_ARC
(17,14),-0.170691 # DEPENDENCYPART_ARC
(17,15),-0.286392 # DEPENDENCYPART_ARC
(17,16),0.411534 # DEPENDENCYPART_ARC
(17,18),0.211481 # DEPENDENCYPART_ARC
(17,19),0.0731692 # DEPENDENCYPART_ARC
(17,20),0.439639 # DEPENDENCYPART_ARC
(17,21),-0.507025 # DEPENDENCYPART_ARC
(17,22),-0.739233 # DEPENDENCYPART_ARC
(17,23),-1.98778 # DEPENDENCYPART_ARC
(17,24),-0.819448 # DEPENDENCYPART_ARC
(17,25),-2.22593 # DEPENDENCYPART_ARC
(17,26),-0.703647 # DEPENDENCYPART_ARC
(18,1),-0.959413 # DEPENDENCYPART_ARC
(18,2),-0.896881 # DEPENDENCYPART_ARC
(18,3),-1.01625 # DEPENDENCYPART_ARC
(18,4),0.111128 # DEPENDENCYPART_ARC
(18,5),-0.271971 # DEPENDENCYPART_ARC
(18,6),-0.840823 # DEPENDENCYPART_ARC
(18,7),-0.800763 # DEPENDENCYPART_ARC
(18,8),-0.0409903 # DEPENDENCYPART_ARC
(18,9),1.11337 # DEPENDENCYPART_ARC
(18,10),0.656064 # DEPENDENCYPART_ARC
(18,11),0.214799 # DEPENDENCYPART_ARC
(18,12),0.233016 # DEPENDENCYPART_ARC
(18,13),0.444312 # DEPENDENCYPART_ARC
(18,14),0.257171 # DEPENDENCYPART_ARC
(18,15),0.500153 # DEPENDENCYPART_ARC
(18,16),1.15985 # DEPENDENCYPART_ARC
(18,17),2.62677 # DEPENDENCYPART_ARC
(18,19),0.656822 # DEPENDENCYPART_ARC
(18,20),1.91312 # DEPENDENCYPART_ARC
(18,21),1.26487 # DEPENDENCYPART_ARC
(18,22),-0.271362 # DEPENDENCYPART_ARC
(18,23),-0.991352 # DEPENDENCYPART_ARC
(18,24),-0.189196 # DEPENDENCYPART_ARC
(18,25),-1.09716 # DEPENDENCYPART_ARC
(18,26),-0.543533 # DEPENDENCYPART_ARC
(19,1),-3.47877 # DEPENDENCYPART_ARC
(19,2),-2.0507 # DEPENDENCYPART_ARC
(19,3),-1.39248 # DEPENDENCYPART_ARC
(19,4),-2.10571 # DEPENDENCYPART_ARC
(19,5),-1.51487 # DEPENDENCYPART_ARC
(19,6),-2.57236 # DEPENDENCYPART_ARC
(19,7),-2.98946 # DEPENDENCYPART_ARC
(19,8),-1.48476 # DEPENDENCYPART_ARC
(19,9),-1.28818 # DEPENDENCYPART_ARC
(19,10),-1.57272 # DEPENDENCYPART_ARC
(19,11),-0.192402 # DEPENDENCYPART_ARC
(19,12),-0.981608 # DEPENDENCYPART_ARC
(19,13),-1.37632 # DEPENDENCYPART_ARC
(19,14),-1.21622 # DEPENDENCYPART_ARC
(19,15),-0.0840962 # DEPENDENCYPART_ARC
(19,16),-0.679524 # DEPENDENCYPART_ARC
(19,17),0.61199 # DEPENDENCYPART_ARC
(19,18),0.838933 # DEPENDENCYPART_ARC
(19,20),-0.386466 # DEPENDENCYPART_ARC
(19,21),-0.635678 # DEPENDENCYPART_ARC
(19,22),0.0141633 # DEPENDENCYPART_ARC
(19,23),-1.35866 # DEPENDENCYPART_ARC
(19,24),-0.433925 # DEPENDENCYPART_ARC
(19,25),-1.00704 # DEPENDENCYPART_ARC
(19,26),-0.0103055 # DEPENDENCYPART_ARC
(20,1),-1.76673 # DEPENDENCYPART_ARC
(20,2),-2.212 # DEPENDENCYPART_ARC
(20,3),-2.0195 # DEPENDENCYPART_ARC
(20,4),-5.02739 # DEPENDENCYPART_ARC
(20,5),-3.2654 # DEPENDENCYPART_ARC
