# _root_ Jde zhruba o polovinu Afriky , velkou část Asie , Jižní a Střední Ameriku a Irsko .
#goldHeads=0,4,1,15,4,15,8,15,8,15,12,14,12,15,3,15,0,
#predictedHeads=0,1,1,3,4,15,8,6,8,15,12,14,12,15,3,15,0,
(6,8),1.59854 # DEPENDENCYPART_ARC
(6,9),1.31362 # DEPENDENCYPART_ARC
(6,10),0.640045 # DEPENDENCYPART_ARC
(6,11),-0.712728 # DEPENDENCYPART_ARC
(6,12),0.337054 # DEPENDENCYPART_ARC
(6,13),-0.46406 # DEPENDENCYPART_ARC
(6,14),0.53824 # DEPENDENCYPART_ARC
(6,15),-0.0338205 # DEPENDENCYPART_ARC
(6,16),-0.290755 # DEPENDENCYPART_ARC
(6,17),-0.794189 # DEPENDENCYPART_ARC
(7,1),-3.73953 # DEPENDENCYPART_ARC
(7,2),-1.56216 # DEPENDENCYPART_ARC
(7,3),-0.594749 # DEPENDENCYPART_ARC
(7,4),-1.23727 # DEPENDENCYPART_ARC
(7,5),-2.35588 # DEPENDENCYPART_ARC
(7,6),0.559397 # DEPENDENCYPART_ARC
(7,8),-0.451274 # DEPENDENCYPART_ARC
(7,9),-0.0383054 # DEPENDENCYPART_ARC
(7,10),-0.0202804 # DEPENDENCYPART_ARC
(7,11),-1.7143 # DEPENDENCYPART_ARC
(7,12),-0.0904128 # DEPENDENCYPART_ARC
(7,13),-2.36026 # DEPENDENCYPART_ARC
(7,14),-3.4648 # DEPENDENCYPART_ARC
(7,15),0.1769 # DEPENDENCYPART_ARC
(7,16),-3.51343 # DEPENDENCYPART_ARC
(7,17),-1.4768 # DEPENDENCYPART_ARC
(8,1),-1.8216 # DEPENDENCYPART_ARC
(8,2),0.419317 # DEPENDENCYPART_ARC
(8,3),-0.29222 # DEPENDENCYPART_ARC
(8,4),-0.0967816 # DEPENDENCYPART_ARC
(8,5),-2.16459 # DEPENDENCYPART_ARC
(8,6),0.569861 # DEPENDENCYPART_ARC
(8,7),4.4791 # DEPENDENCYPART_ARC
(8,9),4.9354 # DEPENDENCYPART_ARC
(8,10),0.552891 # DEPENDENCYPART_ARC
(8,11),2.25241 # DEPENDENCYPART_ARC
(8,12),0.980567 # DEPENDENCYPART_ARC
(8,13),0.957664 # DEPENDENCYPART_ARC
(8,14),-0.138332 # DEPENDENCYPART_ARC
(8,15),1.21179 # DEPENDENCYPART_ARC
(8,16),-1.32562 # DEPENDENCYPART_ARC
(8,17),-2.59831 # DEPENDENCYPART_ARC
(9,1),-2.58161 # DEPENDENCYPART_ARC
(9,2),-0.988483 # DEPENDENCYPART_ARC
(9,3),-2.03794 # DEPENDENCYPART_ARC
(9,4),-2.86935 # DEPENDENCYPART_ARC
(9,5),-1.79937 # DEPENDENCYPART_ARC
(9,6),-0.253001 # DEPENDENCYPART_ARC
(9,7),0.72791 # DEPENDENCYPART_ARC
(9,8),-1.11411 # DEPENDENCYPART_ARC
(9,10),-0.90518 # DEPENDENCYPART_ARC
(9,11),-1.44655 # DEPENDENCYPART_ARC
(9,12),-0.0595834 # DEPENDENCYPART_ARC
(9,13),-3.26291 # DEPENDENCYPART_ARC
(9,14),-4.19837 # DEPENDENCYPART_ARC
(9,15),-0.803587 # DEPENDENCYPART_ARC
(9,16),-5.91859 # DEPENDENCYPART_ARC
(9,17),-3.47896 # DEPENDENCYPART_ARC
(10,1),-0.337936 # DEPENDENCYPART_ARC
(10,2),-0.34048 # DEPENDENCYPART_ARC
(10,3),-0.256067 # DEPENDENCYPART_ARC
(10,4),1.13884 # DEPENDENCYPART_ARC
(10,5),0.739154 # DEPENDENCYPART_ARC
(10,6),0.341764 # DEPENDENCYPART_ARC
(10,7),0.414695 # DEPENDENCYPART_ARC
(10,8),0.331064 # DEPENDENCYPART_ARC
(10,9),1.07518 # DEPENDENCYPART_ARC
(10,11),0.221004 # DEPENDENCYPART_ARC
(10,12),0.310973 # DEPENDENCYPART_ARC
(10,13),0.26618 # DEPENDENCYPART_ARC
(10,14),1.25093 # DEPENDENCYPART_ARC
(10,15),0.0307931 # DEPENDENCYPART_ARC
(10,16),0.148424 # DEPENDENCYPART_ARC
(10,17),-0.270355 # DEPENDENCYPART_ARC
(11,1),-4.32128 # DEPENDENCYPART_ARC
(11,2),-2.63959 # DEPENDENCYPART_ARC
(11,3),-1.72463 # DEPENDENCYPART_ARC
(11,4),-2.33599 # DEPENDENCYPART_ARC
(11,5),-3.71245 # DEPENDENCYPART_ARC
(11,6),-1.02439 # DEPENDENCYPART_ARC
(11,7),-1.87336 # DEPENDENCYPART_ARC
(11,8),-1.60953 # DEPENDENCYPART_ARC
(11,9),-2.49735 # DEPENDENCYPART_ARC
(11,10),0.544862 # DEPENDENCYPART_ARC
(11,12),0.281771 # DEPENDENCYPART_ARC
(11,13),-1.27242 # DEPENDENCYPART_ARC
(11,14),-1.93386 # DEPENDENCYPART_ARC
(11,15),-0.465937 # DEPENDENCYPART_ARC
(11,16),-2.04398 # DEPENDENCYPART_ARC
(11,17),-0.753049 # DEPENDENCYPART_ARC
(12,1),-0.692428 # DEPENDENCYPART_ARC
(12,2),0.531005 # DEPENDENCYPART_ARC
(12,3),-0.0817362 # DEPENDENCYPART_ARC
(12,4),1.24271 # DEPENDENCYPART_ARC
(12,5),1.30397 # DEPENDENCYPART_ARC
(12,6),0.72607 # DEPENDENCYPART_ARC
(12,7),1.22886 # DEPENDENCYPART_ARC
(12,8),1.078 # DEPENDENCYPART_ARC
(12,9),1.47595 # DEPENDENCYPART_ARC
(12,10),0.986478 # DEPENDENCYPART_ARC
(12,11),4.45735 # DEPENDENCYPART_ARC
(12,13),6.99805 # DEPENDENCYPART_ARC
(12,14),1.55576 # DEPENDENCYPART_ARC
(12,15),0.263116 # DEPENDENCYPART_ARC
(12,16),0.718573 # DEPENDENCYPART_ARC
(12,17),-0.220404 # DEPENDENCYPART_ARC
(13,1),-5.57384 # DEPENDENCYPART_ARC
(13,2),-4.24273 # DEPENDENCYPART_ARC
(13,3),-3.08043 # DEPENDENCYPART_ARC
(13,4),-3.52441 # DEPENDENCYPART_ARC
(13,5),-5.00358 # DEPENDENCYPART_ARC
(13,6),-2.57006 # DEPENDENCYPART_ARC
(13,7),-3.61408 # DEPENDENCYPART_ARC
(13,8),-3.21136 # DEPENDENCYPART_ARC
(13,9),-4.30152 # DEPENDENCYPART_ARC
(13,10),-1.52911 # DEPENDENCYPART_ARC
(13,11),-1.98598 # DEPENDENCYPART_ARC
(13,12),-0.562786 # DEPENDENCYPART_ARC
(13,14),-1.14866 # DEPENDENCYPART_ARC
(13,15),-0.285584 # DEPENDENCYPART_ARC
(13,16),-2.6229 # DEPENDENCYPART_ARC
(13,17),-1.22911 # DEPENDENCYPART_ARC
(14,1),-3.50405 # DEPENDENCYPART_ARC
(14,2),-1.85998 # DEPENDENCYPART_ARC
(14,3),-2.52964 # DEPENDENCYPART_ARC
(14,4),-3.11227 # DEPENDENCYPART_ARC
(14,5),-4.95305 # DEPENDENCYPART_ARC
(14,6),-1.33523 # DEPENDENCYPART_ARC
(14,7),0.554291 # DEPENDENCYPART_ARC
(14,8),-2.88163 # DEPENDENCYPART_ARC
(14,9),-3.8235 # DEPENDENCYPART_ARC
(14,10),-0.799444 # DEPENDENCYPART_ARC
(14,11),0.186903 # DEPENDENCYPART_ARC
(14,12),1.96066 # DEPENDENCYPART_ARC
(14,13),3.3763 # DEPENDENCYPART_ARC
(14,15),-0.922449 # DEPENDENCYPART_ARC
(14,16),-2.23269 # DEPENDENCYPART_ARC
(14,17),-1.68182 # DEPENDENCYPART_ARC
(15,1),-0.16228 # DEPENDENCYPART_ARC
(15,2),0.699556 # DEPENDENCYPART_ARC
(15,3),-0.60917 # DEPENDENCYPART_ARC
(15,4),1.59357 # DEPENDENCYPART_ARC
(15,5),2.5153 # DEPENDENCYPART_ARC
(15,6),1.17318 # DEPENDENCYPART_ARC
(15,7),0.621078 # DEPENDENCYPART_ARC
(15,8),1.3557 # DEPENDENCYPART_ARC
(15,9),2.26603 # DEPENDENCYPART_ARC
(15,10),1.237 # DEPENDENCYPART_ARC
(15,11),0.811362 # DEPENDENCYPART_ARC
(15,12),0.816229 # DEPENDENCYPART_ARC
(15,13),2.36418 # DEPENDENCYPART_ARC
(15,14),3.84444 # DEPENDENCYPART_ARC
(15,16),3.69773 # DEPENDENCYPART_ARC
(15,17),0.29829 # DEPENDENCYPART_ARC
(16,1),-4.59902 # DEPENDENCYPART_ARC
(16,2),-2.76582 # DEPENDENCYPART_ARC
(16,3),-3.81956 # DEPENDENCYPART_ARC
(16,4),-6.77771 # DEPENDENCYPART_ARC
(16,5),-7.94586 # DEPENDENCYPART_ARC
(16,6),-1.91977 # DEPENDENCYPART_ARC
(16,7),-3.70663 # DEPENDENCYPART_ARC
(16,8),-6.29022 # DEPENDENCYPART_ARC
(16,9),-7.13062 # DEPENDENCYPART_ARC
(16,10),-1.5608 # DEPENDENCYPART_ARC
(16,11),-3.72339 # DEPENDENCYPART_ARC
(16,12),-0.999308 # DEPENDENCYPART_ARC
(16,13),-1.99514 # DEPENDENCYPART_ARC
(16,14),-3.75481 # DEPENDENCYPART_ARC
(16,15),-0.665502 # DEPENDENCYPART_ARC
(16,17),-0.459901 # DEPENDENCYPART_ARC
(17,1),-4.00471 # DEPENDENCYPART_ARC
(17,2),-3.38772 # DEPENDENCYPART_ARC
(17,3),-4.9696 # DEPENDENCYPART_ARC
(17,4),-2.85299 # DEPENDENCYPART_ARC
(17,5),-3.15848 # DEPENDENCYPART_ARC
(17,6),-2.95385 # DEPENDENCYPART_ARC
(17,7),-3.33266 # DEPENDENCYPART_ARC
(17,8),-3.13192 # DEPENDENCYPART_ARC
(17,9),-2.76877 # DEPENDENCYPART_ARC
(17,10),-2.52694 # DEPENDENCYPART_ARC
(17,11),-3.11307 # DEPENDENCYPART_ARC
(17,12),-3.68554 # DEPENDENCYPART_ARC
(17,13),-2.85448 # DEPENDENCYPART_ARC
(17,14),-2.60322 # DEPENDENCYPART_ARC
(17,15),-3.39645 # DEPENDENCYPART_ARC
(17,16),-2.61704 # DEPENDENCYPART_ARC
