# _root_ Podle Janouška již skončilo období kontroly formálních náležitostí přiznání a druhá fáze , tedy podrobná kontrola věcné správnosti , se právě rozbíhá .
#goldHeads=4,1,4,10,4,5,8,6,8,0,12,14,14,22,16,14,18,16,14,22,22,10,0,
#predictedHeads=4,1,4,0,4,5,8,6,10,8,12,10,14,22,16,22,18,16,22,22,22,12,0,
(6,20),-4.00486 # DEPENDENCYPART_ARC
(6,21),-1.15243 # DEPENDENCYPART_ARC
(6,22),-1.79199 # DEPENDENCYPART_ARC
(6,23),-6.83234 # DEPENDENCYPART_ARC
(7,1),-1.12184 # DEPENDENCYPART_ARC
(7,2),-2.43481 # DEPENDENCYPART_ARC
(7,3),-0.906217 # DEPENDENCYPART_ARC
(7,4),-2.9557 # DEPENDENCYPART_ARC
(7,5),-2.02296 # DEPENDENCYPART_ARC
(7,6),-0.124578 # DEPENDENCYPART_ARC
(7,8),0.627667 # DEPENDENCYPART_ARC
(7,9),-1.33381 # DEPENDENCYPART_ARC
(7,10),0.276044 # DEPENDENCYPART_ARC
(7,11),-3.37958 # DEPENDENCYPART_ARC
(7,12),-2.1638 # DEPENDENCYPART_ARC
(7,13),-0.719371 # DEPENDENCYPART_ARC
(7,14),-0.958452 # DEPENDENCYPART_ARC
(7,15),-4.17478 # DEPENDENCYPART_ARC
(7,16),-3.41412 # DEPENDENCYPART_ARC
(7,17),-4.37177 # DEPENDENCYPART_ARC
(7,18),-3.88173 # DEPENDENCYPART_ARC
(7,19),-0.915341 # DEPENDENCYPART_ARC
(7,20),-3.62041 # DEPENDENCYPART_ARC
(7,21),-1.83492 # DEPENDENCYPART_ARC
(7,22),-4.32128 # DEPENDENCYPART_ARC
(7,23),-3.43991 # DEPENDENCYPART_ARC
(8,1),-1.24247 # DEPENDENCYPART_ARC
(8,2),-1.72533 # DEPENDENCYPART_ARC
(8,3),-0.977889 # DEPENDENCYPART_ARC
(8,4),-3.55854 # DEPENDENCYPART_ARC
(8,5),-3.60776 # DEPENDENCYPART_ARC
(8,6),-1.09132 # DEPENDENCYPART_ARC
(8,7),4.11303 # DEPENDENCYPART_ARC
(8,9),3.25895 # DEPENDENCYPART_ARC
(8,10),0.943225 # DEPENDENCYPART_ARC
(8,11),-3.24685 # DEPENDENCYPART_ARC
(8,12),-1.95076 # DEPENDENCYPART_ARC
(8,13),-0.5829 # DEPENDENCYPART_ARC
(8,14),0.0891058 # DEPENDENCYPART_ARC
(8,15),-3.75037 # DEPENDENCYPART_ARC
(8,16),-3.22964 # DEPENDENCYPART_ARC
(8,17),-1.5778 # DEPENDENCYPART_ARC
(8,18),-1.16691 # DEPENDENCYPART_ARC
(8,19),-0.93729 # DEPENDENCYPART_ARC
(8,20),-4.81788 # DEPENDENCYPART_ARC
(8,21),-1.23247 # DEPENDENCYPART_ARC
(8,22),-2.00623 # DEPENDENCYPART_ARC
(8,23),-5.95627 # DEPENDENCYPART_ARC
(9,1),-1.67191 # DEPENDENCYPART_ARC
(9,2),-1.03162 # DEPENDENCYPART_ARC
(9,3),-1.35186 # DEPENDENCYPART_ARC
(9,4),-3.20267 # DEPENDENCYPART_ARC
(9,5),-1.56199 # DEPENDENCYPART_ARC
(9,6),-1.85245 # DEPENDENCYPART_ARC
(9,7),0.613401 # DEPENDENCYPART_ARC
(9,8),0.545073 # DEPENDENCYPART_ARC
(9,10),-0.688941 # DEPENDENCYPART_ARC
(9,11),-5.30649 # DEPENDENCYPART_ARC
(9,12),-2.41872 # DEPENDENCYPART_ARC
(9,13),-1.61113 # DEPENDENCYPART_ARC
(9,14),-1.20306 # DEPENDENCYPART_ARC
(9,15),-6.18627 # DEPENDENCYPART_ARC
(9,16),-3.62953 # DEPENDENCYPART_ARC
(9,17),-3.99282 # DEPENDENCYPART_ARC
(9,18),-1.63745 # DEPENDENCYPART_ARC
(9,19),-1.84716 # DEPENDENCYPART_ARC
(9,20),-4.2704 # DEPENDENCYPART_ARC
(9,21),-2.30126 # DEPENDENCYPART_ARC
(9,22),-3.73016 # DEPENDENCYPART_ARC
(9,23),-6.19567 # DEPENDENCYPART_ARC
(10,1),-0.680876 # DEPENDENCYPART_ARC
(10,2),1.67455 # DEPENDENCYPART_ARC
(10,3),-0.539707 # DEPENDENCYPART_ARC
(10,4),1.07108 # DEPENDENCYPART_ARC
(10,5),1.81959 # DEPENDENCYPART_ARC
(10,6),1.61953 # DEPENDENCYPART_ARC
(10,7),1.31205 # DEPENDENCYPART_ARC
(10,8),1.99338 # DEPENDENCYPART_ARC
(10,9),3.59695 # DEPENDENCYPART_ARC
(10,11),1.11297 # DEPENDENCYPART_ARC
(10,12),3.21319 # DEPENDENCYPART_ARC
(10,13),0.174176 # DEPENDENCYPART_ARC
(10,14),0.720982 # DEPENDENCYPART_ARC
(10,15),0.0842088 # DEPENDENCYPART_ARC
(10,16),0.984777 # DEPENDENCYPART_ARC
(10,17),-1.03115 # DEPENDENCYPART_ARC
(10,18),0.964943 # DEPENDENCYPART_ARC
(10,19),-0.5067 # DEPENDENCYPART_ARC
(10,20),-1.31682 # DEPENDENCYPART_ARC
(10,21),-0.908005 # DEPENDENCYPART_ARC
(10,22),-0.347231 # DEPENDENCYPART_ARC
(10,23),-1.56822 # DEPENDENCYPART_ARC
(11,1),-2.84504 # DEPENDENCYPART_ARC
(11,2),-5.36541 # DEPENDENCYPART_ARC
(11,3),-3.78395 # DEPENDENCYPART_ARC
(11,4),-6.8675 # DEPENDENCYPART_ARC
(11,5),-4.12521 # DEPENDENCYPART_ARC
(11,6),-4.21721 # DEPENDENCYPART_ARC
(11,7),-5.64115 # DEPENDENCYPART_ARC
(11,8),-4.99076 # DEPENDENCYPART_ARC
(11,9),-4.62204 # DEPENDENCYPART_ARC
(11,10),-1.69389 # DEPENDENCYPART_ARC
(11,12),-1.26939 # DEPENDENCYPART_ARC
(11,13),-1.28877 # DEPENDENCYPART_ARC
(11,14),-1.27496 # DEPENDENCYPART_ARC
(11,15),-2.48851 # DEPENDENCYPART_ARC
(11,16),-3.75524 # DEPENDENCYPART_ARC
(11,17),-4.04272 # DEPENDENCYPART_ARC
(11,18),-3.92864 # DEPENDENCYPART_ARC
(11,19),-1.37768 # DEPENDENCYPART_ARC
(11,20),-3.65672 # DEPENDENCYPART_ARC
(11,21),-2.25767 # DEPENDENCYPART_ARC
(11,22),-4.15893 # DEPENDENCYPART_ARC
(11,23),-3.20114 # DEPENDENCYPART_ARC
(12,1),-1.66999 # DEPENDENCYPART_ARC
(12,2),-4.18182 # DEPENDENCYPART_ARC
(12,3),-1.88486 # DEPENDENCYPART_ARC
(12,4),-3.92004 # DEPENDENCYPART_ARC
(12,5),-1.70373 # DEPENDENCYPART_ARC
(12,6),-3.16504 # DEPENDENCYPART_ARC
(12,7),-1.3798 # DEPENDENCYPART_ARC
(12,8),-4.03807 # DEPENDENCYPART_ARC
(12,9),-5.54053 # DEPENDENCYPART_ARC
(12,10),0.463232 # DEPENDENCYPART_ARC
(12,11),4.13715 # DEPENDENCYPART_ARC
(12,13),-0.236793 # DEPENDENCYPART_ARC
(12,14),0.4214 # DEPENDENCYPART_ARC
(12,15),1.30378 # DEPENDENCYPART_ARC
(12,16),0.0987835 # DEPENDENCYPART_ARC
(12,17),5.60779e-05 # DEPENDENCYPART_ARC
(12,18),0.554803 # DEPENDENCYPART_ARC
(12,19),-0.156646 # DEPENDENCYPART_ARC
(12,20),-3.61012 # DEPENDENCYPART_ARC
(12,21),-0.600697 # DEPENDENCYPART_ARC
(12,22),0.997893 # DEPENDENCYPART_ARC
(12,23),-3.21359 # DEPENDENCYPART_ARC
(13,1),-0.810303 # DEPENDENCYPART_ARC
(13,2),-0.263738 # DEPENDENCYPART_ARC
(13,3),-0.254518 # DEPENDENCYPART_ARC
(13,4),0.0370334 # DEPENDENCYPART_ARC
(13,5),-0.046567 # DEPENDENCYPART_ARC
(13,6),0.0639843 # DEPENDENCYPART_ARC
(13,7),-0.289879 # DEPENDENCYPART_ARC
(13,8),0.0853914 # DEPENDENCYPART_ARC
(13,9),0.374566 # DEPENDENCYPART_ARC
(13,10),0.112248 # DEPENDENCYPART_ARC
(13,11),0.347319 # DEPENDENCYPART_ARC
(13,12),0.196838 # DEPENDENCYPART_ARC
(13,14),0.183763 # DEPENDENCYPART_ARC
(13,15),0.624127 # DEPENDENCYPART_ARC
(13,16),0.571389 # DEPENDENCYPART_ARC
(13,17),0.302306 # DEPENDENCYPART_ARC
(13,18),0.294983 # DEPENDENCYPART_ARC
(13,19),0.127986 # DEPENDENCYPART_ARC
(13,20),-1.64299 # DEPENDENCYPART_ARC
(13,21),-1.01306 # DEPENDENCYPART_ARC
(13,22),-0.508079 # DEPENDENCYPART_ARC
(13,23),-0.369998 # DEPENDENCYPART_ARC
(14,1),-0.909404 # DEPENDENCYPART_ARC
(14,2),0.0578194 # DEPENDENCYPART_ARC
(14,3),-0.0619346 # DEPENDENCYPART_ARC
(14,4),0.138551 # DEPENDENCYPART_ARC
(14,5),0.866918 # DEPENDENCYPART_ARC
(14,6),1.11592 # DEPENDENCYPART_ARC
(14,7),0.140404 # DEPENDENCYPART_ARC
(14,8),0.725968 # DEPENDENCYPART_ARC
(14,9),1.23555 # DEPENDENCYPART_ARC
(14,10),0.249739 # DEPENDENCYPART_ARC
(14,11),1.08251 # DEPENDENCYPART_ARC
(14,12),2.01328 # DEPENDENCYPART_ARC
(14,13),2.17455 # DEPENDENCYPART_ARC
(14,15),1.79492 # DEPENDENCYPART_ARC
(14,16),1.65528 # DEPENDENCYPART_ARC
(14,17),0.869193 # DEPENDENCYPART_ARC
(14,18),1.12473 # DEPENDENCYPART_ARC
(14,19),0.793312 # DEPENDENCYPART_ARC
(14,21),0.0204717 # DEPENDENCYPART_ARC
(14,22),0.6056 # DEPENDENCYPART_ARC
(14,23),-0.149868 # DEPENDENCYPART_ARC
(15,1),-2.16893 # DEPENDENCYPART_ARC
(15,2),-4.77675 # DEPENDENCYPART_ARC
(15,3),-3.4488 # DEPENDENCYPART_ARC
(15,4),-6.16162 # DEPENDENCYPART_ARC
(15,5),-3.52015 # DEPENDENCYPART_ARC
(15,6),-3.94459 # DEPENDENCYPART_ARC
(15,7),-5.52921 # DEPENDENCYPART_ARC
(15,8),-4.96699 # DEPENDENCYPART_ARC
(15,9),-4.93308 # DEPENDENCYPART_ARC
(15,10),-1.78387 # DEPENDENCYPART_ARC
(15,11),-2.42495 # DEPENDENCYPART_ARC
(15,12),-2.54901 # DEPENDENCYPART_ARC
(15,13),-0.232238 # DEPENDENCYPART_ARC
(15,14),0.0289842 # DEPENDENCYPART_ARC
(15,16),0.068013 # DEPENDENCYPART_ARC
(15,17),-1.71347 # DEPENDENCYPART_ARC
(15,18),-1.13987 # DEPENDENCYPART_ARC
(15,19),-0.222918 # DEPENDENCYPART_ARC
(15,20),-1.79442 # DEPENDENCYPART_ARC
(15,21),-0.929905 # DEPENDENCYPART_ARC
(15,22),-2.659 # DEPENDENCYPART_ARC
(15,23),-1.24052 # DEPENDENCYPART_ARC
(16,1),-1.71781 # DEPENDENCYPART_ARC
(16,2),-4.65707 # DEPENDENCYPART_ARC
(16,3),-2.28084 # DEPENDENCYPART_ARC
(16,4),-3.9249 # DEPENDENCYPART_ARC
(16,5),-2.74344 # DEPENDENCYPART_ARC
(16,6),-4.23905 # DEPENDENCYPART_ARC
(16,7),-2.33458 # DEPENDENCYPART_ARC
(16,8),-5.26035 # DEPENDENCYPART_ARC
(16,9),-6.79434 # DEPENDENCYPART_ARC
(16,10),-0.229274 # DEPENDENCYPART_ARC
(16,11),2.70716 # DEPENDENCYPART_ARC
(16,12),-0.977079 # DEPENDENCYPART_ARC
(16,13),0.724086 # DEPENDENCYPART_ARC
(16,14),0.801932 # DEPENDENCYPART_ARC
(16,15),4.46992 # DEPENDENCYPART_ARC
(16,17),1.45287 # DEPENDENCYPART_ARC
(16,18),3.27305 # DEPENDENCYPART_ARC
(16,19),-0.00952961 # DEPENDENCYPART_ARC
(16,20),-2.01794 # DEPENDENCYPART_ARC
(16,21),-0.16282 # DEPENDENCYPART_ARC
(16,22),0.19297 # DEPENDENCYPART_ARC
(16,23),-1.26005 # DEPENDENCYPART_ARC
(17,1),-2.16733 # DEPENDENCYPART_ARC
(17,2),-3.86617 # DEPENDENCYPART_ARC
(17,3),-3.03407 # DEPENDENCYPART_ARC
(17,4),-5.82511 # DEPENDENCYPART_ARC
(17,5),-4.11805 # DEPENDENCYPART_ARC
(17,6),-2.78741 # DEPENDENCYPART_ARC
(17,7),-4.16193 # DEPENDENCYPART_ARC
(17,8),-3.32008 # DEPENDENCYPART_ARC
(17,9),-3.35482 # DEPENDENCYPART_ARC
(17,10),-1.27849 # DEPENDENCYPART_ARC
(17,11),-3.80789 # DEPENDENCYPART_ARC
(17,12),-3.36584 # DEPENDENCYPART_ARC
(17,13),-0.473827 # DEPENDENCYPART_ARC
(17,14),-0.590007 # DEPENDENCYPART_ARC
(17,15),-2.19989 # DEPENDENCYPART_ARC
(17,16),-1.71232 # DEPENDENCYPART_ARC
(17,18),1.01922 # DEPENDENCYPART_ARC
(17,19),-0.585635 # DEPENDENCYPART_ARC
(17,20),-1.27131 # DEPENDENCYPART_ARC
(17,21),-0.622533 # DEPENDENCYPART_ARC
(17,22),-2.21079 # DEPENDENCYPART_ARC
(17,23),-1.08769 # DEPENDENCYPART_ARC
(18,1),-2.51885 # DEPENDENCYPART_ARC
(18,2),-3.19492 # DEPENDENCYPART_ARC
(18,3),-3.19892 # DEPENDENCYPART_ARC
(18,4),-3.01402 # DEPENDENCYPART_ARC
(18,5),-5.02006 # DEPENDENCYPART_ARC
(18,6),-2.94248 # DEPENDENCYPART_ARC
(18,7),-1.15656 # DEPENDENCYPART_ARC
(18,8),-4.30626 # DEPENDENCYPART_ARC
(18,9),-5.699 # DEPENDENCYPART_ARC
(18,10),-0.619731 # DEPENDENCYPART_ARC
(18,11),-1.22314 # DEPENDENCYPART_ARC
(18,12),-4.54787 # DEPENDENCYPART_ARC
(18,13),0.0652566 # DEPENDENCYPART_ARC
(18,14),-0.353937 # DEPENDENCYPART_ARC
(18,15),0.115922 # DEPENDENCYPART_ARC
(18,16),-1.53694 # DEPENDENCYPART_ARC
(18,17),5.63191 # DEPENDENCYPART_ARC
(18,19),-0.186774 # DEPENDENCYPART_ARC
(18,20),-1.91086 # DEPENDENCYPART_ARC
(18,21),0.0486838 # DEPENDENCYPART_ARC
(18,22),1.17788 # DEPENDENCYPART_ARC
(18,23),-0.145837 # DEPENDENCYPART_ARC
(19,1),-1.46305 # DEPENDENCYPART_ARC
(19,2),-1.04673 # DEPENDENCYPART_ARC
(19,3),-0.881965 # DEPENDENCYPART_ARC
(19,4),-0.240416 # DEPENDENCYPART_ARC
(19,5),-1.06087 # DEPENDENCYPART_ARC
(19,6),-0.883169 # DEPENDENCYPART_ARC
(19,7),-1.0495 # DEPENDENCYPART_ARC
(19,8),-0.710842 # DEPENDENCYPART_ARC
(19,9),-0.629264 # DEPENDENCYPART_ARC
(19,10),-1.00454 # DEPENDENCYPART_ARC
(19,11),-0.558743 # DEPENDENCYPART_ARC
(19,12),-0.435054 # DEPENDENCYPART_ARC
(19,13),0.13399 # DEPENDENCYPART_ARC
(19,14),-0.53035 # DEPENDENCYPART_ARC
(19,15),-0.588623 # DEPENDENCYPART_ARC
(19,16),0.0356817 # DEPENDENCYPART_ARC
(19,17),-0.381956 # DEPENDENCYPART_ARC
(19,18),-0.211768 # DEPENDENCYPART_ARC
(19,20),0.0292609 # DEPENDENCYPART_ARC
(19,21),-0.340576 # DEPENDENCYPART_ARC
(19,22),0.713371 # DEPENDENCYPART_ARC
(19,23),0.061217 # DEPENDENCYPART_ARC
(21,1),-3.84875 # DEPENDENCYPART_ARC
(21,2),-3.50872 # DEPENDENCYPART_ARC
(21,3),-2.62691 # DEPENDENCYPART_ARC
(21,4),-2.8074 # DEPENDENCYPART_ARC
(21,5),-2.93985 # DEPENDENCYPART_ARC
(21,6),-2.73225 # DEPENDENCYPART_ARC
(21,7),-2.6788 # DEPENDENCYPART_ARC
(21,8),-2.9278 # DEPENDENCYPART_ARC
(21,9),-2.43246 # DEPENDENCYPART_ARC
(21,10),-2.14107 # DEPENDENCYPART_ARC
(21,11),-2.32463 # DEPENDENCYPART_ARC
(21,12),-2.26749 # DEPENDENCYPART_ARC
(21,13),-1.69454 # DEPENDENCYPART_ARC
(21,14),-1.77794 # DEPENDENCYPART_ARC
(21,15),-1.99561 # DEPENDENCYPART_ARC
(21,16),-2.01302 # DEPENDENCYPART_ARC
(21,17),-1.5367 # DEPENDENCYPART_ARC
(21,18),-1.59525 # DEPENDENCYPART_ARC
(21,19),-0.741561 # DEPENDENCYPART_ARC
(21,22),-0.665523 # DEPENDENCYPART_ARC
(21,23),-0.378532 # DEPENDENCYPART_ARC
(22,1),1.4509 # DEPENDENCYPART_ARC
(22,2),-2.17634 # DEPENDENCYPART_ARC
(22,3),-1.1084 # DEPENDENCYPART_ARC
(22,4),-1.44604 # DEPENDENCYPART_ARC
(22,5),1.68985 # DEPENDENCYPART_ARC
(22,6),-1.84367 # DEPENDENCYPART_ARC
(22,7),-5.62174 # DEPENDENCYPART_ARC
(22,8),-2.35151 # DEPENDENCYPART_ARC
(22,9),-2.40626 # DEPENDENCYPART_ARC
(22,10),0.243497 # DEPENDENCYPART_ARC
(22,11),-0.93424 # DEPENDENCYPART_ARC
(22,12),0.568984 # DEPENDENCYPART_ARC
(22,13),1.06491 # DEPENDENCYPART_ARC
(22,14),0.989411 # DEPENDENCYPART_ARC
(22,15),-0.356574 # DEPENDENCYPART_ARC
(22,16),1.7679 # DEPENDENCYPART_ARC
(22,17),-2.62421 # DEPENDENCYPART_ARC
(22,18),-1.42735 # DEPENDENCYPART_ARC
(22,19),2.23455 # DEPENDENCYPART_ARC
(22,20),4.71646 # DEPENDENCYPART_ARC
(22,21),2.7142 # DEPENDENCYPART_ARC
(22,23),-0.111855 # DEPENDENCYPART_ARC
(23,1),-5.48393 # DEPENDENCYPART_ARC
(23,2),-5.93079 # DEPENDENCYPART_ARC
(23,3),-4.39111 # DEPENDENCYPART_ARC
(23,4),-4.97188 # DEPENDENCYPART_ARC
(23,5),-5.38668 # DEPENDENCYPART_ARC
(23,6),-4.87078 # DEPENDENCYPART_ARC
(23,7),-4.40599 # DEPENDENCYPART_ARC
(23,8),-4.51212 # DEPENDENCYPART_ARC
(23,9),-4.29912 # DEPENDENCYPART_ARC
(23,10),-4.86696 # DEPENDENCYPART_ARC
(23,11),-3.95054 # DEPENDENCYPART_ARC
(23,12),-4.01342 # DEPENDENCYPART_ARC
(23,13),-3.60767 # DEPENDENCYPART_ARC
(23,14),-3.66704 # DEPENDENCYPART_ARC
(23,15),-4.00824 # DEPENDENCYPART_ARC
(23,16),-3.7561 # DEPENDENCYPART_ARC
(23,17),-3.71173 # DEPENDENCYPART_ARC
(23,18),-3.30608 # DEPENDENCYPART_ARC
(23,19),-2.62173 # DEPENDENCYPART_ARC
(23,20),-2.70636 # DEPENDENCYPART_ARC
(23,21),-3.11773 # DEPENDENCYPART_ARC
(23,22),-3.6796 # DEPENDENCYPART_ARC
