# _root_ Poslanci má náležet zdaněný , třeba velký , ale jen jeden plat .
#goldHeads=3,0,2,9,9,7,9,9,12,11,9,2,0,
#predictedHeads=2,9,2,3,9,7,5,9,0,11,12,9,0,
(6,3),-0.460304 # DEPENDENCYPART_ARC
(6,4),0.200906 # DEPENDENCYPART_ARC
(6,5),0.221869 # DEPENDENCYPART_ARC
(6,7),0.286288 # DEPENDENCYPART_ARC
(6,8),0.176268 # DEPENDENCYPART_ARC
(6,9),-0.0974771 # DEPENDENCYPART_ARC
(6,10),0.00816622 # DEPENDENCYPART_ARC
(6,11),-0.674456 # DEPENDENCYPART_ARC
(6,12),-0.86493 # DEPENDENCYPART_ARC
(6,13),-0.0134916 # DEPENDENCYPART_ARC
(7,1),-0.765566 # DEPENDENCYPART_ARC
(7,2),-2.57982 # DEPENDENCYPART_ARC
(7,3),-0.427229 # DEPENDENCYPART_ARC
(7,4),-0.999072 # DEPENDENCYPART_ARC
(7,5),1.17191 # DEPENDENCYPART_ARC
(7,6),1.98215 # DEPENDENCYPART_ARC
(7,8),0.384584 # DEPENDENCYPART_ARC
(7,9),0.618804 # DEPENDENCYPART_ARC
(7,10),-0.342358 # DEPENDENCYPART_ARC
(7,11),-0.684574 # DEPENDENCYPART_ARC
(7,12),-2.01091 # DEPENDENCYPART_ARC
(7,13),-0.462526 # DEPENDENCYPART_ARC
(8,1),-1.73678 # DEPENDENCYPART_ARC
(8,2),-0.644225 # DEPENDENCYPART_ARC
(8,3),-0.576493 # DEPENDENCYPART_ARC
(8,4),-0.317588 # DEPENDENCYPART_ARC
(8,5),0.181259 # DEPENDENCYPART_ARC
(8,6),-0.190238 # DEPENDENCYPART_ARC
(8,7),-0.702873 # DEPENDENCYPART_ARC
(8,9),0.447294 # DEPENDENCYPART_ARC
(8,10),-0.463305 # DEPENDENCYPART_ARC
(8,11),-0.139164 # DEPENDENCYPART_ARC
(8,12),-0.226144 # DEPENDENCYPART_ARC
(8,13),-1.118 # DEPENDENCYPART_ARC
(9,1),0.627859 # DEPENDENCYPART_ARC
(9,2),1.08508 # DEPENDENCYPART_ARC
(9,3),0.805247 # DEPENDENCYPART_ARC
(9,4),1.33661 # DEPENDENCYPART_ARC
(9,5),1.45309 # DEPENDENCYPART_ARC
(9,6),0.742554 # DEPENDENCYPART_ARC
(9,7),1.63284 # DEPENDENCYPART_ARC
(9,8),2.73134 # DEPENDENCYPART_ARC
(9,10),0.471332 # DEPENDENCYPART_ARC
(9,11),0.750284 # DEPENDENCYPART_ARC
(9,12),1.18567 # DEPENDENCYPART_ARC
(9,13),0.359832 # DEPENDENCYPART_ARC
(10,1),-2.16034 # DEPENDENCYPART_ARC
(10,2),-2.43547 # DEPENDENCYPART_ARC
(10,3),-2.13663 # DEPENDENCYPART_ARC
(10,4),-2.03378 # DEPENDENCYPART_ARC
(10,5),-1.07345 # DEPENDENCYPART_ARC
(10,6),-1.54747 # DEPENDENCYPART_ARC
(10,7),-1.27518 # DEPENDENCYPART_ARC
(10,8),-0.657402 # DEPENDENCYPART_ARC
(10,9),-0.549918 # DEPENDENCYPART_ARC
(10,11),-0.243866 # DEPENDENCYPART_ARC
(10,12),-0.789242 # DEPENDENCYPART_ARC
(10,13),-0.5127 # DEPENDENCYPART_ARC
(11,1),-1.92437 # DEPENDENCYPART_ARC
(11,4),-0.715427 # DEPENDENCYPART_ARC
(11,5),-1.29733 # DEPENDENCYPART_ARC
(11,6),-0.714456 # DEPENDENCYPART_ARC
(11,7),-0.230934 # DEPENDENCYPART_ARC
(11,8),-0.475241 # DEPENDENCYPART_ARC
(11,9),0.10441 # DEPENDENCYPART_ARC
(11,10),2.26128 # DEPENDENCYPART_ARC
(11,12),1.30163 # DEPENDENCYPART_ARC
(11,13),0.411699 # DEPENDENCYPART_ARC
(12,1),-4.23858 # DEPENDENCYPART_ARC
(12,2),-2.15389 # DEPENDENCYPART_ARC
(12,3),-1.17089 # DEPENDENCYPART_ARC
(12,4),0.368815 # DEPENDENCYPART_ARC
(12,5),0.403475 # DEPENDENCYPART_ARC
(12,6),0.78385 # DEPENDENCYPART_ARC
(12,7),0.83444 # DEPENDENCYPART_ARC
(12,8),0.651457 # DEPENDENCYPART_ARC
(12,9),0.667484 # DEPENDENCYPART_ARC
(12,10),2.02545 # DEPENDENCYPART_ARC
(12,11),4.14708 # DEPENDENCYPART_ARC
(12,13),1.11539 # DEPENDENCYPART_ARC
(13,1),-4.99993 # DEPENDENCYPART_ARC
(13,2),-4.19173 # DEPENDENCYPART_ARC
(13,3),-4.06318 # DEPENDENCYPART_ARC
(13,4),-3.20469 # DEPENDENCYPART_ARC
(13,5),-2.96696 # DEPENDENCYPART_ARC
(13,6),-2.93832 # DEPENDENCYPART_ARC
(13,7),-3.5667 # DEPENDENCYPART_ARC
(13,8),-3.05325 # DEPENDENCYPART_ARC
(13,9),-3.24574 # DEPENDENCYPART_ARC
(13,10),-2.75624 # DEPENDENCYPART_ARC
(13,11),-2.84364 # DEPENDENCYPART_ARC
(13,12),-2.80797 # DEPENDENCYPART_ARC
