# _root_ ( Herečky navíc údajně strávily tři týdny speciálním výcvikem na ranči , kde se učily jezdit na koních , zacházet se zbraněmi a dokonce i žvýkat tabák . )
#goldHeads=5,5,5,5,0,7,5,9,5,5,10,15,15,15,11,23,16,17,23,23,20,21,15,26,26,23,26,0,5,
#predictedHeads=5,5,5,5,0,7,5,9,5,9,10,15,15,15,11,15,16,17,15,23,20,21,15,26,26,23,26,0,23,
(13,7),-0.733307 # DEPENDENCYPART_ARC
(13,8),-0.911438 # DEPENDENCYPART_ARC
(13,9),-0.672835 # DEPENDENCYPART_ARC
(13,10),-0.352075 # DEPENDENCYPART_ARC
(13,11),0.319465 # DEPENDENCYPART_ARC
(13,12),-0.383417 # DEPENDENCYPART_ARC
(13,14),-0.118512 # DEPENDENCYPART_ARC
(13,15),-0.129642 # DEPENDENCYPART_ARC
(13,16),-0.409993 # DEPENDENCYPART_ARC
(13,17),-0.814524 # DEPENDENCYPART_ARC
(13,18),-1.30569 # DEPENDENCYPART_ARC
(13,19),-0.490837 # DEPENDENCYPART_ARC
(13,20),-1.1453 # DEPENDENCYPART_ARC
(13,21),-1.48967 # DEPENDENCYPART_ARC
(13,22),-2.58368 # DEPENDENCYPART_ARC
(13,23),-1.40227 # DEPENDENCYPART_ARC
(13,24),-1.47029 # DEPENDENCYPART_ARC
(13,25),-2.2396 # DEPENDENCYPART_ARC
(13,26),-1.83306 # DEPENDENCYPART_ARC
(13,27),-3.05982 # DEPENDENCYPART_ARC
(13,28),-2.21439 # DEPENDENCYPART_ARC
(13,29),-1.78905 # DEPENDENCYPART_ARC
(14,1),-2.87882 # DEPENDENCYPART_ARC
(14,2),-4.08316 # DEPENDENCYPART_ARC
(14,3),-2.00348 # DEPENDENCYPART_ARC
(14,4),-2.35088 # DEPENDENCYPART_ARC
(14,5),-3.0262 # DEPENDENCYPART_ARC
(14,6),-2.81475 # DEPENDENCYPART_ARC
(14,7),-3.19569 # DEPENDENCYPART_ARC
(14,8),-4.41313 # DEPENDENCYPART_ARC
(14,9),-2.96966 # DEPENDENCYPART_ARC
(14,10),-1.78396 # DEPENDENCYPART_ARC
(14,11),-2.37413 # DEPENDENCYPART_ARC
(14,12),-1.18146 # DEPENDENCYPART_ARC
(14,13),-0.0738951 # DEPENDENCYPART_ARC
(14,15),-2.75906 # DEPENDENCYPART_ARC
(14,16),-2.84881 # DEPENDENCYPART_ARC
(14,17),-2.34346 # DEPENDENCYPART_ARC
(14,18),-1.87706 # DEPENDENCYPART_ARC
(14,19),-2.09558 # DEPENDENCYPART_ARC
(14,20),-4.53764 # DEPENDENCYPART_ARC
(14,21),-3.10904 # DEPENDENCYPART_ARC
(14,22),-3.18591 # DEPENDENCYPART_ARC
(14,23),-2.70999 # DEPENDENCYPART_ARC
(14,24),-2.91186 # DEPENDENCYPART_ARC
(14,25),-4.08253 # DEPENDENCYPART_ARC
(14,26),-6.60527 # DEPENDENCYPART_ARC
(14,27),-2.11019 # DEPENDENCYPART_ARC
(14,28),-2.66464 # DEPENDENCYPART_ARC
(14,29),-2.65326 # DEPENDENCYPART_ARC
(15,1),0.754049 # DEPENDENCYPART_ARC
(15,2),1.17159 # DEPENDENCYPART_ARC
(15,3),0.702041 # DEPENDENCYPART_ARC
(15,4),0.826414 # DEPENDENCYPART_ARC
(15,5),-1.92547 # DEPENDENCYPART_ARC
(15,6),-0.191428 # DEPENDENCYPART_ARC
(15,7),0.871832 # DEPENDENCYPART_ARC
(15,8),-3.74148 # DEPENDENCYPART_ARC
(15,9),0.166656 # DEPENDENCYPART_ARC
(15,10),-0.05911 # DEPENDENCYPART_ARC
(15,11),-1.92129 # DEPENDENCYPART_ARC
(15,12),1.97031 # DEPENDENCYPART_ARC
(15,13),2.96235 # DEPENDENCYPART_ARC
(15,14),3.62809 # DEPENDENCYPART_ARC
(15,16),3.6894 # DEPENDENCYPART_ARC
(15,17),1.23686 # DEPENDENCYPART_ARC
(15,18),-0.993605 # DEPENDENCYPART_ARC
(15,19),1.51697 # DEPENDENCYPART_ARC
(15,20),0.672251 # DEPENDENCYPART_ARC
(15,21),0.211161 # DEPENDENCYPART_ARC
(15,22),-1.71635 # DEPENDENCYPART_ARC
(15,23),0.334745 # DEPENDENCYPART_ARC
(15,24),-1.09603 # DEPENDENCYPART_ARC
(15,25),-0.646488 # DEPENDENCYPART_ARC
(15,26),-1.24662 # DEPENDENCYPART_ARC
(15,27),-1.80386 # DEPENDENCYPART_ARC
(15,28),-0.121874 # DEPENDENCYPART_ARC
(15,29),0.120358 # DEPENDENCYPART_ARC
(16,1),-0.576311 # DEPENDENCYPART_ARC
(16,2),-0.807309 # DEPENDENCYPART_ARC
(16,3),-0.378295 # DEPENDENCYPART_ARC
(16,4),-0.205906 # DEPENDENCYPART_ARC
(16,5),-3.44598 # DEPENDENCYPART_ARC
(16,6),0.318216 # DEPENDENCYPART_ARC
(16,7),1.07494 # DEPENDENCYPART_ARC
(16,8),-2.51147 # DEPENDENCYPART_ARC
(16,9),0.247105 # DEPENDENCYPART_ARC
(16,10),-1.57395 # DEPENDENCYPART_ARC
(16,11),-1.58396 # DEPENDENCYPART_ARC
(16,12),0.180668 # DEPENDENCYPART_ARC
(16,13),1.20195 # DEPENDENCYPART_ARC
(16,14),3.0748 # DEPENDENCYPART_ARC
(16,15),-0.267066 # DEPENDENCYPART_ARC
(16,17),2.51063 # DEPENDENCYPART_ARC
(16,18),0.665349 # DEPENDENCYPART_ARC
(16,19),1.00602 # DEPENDENCYPART_ARC
(16,20),0.624446 # DEPENDENCYPART_ARC
(16,21),1.27386 # DEPENDENCYPART_ARC
(16,22),-0.750922 # DEPENDENCYPART_ARC
(16,23),0.123401 # DEPENDENCYPART_ARC
(16,24),-1.22995 # DEPENDENCYPART_ARC
(16,25),-0.742694 # DEPENDENCYPART_ARC
(16,26),-1.29649 # DEPENDENCYPART_ARC
(16,27),-0.621899 # DEPENDENCYPART_ARC
(16,28),-0.55037 # DEPENDENCYPART_ARC
(16,29),0.0284251 # DEPENDENCYPART_ARC
(17,1),-3.86481 # DEPENDENCYPART_ARC
(17,2),-4.64945 # DEPENDENCYPART_ARC
(17,3),-2.69499 # DEPENDENCYPART_ARC
(17,4),-3.01144 # DEPENDENCYPART_ARC
(17,5),-3.39372 # DEPENDENCYPART_ARC
(17,6),-3.09123 # DEPENDENCYPART_ARC
(17,7),-3.7133 # DEPENDENCYPART_ARC
(17,8),-2.8562 # DEPENDENCYPART_ARC
(17,9),-2.78413 # DEPENDENCYPART_ARC
(17,10),-1.82256 # DEPENDENCYPART_ARC
(17,11),-1.32562 # DEPENDENCYPART_ARC
(17,12),-1.21053 # DEPENDENCYPART_ARC
(17,13),-1.76204 # DEPENDENCYPART_ARC
(17,14),-1.54878 # DEPENDENCYPART_ARC
(17,15),-1.83184 # DEPENDENCYPART_ARC
(17,16),-0.813273 # DEPENDENCYPART_ARC
(17,18),4.02965 # DEPENDENCYPART_ARC
(17,19),0.0178124 # DEPENDENCYPART_ARC
(17,20),-0.598328 # DEPENDENCYPART_ARC
(17,21),-1.35556 # DEPENDENCYPART_ARC
(17,22),-2.15042 # DEPENDENCYPART_ARC
(17,23),-0.992792 # DEPENDENCYPART_ARC
(17,24),-1.08313 # DEPENDENCYPART_ARC
(17,25),-2.49074 # DEPENDENCYPART_ARC
(17,26),-1.23969 # DEPENDENCYPART_ARC
(17,27),-6.28973 # DEPENDENCYPART_ARC
(17,28),-1.63375 # DEPENDENCYPART_ARC
(17,29),-1.98627 # DEPENDENCYPART_ARC
