# _root_ Ne tak kvůli ní samé , jako kvůli ekonomické i politické transformaci , jíž je garantem a která tou dobou ještě nebude zcela u konce .
#goldHeads=2,0,0,3,4,7,0,7,10,12,10,8,17,16,17,15,12,22,20,22,22,17,22,22,24,0,
#predictedHeads=2,4,6,3,12,7,0,7,10,12,10,8,15,17,12,15,15,20,20,22,22,17,25,22,24,0,
(1,26),-3.73249 # DEPENDENCYPART_ARC
(2,1),1.55748 # DEPENDENCYPART_ARC
(2,3),0.473527 # DEPENDENCYPART_ARC
(2,5),-0.922269 # DEPENDENCYPART_ARC
(2,6),-0.794365 # DEPENDENCYPART_ARC
(2,7),-0.46392 # DEPENDENCYPART_ARC
(2,8),-0.961858 # DEPENDENCYPART_ARC
(2,9),-1.50166 # DEPENDENCYPART_ARC
(2,10),-1.91704 # DEPENDENCYPART_ARC
(2,11),-1.4595 # DEPENDENCYPART_ARC
(2,12),-1.91172 # DEPENDENCYPART_ARC
(2,13),-0.944558 # DEPENDENCYPART_ARC
(2,15),-2.30669 # DEPENDENCYPART_ARC
(2,16),-2.70614 # DEPENDENCYPART_ARC
(2,17),-3.53357 # DEPENDENCYPART_ARC
(2,18),-2.58231 # DEPENDENCYPART_ARC
(2,19),-2.60345 # DEPENDENCYPART_ARC
(2,20),-3.77475 # DEPENDENCYPART_ARC
(2,21),-1.9735 # DEPENDENCYPART_ARC
(2,22),-2.87155 # DEPENDENCYPART_ARC
(2,23),-2.3616 # DEPENDENCYPART_ARC
(2,24),-2.09624 # DEPENDENCYPART_ARC
(2,25),-4.3922 # DEPENDENCYPART_ARC
(2,26),-3.55769 # DEPENDENCYPART_ARC
(3,1),-0.486577 # DEPENDENCYPART_ARC
(3,2),-0.15742 # DEPENDENCYPART_ARC
(3,4),3.13672 # DEPENDENCYPART_ARC
(3,5),0.709216 # DEPENDENCYPART_ARC
(3,6),-0.158325 # DEPENDENCYPART_ARC
(3,7),-1.78902 # DEPENDENCYPART_ARC
(3,8),-1.74281 # DEPENDENCYPART_ARC
(3,9),-0.999034 # DEPENDENCYPART_ARC
(3,10),-1.99668 # DEPENDENCYPART_ARC
(3,11),-1.53675 # DEPENDENCYPART_ARC
(3,12),0.398065 # DEPENDENCYPART_ARC
(3,13),-1.22589 # DEPENDENCYPART_ARC
(3,15),-2.43081 # DEPENDENCYPART_ARC
(3,16),-4.91049 # DEPENDENCYPART_ARC
(3,17),-2.38415 # DEPENDENCYPART_ARC
(3,18),-4.42889 # DEPENDENCYPART_ARC
(3,19),-4.5613 # DEPENDENCYPART_ARC
(3,20),-5.06956 # DEPENDENCYPART_ARC
(3,21),-3.21612 # DEPENDENCYPART_ARC
(3,22),-3.23325 # DEPENDENCYPART_ARC
(3,23),-3.39626 # DEPENDENCYPART_ARC
(3,24),-3.19577 # DEPENDENCYPART_ARC
(3,25),-8.06744 # DEPENDENCYPART_ARC
(3,26),-3.94766 # DEPENDENCYPART_ARC
(4,1),0.400047 # DEPENDENCYPART_ARC
(4,2),0.667411 # DEPENDENCYPART_ARC
(4,3),0.159147 # DEPENDENCYPART_ARC
(4,8),-2.08466 # DEPENDENCYPART_ARC
(4,10),-1.56651 # DEPENDENCYPART_ARC
(4,12),-1.40393 # DEPENDENCYPART_ARC
(4,16),-1.84677 # DEPENDENCYPART_ARC
(4,17),-1.93023 # DEPENDENCYPART_ARC
(4,20),-2.75924 # DEPENDENCYPART_ARC
(4,21),-2.73675 # DEPENDENCYPART_ARC
(4,23),-2.9698 # DEPENDENCYPART_ARC
(4,24),-2.64079 # DEPENDENCYPART_ARC
(4,25),-2.13562 # DEPENDENCYPART_ARC
(5,1),-0.120153 # DEPENDENCYPART_ARC
(5,2),-0.113017 # DEPENDENCYPART_ARC
(5,3),-0.267256 # DEPENDENCYPART_ARC
(5,6),-0.0192424 # DEPENDENCYPART_ARC
(5,8),-0.721646 # DEPENDENCYPART_ARC
(5,9),-0.259355 # DEPENDENCYPART_ARC
(5,10),-0.799235 # DEPENDENCYPART_ARC
(5,11),-0.948264 # DEPENDENCYPART_ARC
(5,12),-0.847561 # DEPENDENCYPART_ARC
(5,13),-0.488439 # DEPENDENCYPART_ARC
(5,15),-1.9053 # DEPENDENCYPART_ARC
(5,16),-1.348 # DEPENDENCYPART_ARC
(5,17),-0.983461 # DEPENDENCYPART_ARC
(5,19),-2.19443 # DEPENDENCYPART_ARC
(5,20),-1.89677 # DEPENDENCYPART_ARC
(5,21),-1.76806 # DEPENDENCYPART_ARC
(5,22),-5.30879 # DEPENDENCYPART_ARC
(5,23),-2.10304 # DEPENDENCYPART_ARC
(5,24),-1.40152 # DEPENDENCYPART_ARC
(5,25),-1.77966 # DEPENDENCYPART_ARC
(5,26),-1.97157 # DEPENDENCYPART_ARC
(6,1),-0.288113 # DEPENDENCYPART_ARC
(6,2),-1.55961 # DEPENDENCYPART_ARC
(6,3),-0.189325 # DEPENDENCYPART_ARC
(6,5),0.274362 # DEPENDENCYPART_ARC
(6,7),0.0733851 # DEPENDENCYPART_ARC
(6,8),-0.232875 # DEPENDENCYPART_ARC
(6,9),-0.291282 # DEPENDENCYPART_ARC
(6,10),-0.096313 # DEPENDENCYPART_ARC
(6,11),-0.211282 # DEPENDENCYPART_ARC
(6,12),-0.830452 # DEPENDENCYPART_ARC
(6,13),-0.446284 # DEPENDENCYPART_ARC
(6,15),-0.697529 # DEPENDENCYPART_ARC
(6,16),-1.99466 # DEPENDENCYPART_ARC
(6,17),-0.878488 # DEPENDENCYPART_ARC
(6,18),-2.12153 # DEPENDENCYPART_ARC
(6,19),-2.18956 # DEPENDENCYPART_ARC
(6,20),-2.5813 # DEPENDENCYPART_ARC
(6,21),-1.8478 # DEPENDENCYPART_ARC
(6,22),-1.65186 # DEPENDENCYPART_ARC
(6,23),-2.11791 # DEPENDENCYPART_ARC
(6,24),-3.46977 # DEPENDENCYPART_ARC
(6,25),-4.04904 # DEPENDENCYPART_ARC
(6,26),-0.835185 # DEPENDENCYPART_ARC
(7,1),-1.91654 # DEPENDENCYPART_ARC
(7,2),-2.26175 # DEPENDENCYPART_ARC
(7,3),-1.17212 # DEPENDENCYPART_ARC
(7,6),1.30414 # DEPENDENCYPART_ARC
(7,8),1.32518 # DEPENDENCYPART_ARC
(7,9),0.0119244 # DEPENDENCYPART_ARC
(7,10),-0.377964 # DEPENDENCYPART_ARC
(7,11),-0.30648 # DEPENDENCYPART_ARC
(7,12),0.0494692 # DEPENDENCYPART_ARC
(7,13),0.264702 # DEPENDENCYPART_ARC
(7,15),-1.11698 # DEPENDENCYPART_ARC
(7,16),-1.97148 # DEPENDENCYPART_ARC
(7,17),-0.998245 # DEPENDENCYPART_ARC
(7,19),-1.39289 # DEPENDENCYPART_ARC
(7,20),-2.6206 # DEPENDENCYPART_ARC
(7,21),-0.731237 # DEPENDENCYPART_ARC
(7,22),-1.1717 # DEPENDENCYPART_ARC
(7,23),-1.11748 # DEPENDENCYPART_ARC
(7,24),-2.15069 # DEPENDENCYPART_ARC
(7,25),-3.20097 # DEPENDENCYPART_ARC
(7,26),-1.70367 # DEPENDENCYPART_ARC
(8,1),-1.50624 # DEPENDENCYPART_ARC
(8,2),-1.48231 # DEPENDENCYPART_ARC
(8,3),-1.37647 # DEPENDENCYPART_ARC
(8,4),-1.615 # DEPENDENCYPART_ARC
(8,5),-1.34757 # DEPENDENCYPART_ARC
(8,6),1.1936 # DEPENDENCYPART_ARC
(8,7),0.610071 # DEPENDENCYPART_ARC
(8,9),2.70098 # DEPENDENCYPART_ARC
(8,10),0.77531 # DEPENDENCYPART_ARC
(8,11),0.840167 # DEPENDENCYPART_ARC
(8,12),3.50772 # DEPENDENCYPART_ARC
(8,13),0.434929 # DEPENDENCYPART_ARC
(8,15),-1.10057 # DEPENDENCYPART_ARC
(8,16),-2.30485 # DEPENDENCYPART_ARC
(8,17),-0.235822 # DEPENDENCYPART_ARC
(8,18),-2.46295 # DEPENDENCYPART_ARC
(8,19),-2.54931 # DEPENDENCYPART_ARC
(8,20),-2.71556 # DEPENDENCYPART_ARC
(8,21),-1.32675 # DEPENDENCYPART_ARC
(8,22),-1.98137 # DEPENDENCYPART_ARC
(8,23),-1.43029 # DEPENDENCYPART_ARC
(8,24),-1.81842 # DEPENDENCYPART_ARC
(8,25),-5.94732 # DEPENDENCYPART_ARC
(8,26),-2.17189 # DEPENDENCYPART_ARC
(9,1),-1.13664 # DEPENDENCYPART_ARC
(9,2),-1.65502 # DEPENDENCYPART_ARC
(9,3),-2.33281 # DEPENDENCYPART_ARC
(9,5),-1.50223 # DEPENDENCYPART_ARC
(9,6),-0.666168 # DEPENDENCYPART_ARC
(9,7),0.0340958 # DEPENDENCYPART_ARC
(9,8),-0.167193 # DEPENDENCYPART_ARC
(9,10),0.482935 # DEPENDENCYPART_ARC
(9,11),-0.680692 # DEPENDENCYPART_ARC
(9,12),-0.879433 # DEPENDENCYPART_ARC
(9,13),-0.495136 # DEPENDENCYPART_ARC
(9,15),-2.50312 # DEPENDENCYPART_ARC
(9,16),-2.35742 # DEPENDENCYPART_ARC
(9,17),-1.16674 # DEPENDENCYPART_ARC
(9,19),-2.7019 # DEPENDENCYPART_ARC
(9,20),-3.01295 # DEPENDENCYPART_ARC
(9,21),-1.63894 # DEPENDENCYPART_ARC
(9,22),-3.95559 # DEPENDENCYPART_ARC
(9,23),-1.78721 # DEPENDENCYPART_ARC
(9,24),-2.56883 # DEPENDENCYPART_ARC
(9,25),-4.69015 # DEPENDENCYPART_ARC
(9,26),-2.72138 # DEPENDENCYPART_ARC
(10,1),-1.11902 # DEPENDENCYPART_ARC
(10,2),-1.78088 # DEPENDENCYPART_ARC
(10,3),-0.903147 # DEPENDENCYPART_ARC
(10,4),-1.21628 # DEPENDENCYPART_ARC
(10,5),-0.985689 # DEPENDENCYPART_ARC
(10,6),0.0709989 # DEPENDENCYPART_ARC
(10,7),-0.560013 # DEPENDENCYPART_ARC
(10,8),-0.522917 # DEPENDENCYPART_ARC
(10,9),3.667 # DEPENDENCYPART_ARC
(10,11),5.75754 # DEPENDENCYPART_ARC
(10,12),0.252589 # DEPENDENCYPART_ARC
(10,13),-0.339325 # DEPENDENCYPART_ARC
(10,14),-1.14333 # DEPENDENCYPART_ARC
(10,15),-2.01906 # DEPENDENCYPART_ARC
(10,16),-1.25584 # DEPENDENCYPART_ARC
(10,17),-1.05008 # DEPENDENCYPART_ARC
(10,18),-1.77558 # DEPENDENCYPART_ARC
(10,19),-1.72188 # DEPENDENCYPART_ARC
(10,20),-2.48622 # DEPENDENCYPART_ARC
(10,21),-1.75928 # DEPENDENCYPART_ARC
(10,22),-2.70127 # DEPENDENCYPART_ARC
(10,23),-2.00621 # DEPENDENCYPART_ARC
(10,24),-2.39272 # DEPENDENCYPART_ARC
(10,25),-3.08644 # DEPENDENCYPART_ARC
(10,26),-2.8508 # DEPENDENCYPART_ARC
(11,1),-1.24372 # DEPENDENCYPART_ARC
(11,2),-2.12606 # DEPENDENCYPART_ARC
(11,3),-2.40948 # DEPENDENCYPART_ARC
(11,5),-2.07395 # DEPENDENCYPART_ARC
(11,6),-1.01791 # DEPENDENCYPART_ARC
(11,7),-0.901509 # DEPENDENCYPART_ARC
(11,8),-0.606082 # DEPENDENCYPART_ARC
(11,9),-0.41443 # DEPENDENCYPART_ARC
(11,10),0.523681 # DEPENDENCYPART_ARC
(11,12),-0.131585 # DEPENDENCYPART_ARC
(11,13),-1.04774 # DEPENDENCYPART_ARC
(11,15),-2.82487 # DEPENDENCYPART_ARC
(11,16),-2.65924 # DEPENDENCYPART_ARC
(11,17),-1.54748 # DEPENDENCYPART_ARC
(11,19),-3.29219 # DEPENDENCYPART_ARC
(11,20),-3.79962 # DEPENDENCYPART_ARC
(11,21),-2.13672 # DEPENDENCYPART_ARC
(11,22),-4.46954 # DEPENDENCYPART_ARC
(11,23),-2.36388 # DEPENDENCYPART_ARC
(11,24),-3.08156 # DEPENDENCYPART_ARC
(11,25),-5.41007 # DEPENDENCYPART_ARC
(11,26),-3.15926 # DEPENDENCYPART_ARC
(12,1),-0.120538 # DEPENDENCYPART_ARC
(12,2),-1.74554 # DEPENDENCYPART_ARC
(12,3),-2.20121 # DEPENDENCYPART_ARC
(12,5),1.50467 # DEPENDENCYPART_ARC
(12,6),-0.00994118 # DEPENDENCYPART_ARC
(12,7),1.44816 # DEPENDENCYPART_ARC
(12,8),-1.02834 # DEPENDENCYPART_ARC
(12,9),1.76436 # DEPENDENCYPART_ARC
(12,10),3.85677 # DEPENDENCYPART_ARC
(12,11),4.28977 # DEPENDENCYPART_ARC
(12,13),-0.0109168 # DEPENDENCYPART_ARC
(12,14),-0.564417 # DEPENDENCYPART_ARC
(12,15),1.39576 # DEPENDENCYPART_ARC
(12,16),-2.30682 # DEPENDENCYPART_ARC
(12,17),0.965849 # DEPENDENCYPART_ARC
(12,18),-1.95602 # DEPENDENCYPART_ARC
(12,19),-1.35358 # DEPENDENCYPART_ARC
(12,20),-3.50137 # DEPENDENCYPART_ARC
(12,21),-0.239585 # DEPENDENCYPART_ARC
(12,22),-0.704781 # DEPENDENCYPART_ARC
(12,23),-0.600726 # DEPENDENCYPART_ARC
(12,24),-1.5528 # DEPENDENCYPART_ARC
(12,25),-2.8885 # DEPENDENCYPART_ARC
(12,26),-3.64509 # DEPENDENCYPART_ARC
(13,1),-1.22487 # DEPENDENCYPART_ARC
(13,2),-2.96783 # DEPENDENCYPART_ARC
(13,3),-2.15861 # DEPENDENCYPART_ARC
(13,5),-1.78764 # DEPENDENCYPART_ARC
(13,6),-0.615292 # DEPENDENCYPART_ARC
(13,7),-0.975513 # DEPENDENCYPART_ARC
(13,8),-1.49048 # DEPENDENCYPART_ARC
(13,9),-0.504195 # DEPENDENCYPART_ARC
(13,10),-0.629735 # DEPENDENCYPART_ARC
(13,11),-0.851319 # DEPENDENCYPART_ARC
(13,12),-0.71651 # DEPENDENCYPART_ARC
(13,15),0.542701 # DEPENDENCYPART_ARC
(13,16),-0.999793 # DEPENDENCYPART_ARC
(13,17),-0.75935 # DEPENDENCYPART_ARC
(13,18),-1.92194 # DEPENDENCYPART_ARC
(13,19),-1.97098 # DEPENDENCYPART_ARC
(13,20),-2.19703 # DEPENDENCYPART_ARC
(13,21),-1.79052 # DEPENDENCYPART_ARC
(13,22),-1.02681 # DEPENDENCYPART_ARC
(13,23),-2.00146 # DEPENDENCYPART_ARC
(13,24),-2.83048 # DEPENDENCYPART_ARC
(13,25),-3.49894 # DEPENDENCYPART_ARC
(13,26),-1.00915 # DEPENDENCYPART_ARC
(14,5),-1.47454 # DEPENDENCYPART_ARC
(14,12),-1.44658 # DEPENDENCYPART_ARC
(14,16),-1.69024 # DEPENDENCYPART_ARC
(14,20),-2.9242 # DEPENDENCYPART_ARC
(14,25),-2.47069 # DEPENDENCYPART_ARC
(15,1),-1.70923 # DEPENDENCYPART_ARC
(15,2),-0.366223 # DEPENDENCYPART_ARC
(15,3),-1.75789 # DEPENDENCYPART_ARC
(15,5),-2.59527 # DEPENDENCYPART_ARC
(15,6),-0.534639 # DEPENDENCYPART_ARC
(15,7),-0.844305 # DEPENDENCYPART_ARC
(15,8),0.0155484 # DEPENDENCYPART_ARC
(15,9),-1.25477 # DEPENDENCYPART_ARC
(15,10),-0.814806 # DEPENDENCYPART_ARC
(15,11),-0.747234 # DEPENDENCYPART_ARC
(15,12),-0.858969 # DEPENDENCYPART_ARC
(15,13),1.87753 # DEPENDENCYPART_ARC
(15,14),-0.428656 # DEPENDENCYPART_ARC
(15,16),3.2585 # DEPENDENCYPART_ARC
(15,17),0.995361 # DEPENDENCYPART_ARC
(15,18),-1.22742 # DEPENDENCYPART_ARC
(15,19),-1.75625 # DEPENDENCYPART_ARC
(15,20),0.587888 # DEPENDENCYPART_ARC
(15,21),0.443158 # DEPENDENCYPART_ARC
(15,22),-1.71542 # DEPENDENCYPART_ARC
(15,23),-0.918112 # DEPENDENCYPART_ARC
(15,24),0.240465 # DEPENDENCYPART_ARC
(15,25),-3.2574 # DEPENDENCYPART_ARC
(15,26),-0.185356 # DEPENDENCYPART_ARC
(16,1),-1.90569 # DEPENDENCYPART_ARC
(16,2),-3.82963 # DEPENDENCYPART_ARC
(16,3),-2.67202 # DEPENDENCYPART_ARC
(16,5),-4.38564 # DEPENDENCYPART_ARC
(16,6),-1.79644 # DEPENDENCYPART_ARC
(16,7),-1.68006 # DEPENDENCYPART_ARC
(16,8),-1.65643 # DEPENDENCYPART_ARC
(16,9),-5.80724 # DEPENDENCYPART_ARC
(16,10),-0.360322 # DEPENDENCYPART_ARC
(16,11),-4.43148 # DEPENDENCYPART_ARC
(16,12),-5.8608 # DEPENDENCYPART_ARC
(16,13),-1.24883 # DEPENDENCYPART_ARC
(16,14),-0.962688 # DEPENDENCYPART_ARC
(16,15),-0.959413 # DEPENDENCYPART_ARC
(16,17),-0.405261 # DEPENDENCYPART_ARC
(16,18),-1.6916 # DEPENDENCYPART_ARC
(16,19),-1.63028 # DEPENDENCYPART_ARC
(16,20),-2.33696 # DEPENDENCYPART_ARC
(16,21),-1.434 # DEPENDENCYPART_ARC
(16,22),-2.30746 # DEPENDENCYPART_ARC
(16,23),-1.63037 # DEPENDENCYPART_ARC
(16,24),-2.13269 # DEPENDENCYPART_ARC
(16,25),-3.24845 # DEPENDENCYPART_ARC
(16,26),-3.06665 # DEPENDENCYPART_ARC
(17,1),-1.75847 # DEPENDENCYPART_ARC
(17,2),-2.36255 # DEPENDENCYPART_ARC
(17,3),-2.02429 # DEPENDENCYPART_ARC
(17,4),-2.40177 # DEPENDENCYPART_ARC
(17,5),-1.87002 # DEPENDENCYPART_ARC
(17,6),-0.588737 # DEPENDENCYPART_ARC
(17,7),-1.56195 # DEPENDENCYPART_ARC
(17,8),-1.49393 # DEPENDENCYPART_ARC
(17,9),-1.80412 # DEPENDENCYPART_ARC
(17,10),-0.916264 # DEPENDENCYPART_ARC
(17,11),-1.65094 # DEPENDENCYPART_ARC
(17,12),-0.147923 # DEPENDENCYPART_ARC
(17,13),0.765636 # DEPENDENCYPART_ARC
(17,14),0.0587167 # DEPENDENCYPART_ARC
(17,15),1.298 # DEPENDENCYPART_ARC
(17,16),1.68134 # DEPENDENCYPART_ARC
(17,18),-0.155217 # DEPENDENCYPART_ARC
(17,19),-0.273283 # DEPENDENCYPART_ARC
(17,20),0.443022 # DEPENDENCYPART_ARC
(17,21),-1.33116 # DEPENDENCYPART_ARC
(17,22),1.00157 # DEPENDENCYPART_ARC
(17,23),-1.32797 # DEPENDENCYPART_ARC
(17,24),-1.31143 # DEPENDENCYPART_ARC
(17,25),-1.80653 # DEPENDENCYPART_ARC
(17,26),-0.791677 # DEPENDENCYPART_ARC
(18,2),-3.51535 # DEPENDENCYPART_ARC
(18,3),-3.15376 # DEPENDENCYPART_ARC
(18,5),-3.49036 # DEPENDENCYPART_ARC
(18,6),-2.94731 # DEPENDENCYPART_ARC
(18,8),-2.55504 # DEPENDENCYPART_ARC
(18,9),-3.64382 # DEPENDENCYPART_ARC
(18,10),-2.57094 # DEPENDENCYPART_ARC
(18,11),-3.49427 # DEPENDENCYPART_ARC
(18,12),-3.84527 # DEPENDENCYPART_ARC
(18,13),-2.0506 # DEPENDENCYPART_ARC
(18,15),-3.22514 # DEPENDENCYPART_ARC
(18,16),-4.26418 # DEPENDENCYPART_ARC
(18,17),-0.920615 # DEPENDENCYPART_ARC
(18,20),-1.09543 # DEPENDENCYPART_ARC
(18,21),-0.468179 # DEPENDENCYPART_ARC
(18,22),-2.44037 # DEPENDENCYPART_ARC
(18,23),-0.921826 # DEPENDENCYPART_ARC
(18,24),-0.466224 # DEPENDENCYPART_ARC
(18,25),-1.67254 # DEPENDENCYPART_ARC
(18,26),-0.796566 # DEPENDENCYPART_ARC
(19,1),-1.8983 # DEPENDENCYPART_ARC
(19,2),-2.3938 # DEPENDENCYPART_ARC
(19,3),-1.89 # DEPENDENCYPART_ARC
(19,5),-1.88355 # DEPENDENCYPART_ARC
(19,6),-1.50095 # DEPENDENCYPART_ARC
(19,7),-1.97199 # DEPENDENCYPART_ARC
(19,8),-1.37421 # DEPENDENCYPART_ARC
(19,9),-2.41698 # DEPENDENCYPART_ARC
(19,10),-1.47803 # DEPENDENCYPART_ARC
(19,11),-2.23974 # DEPENDENCYPART_ARC
(19,12),-1.48726 # DEPENDENCYPART_ARC
(19,13),-0.646391 # DEPENDENCYPART_ARC
(19,15),-1.30972 # DEPENDENCYPART_ARC
(19,16),-1.01624 # DEPENDENCYPART_ARC
(19,17),-0.483389 # DEPENDENCYPART_ARC
(19,18),0.338666 # DEPENDENCYPART_ARC
(19,20),-0.134416 # DEPENDENCYPART_ARC
(19,21),0.117601 # DEPENDENCYPART_ARC
(19,22),-1.66805 # DEPENDENCYPART_ARC
(19,23),-0.371728 # DEPENDENCYPART_ARC
(19,24),-0.0554935 # DEPENDENCYPART_ARC
(19,25),-1.36709 # DEPENDENCYPART_ARC
(19,26),-0.39255 # DEPENDENCYPART_ARC
(20,1),-1.72037 # DEPENDENCYPART_ARC
(20,2),-3.7957 # DEPENDENCYPART_ARC
(20,3),-3.15269 # DEPENDENCYPART_ARC
(20,5),-2.40865 # DEPENDENCYPART_ARC
(20,6),-1.03342 # DEPENDENCYPART_ARC
(20,7),-1.86455 # DEPENDENCYPART_ARC
(20,8),-1.5826 # DEPENDENCYPART_ARC
(20,9),-3.21929 # DEPENDENCYPART_ARC
(20,10),-0.837068 # DEPENDENCYPART_ARC
(20,11),-2.20995 # DEPENDENCYPART_ARC
(20,12),-4.52039 # DEPENDENCYPART_ARC
(20,13),-0.988143 # DEPENDENCYPART_ARC
(20,14),-0.40372 # DEPENDENCYPART_ARC
(20,15),-1.55603 # DEPENDENCYPART_ARC
(20,16),-0.883689 # DEPENDENCYPART_ARC
(20,17),-0.690372 # DEPENDENCYPART_ARC
(20,18),1.47522 # DEPENDENCYPART_ARC
(20,19),4.58076 # DEPENDENCYPART_ARC
(20,21),0.387627 # DEPENDENCYPART_ARC
(20,22),-1.36939 # DEPENDENCYPART_ARC
(20,23),-0.519514 # DEPENDENCYPART_ARC
(20,24),-0.560684 # DEPENDENCYPART_ARC
(20,25),-1.12372 # DEPENDENCYPART_ARC
(20,26),-0.902298 # DEPENDENCYPART_ARC
(21,1),-2.14291 # DEPENDENCYPART_ARC
(21,2),-2.75715 # DEPENDENCYPART_ARC
(21,3),-3.24343 # DEPENDENCYPART_ARC
(21,5),-2.73173 # DEPENDENCYPART_ARC
(21,6),-2.16355 # DEPENDENCYPART_ARC
(21,7),-2.20782 # DEPENDENCYPART_ARC
(21,8),-2.40686 # DEPENDENCYPART_ARC
(21,9),-2.5283 # DEPENDENCYPART_ARC
(21,10),-1.64152 # DEPENDENCYPART_ARC
(21,11),-2.47585 # DEPENDENCYPART_ARC
(21,12),-2.61498 # DEPENDENCYPART_ARC
(21,13),-1.1622 # DEPENDENCYPART_ARC
(21,15),-1.60636 # DEPENDENCYPART_ARC
(21,16),-1.90026 # DEPENDENCYPART_ARC
(21,17),-1.31712 # DEPENDENCYPART_ARC
(21,18),-1.13629 # DEPENDENCYPART_ARC
(21,19),-1.03127 # DEPENDENCYPART_ARC
(21,20),-1.42106 # DEPENDENCYPART_ARC
(21,22),-0.964862 # DEPENDENCYPART_ARC
(21,23),-1.28928 # DEPENDENCYPART_ARC
(21,24),-1.61273 # DEPENDENCYPART_ARC
(21,25),-1.96933 # DEPENDENCYPART_ARC
(21,26),-1.32996 # DEPENDENCYPART_ARC
(22,1),-2.77676 # DEPENDENCYPART_ARC
(22,2),-2.0214 # DEPENDENCYPART_ARC
(22,3),-1.60285 # DEPENDENCYPART_ARC
(22,5),-3.43852 # DEPENDENCYPART_ARC
(22,6),-0.904089 # DEPENDENCYPART_ARC
(22,7),-1.06443 # DEPENDENCYPART_ARC
(22,8),0.49038 # DEPENDENCYPART_ARC
(22,9),-1.17986 # DEPENDENCYPART_ARC
(22,10),-1.27144 # DEPENDENCYPART_ARC
(22,11),-1.01966 # DEPENDENCYPART_ARC
(22,12),-1.43628 # DEPENDENCYPART_ARC
(22,13),0.288006 # DEPENDENCYPART_ARC
(22,14),-3.4765 # DEPENDENCYPART_ARC
(22,15),-2.09864 # DEPENDENCYPART_ARC
(22,16),-0.894531 # DEPENDENCYPART_ARC
(22,17),-0.148746 # DEPENDENCYPART_ARC
(22,18),0.33833 # DEPENDENCYPART_ARC
(22,19),-0.16874 # DEPENDENCYPART_ARC
(22,20),2.00622 # DEPENDENCYPART_ARC
(22,21),1.49825 # DEPENDENCYPART_ARC
(22,23),0.6672 # DEPENDENCYPART_ARC
(22,24),0.858886 # DEPENDENCYPART_ARC
(22,25),-0.983859 # DEPENDENCYPART_ARC
(22,26),-0.405775 # DEPENDENCYPART_ARC
(23,1),-1.32611 # DEPENDENCYPART_ARC
(23,2),-2.03187 # DEPENDENCYPART_ARC
(23,3),-1.98567 # DEPENDENCYPART_ARC
(23,5),-1.52481 # DEPENDENCYPART_ARC
