# _root_ Milionový poplatek za vydání osvědčení , které umožňuje vést lékárnu , zakázalo vybírat Ministerstvo pro hospodářskou soutěž .
#goldHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
#predictedHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
(14,15),2.67033 # DEPENDENCYPART_ARC
(14,16),-1.45508 # DEPENDENCYPART_ARC
(14,17),-2.47735 # DEPENDENCYPART_ARC
(14,18),-0.329884 # DEPENDENCYPART_ARC
(15,1),-3.49383 # DEPENDENCYPART_ARC
(15,2),-3.7213 # DEPENDENCYPART_ARC
(15,3),-3.52358 # DEPENDENCYPART_ARC
(15,4),-2.90435 # DEPENDENCYPART_ARC
(15,5),-3.23302 # DEPENDENCYPART_ARC
(15,6),-3.20968 # DEPENDENCYPART_ARC
(15,7),-2.78402 # DEPENDENCYPART_ARC
(15,8),-3.58332 # DEPENDENCYPART_ARC
(15,9),-2.53804 # DEPENDENCYPART_ARC
(15,10),-3.24833 # DEPENDENCYPART_ARC
(15,11),-1.92099 # DEPENDENCYPART_ARC
(15,12),-2.59194 # DEPENDENCYPART_ARC
(15,13),-1.39206 # DEPENDENCYPART_ARC
(15,14),-1.77393 # DEPENDENCYPART_ARC
(15,16),1.47834 # DEPENDENCYPART_ARC
(15,17),3.84636 # DEPENDENCYPART_ARC
(15,18),-0.274649 # DEPENDENCYPART_ARC
(16,1),-4.62013 # DEPENDENCYPART_ARC
(16,2),-4.1441 # DEPENDENCYPART_ARC
(16,3),-2.98716 # DEPENDENCYPART_ARC
(16,4),-3.88649 # DEPENDENCYPART_ARC
(16,5),-5.57782 # DEPENDENCYPART_ARC
(16,6),-3.43212 # DEPENDENCYPART_ARC
(16,7),-4.13419 # DEPENDENCYPART_ARC
(16,8),-4.15755 # DEPENDENCYPART_ARC
(16,9),-1.8869 # DEPENDENCYPART_ARC
(16,10),-3.07453 # DEPENDENCYPART_ARC
(16,11),-2.05154 # DEPENDENCYPART_ARC
(16,12),-3.95599 # DEPENDENCYPART_ARC
(16,13),-1.11492 # DEPENDENCYPART_ARC
(16,14),-3.74606 # DEPENDENCYPART_ARC
(16,15),-0.439167 # DEPENDENCYPART_ARC
(16,17),-0.790992 # DEPENDENCYPART_ARC
(16,18),-0.372803 # DEPENDENCYPART_ARC
(17,1),-3.76432 # DEPENDENCYPART_ARC
(17,2),-4.3058 # DEPENDENCYPART_ARC
(17,3),-1.11708 # DEPENDENCYPART_ARC
(17,4),-3.05943 # DEPENDENCYPART_ARC
(17,5),-5.93495 # DEPENDENCYPART_ARC
(17,6),-2.84332 # DEPENDENCYPART_ARC
(17,7),-4.81426 # DEPENDENCYPART_ARC
(17,8),-1.57386 # DEPENDENCYPART_ARC
(17,9),-0.576719 # DEPENDENCYPART_ARC
(17,10),-2.00103 # DEPENDENCYPART_ARC
(17,11),-1.9286 # DEPENDENCYPART_ARC
(17,12),-1.45782 # DEPENDENCYPART_ARC
(17,13),-0.0144177 # DEPENDENCYPART_ARC
(17,14),-3.11041 # DEPENDENCYPART_ARC
(17,15),-0.222418 # DEPENDENCYPART_ARC
(17,16),5.82866 # DEPENDENCYPART_ARC
(17,18),0.280736 # DEPENDENCYPART_ARC
(18,1),-5.05928 # DEPENDENCYPART_ARC
(18,2),-5.92888 # DEPENDENCYPART_ARC
(18,3),-5.4137 # DEPENDENCYPART_ARC
(18,4),-4.9172 # DEPENDENCYPART_ARC
(18,5),-5.22732 # DEPENDENCYPART_ARC
(18,6),-4.04818 # DEPENDENCYPART_ARC
(18,7),-3.28076 # DEPENDENCYPART_ARC
(18,8),-4.26481 # DEPENDENCYPART_ARC
(18,9),-4.18586 # DEPENDENCYPART_ARC
(18,10),-3.65527 # DEPENDENCYPART_ARC
(18,11),-3.43774 # DEPENDENCYPART_ARC
(18,12),-3.32092 # DEPENDENCYPART_ARC
(18,13),-3.85747 # DEPENDENCYPART_ARC
(18,14),-2.8045 # DEPENDENCYPART_ARC
(18,15),-3.01555 # DEPENDENCYPART_ARC
(18,16),-2.5821 # DEPENDENCYPART_ARC
(18,17),-3.20292 # DEPENDENCYPART_ARC
